Date,Close,MRK
20/02/2008,47.02,-0.001062812
19/02/2008,47.07,-0.009725235
15/02/2008,47.53,0.013343415
14/02/2008,46.9,-0.014184635
13/02/2008,47.57,0.022105045
12/02/2008,46.53,0.026569507
11/02/2008,45.31,0.017364639
08/02/2008,44.53,-0.025935179
07/02/2008,45.7,-0.000218794
06/02/2008,45.71,-0.005236756
05/02/2008,45.95,-0.032544084
04/02/2008,47.47,0.031891413
01/02/2008,45.98,-0.002606431
31/01/2008,46.1,-0.001084011
30/01/2008,46.15,-0.039512362
29/01/2008,48.01,-0.025500045
28/01/2008,49.25,0.030092955
25/01/2008,47.79,-0.036367644
24/01/2008,49.56,-0.015019808
23/01/2008,50.31,-0.020461072
22/01/2008,51.35,-0.037646559
18/01/2008,53.32,-0.028655256
17/01/2008,54.87,-0.061492608
16/01/2008,58.35,0.002917706
15/01/2008,58.18,-0.027129504
14/01/2008,59.78,-0.012798313
11/01/2008,60.55,0.001322096
10/01/2008,60.47,-0.000495991
09/01/2008,60.5,0.013981586
08/01/2008,59.66,0.029599031
07/01/2008,57.92,0.018646528
04/01/2008,56.85,-0.008233383
03/01/2008,57.32,-0.000871916
02/01/2008,57.37,-0.012816247
31/12/2007,58.11,-0.010272304
28/12/2007,58.71,0.00238745
27/12/2007,58.57,-0.01440825
26/12/2007,59.42,-0.005370943
24/12/2007,59.74,0.009925222
21/12/2007,59.15,0.010366309
20/12/2007,58.54,-0.013573334
19/12/2007,59.34,-0.006718198
18/12/2007,59.74,0.004193582
17/12/2007,59.49,-0.00134386
14/12/2007,59.57,-0.003686331
13/12/2007,59.79,0.00117145
12/12/2007,59.72,-0.011322132
11/12/2007,60.4,-0.006107141
10/12/2007,60.77,0.001646904
07/12/2007,60.67,0.019473029
06/12/2007,59.5,0.001682086
05/12/2007,59.4,0.017149584
04/12/2007,58.39,-0.006486878
03/12/2007,58.77,-0.009989078
30/11/2007,59.36,-0.00938974
29/11/2007,59.92,-0.000667334
28/11/2007,59.96,0.017157696
27/11/2007,58.94,0.023171036
26/11/2007,57.59,-0.001214751
23/11/2007,57.66,0.019969134
21/11/2007,56.52,-0.02446819
20/11/2007,57.92,-0.005681344
19/11/2007,58.25,-0.002229273
16/11/2007,58.38,0.007910617
15/11/2007,57.92,0.010762124
14/11/2007,57.3,-0.003310396
13/11/2007,57.49,0.026437916
12/11/2007,55.99,0.001608723
09/11/2007,55.9,0.020421781
08/11/2007,54.77,0.01046169
07/11/2007,54.2,-0.032492195
06/11/2007,55.99,0.001072195
05/11/2007,55.93,-0.001964813
02/11/2007,56.04,-0.023281475
01/11/2007,57.36,-0.015568555
31/10/2007,58.26,0.006889452
30/10/2007,57.86,0.00155669
29/10/2007,57.77,0.003294325
26/10/2007,57.58,0.009071939
25/10/2007,57.06,0.015186589
24/10/2007,56.2,-0.00284293
23/10/2007,56.36,0.030993472
22/10/2007,54.64,0.028400981
19/10/2007,53.11,-0.005258228
18/10/2007,53.39,-0.000561745
17/10/2007,53.42,0.007327417
16/10/2007,53.03,-0.004890905
15/10/2007,53.29,-0.004119856
12/10/2007,53.51,0.008822206
11/10/2007,53.04,-0.003575801
10/10/2007,53.23,-0.007486466
09/10/2007,53.63,0.008990508
08/10/2007,53.15,-0.006750448
05/10/2007,53.51,0.012221643
04/10/2007,52.86,0.013522728
03/10/2007,52.15,0.010214987
02/10/2007,51.62,-0.015569752
01/10/2007,52.43,0.014214607
28/09/2007,51.69,-0.011732032
27/09/2007,52.3,-0.005719749
26/09/2007,52.6,0.006102231
25/09/2007,52.28,0.011543029
24/09/2007,51.68,-0.002705316
21/09/2007,51.82,0.008527183
20/09/2007,51.38,-0.003497186
19/09/2007,51.56,0.019387663
18/09/2007,50.57,0.023205682
17/09/2007,49.41,-0.002627591
14/09/2007,49.54,-0.006438654
13/09/2007,49.86,0.003817949
12/09/2007,49.67,-0.005621376
11/09/2007,49.95,0.002806738
10/09/2007,49.81,0.004829955
07/09/2007,49.57,-0.017993288
06/09/2007,50.47,0.021428676
05/09/2007,49.4,-0.012872261
04/09/2007,50.04,-0.002594553
31/08/2007,50.17,0.010217458
30/08/2007,49.66,-0.005221944
29/08/2007,49.92,0.014324869
28/08/2007,49.21,-0.018323275
27/08/2007,50.12,-0.013869848
24/08/2007,50.82,0.006316642
23/08/2007,50.5,0.002776127
22/08/2007,50.36,0.011784816
21/08/2007,49.77,-0.004210533
20/08/2007,49.98,0.007228947
17/08/2007,49.62,0.003229716
16/08/2007,49.46,-0.006449035
15/08/2007,49.78,-0.003008728
14/08/2007,49.93,-0.012538725
13/08/2007,50.56,-0.006309169
10/08/2007,50.88,-0.010946161
09/08/2007,51.44,-0.017726861
08/08/2007,52.36,0.014040042
07/08/2007,51.63,0.005437963
06/08/2007,51.35,0.020858686
03/08/2007,50.29,-0.026490316
02/08/2007,51.64,0.012078853
01/08/2007,51.02,0.027219322
31/07/2007,49.65,-0.00942174
30/07/2007,50.12,0
27/07/2007,50.12,-0.036246499
26/07/2007,51.97,-0.026769515
25/07/2007,53.38,0.03159159
24/07/2007,51.72,-0.011725266
23/07/2007,52.33,0.065341442
20/07/2007,49.02,-0.006506733
19/07/2007,49.34,-0.012087174
18/07/2007,49.94,-0.006586193
17/07/2007,50.27,-0.011078254
16/07/2007,50.83,-0.000393391
13/07/2007,50.85,0.001574494
12/07/2007,50.77,0.037528232
11/07/2007,48.9,0.004920059
10/07/2007,48.66,-0.015497863
09/07/2007,49.42,-0.000809062
06/07/2007,49.46,-0.007252248
05/07/2007,49.82,-0.000200702
03/07/2007,49.83,0.0052314
02/07/2007,49.57,-0.004629172
29/06/2007,49.8,-0.013562234
28/06/2007,50.48,0.002975897
27/06/2007,50.33,0.024335037
26/06/2007,49.12,0.016006909
25/06/2007,48.34,-0.004334819
22/06/2007,48.55,-0.015329886
21/06/2007,49.3,0.000811688
20/06/2007,49.26,-0.02129022
19/06/2007,50.32,-0.006141674
18/06/2007,50.63,-0.001973166
15/06/2007,50.73,0.009904994
14/06/2007,50.23,-0.008721562
13/06/2007,50.67,0.008920666
12/06/2007,50.22,-0.016392191
11/06/2007,51.05,0.017986452
08/06/2007,50.14,-0.003980897
07/06/2007,50.34,-0.008308653
06/06/2007,50.76,-0.013307437
05/06/2007,51.44,-0.006008352
04/06/2007,51.75,-0.007507976
01/06/2007,52.14,-0.005927926
31/05/2007,52.45,-0.004944856
30/05/2007,52.71,-0.013005555
29/05/2007,53.4,-0.005602256
25/05/2007,53.7,-0.000930665
24/05/2007,53.75,-0.011100947
23/05/2007,54.35,0.00368664
