Date,Close,PG
20/02/2008,66.17,-0.002113527
19/02/2008,66.31,0.000150818
15/02/2008,66.3,-0.004965029
14/02/2008,66.63,-0.005537693
13/02/2008,67,-0.002385213
12/02/2008,67.16,0.01742309
11/02/2008,66,0.014959827
08/02/2008,65.02,-0.011468892
07/02/2008,65.77,0.007018643
06/02/2008,65.31,0.004142699
05/02/2008,65.04,-0.016922425
04/02/2008,66.15,0.00151286
01/02/2008,66.05,0.009584009
31/01/2008,65.42,0.005057095
30/01/2008,65.09,0.006318893
29/01/2008,64.68,-0.00938685
28/01/2008,65.29,-0.000306279
25/01/2008,65.31,-0.012779727
24/01/2008,66.15,-0.00135962
23/01/2008,66.24,0.016899238
22/01/2008,65.13,-0.03054365
18/01/2008,67.15,-0.013607664
17/01/2008,68.07,-0.011248384
16/01/2008,68.84,-0.012415346
15/01/2008,69.7,-0.008429223
14/01/2008,70.29,0.001566171
11/01/2008,70.18,-0.032247292
10/01/2008,72.48,-0.000827472
09/01/2008,72.54,-0.00192811
08/01/2008,72.68,0.002617622
07/01/2008,72.49,0.006504763
04/01/2008,72.02,-0.004018574
03/01/2008,72.31,0
02/01/2008,72.31,-0.015233946
31/12/2007,73.42,-0.0112414
28/12/2007,74.25,0.004860277
27/12/2007,73.89,-0.002027987
26/12/2007,74.04,0.001351534
24/12/2007,73.94,-0.001891637
21/12/2007,74.08,0.012086791
20/12/2007,73.19,0.002873369
19/12/2007,72.98,0.001920176
18/12/2007,72.84,-0.005476465
17/12/2007,73.24,-0.008971108
14/12/2007,73.9,-0.006743114
13/12/2007,74.4,-0.003622463
12/12/2007,74.67,0.011177815
11/12/2007,73.84,-0.006614049
10/12/2007,74.33,0.002829237
07/12/2007,74.12,-0.000809171
06/12/2007,74.18,0.005000348
05/12/2007,73.81,0.00707005
04/12/2007,73.29,-0.003133304
03/12/2007,73.52,-0.006507615
30/11/2007,74,-0.002024975
29/11/2007,74.15,0.003241932
28/11/2007,73.91,0.010609458
27/11/2007,73.13,0.012937147
26/11/2007,72.19,-0.009238259
23/11/2007,72.86,0.008269066
21/11/2007,72.26,-0.013061298
20/11/2007,73.21,0.005341381
19/11/2007,72.82,-0.005068157
16/11/2007,73.19,0.018756584
15/11/2007,71.83,0.004045482
14/11/2007,71.54,-0.000419258
13/11/2007,71.57,0.01124081
12/11/2007,70.77,0.004957868
09/11/2007,70.42,-0.005946499
08/11/2007,70.84,0.020248802
07/11/2007,69.42,-0.015012077
06/11/2007,70.47,0.004123717
05/11/2007,70.18,0.009017452
02/11/2007,69.55,0.013899167
01/11/2007,68.59,-0.013467729
31/10/2007,69.52,0.008232877
30/10/2007,68.95,-0.040920612
29/10/2007,71.83,0.001114361
26/10/2007,71.75,0.005590511
25/10/2007,71.35,-0.000420374
24/10/2007,71.38,0.001682558
23/10/2007,71.26,0.00281057
22/10/2007,71.06,0.00366559
19/10/2007,70.8,-0.001411433
18/10/2007,70.9,0.004381942
17/10/2007,70.59,-0.003252955
16/10/2007,70.82,-0.00253843
15/10/2007,71,-0.009810871
12/10/2007,71.7,-0.000975814
11/10/2007,71.77,0.005168692
10/10/2007,71.4,0.004491866
09/10/2007,71.08,0.005218998
08/10/2007,70.71,-0.001695634
05/10/2007,70.83,0
04/10/2007,70.83,0.005947341
03/10/2007,70.41,-0.004534513
02/10/2007,70.73,-0.002541656
01/10/2007,70.91,0.00807084
28/09/2007,70.34,0.003417833
27/09/2007,70.1,-0.00583175
26/09/2007,70.51,0.009404458
25/09/2007,69.85,0.000716076
24/09/2007,69.8,0.005891245
21/09/2007,69.39,0.005926157
20/09/2007,68.98,0.002758222
19/09/2007,68.79,0.00160035
18/09/2007,68.68,0.010685895
17/09/2007,67.95,0.002062464
14/09/2007,67.81,0.005174847
13/09/2007,67.46,0.002226016
12/09/2007,67.31,0.00476546
11/09/2007,66.99,0.016404913
10/09/2007,65.9,0.006546419
07/09/2007,65.47,-0.009727999
06/09/2007,66.11,0.009880752
05/09/2007,65.46,0.000152777
04/09/2007,65.45,0.002141328
31/08/2007,65.31,0.00460406
30/08/2007,65.01,-0.001690617
29/08/2007,65.12,0.00647052
28/08/2007,64.7,-0.008158284
27/08/2007,65.23,-0.010674087
24/08/2007,65.93,0.013591108
23/08/2007,65.04,0.004623217
22/08/2007,64.74,0.004334372
21/08/2007,64.46,-0.008496228
20/08/2007,65.01,-0.005216336
17/08/2007,65.35,0.020405717
16/08/2007,64.03,0.008626828
15/08/2007,63.48,-0.003773589
14/08/2007,63.72,-0.008750056
13/08/2007,64.28,-0.017120801
10/08/2007,65.39,0.006443717
09/08/2007,64.97,-0.002920159
08/08/2007,65.16,-0.001073702
07/08/2007,65.23,0.003532216
06/08/2007,65,0.033159122
03/08/2007,62.88,-0.006657181
02/08/2007,63.3,0.00221414
01/08/2007,63.16,0.020797422
31/07/2007,61.86,-0.022537516
30/07/2007,63.27,0.007137789
27/07/2007,62.82,0.004147398
26/07/2007,62.56,-0.006691119
25/07/2007,62.98,0.000317612
24/07/2007,62.96,-0.006017437
23/07/2007,63.34,0.018966223
20/07/2007,62.15,-0.010245007
19/07/2007,62.79,0.003190304
18/07/2007,62.59,-0.001436897
17/07/2007,62.68,-0.007470431
16/07/2007,63.15,0.007789563
13/07/2007,62.66,-0.004299712
12/07/2007,62.93,0.022010689
11/07/2007,61.56,0.008646762
10/07/2007,61.03,-0.007996779
09/07/2007,61.52,0.000650407
06/07/2007,61.48,-0.00308567
05/07/2007,61.67,-0.00194395
03/07/2007,61.79,0.00080952
02/07/2007,61.74,0.008948242
29/06/2007,61.19,-0.00277438
28/06/2007,61.36,-0.001140158
27/06/2007,61.43,0.003914538
26/06/2007,61.19,0.001799297
25/06/2007,61.08,0.000818934
22/06/2007,61.03,-0.013831479
21/06/2007,61.88,-0.000969149
20/06/2007,61.94,0.001939238
19/06/2007,61.82,0.000809127
18/06/2007,61.77,-0.01286812
15/06/2007,62.57,0.002400193
14/06/2007,62.42,0.000801346
13/06/2007,62.37,0.003372684
12/06/2007,62.16,-0.014216356
11/06/2007,63.05,-0.000317158
08/06/2007,63.07,0.011962819
07/06/2007,62.32,-0.013863659
06/06/2007,63.19,-0.004263725
05/06/2007,63.46,0.004263725
04/06/2007,63.19,-0.004578835
01/06/2007,63.48,-0.001102102
31/05/2007,63.55,-0.004709585
30/05/2007,63.85,0.003137257
29/05/2007,63.65,0.010899721
25/05/2007,62.96,0.001430502
24/05/2007,62.87,-0.003651667
23/05/2007,63.1,0.001586043
22/05/2007,63,-0.004276557
21/05/2007,63.27,-0.003313612
18/05/2007,63.48,0.001734332
17/05/2007,63.37,0.000789328
16/05/2007,63.32,0.019938455
15/05/2007,62.07,0.005654753
14/05/2007,61.72,0.001134798
11/05/2007,61.65,0.00259867
10/05/2007,61.49,-0.008421102
09/05/2007,62.01,0.004201687
08/05/2007,61.75,-0.006939429
07/05/2007,62.18,-0.003692114
04/05/2007,62.41,0.006591134
03/05/2007,62,-0.005950005
02/05/2007,62.37,-0.009415214
01/05/2007,62.96,-0.022614029
30/04/2007,64.4,0.022296417
27/04/2007,62.98,-0.000158768
26/04/2007,62.99,-0.008536252
25/04/2007,63.53,-0.003143174
24/04/2007,63.73,0.001570352
23/04/2007,63.63,-0.002668133
20/04/2007,63.8,0.002825304
19/04/2007,63.62,-0.002198148
18/04/2007,63.76,-0.002193327
17/04/2007,63.9,0.002663952
16/04/2007,63.73,0.005507055
13/04/2007,63.38,-0.002206463
12/04/2007,63.52,0.007585371
11/04/2007,63.04,-0.002693071
10/04/2007,63.21,-0.000790701
09/04/2007,63.26,0.004118491
05/04/2007,63,-0.000793336
04/04/2007,63.05,0.002381899
03/04/2007,62.9,-0.001905973
02/04/2007,63.02,-0.002219053
30/03/2007,63.16,-0.001582028
29/03/2007,63.26,0.003959774
28/03/2007,63.01,-0.004117839
27/03/2007,63.27,-0.009908078
26/03/2007,63.9,0.001566171
23/03/2007,63.8,-0.000783392
22/03/2007,63.85,0.014036978
21/03/2007,62.96,0.010859257
20/03/2007,62.28,0.004828595
19/03/2007,61.98,0.005987557
16/03/2007,61.61,-0.004857523
15/03/2007,61.91,0.00892356
14/03/2007,61.36,0.003101284
13/03/2007,61.17,-0.014928072
12/03/2007,62.09,-0.001126761
09/03/2007,62.16,-0.00241022
08/03/2007,62.31,0.003698051
07/03/2007,62.08,-0.013758016
06/03/2007,62.94,0.002386067
05/03/2007,62.79,-0.005875364
02/03/2007,63.16,-0.008199352
01/03/2007,63.68,0.002988128
28/02/2007,63.49,0.035918564
27/02/2007,61.25,-0.050770709
26/02/2007,64.44,-0.005879639
23/02/2007,64.82,0.001698449
22/02/2007,64.71,0.000309119
21/02/2007,64.69,-0.00293278
20/02/2007,64.88,-0.002924204
16/02/2007,65.07,0.001230202
15/02/2007,64.99,0.001694002
14/02/2007,64.88,0.002623661
13/02/2007,64.71,0.008535786
12/02/2007,64.16,-0.0041994
09/02/2007,64.43,-0.002480237
08/02/2007,64.59,0.001704502
07/02/2007,64.48,-0.001704502
06/02/2007,64.59,-0.008632704
05/02/2007,65.15,-0.002912103
02/02/2007,65.34,0
01/02/2007,65.34,0.007219139
31/01/2007,64.87,0.004325667
30/01/2007,64.59,-0.00447981
29/01/2007,64.88,0.000308309
26/01/2007,64.86,-0.000924642
25/01/2007,64.92,-0.00904706
24/01/2007,65.51,-0.001982463
23/01/2007,65.64,-0.001218027
22/01/2007,65.72,-0.005614156
19/01/2007,66.09,0.008356806
18/01/2007,65.54,0.002750193
17/01/2007,65.36,0.005523181
16/01/2007,65,0
12/01/2007,65,0.005553856
11/01/2007,64.64,0.006207345
10/01/2007,64.24,0.011901174
09/01/2007,63.48,-0.002517308
08/01/2007,63.64,0.002202298
05/01/2007,63.5,-0.008624122
04/01/2007,64.05,-0.007621158
03/01/2007,64.54,0.004192227
29/12/2006,64.27,-0.003262139
28/12/2006,64.48,0.000930954
27/12/2006,64.42,0.003576709
26/12/2006,64.19,0.006094245
22/12/2006,63.8,-0.003910838
21/12/2006,64.05,-0.006535971
20/12/2006,64.47,0.001241658
19/12/2006,64.39,0.003578378
18/12/2006,64.16,0.000779606
15/12/2006,64.11,0.011925451
14/12/2006,63.35,-0.000788955
13/12/2006,63.4,-0.004720701
12/12/2006,63.7,-0.002665205
11/12/2006,63.87,-0.000313087
08/12/2006,63.89,0.001409664
07/12/2006,63.8,0
06/12/2006,63.8,0.004555817
05/12/2006,63.51,0.001418105
04/12/2006,63.42,0.011577324
01/12/2006,62.69,-0.00159388
30/11/2006,62.79,-0.006666691
29/11/2006,63.21,0.002217296
28/11/2006,63.07,0.003653407
27/11/2006,62.84,-0.010920422
24/11/2006,63.53,-0.001729968
22/11/2006,63.64,0.005988986
21/11/2006,63.26,-0.006774347
20/11/2006,63.69,-0.002665623
17/11/2006,63.86,0.00533837
16/11/2006,63.52,0.00631714
15/11/2006,63.12,-0.001266625
14/11/2006,63.2,-0.000790826
13/11/2006,63.25,-0.007089435
10/11/2006,63.7,-0.001568628
09/11/2006,63.8,-0.003754698
08/11/2006,64.04,-0.00109247
07/11/2006,64.11,0.008616016
06/11/2006,63.56,0.00252048
03/11/2006,63.4,0.002052578
02/11/2006,63.27,0.003641838
01/11/2006,63.04,-0.005536675
31/10/2006,63.39,-0.006603798
30/10/2006,63.81,0.003925576
27/10/2006,63.56,0.000944436
26/10/2006,63.5,0.005843814
25/10/2006,63.13,0.003967944
24/10/2006,62.88,-0.006341175
23/10/2006,63.28,0.009526906
20/10/2006,62.68,0.002875861
19/10/2006,62.5,-0.001438964
18/10/2006,62.59,0.005446986
17/10/2006,62.25,0.003218024
16/10/2006,62.05,-0.001288452
13/10/2006,62.13,-0.004496555
12/10/2006,62.41,-0.001120987
11/10/2006,62.48,-0.003833871
10/10/2006,62.72,-0.002070559
09/10/2006,62.85,-0.003811343
06/10/2006,63.09,-0.006792539
05/10/2006,63.52,0.002837776
04/10/2006,63.34,0.016555615
03/10/2006,62.3,0.004182087
02/10/2006,62.04,0.000967586
29/09/2006,61.98,-0.004507413
28/09/2006,62.26,-0.007520637
27/09/2006,62.73,0.003993297
26/09/2006,62.48,0.003045606
25/09/2006,62.29,0.007735736
22/09/2006,61.81,0.001133145
21/09/2006,61.74,0.001783254
20/09/2006,61.63,0.0117514
19/09/2006,60.91,0.006754
18/09/2006,60.5,-0.00658981
15/09/2006,60.9,0.002136929
14/09/2006,60.77,0.003461637
13/09/2006,60.56,-0.02107749
12/09/2006,61.85,-0.00113113
11/09/2006,61.92,0.012676913
08/09/2006,61.14,-0.006358544
07/09/2006,61.53,0.001463772
06/09/2006,61.44,-0.00195122
05/09/2006,61.56,-0.005669409
01/09/2006,61.91,0.000161538
31/08/2006,61.9,0.002426204
30/08/2006,61.75,0.008946786
29/08/2006,61.2,0.003601248
28/08/2006,60.98,0.001805499
25/08/2006,60.87,-0.002952758
24/08/2006,61.05,0.002131673
23/08/2006,60.92,-0.002131673
22/08/2006,61.05,0.004432413
21/08/2006,60.78,0.006437259
18/08/2006,60.39,0.000828295
17/08/2006,60.34,-0.001324942
16/08/2006,60.42,-0.000330961
15/08/2006,60.44,0.011314597
14/08/2006,59.76,-0.008331993
11/08/2006,60.26,0
10/08/2006,60.26,0.012020178
09/08/2006,59.54,-0.003018617
08/08/2006,59.72,0.005372746
07/08/2006,59.4,-0.000841397
04/08/2006,59.45,0
03/08/2006,59.45,0.019705071
02/08/2006,58.29,0.041329643
01/08/2006,55.93,-0.004815848
31/07/2006,56.2,-0.01079561
28/07/2006,56.81,0.00653424
27/07/2006,56.44,-0.004066843
26/07/2006,56.67,-0.003698815
25/07/2006,56.88,-0.000351556
24/07/2006,56.9,0.014694431
21/07/2006,56.07,-0.009584738
20/07/2006,56.61,-0.000529801
19/07/2006,56.64,0.014762385
18/07/2006,55.81,-0.000179163
17/07/2006,55.82,0.002870472
14/07/2006,55.66,-0.015686596
13/07/2006,56.54,-0.001237296
12/07/2006,56.61,-0.011241994
11/07/2006,57.25,0.004727313
10/07/2006,56.98,0.008459691
07/07/2006,56.5,0.000885348
06/07/2006,56.45,0.009254382
05/07/2006,55.93,-0.006593626
03/07/2006,56.3,0.012511334
30/06/2006,55.6,-0.024692613
29/06/2006,56.99,0.021639723
28/06/2006,55.77,0.00035868
27/06/2006,55.75,-0.004295693
26/06/2006,55.99,0.004654502
23/06/2006,55.73,-0.002150924
22/06/2006,55.85,0.000537297
21/06/2006,55.82,0.004308804
20/06/2006,55.58,0.012856673
19/06/2006,54.87,-0.002730004
16/06/2006,55.02,0.002547772
15/06/2006,54.88,0.000911494
14/06/2006,54.83,0.012848929
13/06/2006,54.13,-0.003319811
