Date,Close,DOV
04/04/2014,83.45,-0.022981348
03/04/2014,85.39,0.002814591
02/04/2014,85.15,0.028711246
01/04/2014,82.74,0.012037351
31/03/2014,81.75,0.00934012
28/03/2014,80.99,0.005571735
27/03/2014,80.54,-0.003346765
26/03/2014,80.81,-0.005799264
25/03/2014,81.28,0.005057057
24/03/2014,80.87,0.001856551
21/03/2014,80.72,-0.009248478
20/03/2014,81.47,-0.000490858
19/03/2014,81.51,-0.004895371
18/03/2014,81.91,0.005877328
17/03/2014,81.43,0.020220251
14/03/2014,79.8,-0.010843254
13/03/2014,80.67,-0.007902251
12/03/2014,81.31,-0.007474151
11/03/2014,81.92,-0.007176337
10/03/2014,82.51,0.002912977
07/03/2014,82.27,0.008422387
06/03/2014,81.58,0.021183821
05/03/2014,79.87,0.004894895
04/03/2014,79.48,0.004792543
03/03/2014,79.1,-0.175768315
28/02/2014,94.3,0.027304717
27/02/2014,91.76,0.008536771
26/02/2014,90.98,0.010830032
25/02/2014,90,0.005906297
24/02/2014,89.47,0.00537937
21/02/2014,88.99,0.004617905
20/02/2014,88.58,0.022837256
19/02/2014,86.58,-0.005988042
18/02/2014,87.1,0.012012156
14/02/2014,86.06,0.008870273
13/02/2014,85.3,-0.000937427
12/02/2014,85.38,0.007288148
11/02/2014,84.76,0.00366409
10/02/2014,84.45,-0.011654732
07/02/2014,85.44,0.03332055
06/02/2014,82.64,-0.001692662
05/02/2014,82.78,-0.01009624
04/02/2014,83.62,0.007924162
03/02/2014,82.96,-0.042479251
31/01/2014,86.56,-0.03082767
30/01/2014,89.27,-0.004582294
29/01/2014,89.68,-0.008991569
28/01/2014,90.49,0.010442219
27/01/2014,89.55,-0.008672503
24/01/2014,90.33,-0.040675853
23/01/2014,94.08,-0.019056217
22/01/2014,95.89,-0.001354802
21/01/2014,96.02,0.009522387
17/01/2014,95.11,-0.010355199
16/01/2014,96.1,-0.002701862
15/01/2014,96.36,0.009802978
14/01/2014,95.42,0.024077103
13/01/2014,93.15,-0.013753615
10/01/2014,94.44,0.003925526
09/01/2014,94.07,-0.001380996
08/01/2014,94.2,-0.005927198
07/01/2014,94.76,0.001795617
06/01/2014,94.59,-0.006638242
03/01/2014,95.22,-0.00031501
02/01/2014,95.25,-0.013452416
31/12/2013,96.54,0.001658719
