Date,Close,MU
04/04/2014,22.58,-0.060989272
03/04/2014,24,-0.014478019
02/04/2014,24.35,-0.003689285
01/04/2014,24.44,0.032435276
31/03/2014,23.66,0.076842705
28/03/2014,21.91,-0.014949316
27/03/2014,22.24,-0.026182991
26/03/2014,22.83,-0.030200742
25/03/2014,23.53,0.002127208
24/03/2014,23.48,-0.007636864
21/03/2014,23.66,-0.014684552
20/03/2014,24.01,0.001250261
19/03/2014,23.98,-0.021044721
18/03/2014,24.49,0.023131969
17/03/2014,23.93,-0.001252871
14/03/2014,23.96,-0.006240919
13/03/2014,24.11,-0.029828565
12/03/2014,24.84,0.006867327
11/03/2014,24.67,-0.007269822
10/03/2014,24.85,0.017455284
07/03/2014,24.42,-0.014230775
06/03/2014,24.77,-0.002419356
05/03/2014,24.83,-0.011213574
04/03/2014,25.11,0.025409716
03/03/2014,24.48,0.011917133
28/02/2014,24.19,0
27/02/2014,24.19,-0.001239414
26/02/2014,24.22,-0.001650165
25/02/2014,24.26,-0.019996585
24/02/2014,24.75,-0.013245227
21/02/2014,25.08,-0.016215503
20/02/2014,25.49,0.002749953
19/02/2014,25.42,0
18/02/2014,25.42,0.01346555
14/02/2014,25.08,0.006801386
13/02/2014,24.91,0.000803213
12/02/2014,24.89,0.007258096
11/02/2014,24.71,-0.006454238
10/02/2014,24.87,0.01458106
07/02/2014,24.51,0.016454505
06/02/2014,24.11,0.033744239
05/02/2014,23.31,0.013388237
04/02/2014,23,0.00829518
03/02/2014,22.81,-0.0100328
31/01/2014,23.04,-0.017638659
30/01/2014,23.45,0.032065139
29/01/2014,22.71,-0.014860413
28/01/2014,23.05,0.006528859
27/01/2014,22.9,-0.000872981
24/01/2014,22.92,-0.030930301
23/01/2014,23.64,-0.000422922
22/01/2014,23.65,0.022665071
21/01/2014,23.12,0.032530341
17/01/2014,22.38,-0.032962773
16/01/2014,23.13,-0.00860961
15/01/2014,23.33,-0.014468337
14/01/2014,23.67,0.014468337
13/01/2014,23.33,-0.016156814
10/01/2014,23.71,0.020021968
09/01/2014,23.24,-0.026747508
08/01/2014,23.87,0.093928646
07/01/2014,21.73,0.050010421
06/01/2014,20.67,-0.014409471
03/01/2014,20.97,-0.032374397
02/01/2014,21.66,-0.004146516
31/12/2013,21.75,0.020906685
30/12/2013,21.3,-0.010275663
27/12/2013,21.52,-0.010171146
26/12/2013,21.74,-0.003673099
24/12/2013,21.82,0.01523927
23/12/2013,21.49,-0.031152313
20/12/2013,22.17,0.025121211
19/12/2013,21.62,-0.008749768
18/12/2013,21.81,-0.049641312
17/12/2013,22.92,0.006566012
16/12/2013,22.77,-0.013522562
13/12/2013,23.08,0.023674933
12/12/2013,22.54,0.001776199
11/12/2013,22.5,-0.028047413
10/12/2013,23.14,0.000864678
09/12/2013,23.12,0.035663035
06/12/2013,22.31,0.030029554
05/12/2013,21.65,-0.005067968
04/12/2013,21.76,-0.003211749
03/12/2013,21.83,0.025987541
02/12/2013,21.27,0.008024589
29/11/2013,21.1,-0.003312045
27/11/2013,21.17,0.04147171
26/11/2013,20.31,0.022405717
25/11/2013,19.86,-0.016479774
22/11/2013,20.19,0.009955284
21/11/2013,19.99,0.061375279
20/11/2013,18.8,-0.013735028
19/11/2013,19.06,-0.011994929
18/11/2013,19.29,-0.00877425
15/11/2013,19.46,0.013971767
14/11/2013,19.19,0.014169746
13/11/2013,18.92,0.015446379
12/11/2013,18.63,0.019512814
11/11/2013,18.27,0.008796098
08/11/2013,18.11,0.021770327
07/11/2013,17.72,0.012493064
06/11/2013,17.5,-0.009667405
05/11/2013,17.67,-0.012373611
04/11/2013,17.89,0.017480005
01/11/2013,17.58,-0.005672165
31/10/2013,17.68,0.016538729
30/10/2013,17.39,-0.006305553
29/10/2013,17.5,0.045595273
28/10/2013,16.72,0.008408458
