Date,Close,CVX
04/04/2014,118.8,-0.002018164
03/04/2014,119.04,-0.002600782
02/04/2014,119.35,0.00293686
01/04/2014,119,0.000756589
31/03/2014,118.91,0.003453944
28/03/2014,118.5,0.007028864
27/03/2014,117.67,-0.000339876
26/03/2014,117.71,0.005281103
25/03/2014,117.09,0.010646619
24/03/2014,115.85,0.001900813
21/03/2014,115.63,0.001038332
20/03/2014,115.51,0.002687358
19/03/2014,115.2,-0.008987271
18/03/2014,116.24,0.01011638
17/03/2014,115.07,0.008465382
14/03/2014,114.1,-0.00306279
13/03/2014,114.45,-0.010430342
12/03/2014,115.65,0.009906233
11/03/2014,114.51,-0.011547773
10/03/2014,115.84,0.00658239
07/03/2014,115.08,0.00200061
06/03/2014,114.85,0.003663647
05/03/2014,114.43,-0.00774759
04/03/2014,115.32,0.004171018
03/03/2014,114.84,-0.004257729
28/02/2014,115.33,-0.003116616
27/02/2014,115.69,0.001557094
26/02/2014,115.51,0.004685882
25/02/2014,114.97,0.007157852
24/02/2014,114.15,0.01296143
21/02/2014,112.68,-0.016895861
20/02/2014,114.6,0.008764298
19/02/2014,113.6,0.007865358
18/02/2014,112.71,-0.006808462
14/02/2014,113.48,0.008584503
13/02/2014,112.51,0.004275414
12/02/2014,112.03,-0.013740742
11/02/2014,113.58,0.016780258
10/02/2014,111.69,-0.003218024
07/02/2014,112.05,0.00698552
06/02/2014,111.27,0.015852499
05/02/2014,109.52,-0.011890315
04/02/2014,110.83,-0.002793172
03/02/2014,111.14,-0.004399163
31/01/2014,111.63,-0.042272165
30/01/2014,116.45,0.003871805
29/01/2014,116,-0.007215286
28/01/2014,116.84,0.003515243
27/01/2014,116.43,0.001203163
24/01/2014,116.29,-0.017897188
23/01/2014,118.39,-0.017084412
22/01/2014,120.43,0.00058142
21/01/2014,120.36,0.008929748
17/01/2014,119.29,0.003863603
16/01/2014,118.83,-0.002941055
15/01/2014,119.18,-0.003267019
14/01/2014,119.57,0.002679844
13/01/2014,119.25,-0.014651057
10/01/2014,121.01,-0.018666117
09/01/2014,123.29,0
08/01/2014,123.29,-0.014334277
07/01/2014,125.07,0.008430738
06/01/2014,124.02,-0.002657327
03/01/2014,124.35,0.001690209
02/01/2014,124.14,-0.006183517
31/12/2013,124.91,0.005458792
30/12/2013,124.23,-0.00801736
27/12/2013,125.23,0.003359466
26/12/2013,124.81,0.010470456
24/12/2013,123.51,0.005765109
23/12/2013,122.8,0.00016288
20/12/2013,122.78,-0.00357724
19/12/2013,123.22,0.013234406
18/12/2013,121.6,0.023800741
17/12/2013,118.74,-0.012387169
16/12/2013,120.22,0.002665336
13/12/2013,119.9,-0.009049836
12/12/2013,120.99,-0.009132484
11/12/2013,122.1,-0.012695483
10/12/2013,123.66,0.002591095
09/12/2013,123.34,0.008549496
06/12/2013,122.29,0.009778623
05/12/2013,121.1,-0.005517369
04/12/2013,121.77,-0.006140262
03/12/2013,122.52,0.001470228
02/12/2013,122.34,-0.00081706
29/11/2013,122.44,0.000163359
27/11/2013,122.42,-0.002936381
26/11/2013,122.78,-0.007788454
25/11/2013,123.74,-0.002340882
22/11/2013,124.03,0.004606255
21/11/2013,123.46,0.011896172
20/11/2013,122,-0.000491682
19/11/2013,122.06,0.012365173
18/11/2013,120.56,0.004155936
15/11/2013,120.06,0.00417328
14/11/2013,119.56,-0.004423124
13/11/2013,120.09,0.000749719
12/11/2013,120,-0.008959741
11/11/2013,121.08,-0.000908078
08/11/2013,121.19,0.010618101
07/11/2013,119.91,-0.01020544
06/11/2013,121.14,0.022455971
05/11/2013,118.45,0.002959207
04/11/2013,118.1,0.000762357
01/11/2013,118.01,-0.016388987
31/10/2013,119.96,-0.002830269
30/10/2013,120.3,-0.00992564
29/10/2013,121.5,0.004867796
28/10/2013,120.91,0.002650105
25/10/2013,120.59,0.000248808
24/10/2013,120.56,0.003573065
23/10/2013,120.13,-0.004236415
22/10/2013,120.64,0.006820288
21/10/2013,119.82,0.001419802
18/10/2013,119.65,0.001087093
17/10/2013,119.52,0.003016594
16/10/2013,119.16,0.008512124
15/10/2013,118.15,-0.003632835
14/10/2013,118.58,0.007703742
11/10/2013,117.67,0.011023397
10/10/2013,116.38,0.002150446
09/10/2013,116.13,-0.005153322
08/10/2013,116.73,-0.009718747
07/10/2013,117.87,-0.002203391
04/10/2013,118.13,-0.001015314
03/10/2013,118.25,-0.021583572
02/10/2013,120.83,-0.004047084
01/10/2013,121.32,-0.00148258
30/09/2013,121.5,-0.009338972
27/09/2013,122.64,-0.006906947
26/09/2013,123.49,-0.004685741
25/09/2013,124.07,-0.003379469
24/09/2013,124.49,-0.008239717
23/09/2013,125.52,0.004791576
20/09/2013,124.92,-0.004154024
19/09/2013,125.44,-0.003024758
18/09/2013,125.82,0.011832565
17/09/2013,124.34,0.00209323
16/09/2013,124.08,-0.000483442
13/09/2013,124.14,0.002015886
12/09/2013,123.89,-0.000242121
11/09/2013,123.92,0.007370543
10/09/2013,123.01,0.006442953
09/09/2013,122.22,0.008298121
06/09/2013,121.21,-0.001319153
05/09/2013,121.37,0.00421088
04/09/2013,120.86,0.002568246
03/09/2013,120.55,0.000995933
30/08/2013,120.43,0.000498339
29/08/2013,120.37,-0.011892121
28/08/2013,121.81,0.024936875
27/08/2013,118.81,-0.000252472
26/08/2013,118.84,-0.005789335
23/08/2013,119.53,0.010428149
22/08/2013,118.29,0.005000222
21/08/2013,117.7,-0.005000222
20/08/2013,118.29,-0.003123024
19/08/2013,118.66,-0.010228982
16/08/2013,119.88,-0.003081667
15/08/2013,120.25,-0.014857888
