Date,Close,FITB
04/04/2014,22.92,-0.011711259
03/04/2014,23.19,0.005621636
02/04/2014,23.06,-0.000866927
01/04/2014,23.08,0.00521287
31/03/2014,22.96,0.010507978
28/03/2014,22.72,0.007510528
27/03/2014,22.55,-0.031000081
26/03/2014,23.26,-0.00343348
25/03/2014,23.34,-0.001712329
24/03/2014,23.38,-0.000427625
21/03/2014,23.39,0.001283423
20/03/2014,23.36,0.022949697
19/03/2014,22.83,0.002192503
18/03/2014,22.78,0.007933052
17/03/2014,22.6,0.011571113
14/03/2014,22.34,-0.004020555
13/03/2014,22.43,-0.004448406
12/03/2014,22.53,0.0008881
11/03/2014,22.51,-0.00840527
10/03/2014,22.7,0.003088465
07/03/2014,22.63,0.014689781
06/03/2014,22.3,0.00449439
05/03/2014,22.2,0.010869672
04/03/2014,21.96,0.020239881
03/03/2014,21.52,-0.008329525
28/02/2014,21.7,-0.000921235
27/02/2014,21.72,0.002766253
26/02/2014,21.66,0.002311071
25/02/2014,21.61,0
24/02/2014,21.61,0.007897834
21/02/2014,21.44,0.00467509
20/02/2014,21.34,0.0014068
19/02/2014,21.31,-0.016290795
18/02/2014,21.66,0.001386002
14/02/2014,21.63,0.004169568
13/02/2014,21.54,0.008391658
12/02/2014,21.36,-0.000468055
11/02/2014,21.37,0.00469044
10/02/2014,21.27,0.008024589
07/02/2014,21.1,0.000948317
06/02/2014,21.08,0.020609404
05/02/2014,20.65,0.002909798
04/02/2014,20.59,0.004380635
03/02/2014,20.5,-0.025049479
31/01/2014,21.02,-0.010411831
30/01/2014,21.24,0.01374755
29/01/2014,20.95,-0.016568426
28/01/2014,21.3,0.008013241
27/01/2014,21.13,-0.008951768
24/01/2014,21.32,-0.009337136
23/01/2014,21.52,-0.018416727
22/01/2014,21.92,0.004572482
21/01/2014,21.82,0.012451164
17/01/2014,21.55,0.008387747
16/01/2014,21.37,-0.009315391
15/01/2014,21.57,0.009783446
14/01/2014,21.36,0.005163119
13/01/2014,21.25,-0.013090416
10/01/2014,21.53,0.009801712
09/01/2014,21.32,0.008951768
08/01/2014,21.13,0.004743842
07/01/2014,21.03,0.003811343
06/01/2014,20.95,0.001433007
03/01/2014,20.92,0.002392918
02/01/2014,20.87,-0.007637269
31/12/2013,21.03,0.005244351
30/12/2013,20.92,0
27/12/2013,20.92,-0.005719749
26/12/2013,21.04,0.002855785
24/12/2013,20.98,0.001430957
23/12/2013,20.95,0.006705006
20/12/2013,20.81,0.006750267
19/12/2013,20.67,0.010700491
18/12/2013,20.45,0.014778594
17/12/2013,20.15,-0.009876623
16/12/2013,20.35,0.012858733
13/12/2013,20.09,-0.007932615
12/12/2013,20.25,0.00445435
11/12/2013,20.16,-0.007412932
10/12/2013,20.31,0.003452531
09/12/2013,20.24,-0.004928546
06/12/2013,20.34,0.025897862
05/12/2013,19.82,-0.003022672
04/12/2013,19.88,-0.005517947
03/12/2013,19.99,-0.010450456
02/12/2013,20.2,-0.005923018
29/11/2013,20.32,-0.00637726
27/11/2013,20.45,0.005393492
26/11/2013,20.34,-0.011244313
25/11/2013,20.57,-0.000486027
22/11/2013,20.58,0.01173034
21/11/2013,20.34,0.020865138
20/11/2013,19.92,0.000502134
19/11/2013,19.91,-0.004510155
18/11/2013,20,0.003004509
15/11/2013,19.94,-0.004004009
14/11/2013,20.02,0.005509656
13/11/2013,19.91,0.017735453
12/11/2013,19.56,-0.010678973
11/11/2013,19.77,-0.012066511
08/11/2013,20.01,0.047591483
07/11/2013,19.08,-0.002617117
06/11/2013,19.13,-0.000522603
05/11/2013,19.14,0.015798117
04/11/2013,18.84,-0.007930256
01/11/2013,18.99,-0.002629505
31/10/2013,19.04,-0.010449416
30/10/2013,19.24,0.001560468
29/10/2013,19.21,0.001562907
28/10/2013,19.18,0.005227403
25/10/2013,19.08,-0.002094242
24/10/2013,19.12,-0.005736652
23/10/2013,19.23,-0.00570393
22/10/2013,19.34,0.006224086
21/10/2013,19.22,-0.003116886
18/10/2013,19.28,0.016209505
17/10/2013,18.97,0.030508119
16/10/2013,18.4,0.01478264
15/10/2013,18.13,-0.009879334
14/10/2013,18.31,0.006025765
11/10/2013,18.2,0.003302149
10/10/2013,18.14,0.021170707
09/10/2013,17.76,0.014747857
08/10/2013,17.5,-0.015310761
07/10/2013,17.77,-0.02336035
04/10/2013,18.19,0.010500235
03/10/2013,18,-0.002773927
02/10/2013,18.05,-0.01156719
01/10/2013,18.26,0.01156719
30/09/2013,18.05,-0.00166067
27/09/2013,18.08,0
26/09/2013,18.08,-0.011548107
25/09/2013,18.29,0.013762948
24/09/2013,18.04,-0.006079046
23/09/2013,18.15,-0.013136478
20/09/2013,18.39,-0.007584002
19/09/2013,18.53,-0.004845232
18/09/2013,18.62,0.003766483
17/09/2013,18.55,0.003239744
16/09/2013,18.49,0.005966928
13/09/2013,18.38,-0.005966928
12/09/2013,18.49,-0.004855688
11/09/2013,18.58,0.004315001
10/09/2013,18.5,0.006507615
09/09/2013,18.38,-0.004884677
06/09/2013,18.47,-0.003243246
05/09/2013,18.53,0.009216655
04/09/2013,18.36,0.002727027
03/09/2013,18.31,0.001092896
30/08/2013,18.29,-0.005452576
29/08/2013,18.39,0.002177464
28/08/2013,18.35,-0.004350197
27/08/2013,18.43,-0.029932753
26/08/2013,18.99,-0.010997754
23/08/2013,19.2,0.00104221
22/08/2013,19.18,0.013120104
21/08/2013,18.93,-0.006843933
20/08/2013,19.06,0.002626742
19/08/2013,19.01,-0.007859616
16/08/2013,19.16,0.006282743
15/08/2013,19.04,-0.005238357
14/08/2013,19.14,0.002615748
13/08/2013,19.09,-0.009384845
12/08/2013,19.27,-0.001555613
09/08/2013,19.3,0.003633536
08/08/2013,19.23,0.000520156
07/08/2013,19.22,-0.007257678
06/08/2013,19.36,-0.011299555
05/08/2013,19.58,-0.005602256
02/08/2013,19.69,0.004581326
01/08/2013,19.6,0.018538121
31/07/2013,19.24,-0.001038961
30/07/2013,19.26,0.00259943
29/07/2013,19.21,-0.008294501
26/07/2013,19.37,0
25/07/2013,19.37,-0.011293755
24/07/2013,19.59,0.008715769
23/07/2013,19.42,0.004127973
22/07/2013,19.34,0.016684433
19/07/2013,19.02,0.003687126
18/07/2013,18.95,-0.002108593
17/07/2013,18.99,0.006869248
16/07/2013,18.86,-0.006869248
15/07/2013,18.99,0.000526732
12/07/2013,18.98,0.00899715
11/07/2013,18.81,0.00106383
10/07/2013,18.79,-0.000532056
09/07/2013,18.8,0.011771136
08/07/2013,18.58,-0.004832224
05/07/2013,18.67,0.016199058
03/07/2013,18.37,-0.005970167
02/07/2013,18.48,0.0108815
01/07/2013,18.28,0.012661881
28/06/2013,18.05,-0.002766253
27/06/2013,18.1,0.009436651
26/06/2013,17.93,0.002792518
25/06/2013,17.88,0.023770219
24/06/2013,17.46,-0.013652089
21/06/2013,17.7,-0.004509591
20/06/2013,17.78,-0.017837708
19/06/2013,18.1,-0.016438726
18/06/2013,18.4,0.005996202
17/06/2013,18.29,-0.001092896
14/06/2013,18.31,-0.007617012
13/06/2013,18.45,0.007071011
12/06/2013,18.32,-0.001091108
11/06/2013,18.34,-0.014077114
10/06/2013,18.6,0.00972455
07/06/2013,18.42,0.019183926
06/06/2013,18.07,0.020123653
05/06/2013,17.71,-0.011787956
04/06/2013,17.92,-0.015504187
03/06/2013,18.2,0
31/05/2013,18.2,-0.017969446
30/05/2013,18.53,0.003243246
29/05/2013,18.47,0.002168023
28/05/2013,18.43,0.009814692
