Date,Close,HAR
04/04/2014,104.27,-0.04418069
03/04/2014,108.98,-0.023667061
02/04/2014,111.59,0.029741631
01/04/2014,108.32,0.017884232
31/03/2014,106.4,0.009063506
28/03/2014,105.44,0.015965159
27/03/2014,103.77,-0.014351567
26/03/2014,105.27,-0.013680104
25/03/2014,106.72,-0.013125625
24/03/2014,108.13,-0.01121954
21/03/2014,109.35,-0.014075147
20/03/2014,110.9,0.020957487
19/03/2014,108.6,-0.006058955
18/03/2014,109.26,0.022491577
17/03/2014,106.83,0.021764674
14/03/2014,104.53,-0.013304387
13/03/2014,105.93,-0.016663932
12/03/2014,107.71,0.002602958
11/03/2014,107.43,-0.010095015
10/03/2014,108.52,-0.005238742
07/03/2014,109.09,0.012081117
06/03/2014,107.78,0.007450211
05/03/2014,106.98,-0.015765883
04/03/2014,108.68,0.039795041
03/03/2014,104.44,-0.002772866
28/02/2014,104.73,-0.008272761
27/02/2014,105.6,-0.001892148
26/02/2014,105.8,0.002176279
25/02/2014,105.57,-0.001798136
24/02/2014,105.76,0.01150695
21/02/2014,104.55,0.007295799
20/02/2014,103.79,0.012994752
19/02/2014,102.45,-0.013765243
18/02/2014,103.87,-0.00881823
14/02/2014,104.79,0.007663607
13/02/2014,103.99,-0.005944409
12/02/2014,104.61,0.004118977
11/02/2014,104.18,0.022717218
10/02/2014,101.84,-0.010646191
07/02/2014,102.93,-0.001747234
06/02/2014,103.11,0.025041815
05/02/2014,100.56,-0.009895193
04/02/2014,101.56,0.023209369
03/02/2014,99.23,-0.041454667
31/01/2014,103.43,0.010594452
30/01/2014,102.34,0.160325657
29/01/2014,87.18,-0.020324287
28/01/2014,88.97,0.015746573
27/01/2014,87.58,-0.020344282
24/01/2014,89.38,-0.002346763
23/01/2014,89.59,-0.009664057
22/01/2014,90.46,0.005209211
21/01/2014,89.99,-0.005430279
17/01/2014,90.48,0.001548502
16/01/2014,90.34,0.008336624
15/01/2014,89.59,0.013824328
14/01/2014,88.36,0.02777
13/01/2014,85.94,-0.026864203
10/01/2014,88.28,0.027679057
09/01/2014,85.87,0.029066318
08/01/2014,83.41,0.004927598
07/01/2014,83,0.013830137
06/01/2014,81.86,0.014271896
03/01/2014,80.7,0.00621506
02/01/2014,80.2,-0.020364789
31/12/2013,81.85,0.001834302
30/12/2013,81.7,-0.020114576
27/12/2013,83.36,-0.013582956
26/12/2013,84.5,0.008437866
24/12/2013,83.79,0.001672241
23/12/2013,83.65,0.003113029
20/12/2013,83.39,0.00432641
19/12/2013,83.03,-0.016246923
18/12/2013,84.39,0.016126492
17/12/2013,83.04,0.028831706
16/12/2013,80.68,0.02142268
13/12/2013,78.97,-0.004926429
12/12/2013,79.36,-0.011650617
11/12/2013,80.29,-0.026304368
10/12/2013,82.43,0.017623758
09/12/2013,80.99,-0.003574294
