Date,Close,ACE
04/04/2014,98.39,-0.005978637
03/04/2014,98.98,0.001617796
02/04/2014,98.82,-0.002627591
01/04/2014,99.08,0.000201877
31/03/2014,99.06,0.011881328
28/03/2014,97.89,0.00306937
27/03/2014,97.59,-0.001024171
26/03/2014,97.69,-0.01463292
25/03/2014,99.13,0.000605449
24/03/2014,99.07,-0.001915999
21/03/2014,99.26,0.008600245
20/03/2014,98.41,0.002441755
19/03/2014,98.17,-0.010437345
18/03/2014,99.2,0.004242859
17/03/2014,98.78,0.010175098
14/03/2014,97.78,0.00235499
13/03/2014,97.55,0.00041013
12/03/2014,97.51,0.001744932
11/03/2014,97.34,-0.004714573
10/03/2014,97.8,0.000306796
07/03/2014,97.77,-0.003879139
06/03/2014,98.15,0.005004862
05/03/2014,97.66,0.00194742
04/03/2014,97.47,0.010830989
03/03/2014,96.42,-0.014926418
28/02/2014,97.87,0.011406382
27/02/2014,96.76,0.00684437
26/02/2014,96.1,-0.004464525
25/02/2014,96.53,-0.002689842
24/02/2014,96.79,-0.004124142
21/02/2014,97.19,0.004227464
20/02/2014,96.78,0.001137245
19/02/2014,96.67,-0.008138921
18/02/2014,97.46,0.005040385
14/02/2014,96.97,0.00859619
13/02/2014,96.14,0.004482676
12/02/2014,95.71,-0.011427509
11/02/2014,96.81,0.018557664
10/02/2014,95.03,0.004535155
07/02/2014,94.6,0.011802997
06/02/2014,93.49,0.00257042
05/02/2014,93.25,0.004406477
04/02/2014,92.84,0.00258844
03/02/2014,92.6,-0.012982318
31/01/2014,93.81,-0.014078031
30/01/2014,95.14,0.011735611
29/01/2014,94.03,-0.005726421
28/01/2014,94.57,0.016203318
27/01/2014,93.05,0.009285318
24/01/2014,92.19,-0.02135618
23/01/2014,94.18,-0.019244508
22/01/2014,96.01,-0.003742597
21/01/2014,96.37,-0.007546425
17/01/2014,97.1,-0.002057614
16/01/2014,97.3,-0.007066443
15/01/2014,97.99,0.002963874
14/01/2014,97.7,0.008015663
13/01/2014,96.92,-0.017895053
10/01/2014,98.67,-0.00232829
09/01/2014,98.9,-0.001313596
08/01/2014,99.03,-0.012443713
07/01/2014,100.27,-0.008144662
06/01/2014,101.09,-0.003456282
03/01/2014,101.44,-0.002559812
02/01/2014,101.7,-0.017834123
31/12/2013,103.53,0.005909438
30/12/2013,102.92,0.002919142
27/12/2013,102.62,-0.000681896
26/12/2013,102.69,0.006055889
24/12/2013,102.07,0.003140028
23/12/2013,101.75,0.005518887
20/12/2013,101.19,0.008236216
19/12/2013,100.36,0.003193615
18/12/2013,100.04,0.012472501
17/12/2013,98.8,-0.00404041
16/12/2013,99.2,-0.000604656
13/12/2013,99.26,-0.003118244
12/12/2013,99.57,-0.003308771
11/12/2013,99.9,-0.01342302
10/12/2013,101.25,-0.003450829
09/12/2013,101.6,-0.003438962
06/12/2013,101.95,0.018412716
05/12/2013,100.09,-0.009545663
04/12/2013,101.05,-0.003457647
03/12/2013,101.4,-0.003838776
02/12/2013,101.79,-0.009678914
29/11/2013,102.78,-0.003593458
27/11/2013,103.15,0.005151394
26/11/2013,102.62,0.001560367
25/11/2013,102.46,-0.001267984
22/11/2013,102.59,0.010386141
21/11/2013,101.53,0.036918627
20/11/2013,97.85,-0.00712834
19/11/2013,98.55,0.001218398
18/11/2013,98.43,-0.002739311
15/11/2013,98.7,0.004060919
14/11/2013,98.3,0.010225038
13/11/2013,97.3,0.009189059
12/11/2013,96.41,-0.021649643
11/11/2013,98.52,0.002439026
08/11/2013,98.28,0.008994337
07/11/2013,97.4,-0.003893847
06/11/2013,97.78,0.012037802
05/11/2013,96.61,0.001346523
04/11/2013,96.48,0.006446939
01/11/2013,95.86,0.004391016
31/10/2013,95.44,-0.008347294
30/10/2013,96.24,-0.00155739
29/10/2013,96.39,0.00593103
28/10/2013,95.82,-0.003334031
25/10/2013,96.14,-0.006221505
24/10/2013,96.74,0.004662496
23/10/2013,96.29,-0.015560106
22/10/2013,97.8,0.003277348
21/10/2013,97.48,0.005245576
18/10/2013,96.97,0.000722133
17/10/2013,96.9,0.011938891
16/10/2013,95.75,0.020682388
15/10/2013,93.79,-0.007541594
14/10/2013,94.5,0.004241788
11/10/2013,94.1,0.009932265
10/10/2013,93.17,0.023456391
09/10/2013,91.01,-0.001646814
08/10/2013,91.16,-0.014268063
07/10/2013,92.47,-0.00442407
04/10/2013,92.88,0.006372544
03/10/2013,92.29,-0.019741012
02/10/2013,94.13,0.00116928
01/10/2013,94.02,0.004904584
30/09/2013,93.56,-0.008090315
27/09/2013,94.32,-0.003703904
26/09/2013,94.67,-0.006317806
25/09/2013,95.27,0.006423441
24/09/2013,94.66,0.003492252
23/09/2013,94.33,-0.00697235
20/09/2013,94.99,-0.003782709
19/09/2013,95.35,0.01054306
18/09/2013,94.35,0.016564632
17/09/2013,92.8,0.004319661
16/09/2013,92.4,0.007931807
13/09/2013,91.67,0.006786366
12/09/2013,91.05,-0.012768221
11/09/2013,92.22,0.024256252
10/09/2013,90.01,0.00568215
09/09/2013,89.5,0.014745047
06/09/2013,88.19,0
05/09/2013,88.19,-0.000453463
04/09/2013,88.23,-0.00056654
03/09/2013,88.28,0.006363658
30/08/2013,87.72,-0.00613708
29/08/2013,88.26,0.00363224
28/08/2013,87.94,-0.005782657
27/08/2013,88.45,-0.014702021
26/08/2013,89.76,-0.007547206
23/08/2013,90.44,-0.001767566
22/08/2013,90.6,0.013781058
21/08/2013,89.36,-0.000894855
20/08/2013,89.44,0.006393382
19/08/2013,88.87,-0.007622501
16/08/2013,89.55,-0.00100452
15/08/2013,89.64,-0.009990093
14/08/2013,90.54,0.002100725
13/08/2013,90.35,0.005883349
12/08/2013,89.82,0.000891067
09/08/2013,89.74,-0.001447581
08/08/2013,89.87,0.001113338
07/08/2013,89.77,-0.003669321
06/08/2013,90.1,-0.009499685
05/08/2013,90.96,-0.010825102
02/08/2013,91.95,-0.004124165
01/08/2013,92.33,0.01034248
31/07/2013,91.38,0.000547315
30/07/2013,91.33,-0.005024039
29/07/2013,91.79,-0.005865757
26/07/2013,92.33,-0.001082485
25/07/2013,92.43,0.005968223
24/07/2013,91.88,-0.01458618
23/07/2013,93.23,-0.024894035
22/07/2013,95.58,0.008827296
19/07/2013,94.74,-0.005473698
18/07/2013,95.26,0.010871393
17/07/2013,94.23,0.010776311
16/07/2013,93.22,-0.005456018
15/07/2013,93.73,0.002456872
12/07/2013,93.5,0.013242375
11/07/2013,92.27,0.005651575
10/07/2013,91.75,-0.006843018
09/07/2013,92.38,0.009899455
08/07/2013,91.47,0.014868934
05/07/2013,90.12,0.012505746
03/07/2013,89,0.000224744
02/07/2013,88.98,-0.008839218
01/07/2013,89.77,0.003235707
28/06/2013,89.48,-0.000446927
27/06/2013,89.52,0.010330206
26/06/2013,88.6,0.02537569
25/06/2013,86.38,0.006853718
24/06/2013,85.79,-0.004187513
21/06/2013,86.15,-0.00382321
20/06/2013,86.48,-0.023202367
19/06/2013,88.51,-0.01847033
18/06/2013,90.16,0.007235519
17/06/2013,89.51,0.010782987
14/06/2013,88.55,-0.013794869
13/06/2013,89.78,0.016395651
12/06/2013,88.32,-0.012489614
11/06/2013,89.43,-0.00890577
10/06/2013,90.23,0.003886519
07/06/2013,89.88,0.009726724
06/06/2013,89.01,0.013117908
05/06/2013,87.85,-0.010643216
04/06/2013,88.79,0.002367933
03/06/2013,88.58,-0.01234168
31/05/2013,89.68,-0.004672386
30/05/2013,90.1,0.010936388
29/05/2013,89.12,-0.004366575
28/05/2013,89.51,-0.003011882
24/05/2013,89.78,0.007490672
23/05/2013,89.11,-0.004925567
22/05/2013,89.55,-0.005123647
21/05/2013,90.01,-0.011378195
20/05/2013,91.04,-0.006678004
17/05/2013,91.65,-0.005006541
16/05/2013,92.11,-0.006061281
15/05/2013,92.67,0.000539695
14/05/2013,92.62,0.013040828
13/05/2013,91.42,-0.001966999
10/05/2013,91.6,-0.001963137
09/05/2013,91.78,-0.005216269
08/05/2013,92.26,0.009474615
07/05/2013,91.39,0.007799238
06/05/2013,90.68,0.008638884
03/05/2013,89.9,0.014001909
02/05/2013,88.65,0.003955925
01/05/2013,88.3,-0.00946806
30/04/2013,89.14,0.002471078
29/04/2013,88.92,-0.000224896
26/04/2013,88.94,-0.00627664
25/04/2013,89.5,-0.000446828
24/04/2013,89.54,-0.005124218
23/04/2013,90,0.008144185
22/04/2013,89.27,0.002692094
19/04/2013,89.03,0.007780385
18/04/2013,88.34,-0.006431616
17/04/2013,88.91,-0.01073956
16/04/2013,89.87,0.011864925
15/04/2013,88.81,-0.035180619
12/04/2013,91.99,0.000870038
11/04/2013,91.91,0.010609889
10/04/2013,90.94,0.004518661
09/04/2013,90.53,0.005427271
08/04/2013,90.04,0.011842391
05/04/2013,88.98,-0.000898675
04/04/2013,89.06,0.011859856
03/04/2013,88.01,-0.01062397
02/04/2013,88.95,0.002814525
01/04/2013,88.7,-0.003039345
28/03/2013,88.97,0.007106228
27/03/2013,88.34,0.000566155
26/03/2013,88.29,-0.002036661
25/03/2013,88.47,0.001696929
22/03/2013,88.32,0.007158715
21/03/2013,87.69,-0.008629553
20/03/2013,88.45,0.008059525
19/03/2013,87.74,0.000341978
18/03/2013,87.71,-0.006251086
15/03/2013,88.26,-0.009023296
14/03/2013,89.06,0.005178442
13/03/2013,88.6,0.006340601
12/03/2013,88.04,0.007982709
11/03/2013,87.34,0.004130341
08/03/2013,86.98,0.004147471
07/03/2013,86.62,-0.000461681
06/03/2013,86.66,-0.001038003
05/03/2013,86.75,0.01124454
04/03/2013,85.78,0.001283173
01/03/2013,85.67,0.003273708
28/02/2013,85.39,-0.004440297
27/02/2013,85.77,0.00866516
26/02/2013,85.03,0.007199795
25/02/2013,84.42,-0.026534197
22/02/2013,86.69,0.006248574
21/02/2013,86.15,0.002091565
20/02/2013,85.97,-0.011334843
19/02/2013,86.95,0.005188827
15/02/2013,86.5,0.000693882
14/02/2013,86.44,-0.002541885
13/02/2013,86.66,-0.001844594
12/02/2013,86.82,0.0047336
11/02/2013,86.41,0.002433232
08/02/2013,86.2,0.01119937
07/02/2013,85.24,-0.004331292
06/02/2013,85.61,-0.000583873
05/02/2013,85.66,0.013634438
04/02/2013,84.5,-0.01281692
01/02/2013,85.59,0.003042361
31/01/2013,85.33,0.016900479
30/01/2013,83.9,-0.012319511
29/01/2013,84.94,0.00330189
28/01/2013,84.66,-0.008000043
25/01/2013,85.34,0.000351597
24/01/2013,85.31,0.007766572
23/01/2013,84.65,-0.002359883
22/01/2013,84.85,0.01915699
18/01/2013,83.24,0.000120142
17/01/2013,83.23,0.003490405
16/01/2013,82.94,-0.005770634
15/01/2013,83.42,0.0046861
14/01/2013,83.03,0.003257135
11/01/2013,82.76,0.00873792
10/01/2013,82.04,0.017212129
09/01/2013,80.64,0.008093177
08/01/2013,79.99,-0.016490362
07/01/2013,81.32,-0.012222103
04/01/2013,82.32,0.00121551
03/01/2013,82.22,0.005243595
02/01/2013,81.79,0.024631482
31/12/2012,79.8,0.010455471
28/12/2012,78.97,-0.008197284
27/12/2012,79.62,-0.004761317
26/12/2012,80,-0.000624805
24/12/2012,80.05,-0.000249813
21/12/2012,80.07,-0.019418086
20/12/2012,81.64,0.007993648
19/12/2012,80.99,-0.00431221
18/12/2012,81.34,0.005424076
17/12/2012,80.9,0.01972352
14/12/2012,79.32,-0.005531822
13/12/2012,79.76,-0.013944449
12/12/2012,80.88,0.012065573
11/12/2012,79.91,-0.011323458
10/12/2012,80.82,-0.001854256
07/12/2012,80.97,0.005200606
06/12/2012,80.55,0.002983963
05/12/2012,80.31,0.011773683
04/12/2012,79.37,0.001765448
03/12/2012,79.23,0
30/11/2012,79.23,-0.004910303
29/11/2012,79.62,0.007944055
28/11/2012,78.99,0.007242265
27/11/2012,78.42,-0.007115659
26/11/2012,78.98,-0.010328849
23/11/2012,79.8,0.013626252
21/11/2012,78.72,0.001016777
20/11/2012,78.64,0.005610828
19/11/2012,78.2,0.011575692
16/11/2012,77.3,0.007401189
15/11/2012,76.73,0.008244501
14/11/2012,76.1,-0.010067418
13/11/2012,76.87,-0.008807206
12/11/2012,77.55,-0.007707167
09/11/2012,78.15,0.001664853
08/11/2012,78.02,0.001796024
07/11/2012,77.88,-0.014784873
06/11/2012,79.04,0.014143066
05/11/2012,77.93,0.005533051
02/11/2012,77.5,-0.010652735
01/11/2012,78.33,-0.004076958
31/10/2012,78.65,-0.008860817
26/10/2012,79.35,-0.00828318
25/10/2012,80.01,0.003380285
24/10/2012,79.74,-0.00637542
23/10/2012,80.25,-0.007943445
22/10/2012,80.89,0.004584606
19/10/2012,80.52,-0.014548401
18/10/2012,81.7,0.029941985
17/10/2012,79.29,0.007468862
16/10/2012,78.7,0.013174073
15/10/2012,77.67,0.008533799
12/10/2012,77.01,-0.012132312
11/10/2012,77.95,0.005273663
10/10/2012,77.54,0.001290489
09/10/2012,77.44,-0.008102417
08/10/2012,78.07,-0.000768246
05/10/2012,78.13,0.003461764
04/10/2012,77.86,0.006442491
03/10/2012,77.36,0.003885512
02/10/2012,77.06,0.001558442
01/10/2012,76.94,0.017569614
28/09/2012,75.6,0.000926355
27/09/2012,75.53,0.004245727
26/09/2012,75.21,-0.004510488
25/09/2012,75.55,-0.00699073
24/09/2012,76.08,0.001973555
21/09/2012,75.93,-0.005123164
20/09/2012,76.32,0.001573564
19/09/2012,76.2,-0.008494007
18/09/2012,76.85,0.006003672
17/09/2012,76.39,-0.008343159
14/09/2012,77.03,-0.000129811
13/09/2012,77.04,0.019530079
12/09/2012,75.55,0.006107295
11/09/2012,75.09,0.003735828
10/09/2012,74.81,-0.003469446
07/09/2012,75.07,-0.000798935
06/09/2012,75.13,0.010705308
05/09/2012,74.33,-0.003491811
04/09/2012,74.59,0.011596678
31/08/2012,73.73,0.002852294
30/08/2012,73.52,-0.001630878
29/08/2012,73.64,-0.003118435
28/08/2012,73.87,-0.000541345
27/08/2012,73.91,-0.004589641
24/08/2012,74.25,0.001752376
23/08/2012,74.12,-0.00242555
22/08/2012,74.3,0.002290643
21/08/2012,74.13,0.000539738
20/08/2012,74.09,0.00853953
17/08/2012,73.46,0.003409017
16/08/2012,73.21,0.00410622
15/08/2012,72.91,0.008263372
14/08/2012,72.31,-0.001934237
13/08/2012,72.45,-0.003994771
10/08/2012,72.74,-0.005210488
09/08/2012,73.12,-0.002458682
08/08/2012,73.3,0.001228585
07/08/2012,73.21,-0.006535081
06/08/2012,73.69,0.000407194
03/08/2012,73.66,0.015046105
02/08/2012,72.56,-0.00755135
01/08/2012,73.11,-0.00532025
31/07/2012,73.5,-0.000680041
30/07/2012,73.55,-0.000135953
27/07/2012,73.56,0.018107491
26/07/2012,72.24,-0.000968523
25/07/2012,72.31,0.04439519
24/07/2012,69.17,-0.010355335
23/07/2012,69.89,-0.012653897
20/07/2012,70.78,-0.012077102
19/07/2012,71.64,-0.007786469
18/07/2012,72.2,0.002773927
17/07/2012,72,-0.002912421
16/07/2012,72.21,-0.008274768
13/07/2012,72.81,0.017876178
12/07/2012,71.52,0.017489868
11/07/2012,70.28,-0.013847897
10/07/2012,71.26,-0.014903821
09/07/2012,72.33,-0.002761289
06/07/2012,72.53,-0.013557209
05/07/2012,73.52,-0.018996866
03/07/2012,74.93,0.006560913
02/07/2012,74.44,0.004173123
29/06/2012,74.13,0.02499618
28/06/2012,72.3,0.006800387
27/06/2012,71.81,0.007688582
26/06/2012,71.26,0.007465349
25/06/2012,70.73,-0.021677655
22/06/2012,72.28,0.01210955
21/06/2012,71.41,-0.02188453
20/06/2012,72.99,-0.001369113
19/06/2012,73.09,0.011282453
18/06/2012,72.27,-0.006619801
15/06/2012,72.75,0.001926253
14/06/2012,72.61,0.019188575
13/06/2012,71.23,-0.01200126
12/06/2012,72.09,0.01017785
11/06/2012,71.36,-0.020665044
08/06/2012,72.85,0.004126553
07/06/2012,72.55,0.003036998
06/06/2012,72.33,0.027898354
05/06/2012,70.34,0.004845385
04/06/2012,70,-0.003137929
01/06/2012,70.22,-0.02960581
31/05/2012,72.33,0.005406543
30/05/2012,71.94,-0.020500133
29/05/2012,73.43,0.003410412
25/05/2012,73.18,-0.00081956
24/05/2012,73.24,0.005064688
