Date,Close,AEE
04/04/2014,40.4,-0.004691946
03/04/2014,40.59,0.000492854
02/04/2014,40.57,-0.004672331
01/04/2014,40.76,-0.010737048
31/03/2014,41.2,0.009756175
28/03/2014,40.8,0.007133224
27/03/2014,40.51,0.006190437
26/03/2014,40.26,-0.006190437
25/03/2014,40.51,-0.000986923
24/03/2014,40.55,0.001727756
21/03/2014,40.48,0.008683841
20/03/2014,40.13,-0.008930846
19/03/2014,40.49,-0.014953091
18/03/2014,41.1,-0.000972763
17/03/2014,41.14,0
14/03/2014,41.14,0.007318891
13/03/2014,40.84,0.016043785
12/03/2014,40.19,0.01352726
11/03/2014,39.65,0
10/03/2014,39.65,-0.006034718
07/03/2014,39.89,-0.010225803
06/03/2014,40.3,-0.007170262
05/03/2014,40.59,-0.007608332
04/03/2014,40.9,0.013290868
03/03/2014,40.36,-0.001238084
28/02/2014,40.41,0.006454839
27/02/2014,40.15,-0.007196954
26/02/2014,40.44,-0.001235636
25/02/2014,40.49,-0.010075033
24/02/2014,40.9,0.000489117
21/02/2014,40.88,0.051963001
20/02/2014,38.81,0.014011646
19/02/2014,38.27,-0.016070849
18/02/2014,38.89,0.006707971
14/02/2014,38.63,0.006232168
13/02/2014,38.39,0.009158771
12/02/2014,38.04,-0.002625362
11/02/2014,38.14,0.012399578
10/02/2014,37.67,0.00612437
07/02/2014,37.44,0.007237667
06/02/2014,37.17,0.006477755
05/02/2014,36.93,-0.007822022
04/02/2014,37.22,-0.011752272
03/02/2014,37.66,-0.004768221
31/01/2014,37.84,0.015446379
30/01/2014,37.26,0.017325826
29/01/2014,36.62,0.002460698
28/01/2014,36.53,0.00769446
27/01/2014,36.25,0.009423573
24/01/2014,35.91,-0.015474197
23/01/2014,36.47,-0.004377572
22/01/2014,36.63,-0.000272963
21/01/2014,36.64,0.013463591
17/01/2014,36.15,-0.000553097
16/01/2014,36.17,0.006100962
15/01/2014,35.95,-0.009964101
14/01/2014,36.31,0.002205681
13/01/2014,36.23,-0.007972551
10/01/2014,36.52,0.013230623
09/01/2014,36.04,0.002778551
08/01/2014,35.94,-0.007760571
07/01/2014,36.22,0.012781502
06/01/2014,35.76,0.01011813
03/01/2014,35.4,-0.00366559
02/01/2014,35.53,-0.017576125
31/12/2013,36.16,0.00055325
30/12/2013,36.14,0.003881347
27/12/2013,36,0.001389854
26/12/2013,35.95,-0.002500349
24/12/2013,36.04,0.005006965
23/12/2013,35.86,-0.00805448
20/12/2013,36.15,0.010008424
19/12/2013,35.79,-0.003068771
18/12/2013,35.9,0.018271766
17/12/2013,35.25,0
16/12/2013,35.25,0.006546202
13/12/2013,35.02,-0.002851442
12/12/2013,35.12,0.008866067
11/12/2013,34.81,-0.012277099
10/12/2013,35.24,-0.013528955
09/12/2013,35.72,-0.019956316
06/12/2013,36.44,0.009651254
05/12/2013,36.09,-0.012665368
04/12/2013,36.55,0.006588001
03/12/2013,36.31,0.006908968
02/12/2013,36.06,0.005840651
29/11/2013,35.85,-0.003341691
27/11/2013,35.97,-0.006926195
26/11/2013,36.22,-0.010163527
25/11/2013,36.59,-0.002184003
22/11/2013,36.67,-0.001907098
21/11/2013,36.74,0.001907098
20/11/2013,36.67,-0.008147791
19/11/2013,36.97,-0.001621622
18/11/2013,37.03,0.002162748
15/11/2013,36.95,0.007606665
14/11/2013,36.67,0.013452502
13/11/2013,36.18,0.005821222
12/11/2013,35.97,-0.010784012
11/11/2013,36.36,-0.001374193
08/11/2013,36.41,0.004128257
07/11/2013,36.26,-0.010152371
06/11/2013,36.63,0.012084739
05/11/2013,36.19,-0.010445395
04/11/2013,36.57,0.002464067
01/11/2013,36.48,0.008257685
31/10/2013,36.18,-0.001104972
30/10/2013,36.22,-0.009890191
29/10/2013,36.58,0.001641587
28/10/2013,36.52,0.001095891
25/10/2013,36.48,0.012967488
24/10/2013,36.01,-0.003050051
23/10/2013,36.12,0.004439519
22/10/2013,35.96,0.006696454
21/10/2013,35.72,-0.004469281
18/10/2013,35.88,0.001115449
17/10/2013,35.84,0.019724505
16/10/2013,35.14,0.001423893
