Date,Close,XYL
04/04/2014,37.3,0.000804613
03/04/2014,37.27,-0.013326423
02/04/2014,37.77,0.016551366
01/04/2014,37.15,0.019845697
31/03/2014,36.42,0.011599136
28/03/2014,36,0.00612986
27/03/2014,35.78,-0.00167551
26/03/2014,35.84,-0.021529951
25/03/2014,36.62,0.025163778
24/03/2014,35.71,-0.015835864
21/03/2014,36.28,-0.001652438
20/03/2014,36.34,-0.002748009
19/03/2014,36.44,-0.009287147
18/03/2014,36.78,-0.000815328
17/03/2014,36.81,0.000543478
14/03/2014,36.79,0.001359989
13/03/2014,36.74,-0.017804625
12/03/2014,37.4,-0.011960275
11/03/2014,37.85,-0.005270104
10/03/2014,38.05,-0.015386925
07/03/2014,38.64,0.008838113
06/03/2014,38.3,-0.005208345
05/03/2014,38.5,-0.00750424
04/03/2014,38.79,0.004910205
03/03/2014,38.6,-0.019243698
28/02/2014,39.35,-0.00050813
27/02/2014,39.37,0.003052661
26/02/2014,39.25,0.012562657
25/02/2014,38.76,-0.016377029
24/02/2014,39.4,0.013800372
21/02/2014,38.86,0.003867479
20/02/2014,38.71,0.028562141
19/02/2014,37.62,-0.024938948
18/02/2014,38.57,0.013573688
14/02/2014,38.05,0.00553434
13/02/2014,37.84,0.01169604
12/02/2014,37.4,0.008053735
11/02/2014,37.1,0.005947571
10/02/2014,36.88,-0.002166848
07/02/2014,36.96,0.013620478
06/02/2014,36.46,0.026119851
05/02/2014,35.52,-0.020895035
04/02/2014,36.27,0.100562438
03/02/2014,32.8,-0.016929062
31/01/2014,33.36,0
30/01/2014,33.36,0.003603608
29/01/2014,33.24,-0.019955986
28/01/2014,33.91,0.015453502
27/01/2014,33.39,-0.008647735
24/01/2014,33.68,-0.050936936
23/01/2014,35.44,-0.029197125
22/01/2014,36.49,0.015744007
21/01/2014,35.92,-0.017933989
17/01/2014,36.57,-0.001912308
16/01/2014,36.64,0.007396281
15/01/2014,36.37,0.021960577
14/01/2014,35.58,0.015864355
13/01/2014,35.02,0.003146006
10/01/2014,34.91,0.008052963
09/01/2014,34.63,0.004050931
08/01/2014,34.49,-0.00057971
07/01/2014,34.51,0.002901917
06/01/2014,34.41,-0.001742161
03/01/2014,34.47,0.009034012
02/01/2014,34.16,-0.012798313
31/12/2013,34.6,0.000578202
30/12/2013,34.58,0.00086793
27/12/2013,34.55,-0.004043911
26/12/2013,34.69,0.010431854
24/12/2013,34.33,0.004086404
23/12/2013,34.19,0.003222502
20/12/2013,34.08,-0.002344667
19/12/2013,34.16,-0.015684318
18/12/2013,34.7,0.017442303
17/12/2013,34.1,0.006177399
16/12/2013,33.89,0.002363369
13/12/2013,33.81,0.008912715
12/12/2013,33.51,0.018067339
11/12/2013,32.91,-0.018962193
10/12/2013,33.54,-0.002679769
09/12/2013,33.63,0.003574624
06/12/2013,33.51,-0.00802501
05/12/2013,33.78,0.00653403
04/12/2013,33.56,-0.00059577
03/12/2013,33.58,-0.009779304
02/12/2013,33.91,-0.018986988
29/11/2013,34.56,-0.006058002
27/11/2013,34.77,0.002880186
26/11/2013,34.67,0.004046248
25/11/2013,34.53,-0.001446969
22/11/2013,34.58,0
21/11/2013,34.58,0.008130126
20/11/2013,34.3,0.004382768
19/11/2013,34.15,0.006168326
18/11/2013,33.94,-0.015495121
15/11/2013,34.47,0.002614381
14/11/2013,34.38,0.001746725
13/11/2013,34.32,0.011134015
12/11/2013,33.94,-0.000589102
11/11/2013,33.96,-0.000588755
08/11/2013,33.98,0.025936765
07/11/2013,33.11,-0.01200855
06/11/2013,33.51,-0.007136516
05/11/2013,33.75,-0.004729539
04/11/2013,33.91,0.020557852
01/11/2013,33.22,-0.03780722
31/10/2013,34.5,0.030011078
30/10/2013,33.48,0.028785505
29/10/2013,32.53,0.117283621
28/10/2013,28.93,-0.002071824
25/10/2013,28.99,0.010402313
24/10/2013,28.69,0.012274396
23/10/2013,28.34,0.004597709
22/10/2013,28.21,-0.004244789
21/10/2013,28.33,0.017806738
18/10/2013,27.83,0.012292273
17/10/2013,27.49,-0.015520976
16/10/2013,27.92,0
15/10/2013,27.92,-0.008914304
14/10/2013,28.17,0.002488006
11/10/2013,28.1,0.006068196
10/10/2013,27.93,0.026116827
09/10/2013,27.21,-0.006958461
08/10/2013,27.4,-0.021661497
07/10/2013,28,-0.006407996
04/10/2013,28.18,0.009985818
03/10/2013,27.9,-0.007854378
02/10/2013,28.12,-0.004258346
01/10/2013,28.24,0.011038033
30/09/2013,27.93,-0.002145924
27/09/2013,27.99,-0.008537939
26/09/2013,28.23,0.025108923
25/09/2013,27.53,0.006194226
24/09/2013,27.36,0.013245227
23/09/2013,27,-0.006276557
20/09/2013,27.17,-0.012436151
19/09/2013,27.51,0.000727273
18/09/2013,27.49,0.008768781
17/09/2013,27.25,0.003308218
16/09/2013,27.16,0.007762005
13/09/2013,26.95,-0.000370989
12/09/2013,26.96,-0.005548377
11/09/2013,27.11,0.00147656
10/09/2013,27.07,0.010770763
09/09/2013,26.78,0.023041624
06/09/2013,26.17,0.009984722
05/09/2013,25.91,0.015950542
04/09/2013,25.5,0.016607736
03/09/2013,25.08,0.01203384
30/08/2013,24.78,-0.006836946
29/08/2013,24.95,0.017792625
28/08/2013,24.51,0.009840178
27/08/2013,24.27,-0.012692084
26/08/2013,24.58,0.011456754
23/08/2013,24.3,-0.003286774
22/08/2013,24.38,0.007823799
21/08/2013,24.19,-0.004537026
20/08/2013,24.3,-0.01308277
19/08/2013,24.62,0.00407001
16/08/2013,24.52,-0.008123522
15/08/2013,24.72,-0.010863112
14/08/2013,24.99,0.000800641
13/08/2013,24.97,0.005622505
12/08/2013,24.83,-0.006022905
09/08/2013,24.98,0
08/08/2013,24.98,0.003207701
07/08/2013,24.9,-0.021061776
06/08/2013,25.43,0.00591601
05/08/2013,25.28,0.000395648
02/08/2013,25.27,0.003170831
01/08/2013,25.19,0.010375193
31/07/2013,24.93,-0.024173953
30/07/2013,25.54,-0.108253742
29/07/2013,28.46,-0.007351687
26/07/2013,28.67,-0.005565232
25/07/2013,28.83,0.008359505
24/07/2013,28.59,-0.004188488
