Date,Close,TYC
04/04/2014,42.28,-0.007305323
03/04/2014,42.59,0.00352817
02/04/2014,42.44,-0.011712479
01/04/2014,42.94,0.01265543
31/03/2014,42.4,0.014012817
28/03/2014,41.81,0.003114148
27/03/2014,41.68,-0.016183123
26/03/2014,42.36,0.004495453
25/03/2014,42.17,0.005469042
24/03/2014,41.94,-0.018193059
21/03/2014,42.71,0.00799252
20/03/2014,42.37,0.000472144
19/03/2014,42.35,-0.012903405
18/03/2014,42.9,-0.011818003
17/03/2014,43.41,0.012051131
14/03/2014,42.89,0.005845919
13/03/2014,42.64,-0.007011013
12/03/2014,42.94,0.000698893
11/03/2014,42.91,-0.017556468
10/03/2014,43.67,-0.003428967
07/03/2014,43.82,0.000228232
06/03/2014,43.81,0.00297177
05/03/2014,43.68,0.006200502
04/03/2014,43.41,0.009024705
03/03/2014,43.02,0.019718949
28/02/2014,42.18,-0.006616281
27/02/2014,42.46,-0.00376117
26/02/2014,42.62,0.003996714
25/02/2014,42.45,-0.002352942
24/02/2014,42.55,0.006129204
21/02/2014,42.29,0.000946298
20/02/2014,42.25,0.01166541
19/02/2014,41.76,-0.010007231
18/02/2014,42.18,0.005944614
14/02/2014,41.93,0.00454166
13/02/2014,41.74,0.00697202
12/02/2014,41.45,-0.003852641
11/02/2014,41.61,0.005059642
10/02/2014,41.4,-0.00361664
07/02/2014,41.55,0.017725364
06/02/2014,40.82,0.013813737
05/02/2014,40.26,0.008230499
04/02/2014,39.93,0.009562227
03/02/2014,39.55,-0.023489336
31/01/2014,40.49,0.020459796
30/01/2014,39.67,-0.000504032
29/01/2014,39.69,-0.006529405
28/01/2014,39.95,0.013101724
27/01/2014,39.43,0.000761132
24/01/2014,39.4,-0.028276624
23/01/2014,40.53,-0.019546188
22/01/2014,41.33,-0.000967352
21/01/2014,41.37,-0.000241692
17/01/2014,41.38,0.004359416
16/01/2014,41.2,-0.001697587
15/01/2014,41.27,0.009984254
14/01/2014,40.86,0.012808057
13/01/2014,40.34,-0.019151089
10/01/2014,41.12,0.003166487
09/01/2014,40.99,-0.004138776
08/01/2014,41.16,0.004626819
07/01/2014,40.97,0.003422986
06/01/2014,40.83,0.009597711
03/01/2014,40.44,-0.005425414
02/01/2014,40.66,-0.009302393
31/12/2013,41.04,-0.003405501
30/12/2013,41.18,-0.000728244
27/12/2013,41.21,0.014420389
26/12/2013,40.62,0.009150552
24/12/2013,40.25,0.001989555
23/12/2013,40.17,0.01429133
20/12/2013,39.6,0.017577831
19/12/2013,38.91,-0.004103622
18/12/2013,39.07,0.029085405
17/12/2013,37.95,0.000527148
16/12/2013,37.93,0.015409444
13/12/2013,37.35,-0.011711606
12/12/2013,37.79,0.016273535
11/12/2013,37.18,-0.009369631
10/12/2013,37.53,-0.005579927
09/12/2013,37.74,-0.000264936
06/12/2013,37.75,0.013333531
05/12/2013,37.25,-0.006955619
04/12/2013,37.51,-0.009287582
03/12/2013,37.86,0.004235051
02/12/2013,37.7,-0.011603506
29/11/2013,38.14,0.00367744
27/11/2013,38,-0.001840411
26/11/2013,38.07,-0.009411834
25/11/2013,38.43,0
22/11/2013,38.43,0.019708955
21/11/2013,37.68,0.014165679
20/11/2013,37.15,-0.010975883
19/11/2013,37.56,-0.001064396
18/11/2013,37.6,0.012848142
15/11/2013,37.12,-0.012848142
14/11/2013,37.6,0.023410191
13/11/2013,36.73,0.010674797
12/11/2013,36.34,-0.012850484
11/11/2013,36.81,0.011200773
08/11/2013,36.4,0.014667483
07/11/2013,35.87,-0.016862874
06/11/2013,36.48,-0.008190054
05/11/2013,36.78,0.004086642
04/11/2013,36.63,0.002186391
01/11/2013,36.55,0
31/10/2013,36.55,0.002739728
30/10/2013,36.45,0
29/10/2013,36.45,0.008541173
28/10/2013,36.14,-0.009637965
25/10/2013,36.49,0.007702927
24/10/2013,36.21,-0.000276129
23/10/2013,36.22,-0.000276052
22/10/2013,36.23,0.010543938
21/10/2013,35.85,-0.003063643
18/10/2013,35.96,0.006416538
17/10/2013,35.73,0.023790417
16/10/2013,34.89,-0.005715934
15/10/2013,35.09,-0.015552413
14/10/2013,35.64,0.000842105
11/10/2013,35.61,0.00761103
10/10/2013,35.34,0.02812237
09/10/2013,34.36,0.004667453
08/10/2013,34.2,-0.011917014
07/10/2013,34.61,-0.007197382
04/10/2013,34.86,0.002010051
03/10/2013,34.79,-0.003443332
02/10/2013,34.91,-0.005427809
01/10/2013,35.1,0.003424661
30/09/2013,34.98,0.000858001
27/09/2013,34.95,-0.007695634
26/09/2013,35.22,0.008840782
25/09/2013,34.91,0.013554642
24/09/2013,34.44,-0.001740644
23/09/2013,34.5,-0.011240931
20/09/2013,34.89,-0.019302331
19/09/2013,35.57,0.00366146
18/09/2013,35.44,0.004808381
17/09/2013,35.27,0.019757264
16/09/2013,34.58,0.020155495
13/09/2013,33.89,0.004139568
12/09/2013,33.75,-0.013537582
11/09/2013,34.21,-0.000584454
10/09/2013,34.23,0.005566149
09/09/2013,34.04,0.012712662
06/09/2013,33.61,-0.004156776
05/09/2013,33.75,0.011023499
04/09/2013,33.38,0.013572822
03/09/2013,32.93,-0.003334852
30/08/2013,33.04,-0.006937141
29/08/2013,33.27,-0.003001203
28/08/2013,33.37,-0.001197964
27/08/2013,33.41,-0.014559758
26/08/2013,33.9,0.002067032
23/08/2013,33.83,-0.020190883
22/08/2013,34.52,0.01782891
21/08/2013,33.91,-0.000589623
20/08/2013,33.93,0.004430667
19/08/2013,33.78,-0.014109582
16/08/2013,34.26,0.001168224
15/08/2013,34.22,-0.007569177
14/08/2013,34.48,-0.016396168
13/08/2013,35.05,0.012055255
12/08/2013,34.63,-0.015188714
09/08/2013,35.16,-0.002556456
08/08/2013,35.25,-0.012124778
07/08/2013,35.68,-0.005589729
06/08/2013,35.88,-0.000835771
05/08/2013,35.91,0.006145271
02/08/2013,35.69,0.003930381
01/08/2013,35.55,0.021035454
31/07/2013,34.81,0.003453241
30/07/2013,34.69,0.013933462
29/07/2013,34.21,-0.011046624
26/07/2013,34.59,-0.016059995
25/07/2013,35.15,0.005992314
24/07/2013,34.94,-0.002287022
23/07/2013,35.02,-0.001141553
22/07/2013,35.06,-0.013035039
19/07/2013,35.52,0.010186845
18/07/2013,35.16,0
17/07/2013,35.16,0.001423083
16/07/2013,35.11,-0.009355136
15/07/2013,35.44,0.010209958
12/07/2013,35.08,-0.000285022
11/07/2013,35.09,-0.001139277
10/07/2013,35.13,-0.005393909
09/07/2013,35.32,0.015406867
08/07/2013,34.78,0.006056255
05/07/2013,34.57,0.011930885
03/07/2013,34.16,-0.007291851
02/07/2013,34.41,0.000290655
01/07/2013,34.4,0.043065303
28/06/2013,32.95,0.002126691
27/06/2013,32.88,0.026816216
26/06/2013,32.01,0.000937647
25/06/2013,31.98,0.008163311
24/06/2013,31.72,-0.02151962
21/06/2013,32.41,0.004638944
20/06/2013,32.26,-0.034428381
19/06/2013,33.39,-0.010723963
18/06/2013,33.75,0.010723963
17/06/2013,33.39,0.002398802
14/06/2013,33.31,-0.004194134
13/06/2013,33.45,0.004194134
12/06/2013,33.31,-0.011936877
11/06/2013,33.71,-0.021133748
10/06/2013,34.43,0.004366184
07/06/2013,34.28,0.021227212
06/06/2013,33.56,0.008378266
05/06/2013,33.28,-0.012541221
04/06/2013,33.7,-0.003850145
03/06/2013,33.83,0.000591366
31/05/2013,33.81,-0.011469027
30/05/2013,34.2,-0.000584624
29/05/2013,34.22,-0.008149056
28/05/2013,34.5,0.006688988
24/05/2013,34.27,0.006146661
23/05/2013,34.06,-0.000587027
22/05/2013,34.08,-0.005267791
21/05/2013,34.26,0.000583942
20/05/2013,34.24,-0.000583942
17/05/2013,34.26,0.010268537
16/05/2013,33.91,-0.00705263
15/05/2013,34.15,0.00117199
14/05/2013,34.11,0.00735622
13/05/2013,33.86,-0.00029529
10/05/2013,33.87,-0.002653695
09/05/2013,33.96,0.005610527
08/05/2013,33.77,0.018530118
07/05/2013,33.15,0.009090972
06/05/2013,32.85,0.025278781
03/05/2013,32.03,0.008780238
02/05/2013,31.75,0.00790518
01/05/2013,31.5,-0.019491343
30/04/2013,32.12,-0.001244555
29/04/2013,32.16,0.023278811
26/04/2013,31.42,0.010880107
25/04/2013,31.08,0.012301871
24/04/2013,30.7,-0.011336154
23/04/2013,31.05,0.008408846
22/04/2013,30.79,-0.017066909
19/04/2013,31.32,0.014148146
18/04/2013,30.88,-0.009347369
17/04/2013,31.17,-0.013067915
16/04/2013,31.58,0.006990813
15/04/2013,31.36,-0.027984848
12/04/2013,32.25,-0.014162798
11/04/2013,32.71,0.008288612
10/04/2013,32.44,0.023706662
09/04/2013,31.68,0.016229473
08/04/2013,31.17,0.001926783
05/04/2013,31.11,-0.015311304
04/04/2013,31.59,0.001901141
03/04/2013,31.53,-0.003482669
02/04/2013,31.64,-0.003470582
01/04/2013,31.75,-0.007843177
28/03/2013,32,0.025959039
27/03/2013,31.18,-0.002562461
26/03/2013,31.26,0.008674753
25/03/2013,30.99,-0.008034753
22/03/2013,31.24,0.0115906
21/03/2013,30.88,-0.018608172
20/03/2013,31.46,0.007337726
19/03/2013,31.23,-0.003516066
18/03/2013,31.34,-0.008894595
15/03/2013,31.62,-0.008189022
14/03/2013,31.88,0.004716248
13/03/2013,31.73,0.002840463
12/03/2013,31.64,-0.018785775
11/03/2013,32.24,0.004975135
08/03/2013,32.08,0.007509422
07/03/2013,31.84,-0.012174335
06/03/2013,32.23,-0.00124031
05/03/2013,32.27,0.011845525
04/03/2013,31.89,0.00692262
01/03/2013,31.67,-0.010678493
28/02/2013,32.01,0.002815581
27/02/2013,31.92,0.020573601
26/02/2013,31.27,-0.000958926
25/02/2013,31.3,-0.017419284
22/02/2013,31.85,0.002829746
21/02/2013,31.76,-0.016859594
20/02/2013,32.3,-0.001237624
19/02/2013,32.34,0.009007671
15/02/2013,32.05,0.005632055
14/02/2013,31.87,0.011677583
13/02/2013,31.5,0.015677813
12/02/2013,31.01,0.009070357
11/02/2013,30.73,-0.000975768
