Date,Close,DO
04/04/2014,48.38,0.00082713
03/04/2014,48.34,-0.003716709
02/04/2014,48.52,0.013696002
01/04/2014,47.86,-0.018630222
31/03/2014,48.76,0.017377351
28/03/2014,47.92,0.01747229
27/03/2014,47.09,0.005750202
26/03/2014,46.82,-0.00106735
25/03/2014,46.87,0.016781805
24/03/2014,46.09,-0.024644985
21/03/2014,47.24,0.035114001
20/03/2014,45.61,0.009029904
19/03/2014,45.2,0.010452669
18/03/2014,44.73,0.018502333
17/03/2014,43.91,-0.006582705
14/03/2014,44.2,-0.00428943
13/03/2014,44.39,-0.043854113
12/03/2014,46.38,-0.024492759
11/03/2014,47.53,-0.00796316
10/03/2014,47.91,-0.011208087
07/03/2014,48.45,0.010165008
06/03/2014,47.96,0.013857035
05/03/2014,47.3,0.010199833
04/03/2014,46.82,-0.002133562
03/03/2014,46.92,-0.008066272
28/02/2014,47.3,0.00232829
27/02/2014,47.19,-0.006758209
26/02/2014,47.51,-0.010052441
25/02/2014,47.99,-0.007473566
24/02/2014,48.35,0.007056899
21/02/2014,48.01,-0.001248959
20/02/2014,48.07,0.007098151
19/02/2014,47.73,0.016476925
18/02/2014,46.95,-0.001915098
14/02/2014,47.04,-0.011414201
13/02/2014,47.58,0.008018612
12/02/2014,47.2,-0.007387896
11/02/2014,47.55,0.016539817
10/02/2014,46.77,0.015079993
07/02/2014,46.07,-0.026559711
06/02/2014,47.31,0.017054346
05/02/2014,46.51,-0.032782887
04/02/2014,48.06,0.007518832
03/02/2014,47.7,-0.017456802
31/01/2014,48.54,-0.009432098
30/01/2014,49,-0.003259987
29/01/2014,49.16,-0.030648368
28/01/2014,50.69,-0.015658962
27/01/2014,51.49,0.008777975
24/01/2014,51.04,-0.01632372
23/01/2014,51.88,-0.053844009
22/01/2014,54.75,0.00476017
21/01/2014,54.49,0.007183013
17/01/2014,54.1,-0.004058297
16/01/2014,54.32,-0.011167164
15/01/2014,54.93,-0.005808693
14/01/2014,55.25,0.012384059
13/01/2014,54.57,-0.024258974
10/01/2014,55.91,0.010970347
09/01/2014,55.3,-0.007925114
08/01/2014,55.74,-0.017076189
07/01/2014,56.7,-0.000176351
06/01/2014,56.71,0.004241038
03/01/2014,56.47,0.006217268
02/01/2014,56.12,-0.014154518
31/12/2013,56.92,0.009709671
30/12/2013,56.37,-0.007775264
27/12/2013,56.81,0.015611458
26/12/2013,55.93,-0.003213141
24/12/2013,56.11,0.012914978
23/12/2013,55.39,-0.007912287
20/12/2013,55.83,0.003768511
19/12/2013,55.62,-0.005200406
18/12/2013,55.91,-0.003214288
17/12/2013,56.09,-0.001069138
16/12/2013,56.15,-0.000712124
13/12/2013,56.19,-0.003730353
12/12/2013,56.4,-0.007947062
11/12/2013,56.85,-0.024499531
10/12/2013,58.26,-0.010076082
09/12/2013,58.85,-0.000339789
06/12/2013,58.87,-0.007614894
05/12/2013,59.32,-0.015390066
04/12/2013,60.24,0.008334771
03/12/2013,59.74,-0.003008526
02/12/2013,59.92,-0.002167209
29/11/2013,60.05,0.001833487
27/11/2013,59.94,0.009891941
26/11/2013,59.35,-0.001010441
25/11/2013,59.41,-0.024606395
22/11/2013,60.89,0.00312526
21/11/2013,60.7,-0.005913289
20/11/2013,61.06,0.003280843
19/11/2013,60.86,0.009575771
18/11/2013,60.28,-0.018735141
15/11/2013,61.42,0.008173987
14/11/2013,60.92,-0.004912405
13/11/2013,61.22,0.003108387
12/11/2013,61.03,-0.009133973
11/11/2013,61.59,-0.002432499
08/11/2013,61.74,0.022439726
07/11/2013,60.37,0.000331345
06/11/2013,60.35,0.017383022
05/11/2013,59.31,-0.019534806
04/11/2013,60.48,0.003478264
01/11/2013,60.27,-0.027170247
31/10/2013,61.93,-0.012835087
30/10/2013,62.73,0.002234281
29/10/2013,62.59,-0.006687923
28/10/2013,63.01,0.028003117
25/10/2013,61.27,0.005072415
24/10/2013,60.96,-0.036560961
23/10/2013,63.23,-0.021899827
22/10/2013,64.63,0.02079337
21/10/2013,63.3,0.00237248
18/10/2013,63.15,0.010346292
17/10/2013,62.5,-0.010187926
16/10/2013,63.14,0.002219757
15/10/2013,63,-0.013871597
14/10/2013,63.88,0.004864662
11/10/2013,63.57,0.005362789
10/10/2013,63.23,0.018516092
09/10/2013,62.07,-0.000322165
08/10/2013,62.09,-0.008659451
07/10/2013,62.63,-0.013007798
04/10/2013,63.45,0.016206265
03/10/2013,62.43,-0.004474995
02/10/2013,62.71,0.004795406
01/10/2013,62.41,0.001443117
30/09/2013,62.32,-0.007194851
27/09/2013,62.77,-0.008092071
26/09/2013,63.28,-0.001579031
25/09/2013,63.38,0.01991939
24/09/2013,62.13,-0.013111796
23/09/2013,62.95,0.005415751
20/09/2013,62.61,-0.02616795
19/09/2013,64.27,-0.017887909
18/09/2013,65.43,0.006439765
17/09/2013,65.01,0.009582763
16/09/2013,64.39,-0.000310559
13/09/2013,64.41,-0.007270509
12/09/2013,64.88,-0.006299475
11/09/2013,65.29,0.001686212
10/09/2013,65.18,0.002457759
09/09/2013,65.02,0.010668829
06/09/2013,64.33,0.006706724
05/09/2013,63.9,0.007697784
