Date,Close,CBS
04/04/2014,61.56,-0.017072407
03/04/2014,62.62,-0.011590191
02/04/2014,63.35,0.002528846
01/04/2014,63.19,0.022242696
31/03/2014,61.8,-0.003714775
28/03/2014,62.03,0.009068888
27/03/2014,61.47,-0.007939765
26/03/2014,61.96,-0.018865468
25/03/2014,63.14,-0.017582871
24/03/2014,64.26,-0.022009353
21/03/2014,65.69,-0.007280481
20/03/2014,66.17,0.00348195
19/03/2014,65.94,-0.00544466
18/03/2014,66.3,0.006962341
17/03/2014,65.84,0.007164119
14/03/2014,65.37,0.006291742
13/03/2014,64.96,-0.014366746
12/03/2014,65.9,-0.002879008
11/03/2014,66.09,-0.010086649
10/03/2014,66.76,-0.009540919
07/03/2014,67.4,-0.002223046
06/03/2014,67.55,0.002519826
05/03/2014,67.38,-0.000593472
04/03/2014,67.42,0.022044831
03/03/2014,65.95,-0.016989058
28/02/2014,67.08,0.01018888
27/02/2014,66.4,0.013036413
26/02/2014,65.54,-0.003351107
25/02/2014,65.76,-0.010588512
24/02/2014,66.46,0.006036843
21/02/2014,66.06,0.002273245
20/02/2014,65.91,0.001366432
19/02/2014,65.82,-0.007115313
18/02/2014,66.29,0.02026736
14/02/2014,64.96,0.005402498
13/02/2014,64.61,0.043657099
12/02/2014,61.85,0.015478924
11/02/2014,60.9,0.005103312
10/02/2014,60.59,0.001486498
07/02/2014,60.5,0.003477113
06/02/2014,60.29,0.022646275
05/02/2014,58.94,0.018320862
04/02/2014,57.87,0.027326976
03/02/2014,56.31,-0.041908245
31/01/2014,58.72,-0.007634272
30/01/2014,59.17,0.024810923
29/01/2014,57.72,-0.016835993
28/01/2014,58.7,0.008898074
27/01/2014,58.18,-0.003602989
24/01/2014,58.39,-0.022187378
23/01/2014,59.7,-0.017764226
22/01/2014,60.77,0.017764226
21/01/2014,59.7,-0.013146042
17/01/2014,60.49,-0.005111727
16/01/2014,60.8,-0.003284075
15/01/2014,61,0.005754229
14/01/2014,60.65,-0.004770138
