Date,Close,MAT
04/04/2014,39.41,-0.012356733
03/04/2014,39.9,-0.0104713
02/04/2014,40.32,0.002731903
01/04/2014,40.21,0.002490041
31/03/2014,40.11,0.003997008
28/03/2014,39.95,0.013101724
27/03/2014,39.43,0.00687113
26/03/2014,39.16,0.010525062
25/03/2014,38.75,-0.002319888
24/03/2014,38.84,0.003869475
21/03/2014,38.69,0.002328892
20/03/2014,38.6,0.010416761
19/03/2014,38.2,0.000261814
18/03/2014,38.19,0.013975178
17/03/2014,37.66,0.010141533
14/03/2014,37.28,0.005648973
13/03/2014,37.07,-0.006989276
12/03/2014,37.33,-0.001605996
11/03/2014,37.39,-0.006929665
10/03/2014,37.65,-0.003446908
07/03/2014,37.78,-0.005016512
06/03/2014,37.97,0.013522677
05/03/2014,37.46,-0.000266916
04/03/2014,37.47,0.015329062
03/03/2014,36.9,-0.011049836
28/02/2014,37.31,0.004297616
27/02/2014,37.15,0.005939542
26/02/2014,36.93,0.015005056
25/02/2014,36.38,0.011611963
24/02/2014,35.96,0.011467053
21/02/2014,35.55,0
20/02/2014,35.55,0.008758355
19/02/2014,35.24,-0.006505468
18/02/2014,35.47,-0.03272616
14/02/2014,36.65,-0.011124793
13/02/2014,37.06,0.007312152
12/02/2014,36.79,-0.008660406
11/02/2014,37.11,0.008932256
10/02/2014,36.78,-0.004340756
07/02/2014,36.94,0.005701115
06/02/2014,36.73,0.007378091
05/02/2014,36.46,-0.007922456
04/02/2014,36.75,0.019231362
03/02/2014,36.05,-0.04845988
31/01/2014,37.84,-0.128065903
30/01/2014,43.01,0.015228126
29/01/2014,42.36,-0.01476301
28/01/2014,42.99,-0.001162385
27/01/2014,43.04,0.0009298
24/01/2014,43,0.000930665
23/01/2014,42.96,-0.017307459
22/01/2014,43.71,0.007117468
21/01/2014,43.4,-0.013730193
17/01/2014,44,-0.007923075
16/01/2014,44.35,0.002257337
15/01/2014,44.25,-0.003384098
14/01/2014,44.4,-0.005838777
13/01/2014,44.66,-0.013345394
10/01/2014,45.26,-0.005068881
09/01/2014,45.49,-0.004386934
08/01/2014,45.69,-0.007631128
07/01/2014,46.04,-0.01251905
06/01/2014,46.62,-0.005348178
03/01/2014,46.87,-0.011033424
02/01/2014,47.39,-0.004001269
31/12/2013,47.58,-0.005031457
30/12/2013,47.82,0.017509149
27/12/2013,46.99,0.014145114
26/12/2013,46.33,0.011723973
24/12/2013,45.79,-0.003923283
23/12/2013,45.97,0.00983722
20/12/2013,45.52,0.009934953
19/12/2013,45.07,-0.002437674
18/12/2013,45.18,0.010681009
17/12/2013,44.7,-0.009573712
16/12/2013,45.13,-0.00530388
13/12/2013,45.37,0.001323335
12/12/2013,45.31,-0.002644921
11/12/2013,45.43,-0.018104977
10/12/2013,46.26,0.002164035
09/12/2013,46.16,-0.002164035
06/12/2013,46.26,0.01021193
05/12/2013,45.79,0.004816121
04/12/2013,45.57,-0.005689293
03/12/2013,45.83,0.000654807
02/12/2013,45.8,-0.010209712
29/11/2013,46.27,-0.000432152
27/11/2013,46.29,0.007807457
26/11/2013,45.93,0.008527438
25/11/2013,45.54,-0.003726032
22/11/2013,45.71,-0.002185316
21/11/2013,45.81,0.003937013
20/11/2013,45.63,-0.003937013
19/11/2013,45.81,-0.005225355
18/11/2013,46.05,-0.002819041
15/11/2013,46.18,0.007389732
14/11/2013,45.84,0.006346449
13/11/2013,45.55,0.023096741
12/11/2013,44.51,0.003826679
11/11/2013,44.34,0.003841379
08/11/2013,44.17,-0.000678963
07/11/2013,44.2,-0.015713006
06/11/2013,44.9,-0.003113189
05/11/2013,45.04,-0.011040077
04/11/2013,45.54,0.016159732
01/11/2013,44.81,0.009642411
31/10/2013,44.38,-0.006289329
30/10/2013,44.66,-0.005582241
29/10/2013,44.91,0.017747293
28/10/2013,44.12,0.001587842
25/10/2013,44.05,0.003183268
24/10/2013,43.91,0.017227944
23/10/2013,43.16,0.003714025
22/10/2013,43,0.006532921
21/10/2013,42.72,0.000702494
18/10/2013,42.69,0.006580517
17/10/2013,42.41,0.010429106
16/10/2013,41.97,0.010057556
15/10/2013,41.55,-0.009342504
14/10/2013,41.94,0.004540574
11/10/2013,41.75,0.012775876
10/10/2013,41.22,0.011222367
09/10/2013,40.76,0.009118979
08/10/2013,40.39,-0.018641698
07/10/2013,41.15,-0.033455928
04/10/2013,42.55,0.00873368
03/10/2013,42.18,-0.005438008
02/10/2013,42.41,0.002360719
01/10/2013,42.31,0.010215079
30/09/2013,41.88,-0.005001797
27/09/2013,42.09,-0.001661721
26/09/2013,42.16,0.000711828
25/09/2013,42.13,-0.014609119
24/09/2013,42.75,0.001873098
23/09/2013,42.67,-0.008633819
20/09/2013,43.04,-0.008559913
19/09/2013,43.41,0.016725129
18/09/2013,42.69,0.013442014
17/09/2013,42.12,0.004521126
16/09/2013,41.93,-0.002382088
13/09/2013,42.03,0.011967591
12/09/2013,41.53,-0.007914659
11/09/2013,41.86,-0.005717024
10/09/2013,42.1,0.004761914
09/09/2013,41.9,0.01611968
06/09/2013,41.23,0.002914746
05/09/2013,41.11,-0.000486381
04/09/2013,41.13,0.007565625
03/09/2013,40.82,0.007870183
30/08/2013,40.5,0.002719745
29/08/2013,40.39,-0.008137143
28/08/2013,40.72,0.004676932
27/08/2013,40.53,-0.021721415
26/08/2013,41.42,-0.007456439
23/08/2013,41.73,0.000959003
22/08/2013,41.69,0.003363771
21/08/2013,41.55,-0.011248174
20/08/2013,42.02,0.009805172
19/08/2013,41.61,-0.000960846
16/08/2013,41.65,-0.00908228
15/08/2013,42.03,-0.013705318
14/08/2013,42.61,0.000939188
13/08/2013,42.57,0.004473227
12/08/2013,42.38,-0.011728964
09/08/2013,42.88,-0.001398276
08/08/2013,42.94,0.014307738
07/08/2013,42.33,-0.007062176
06/08/2013,42.63,-0.005380759
05/08/2013,42.86,0.000466744
02/08/2013,42.84,0.003273325
01/08/2013,42.7,0.015815271
31/07/2013,42.03,-0.001664092
30/07/2013,42.1,-0.010161969
29/07/2013,42.53,-0.005627213
26/07/2013,42.77,0.007981263
25/07/2013,42.43,0.007332972
24/07/2013,42.12,-0.006861496
23/07/2013,42.41,0.007811615
22/07/2013,42.08,-0.007103984
19/07/2013,42.38,-0.028609929
18/07/2013,43.61,0.010372341
17/07/2013,43.16,-0.070875559
