Date,Close,ROST
04/04/2014,72.38,-0.01426636
03/04/2014,73.42,-0.001089028
02/04/2014,73.5,0.008196767
01/04/2014,72.9,0.018412647
31/03/2014,71.57,-0.007378053
28/03/2014,72.1,0.009616129
27/03/2014,71.41,0.002804658
26/03/2014,71.21,-0.006438992
25/03/2014,71.67,-0.022351924
24/03/2014,73.29,0.004375776
21/03/2014,72.97,0.002744615
20/03/2014,72.77,0.001512756
19/03/2014,72.66,-0.008087221
18/03/2014,73.25,-0.011402323
17/03/2014,74.09,0.019351926
14/03/2014,72.67,0.005104515
13/03/2014,72.3,-0.001105889
12/03/2014,72.38,0.001797691
11/03/2014,72.25,-0.001521334
10/03/2014,72.36,0.004293338
07/03/2014,72.05,0.004172468
06/03/2014,71.75,-0.002783579
05/03/2014,71.95,-0.006925235
04/03/2014,72.45,0.002210862
03/03/2014,72.29,-0.007030148
28/02/2014,72.8,0.006753523
27/02/2014,72.31,0.008611164
26/02/2014,71.69,0.02328476
25/02/2014,70.04,0.011054595
24/02/2014,69.27,0.026625329
21/02/2014,67.45,-0.002960772
20/02/2014,67.65,-0.00221484
19/02/2014,67.8,-0.007640355
18/02/2014,68.32,-0.015972461
14/02/2014,69.42,-0.002302159
13/02/2014,69.58,0.006054509
12/02/2014,69.16,-0.005335653
11/02/2014,69.53,0.005769524
10/02/2014,69.13,-0.003321543
07/02/2014,69.36,0.000721137
06/02/2014,69.31,0.04455014
05/02/2014,66.29,0.007723215
04/02/2014,65.78,-0.002277732
03/02/2014,65.93,-0.029589726
31/01/2014,67.91,-0.000735998
30/01/2014,67.96,0.004424133
29/01/2014,67.66,-0.001624456
28/01/2014,67.77,-0.007497279
27/01/2014,68.28,0.006612323
24/01/2014,67.83,-0.009683174
23/01/2014,68.49,-0.01117979
22/01/2014,69.26,-0.016609775
21/01/2014,70.42,-0.01368049
17/01/2014,71.39,-0.00961881
16/01/2014,72.08,-0.009527169
15/01/2014,72.77,-0.005891639
14/01/2014,73.2,-0.001228753
13/01/2014,73.29,-0.01838635
10/01/2014,74.65,0
09/01/2014,74.65,0.012807725
08/01/2014,73.7,-0.000949346
07/01/2014,73.77,-0.005542427
06/01/2014,74.18,-0.002020067
03/01/2014,74.33,0.000807537
02/01/2014,74.27,-0.008847243
31/12/2013,74.93,0.007770671
30/12/2013,74.35,0.008102678
27/12/2013,73.75,-0.01011813
26/12/2013,74.5,0.006869176
24/12/2013,73.99,0.00054076
23/12/2013,73.95,-0.000946138
20/12/2013,74.02,0.009501904
19/12/2013,73.32,-0.00068171
18/12/2013,73.37,0.019265767
17/12/2013,71.97,-0.008853288
16/12/2013,72.61,0.012054181
13/12/2013,71.74,0.015735082
12/12/2013,70.62,0.003262183
11/12/2013,70.39,-0.015226574
10/12/2013,71.47,-0.005720281
09/12/2013,71.88,-0.003610614
06/12/2013,72.14,-0.001523652
05/12/2013,72.25,-0.005933917
04/12/2013,72.68,-0.007812004
03/12/2013,73.25,-0.019467966
02/12/2013,74.69,-0.023421514
29/11/2013,76.46,-0.00287319
27/11/2013,76.68,-0.000130404
26/11/2013,76.69,0.015506224
25/11/2013,75.51,-0.002116683
22/11/2013,75.67,-0.058889584
21/11/2013,80.26,-0.013120624
20/11/2013,81.32,0.004560309
19/11/2013,80.95,0.000988753
18/11/2013,80.87,-0.009476411
15/11/2013,81.64,0.006759689
14/11/2013,81.09,0.012783295
13/11/2013,80.06,0.01624414
12/11/2013,78.77,0.003433589
11/11/2013,78.5,0.005236617
08/11/2013,78.09,0.015096087
07/11/2013,76.92,-0.010604005
06/11/2013,77.74,0.002060263
05/11/2013,77.58,0.002839811
04/11/2013,77.36,-0.003484099
01/11/2013,77.63,0.003613373
31/10/2013,77.35,0.002459389
30/10/2013,77.16,0.005197517
29/10/2013,76.76,0.008241266
28/10/2013,76.13,0.003421056
25/10/2013,75.87,0.007541215
24/10/2013,75.3,-0.00503379
23/10/2013,75.68,0.012899973
22/10/2013,74.71,0.002814827
21/10/2013,74.5,0.002688174
18/10/2013,74.3,0.007836819
17/10/2013,73.72,-0.001897277
16/10/2013,73.86,0.018722788
15/10/2013,72.49,-0.00673681
14/10/2013,72.98,0.003156525
11/10/2013,72.75,0.005375246
10/10/2013,72.36,0.015178179
09/10/2013,71.27,-0.002522423
08/10/2013,71.45,-0.013346507
07/10/2013,72.41,-0.014668849
04/10/2013,73.48,0.004364437
03/10/2013,73.16,-0.011551396
02/10/2013,74.01,0.003654826
01/10/2013,73.74,0.012829438
30/09/2013,72.8,0.003439976
27/09/2013,72.55,0.002622319
26/09/2013,72.36,0.008605188
25/09/2013,71.74,0.001813743
24/09/2013,71.61,-0.000837521
23/09/2013,71.67,0.001256545
20/09/2013,71.58,-0.010561521
19/09/2013,72.34,0.001660211
18/09/2013,72.22,0.014645635
17/09/2013,71.17,0.003942001
16/09/2013,70.89,0.010493573
13/09/2013,70.15,-0.003131229
12/09/2013,70.37,-0.004112606
11/09/2013,70.66,0.011243269
10/09/2013,69.87,0.01122637
09/09/2013,69.09,0.004787822
06/09/2013,68.76,-0.011567509
05/09/2013,69.56,0.006779687
04/09/2013,69.09,0.013698844
03/09/2013,68.15,0.013145452
