Date,Close,LEN
04/04/2014,40.48,-0.001481116
03/04/2014,40.54,0.001481116
02/04/2014,40.48,0.00197824
01/04/2014,40.4,0.019495744
31/03/2014,39.62,0.001010101
28/03/2014,39.58,0.015018737
27/03/2014,38.99,0.008241097
26/03/2014,38.67,-0.01156974
25/03/2014,39.12,-0.001532567
24/03/2014,39.18,-0.009904843
21/03/2014,39.57,-0.018776368
20/03/2014,40.32,-0.02498293
19/03/2014,41.34,0.018062488
18/03/2014,40.6,0.013389736
17/03/2014,40.06,0.000999001
14/03/2014,40.02,-0.008212066
13/03/2014,40.35,-0.027137712
12/03/2014,41.46,0.007748223
11/03/2014,41.14,0.002433683
10/03/2014,41.04,-0.024549969
07/03/2014,42.06,-0.019774656
06/03/2014,42.9,-0.005810592
05/03/2014,43.15,-0.013123246
04/03/2014,43.72,-0.002740979
03/03/2014,43.84,-0.000911993
28/02/2014,43.88,-0.010203013
27/02/2014,44.33,0.012484557
26/02/2014,43.78,0.03533608
25/02/2014,42.26,0.010466318
24/02/2014,41.82,-0.000717103
21/02/2014,41.85,0.013471457
20/02/2014,41.29,0.00851276
19/02/2014,40.94,-0.004873304
18/02/2014,41.14,-0.008230499
14/02/2014,41.48,0.011639317
13/02/2014,41,0.021447882
12/02/2014,40.13,-0.011397547
11/02/2014,40.59,-0.007363804
10/02/2014,40.89,-0.021292844
07/02/2014,41.77,0.00143747
06/02/2014,41.71,0.052416968
05/02/2014,39.58,-0.006798465
04/02/2014,39.85,0.015935584
03/02/2014,39.22,-0.023684655
31/01/2014,40.16,0.033163399
30/01/2014,38.85,-0.003853569
29/01/2014,39,0.012384059
28/01/2014,38.52,0.04269507
27/01/2014,36.91,-0.003245878
24/01/2014,37.03,-0.031107121
23/01/2014,38.2,0.010261898
22/01/2014,37.81,0.014384904
21/01/2014,37.27,-0.005618744
17/01/2014,37.48,-0.025030947
16/01/2014,38.43,0.009149195
15/01/2014,38.08,-0.003931338
14/01/2014,38.23,0.001308729
13/01/2014,38.18,-0.026109794
10/01/2014,39.19,0.019843455
09/01/2014,38.42,-0.004933153
08/01/2014,38.61,0.00649606
07/01/2014,38.36,0.004441549
06/01/2014,38.19,-0.017134376
03/01/2014,38.85,-0.014565225
02/01/2014,39.42,-0.003545205
31/12/2013,39.56,-0.004791334
30/12/2013,39.75,0.005044147
27/12/2013,39.55,0.007359505
26/12/2013,39.26,0.007414069
24/12/2013,38.97,0.005661364
23/12/2013,38.75,0.035994954
20/12/2013,37.38,0.009137392
19/12/2013,37.04,-0.010474112
