Date,Close,BMY
04/04/2014,49.89,-0.019452777
03/04/2014,50.87,-0.014054496
02/04/2014,51.59,-0.005412733
01/04/2014,51.87,-0.001541129
31/03/2014,51.95,0.002505542
28/03/2014,51.82,-0.009793645
27/03/2014,52.33,-0.006286334
26/03/2014,52.66,0.031246515
25/03/2014,51.04,0
24/03/2014,51.04,-0.019787261
21/03/2014,52.06,-0.032504751
20/03/2014,53.78,-0.017693053
19/03/2014,54.74,0.000182698
18/03/2014,54.73,0.000182732
17/03/2014,54.72,0.013245227
14/03/2014,54,-0.00332779
13/03/2014,54.18,-0.019375492
12/03/2014,55.24,-0.010624031
11/03/2014,55.83,-0.005537212
10/03/2014,56.14,0.005537212
07/03/2014,55.83,0.004847841
06/03/2014,55.56,-0.01872213
05/03/2014,56.61,0.003361942
04/03/2014,56.42,0.053328985
03/03/2014,53.49,-0.00522097
28/02/2014,53.77,-0.003342001
27/02/2014,53.95,0.007068482
26/02/2014,53.57,-0.002051283
25/02/2014,53.68,-0.011667879
24/02/2014,54.31,0.003135088
21/02/2014,54.14,0.005370881
20/02/2014,53.85,0.007268693
19/02/2014,53.46,-0.021649472
18/02/2014,54.63,0.004770651
14/02/2014,54.37,0.016317811
13/02/2014,53.49,0.012037008
12/02/2014,52.85,0.004361437
11/02/2014,52.62,0.009547523
10/02/2014,52.12,0.034947431
07/02/2014,50.33,0.027189269
06/02/2014,48.98,0.009023851
05/02/2014,48.54,-0.008206858
04/02/2014,48.94,0.00614882
03/02/2014,48.64,-0.026976588
31/01/2014,49.97,-0.010352472
30/01/2014,50.49,0.005361943
29/01/2014,50.22,-0.016783887
28/01/2014,51.07,0.026789974
27/01/2014,49.72,-0.024241203
24/01/2014,50.94,-0.057409222
23/01/2014,53.95,-0.015814967
22/01/2014,54.81,0.004021943
21/01/2014,54.59,0.004222127
17/01/2014,54.36,-0.008061605
16/01/2014,54.8,0.005489492
15/01/2014,54.5,-0.021420314
14/01/2014,55.68,0.004680477
13/01/2014,55.42,-0.013620282
10/01/2014,56.18,0.020682331
