Date,Close,TSS
04/04/2014,29.91,-0.008655181
03/04/2014,30.17,-0.004629638
02/04/2014,30.31,-0.001648261
01/04/2014,30.36,-0.001645549
31/03/2014,30.41,-0.000328785
28/03/2014,30.42,0.024289998
27/03/2014,29.69,0.005403593
26/03/2014,29.53,-0.016123964
25/03/2014,30.01,-0.006642336
24/03/2014,30.21,-0.013806925
21/03/2014,30.63,-0.006832628
20/03/2014,30.84,0.005201572
19/03/2014,30.68,-0.004877265
18/03/2014,30.83,0.011745649
17/03/2014,30.47,0.00989454
14/03/2014,30.17,-0.00890948
13/03/2014,30.44,-0.009481843
12/03/2014,30.73,0.000976722
11/03/2014,30.7,-0.000976722
10/03/2014,30.73,-0.002275314
07/03/2014,30.8,-0.00162206
06/03/2014,30.85,0.005851772
05/03/2014,30.67,-0.007471206
04/03/2014,30.9,0.021590633
03/03/2014,30.24,-0.007248796
28/02/2014,30.46,-0.004258811
27/02/2014,30.59,0.005572871
26/02/2014,30.42,0.001974334
25/02/2014,30.36,0.003960401
24/02/2014,30.24,0.004308209
21/02/2014,30.11,0.008672503
20/02/2014,29.85,0.005374551
19/02/2014,29.69,0.00236048
18/02/2014,29.62,0.002704532
14/02/2014,29.54,0.00203321
13/02/2014,29.48,-0.003724399
12/02/2014,29.59,-0.002025659
11/02/2014,29.65,0.008127373
10/02/2014,29.41,-0.003055511
07/02/2014,29.5,0.020548668
06/02/2014,28.9,0.006596101
05/02/2014,28.71,-0.0055575
04/02/2014,28.87,0.003469816
03/02/2014,28.77,-0.037856183
31/01/2014,29.88,-0.026421616
30/01/2014,30.68,0.00490117
29/01/2014,30.53,-0.001636394
28/01/2014,30.58,0.009198488
27/01/2014,30.3,-0.021548336
24/01/2014,30.96,-0.029282805
23/01/2014,31.88,-0.008433597
22/01/2014,32.15,-0.001554002
21/01/2014,32.2,0
17/01/2014,32.2,-0.007425777
16/01/2014,32.44,-0.007371041
15/01/2014,32.68,0.01138649
14/01/2014,32.31,0.008703816
13/01/2014,32.03,-0.014567126
10/01/2014,32.5,-0.007357483
09/01/2014,32.74,-0.007606913
08/01/2014,32.99,-0.001211754
07/01/2014,33.03,0.006987724
06/01/2014,32.8,-0.00152323
03/01/2014,32.85,0.001828154
02/01/2014,32.79,-0.014833025
31/12/2013,33.28,0.001202646
30/12/2013,33.24,0.001204094
27/12/2013,33.2,-0.003007521
26/12/2013,33.3,0.006628527
24/12/2013,33.08,0.001815432
23/12/2013,33.02,-0.001210654
20/12/2013,33.06,0.00972652
19/12/2013,32.74,0.00858901
18/12/2013,32.46,0.028751981
17/12/2013,31.54,0.001586546
16/12/2013,31.49,0.006371477
13/12/2013,31.29,0.002880463
12/12/2013,31.2,0.005463616
11/12/2013,31.03,-0.004822385
10/12/2013,31.18,0.00837364
09/12/2013,30.92,0.005188079
06/12/2013,30.76,0.013748171
05/12/2013,30.34,-0.009512947
04/12/2013,30.63,-0.02227695
03/12/2013,31.32,0.017066909
02/12/2013,30.79,-0.008408846
29/11/2013,31.05,0.00064433
27/11/2013,31.03,-0.002253341
26/11/2013,31.1,-0.008644203
25/11/2013,31.37,0.002233925
22/11/2013,31.3,0.005124931
21/11/2013,31.14,0.019455867
20/11/2013,30.54,-0.008802013
19/11/2013,30.81,0.000324623
18/11/2013,30.8,-0.004858309
15/11/2013,30.95,-0.002581479
14/11/2013,31.03,0.00938974
13/11/2013,30.74,0.006200052
12/11/2013,30.55,0.009537977
