Date,Close,SWY
04/04/2014,37.96,-0.003943741
03/04/2014,38.11,0.005525603
02/04/2014,37.9,0.002906595
01/04/2014,37.79,0.022749543
31/03/2014,36.94,-0.009698352
28/03/2014,37.3,-0.005614237
27/03/2014,37.51,-0.00372539
26/03/2014,37.65,-0.007145723
25/03/2014,37.92,-0.000790826
24/03/2014,37.95,-0.001579779
21/03/2014,38.01,-0.001577287
20/03/2014,38.07,-0.00810992
19/03/2014,38.38,-0.001822205
18/03/2014,38.45,0.003647737
17/03/2014,38.31,-0.00208605
14/03/2014,38.39,0.001825056
13/03/2014,38.32,-0.010126011
12/03/2014,38.71,0.00155119
11/03/2014,38.65,-0.005933205
10/03/2014,38.88,0.007227703
07/03/2014,38.6,-0.022288613
06/03/2014,39.47,-0.000253325
05/03/2014,39.48,0.02124744
04/03/2014,38.65,0.016434438
03/03/2014,38.02,0.015105627
28/02/2014,37.45,0.003745323
27/02/2014,37.31,0.00942514
26/02/2014,36.96,-0.004589021
25/02/2014,37.13,0.002696873
24/02/2014,37.03,0.005144184
21/02/2014,36.84,0.042134836
20/02/2014,35.32,0.020306718
19/02/2014,34.61,0.014845273
18/02/2014,34.1,0.013284328
14/02/2014,33.65,0.017688964
13/02/2014,33.06,0.010337581
12/02/2014,32.72,-0.007611545
11/02/2014,32.97,0.028612935
10/02/2014,32.04,0.027849901
07/02/2014,31.16,0.008379037
06/02/2014,30.9,0.014341836
05/02/2014,30.46,0.005926919
04/02/2014,30.28,0.007292044
03/02/2014,30.06,-0.038503941
31/01/2014,31.24,0.011266818
30/01/2014,30.89,-0.012866051
29/01/2014,31.29,-0.010491274
28/01/2014,31.62,0.014654611
27/01/2014,31.16,0.005793386
24/01/2014,30.98,-0.009637081
23/01/2014,31.28,-0.012706651
22/01/2014,31.68,-0.010050336
21/01/2014,32,0.00564088
17/01/2014,31.82,0.003462934
16/01/2014,31.71,0.000315408
15/01/2014,31.7,-0.011916102
14/01/2014,32.08,0.012862922
13/01/2014,31.67,-0.01504259
10/01/2014,32.15,0.002179668
09/01/2014,32.08,-0.007453451
08/01/2014,32.32,0.010575526
07/01/2014,31.98,0.009740847
06/01/2014,31.67,-0.020006919
03/01/2014,32.31,-0.004631782
02/01/2014,32.46,-0.003383057
31/12/2013,32.57,-0.004289222
30/12/2013,32.71,0.006440752
27/12/2013,32.5,-0.005829131
26/12/2013,32.69,0.000611995
24/12/2013,32.67,0.002758622
23/12/2013,32.58,-0.015230267
20/12/2013,33.08,0.007890784
19/12/2013,32.82,-0.001826485
18/12/2013,32.88,0.012547984
17/12/2013,32.47,-0.007669926
16/12/2013,32.72,-0.024155764
13/12/2013,33.52,-0.005058782
12/12/2013,33.69,0.007149271
11/12/2013,33.45,0.006297817
10/12/2013,33.24,0.015156398
09/12/2013,32.74,-0.010028955
06/12/2013,33.07,0.013087997
05/12/2013,32.64,-0.046979469
04/12/2013,34.21,-0.021972552
03/12/2013,34.97,0.010925928
02/12/2013,34.59,-0.010925928
29/11/2013,34.97,-0.002570328
27/11/2013,35.06,0.015232368
26/11/2013,34.53,0.006974745
25/11/2013,34.29,0
22/11/2013,34.29,0.011438752
21/11/2013,33.9,0.022070684
20/11/2013,33.16,-0.002710437
19/11/2013,33.25,0.006335818
18/11/2013,33.04,-0.043819918
15/11/2013,34.52,0.001739635
14/11/2013,34.46,0.016089275
13/11/2013,33.91,0.005915427
12/11/2013,33.71,0.024625869
11/11/2013,32.89,-0.003944778
08/11/2013,33.02,-0.03012905
07/11/2013,34.03,-0.006444076
06/11/2013,34.25,-0.032177439
05/11/2013,35.37,0.007378013
04/11/2013,35.11,-0.001423083
01/11/2013,35.16,0.007422244
31/10/2013,34.9,-0.009694972
30/10/2013,35.24,-0.006505468
29/10/2013,35.47,-0.010656298
28/10/2013,35.85,-0.019063984
25/10/2013,36.54,0.013223333
24/10/2013,36.06,0.013400536
23/10/2013,35.58,0.078311024
22/10/2013,32.9,-0.000911439
21/10/2013,32.93,-0.012973481
18/10/2013,33.36,-0.000599341
17/10/2013,33.38,0.009028048
16/10/2013,33.08,0.010331298
15/10/2013,32.74,-0.019359346
14/10/2013,33.38,-0.011023499
11/10/2013,33.75,0.066773115
10/10/2013,31.57,0.024692613
09/10/2013,30.8,-0.000324623
08/10/2013,30.81,-0.021513111
07/10/2013,31.48,-0.004753614
04/10/2013,31.63,-0.003156568
03/10/2013,31.73,-0.011904903
02/10/2013,32.11,0.004369545
01/10/2013,31.97,-0.000625391
30/09/2013,31.99,-0.008094689
27/09/2013,32.25,-0.008952059
26/09/2013,32.54,0.019237329
25/09/2013,31.92,-0.00500001
24/09/2013,32.08,0.014442951
23/09/2013,31.62,0.006981939
20/09/2013,31.4,0.004468568
19/09/2013,31.26,-0.002874942
18/09/2013,31.35,0.011549695
17/09/2013,30.99,0.092925159
16/09/2013,28.24,0.001417435
13/09/2013,28.2,0.058786773
12/09/2013,26.59,-0.000376011
11/09/2013,26.6,0
10/09/2013,26.6,0.013245227
09/09/2013,26.25,0.011109097
06/09/2013,25.96,0.001156292
05/09/2013,25.93,0.003089999
04/09/2013,25.85,0
03/09/2013,25.85,-0.001932368
30/08/2013,25.9,-0.00500675
29/08/2013,26.03,0.008875227
28/08/2013,25.8,-0.006952519
27/08/2013,25.98,-0.009195467
26/08/2013,26.22,-0.017766485
23/08/2013,26.69,-0.001497567
22/08/2013,26.73,0.017739661
21/08/2013,26.26,-0.011359456
20/08/2013,26.56,-0.007128149
19/08/2013,26.75,0.003370159
16/08/2013,26.66,0.01321522
15/08/2013,26.31,0.021902893
14/08/2013,25.74,0.000388576
13/08/2013,25.73,0.026384677
12/08/2013,25.06,0.000399122
09/08/2013,25.05,0.004000005
08/08/2013,24.95,0.011691324
07/08/2013,24.66,-0.013293247
06/08/2013,24.99,-0.004392101
05/08/2013,25.1,-0.009910884
02/08/2013,25.35,-0.011374902
01/08/2013,25.64,-0.005833188
31/07/2013,25.79,-0.000775194
30/07/2013,25.81,-0.009255754
29/07/2013,26.05,0.002690757
26/07/2013,25.98,0.014344111
25/07/2013,25.61,0.003912368
24/07/2013,25.51,-0.002349257
23/07/2013,25.57,-0.012437004
22/07/2013,25.89,-0.009992397
19/07/2013,26.15,-0.006479916
18/07/2013,26.32,0.065552206
17/07/2013,24.65,-0.006872879
16/07/2013,24.82,-0.005224042
15/07/2013,24.95,0.016161968
12/07/2013,24.55,-0.014155949
11/07/2013,24.9,0.018237588
10/07/2013,24.45,-0.021445289
09/07/2013,24.98,0.022263619
08/07/2013,24.43,0.007807724
05/07/2013,24.24,0.027605266
03/07/2013,23.58,-0.004231915
02/07/2013,23.68,0.016177449
01/07/2013,23.3,-0.015332498
28/06/2013,23.66,-0.007998359
27/06/2013,23.85,0.012233859
26/06/2013,23.56,0.020150735
25/06/2013,23.09,0.015274135
24/06/2013,22.74,-0.003511856
21/06/2013,22.82,-0.004372547
20/06/2013,22.92,-0.027540467
19/06/2013,23.56,-0.016000341
18/06/2013,23.94,-0.015748357
17/06/2013,24.32,-0.001643386
14/06/2013,24.36,-0.018707337
13/06/2013,24.82,0.071384355
12/06/2013,23.11,-0.008617029
11/06/2013,23.31,0.012084739
10/06/2013,23.03,0.013992358
07/06/2013,22.71,0.007957602
06/06/2013,22.53,0.002666668
05/06/2013,22.47,-0.022007931
04/06/2013,22.97,-0.009963262
03/06/2013,23.2,0.008223375
31/05/2013,23.01,-0.01209518
30/05/2013,23.29,-0.011526275
29/05/2013,23.56,0.007241778
28/05/2013,23.39,0.009018743
24/05/2013,23.18,-0.009018743
23/05/2013,23.39,0
22/05/2013,23.39,-0.038579208
21/05/2013,24.31,-0.002054655
20/05/2013,24.36,-0.031915454
17/05/2013,25.15,0.005582152
16/05/2013,25.01,-0.018225544
15/05/2013,25.47,0.000785546
14/05/2013,25.45,0.031938843
13/05/2013,24.65,0.00773777
10/05/2013,24.46,0.012340757
09/05/2013,24.16,-0.003305788
08/05/2013,24.24,0.004548282
07/05/2013,24.13,0.01629449
06/05/2013,23.74,-0.008806935
03/05/2013,23.95,0.023659743
02/05/2013,23.39,0.029943656
01/05/2013,22.7,0.007961121
30/04/2013,22.52,-0.043022059
29/04/2013,23.51,0.00854341
26/04/2013,23.31,-0.042416604
25/04/2013,24.32,-0.15014832
24/04/2013,28.26,0.017851242
23/04/2013,27.76,0.014514043
22/04/2013,27.36,0.030052345
