Date,Close,POM
04/04/2014,20.53,0.013732437
03/04/2014,20.25,0.005446906
02/04/2014,20.14,-0.005446906
01/04/2014,20.25,-0.011294007
31/03/2014,20.48,0.011787956
28/03/2014,20.24,0.003464492
27/03/2014,20.17,0.008464078
26/03/2014,20,-0.011434378
25/03/2014,20.23,0.006944472
24/03/2014,20.09,0.005991031
21/03/2014,19.97,0.008044287
20/03/2014,19.81,-0.000504668
19/03/2014,19.82,-0.024914094
18/03/2014,20.32,-0.006866138
17/03/2014,20.46,0.010810916
14/03/2014,20.24,0.007438666
13/03/2014,20.09,0.004489905
12/03/2014,20,0.018163971
11/03/2014,19.64,-0.003557818
10/03/2014,19.71,-0.006069821
07/03/2014,19.83,-0.001008065
06/03/2014,19.85,-0.015992345
05/03/2014,20.17,-0.001981179
04/03/2014,20.21,0.000494927
03/03/2014,20.2,-0.00936198
28/02/2014,20.39,-0.001959824
27/02/2014,20.43,-0.00925707
26/02/2014,20.62,-0.005320448
25/02/2014,20.73,0.005320448
24/02/2014,20.62,-0.002421895
21/02/2014,20.67,0.005335933
20/02/2014,20.56,0.003410478
19/02/2014,20.49,-0.009230087
18/02/2014,20.68,0.004847319
14/02/2014,20.58,0.01173034
13/02/2014,20.34,0.013363228
12/02/2014,20.07,-0.000996016
11/02/2014,20.09,0.017068687
10/02/2014,19.75,0.015820692
07/02/2014,19.44,0.011381395
06/02/2014,19.22,0.012038879
05/02/2014,18.99,-0.006822383
04/02/2014,19.12,-0.005736652
03/02/2014,19.23,-0.010346704
31/01/2014,19.43,0.006195167
30/01/2014,19.31,0.013555995
29/01/2014,19.05,-0.002097536
28/01/2014,19.09,0.009473755
27/01/2014,18.91,0.01223745
24/01/2014,18.68,-0.014350499
23/01/2014,18.95,-0.006836734
22/01/2014,19.08,0.003149609
21/01/2014,19.02,0.019108862
17/01/2014,18.66,-0.002141328
16/01/2014,18.7,0.003213715
15/01/2014,18.64,-0.004816707
14/01/2014,18.73,-0.003198297
13/01/2014,18.79,-0.012691868
10/01/2014,19.03,0.006325799
09/01/2014,18.91,0.006898409
08/01/2014,18.78,-0.004780886
07/01/2014,18.87,0.015487626
06/01/2014,18.58,-0.005367699
03/01/2014,18.68,-0.007466701
02/01/2014,18.82,-0.016337649
31/12/2013,19.13,0.002617117
30/12/2013,19.08,0.007892701
27/12/2013,18.93,-0.001055966
26/12/2013,18.95,-0.002635048
24/12/2013,19,0.003691014
23/12/2013,18.93,0.001057083
20/12/2013,18.91,0.015454611
19/12/2013,18.62,-0.012807005
18/12/2013,18.86,0.013344207
17/12/2013,18.61,-0.006427446
16/12/2013,18.73,0.008040783
13/12/2013,18.58,-0.003224076
12/12/2013,18.64,0.000536625
11/12/2013,18.63,-0.006420568
10/12/2013,18.75,-0.013245227
09/12/2013,19,-0.004201687
06/12/2013,19.08,-0.002617117
05/12/2013,19.13,0.002093146
04/12/2013,19.09,0.001048218
03/12/2013,19.07,0.005784923
02/12/2013,18.96,-0.006309169
29/11/2013,19.08,0.002623985
27/11/2013,19.03,0.009503767
26/11/2013,18.85,-0.010554188
25/11/2013,19.05,-0.007843177
22/11/2013,19.2,0
21/11/2013,19.2,0.005221944
20/11/2013,19.1,-0.010416761
19/11/2013,19.3,-0.000518001
18/11/2013,19.31,-0.00361851
15/11/2013,19.38,0.006730546
14/11/2013,19.25,0.008870395
13/11/2013,19.08,0.007364578
12/11/2013,18.94,-0.00945882
11/11/2013,19.12,-0.003654402
08/11/2013,19.19,0.000521241
07/11/2013,19.18,-0.008307421
06/11/2013,19.34,0.008828933
05/11/2013,19.17,-0.009345862
04/11/2013,19.35,0.000516929
01/11/2013,19.34,0.003107201
31/10/2013,19.28,-0.00207254
30/10/2013,19.32,-0.008247469
29/10/2013,19.48,0.000513479
28/10/2013,19.47,-0.001539646
25/10/2013,19.5,0.010827639
24/10/2013,19.29,-0.003622255
23/10/2013,19.36,-0.003094381
22/10/2013,19.42,0.022390938
21/10/2013,18.99,0.000526732
18/10/2013,18.98,0.003694911
17/10/2013,18.91,0.016529302
16/10/2013,18.6,0.012987196
15/10/2013,18.36,-0.010295404
14/10/2013,18.55,-0.010190488
11/10/2013,18.74,0.001602137
10/10/2013,18.71,0.012910346
09/10/2013,18.47,0.007063327
08/10/2013,18.34,0.002183407
07/10/2013,18.3,0.001093494
04/10/2013,18.28,0.000547196
03/10/2013,18.27,-0.009261848
02/10/2013,18.44,-0.005947571
01/10/2013,18.55,0.00486356
30/09/2013,18.46,0.000541859
27/09/2013,18.45,0
26/09/2013,18.45,-0.00486619
25/09/2013,18.54,-0.009661911
24/09/2013,18.72,0.002674513
23/09/2013,18.67,0.008606831
20/09/2013,18.51,-0.013415817
19/09/2013,18.76,-0.002129926
18/09/2013,18.8,0.030239885
17/09/2013,18.24,0.004946424
16/09/2013,18.15,-0.001101322
13/09/2013,18.17,0.005518778
12/09/2013,18.07,-0.004968269
11/09/2013,18.16,-0.008225986
10/09/2013,18.31,0.001092896
09/09/2013,18.29,0.008786438
06/09/2013,18.13,-0.014239014
05/09/2013,18.39,-0.007584002
04/09/2013,18.53,-0.00377054
03/09/2013,18.6,-0.018114507
30/08/2013,18.94,0
29/08/2013,18.94,-0.010504298
28/08/2013,19.14,0.007867861
27/08/2013,18.99,0
26/08/2013,18.99,-0.007345259
23/08/2013,19.13,0.012095861
22/08/2013,18.9,0.003179653
21/08/2013,18.84,-0.015275514
20/08/2013,19.13,0.001569448
19/08/2013,19.1,-0.006263068
16/08/2013,19.22,-0.013436895
15/08/2013,19.48,-0.014271394
14/08/2013,19.76,-0.014569461
13/08/2013,20.05,-0.007453451
12/08/2013,20.2,-0.008380626
09/08/2013,20.37,-0.0102565
08/08/2013,20.58,0.008294754
07/08/2013,20.41,0.006389798
06/08/2013,20.28,-0.011764842
05/08/2013,20.52,-0.004376375
02/08/2013,20.61,-0.002906979
01/08/2013,20.67,0.005822433
31/07/2013,20.55,-0.009685306
30/07/2013,20.75,0.010172042
29/07/2013,20.54,0.005859392
26/07/2013,20.42,0.005401437
25/07/2013,20.31,0.00939903
24/07/2013,20.12,-0.017734455
23/07/2013,20.48,0.007843177
22/07/2013,20.32,-0.002948405
19/07/2013,20.38,-0.009279676
18/07/2013,20.57,0.009770473
17/07/2013,20.37,-0.000981354
16/07/2013,20.39,-0.001959824
15/07/2013,20.43,0.009343564
12/07/2013,20.24,-0.000493949
11/07/2013,20.25,0.016932675
10/07/2013,19.91,0.015692552
09/07/2013,19.6,0.00306592
08/07/2013,19.54,0.00822204
05/07/2013,19.38,-0.005146692
03/07/2013,19.48,-0.00767071
02/07/2013,19.63,-0.009632521
01/07/2013,19.82,-0.017008914
28/06/2013,20.16,-0.002477088
27/06/2013,20.21,0.000990099
26/06/2013,20.19,0.013965314
25/06/2013,19.91,0.009081798
24/06/2013,19.73,-0.007573881
21/06/2013,19.88,0.023410738
20/06/2013,19.42,-0.02391363
19/06/2013,19.89,-0.023355099
18/06/2013,20.36,0.004430231
17/06/2013,20.27,-0.000493218
14/06/2013,20.28,-0.000985707
13/06/2013,20.3,0.013889112
12/06/2013,20.02,-0.008455658
11/06/2013,20.19,-0.01474953
10/06/2013,20.49,-0.006324516
07/06/2013,20.62,0.004374248
06/06/2013,20.53,-0.00097371
05/06/2013,20.55,-0.009203262
04/06/2013,20.74,-0.004330052
03/06/2013,20.83,0.002884617
31/05/2013,20.77,-0.011964728
30/05/2013,21.02,0.008120417
29/05/2013,20.85,-0.020413716
28/05/2013,21.28,0.002352389
24/05/2013,21.23,-0.009376534
23/05/2013,21.43,-0.01711816
22/05/2013,21.8,-0.022228178
