Date,Close,AZO
04/04/2014,526.12,-0.017876961
03/04/2014,535.61,0.000261418
02/04/2014,535.47,-0.001996251
01/04/2014,536.54,-0.00104318
31/03/2014,537.1,0.018149182
28/03/2014,527.44,0.003285385
27/03/2014,525.71,0.005646392
26/03/2014,522.75,-0.01169604
25/03/2014,528.9,-0.002813207
24/03/2014,530.39,-0.012124768
21/03/2014,536.86,0.007215929
20/03/2014,533,-0.000675194
19/03/2014,533.36,-0.009312288
18/03/2014,538.35,-0.002041196
17/03/2014,539.45,0.011559745
14/03/2014,533.25,0.00849354
13/03/2014,528.74,-0.022756089
12/03/2014,540.91,0.001720805
11/03/2014,539.98,-0.00305101
10/03/2014,541.63,-0.00066444
07/03/2014,541.99,0.000904485
06/03/2014,541.5,-0.00431202
05/03/2014,543.84,0.009756175
04/03/2014,538.56,-0.004945416
03/03/2014,541.23,0.005168257
28/02/2014,538.44,-3.71437E-05
27/02/2014,538.46,0.006371703
26/02/2014,535.04,-0.007930492
25/02/2014,539.3,-0.005381378
24/02/2014,542.21,0.006012024
21/02/2014,538.96,0.000686743
20/02/2014,538.59,0.004186325
19/02/2014,536.34,-0.010497713
18/02/2014,542,0.005402019
14/02/2014,539.08,-0.003185542
13/02/2014,540.8,-0.00234562
12/02/2014,542.07,0.011037128
11/02/2014,536.12,0.018239647
10/02/2014,526.43,-0.015026253
07/02/2014,534.4,0.032792318
06/02/2014,517.16,0.059431313
05/02/2014,487.32,0.002321497
04/02/2014,486.19,0.006458624
03/02/2014,483.06,-0.024538098
31/01/2014,495.06,-0.007766795
30/01/2014,498.92,0.012058299
29/01/2014,492.94,-0.016278517
28/01/2014,501.03,-0.005116323
27/01/2014,503.6,0.00867533
24/01/2014,499.25,-8.0117E-05
23/01/2014,499.29,-0.008158263
22/01/2014,503.38,0.002267259
21/01/2014,502.24,-0.007181858
17/01/2014,505.86,0.020753144
16/01/2014,495.47,0.000787441
15/01/2014,495.08,-0.001412914
14/01/2014,495.78,0.019142069
13/01/2014,486.38,-0.00741518
10/01/2014,490,-0.004987542
09/01/2014,492.45,0.006887304
08/01/2014,489.07,0.011268188
07/01/2014,483.59,0.010017125
06/01/2014,478.77,0.006853433
03/01/2014,475.5,0.00292752
02/01/2014,474.11,-0.008045839
31/12/2013,477.94,-0.002904094
30/12/2013,479.33,0.005229262
27/12/2013,476.83,-4.19428E-05
26/12/2013,476.85,0.002687891
24/12/2013,475.57,0.006857363
23/12/2013,472.32,-0.001840277
20/12/2013,473.19,0.004978666
19/12/2013,470.84,0.000594859
18/12/2013,470.56,0.018878199
17/12/2013,461.76,-0.004839277
16/12/2013,464,-0.002539875
13/12/2013,465.18,-0.001546591
12/12/2013,465.9,-0.004048458
11/12/2013,467.79,-0.008662854
10/12/2013,471.86,0.031255235
09/12/2013,457.34,-0.004929449
06/12/2013,459.6,-0.000869944
05/12/2013,460,0.008689821
04/12/2013,456.02,-0.009797903
03/12/2013,460.51,0.00193451
02/12/2013,459.62,-0.004298654
29/11/2013,461.6,0.00608433
27/11/2013,458.8,0.003318491
26/11/2013,457.28,-0.018245755
25/11/2013,465.7,-0.004264033
22/11/2013,467.69,-0.003521769
21/11/2013,469.34,0.017278862
20/11/2013,461.3,-0.005491075
19/11/2013,463.84,0.009270155
18/11/2013,459.56,-0.009787441
15/11/2013,464.08,0.012445684
14/11/2013,458.34,0.003190492
13/11/2013,456.88,0.011734666
12/11/2013,451.55,0.008361736
11/11/2013,447.79,-0.001695785
08/11/2013,448.55,0.011344904
07/11/2013,443.49,-0.008822497
06/11/2013,447.42,0.012052131
05/11/2013,442.06,0.012634335
04/11/2013,436.51,0.003856134
01/11/2013,434.83,0.000322017
31/10/2013,434.69,0.010987469
30/10/2013,429.94,0.000255882
29/10/2013,429.83,-2.32647E-05
28/10/2013,429.84,0.000861156
25/10/2013,429.47,0.00534642
24/10/2013,427.18,-0.012584927
23/10/2013,432.59,-0.006933994
22/10/2013,435.6,0.001999242
21/10/2013,434.73,0.006044963
18/10/2013,432.11,0.006920282
17/10/2013,429.13,0.010541702
16/10/2013,424.63,0.010416021
15/10/2013,420.23,-0.013731058
14/10/2013,426.04,0.003362138
11/10/2013,424.61,0.009084734
10/10/2013,420.77,0.013157455
