Date,Close,FISV
04/04/2014,57.3,-0.007995871
03/04/2014,57.76,0.001386002
02/04/2014,57.68,0.006784405
01/04/2014,57.29,0.01052826
31/03/2014,56.69,0.014212355
28/03/2014,55.89,0.00862539
27/03/2014,55.41,-0.005040515
26/03/2014,55.69,-0.011249114
25/03/2014,56.32,-0.004605854
24/03/2014,56.58,-0.020467784
21/03/2014,57.75,-0.011877237
20/03/2014,58.44,0.005662821
19/03/2014,58.11,-0.00549169
18/03/2014,58.43,0.004459699
17/03/2014,58.17,0.016116803
14/03/2014,57.24,-0.003836099
13/03/2014,57.46,-0.019986882
12/03/2014,58.62,-0.000170576
11/03/2014,58.63,-0.000341064
10/03/2014,58.65,-0.002214086
07/03/2014,58.78,0.002043597
06/03/2014,58.66,0.006499082
05/03/2014,58.28,-0.015324666
04/03/2014,59.18,0.026540382
03/03/2014,57.63,-0.007261443
28/02/2014,58.05,0.001034126
27/02/2014,57.99,0.006053811
26/02/2014,57.64,0.002431823
25/02/2014,57.5,-0.001042934
24/02/2014,57.56,0.003306363
21/02/2014,57.37,0.003317332
20/02/2014,57.18,0.003679373
19/02/2014,56.97,-0.000701878
18/02/2014,57.01,0.015734436
14/02/2014,56.12,0.000534712
13/02/2014,56.09,0.004108983
12/02/2014,55.86,0.005565044
11/02/2014,55.55,0.013958352
10/02/2014,54.78,-0.00818112
07/02/2014,55.23,0.006904097
06/02/2014,54.85,-0.015916415
05/02/2014,55.73,0.003775285
04/02/2014,55.52,0.020379162
03/02/2014,54.4,-0.029879996
31/01/2014,56.05,-0.012940002
30/01/2014,56.78,0.010089474
29/01/2014,56.21,-0.010089474
28/01/2014,56.78,0.015619771
27/01/2014,55.9,-0.008904778
24/01/2014,56.4,-0.023654191
23/01/2014,57.75,-0.011021293
22/01/2014,58.39,0.021990324
21/01/2014,57.12,-0.002273324
17/01/2014,57.25,-0.00244243
16/01/2014,57.39,-0.007118704
15/01/2014,57.8,-0.003109348
14/01/2014,57.98,0.010228051
13/01/2014,57.39,-0.015732021
10/01/2014,58.3,-0.005303237
09/01/2014,58.61,-0.00170474
08/01/2014,58.71,0.00529418
07/01/2014,58.4,0.004978124
06/01/2014,58.11,0.001205338
03/01/2014,58.04,-0.002752927
02/01/2014,58.2,-0.014499188
31/12/2013,59.05,0.005604158
30/12/2013,58.72,0.001875054
27/12/2013,58.61,-0.004596144
26/12/2013,58.88,0.008699415
24/12/2013,58.37,-0.000342583
23/12/2013,58.39,0.00963697
20/12/2013,57.83,0.009730746
19/12/2013,57.27,-0.003486146
18/12/2013,57.47,0.015077424
17/12/2013,56.61,-0.694559361
16/12/2013,113.38,0.01367573
13/12/2013,111.84,-0.001251005
12/12/2013,111.98,0.014300734
11/12/2013,110.39,-0.006681137
10/12/2013,111.13,8.99888E-05
09/12/2013,111.12,-0.000359906
06/12/2013,111.16,0.02625014
05/12/2013,108.28,-0.007636083
04/12/2013,109.11,-0.009032496
03/12/2013,110.1,-0.008141158
02/12/2013,111,0.010050336
29/11/2013,109.89,-0.007795543
27/11/2013,110.75,0.004434196
26/11/2013,110.26,0.006916664
25/11/2013,109.5,-0.005555317
22/11/2013,110.11,0.001181335
21/11/2013,109.98,0.015393377
20/11/2013,108.3,-0.006809633
19/11/2013,109.04,-0.004118433
18/11/2013,109.49,0.008069737
15/11/2013,108.61,0.013067236
14/11/2013,107.2,9.32879E-05
13/11/2013,107.19,0.014660539
12/11/2013,105.63,0.002369557
11/11/2013,105.38,-0.002274882
08/11/2013,105.62,0.016803909
07/11/2013,103.86,-0.013864543
06/11/2013,105.31,0.005904779
05/11/2013,104.69,-0.003908676
04/11/2013,105.1,0.002381521
01/11/2013,104.85,0.001145148
31/10/2013,104.73,-0.004382629
30/10/2013,105.19,-0.013690437
29/10/2013,106.64,-0.000187529
28/10/2013,106.66,0.00338092
25/10/2013,106.3,0.006606914
24/10/2013,105.6,0.002275314
23/10/2013,105.36,-0.008223497
22/10/2013,106.23,0.008128589
21/10/2013,105.37,0.007143228
18/10/2013,104.62,0.003734742
17/10/2013,104.23,0.005001453
16/10/2013,103.71,0.017214138
15/10/2013,101.94,-0.004209296
14/10/2013,102.37,0.006271456
11/10/2013,101.73,0.012960854
10/10/2013,100.42,0.020727173
09/10/2013,98.36,-0.00182834
08/10/2013,98.54,-0.008890744
07/10/2013,99.42,-0.015767216
04/10/2013,101,0.00675544
03/10/2013,100.32,-0.014546791
02/10/2013,101.79,-0.007341099
01/10/2013,102.54,0.014637523
30/09/2013,101.05,-0.000395765
27/09/2013,101.09,0.001484928
26/09/2013,100.94,-0.004744029
25/09/2013,101.42,-0.003838021
24/09/2013,101.81,0.008978404
23/09/2013,100.9,-0.009273027
20/09/2013,101.84,-0.000981451
19/09/2013,101.94,-0.009859029
18/09/2013,102.95,0.010153363
17/09/2013,101.91,0.006596135
16/09/2013,101.24,0.008630578
13/09/2013,100.37,0.002194296
12/09/2013,100.15,-0.008946382
11/09/2013,101.05,0.010645278
10/09/2013,99.98,0.004611537
09/09/2013,99.52,0.009591673
06/09/2013,98.57,0.008865397
05/09/2013,97.7,0
04/09/2013,97.7,0.011944129
03/09/2013,96.54,0.002800686
30/08/2013,96.27,-0.000934434
29/08/2013,96.36,0.001453941
28/08/2013,96.22,-0.002905772
27/08/2013,96.5,-0.023655806
26/08/2013,98.81,-0.006657277
23/08/2013,99.47,0.003625747
22/08/2013,99.11,0.008206317
21/08/2013,98.3,-0.008811522
20/08/2013,99.17,0.003535536
19/08/2013,98.82,-0.005348956
16/08/2013,99.35,0.001208581
15/08/2013,99.23,-0.017680129
14/08/2013,101,-0.005332293
13/08/2013,101.54,0.000689621
12/08/2013,101.47,0.003455258
09/08/2013,101.12,-0.000296633
08/08/2013,101.15,0.001880165
07/08/2013,100.96,0.001685254
06/08/2013,100.79,0.004375069
05/08/2013,100.35,0.021861547
02/08/2013,98.18,0.013329429
01/08/2013,96.88,0.006628028
31/07/2013,96.24,0.039528325
30/07/2013,92.51,0.001189768
29/07/2013,92.4,-0.004211897
26/07/2013,92.79,0.000862534
25/07/2013,92.71,0.007579075
24/07/2013,92.01,0.001413889
23/07/2013,91.88,-0.002934306
22/07/2013,92.15,0.004023275
19/07/2013,91.78,0.001853973
18/07/2013,91.61,0.007120587
17/07/2013,90.96,-0.000769273
16/07/2013,91.03,-0.002304275
15/07/2013,91.24,0.001974768
12/07/2013,91.06,-0.000878156
11/07/2013,91.14,0.009370074
10/07/2013,90.29,0.009123339
09/07/2013,89.47,0.000223564
08/07/2013,89.45,0.005492979
05/07/2013,88.96,0.01175952
03/07/2013,87.92,0.012244817
02/07/2013,86.85,-0.005053416
01/07/2013,87.29,-0.001373784
28/06/2013,87.41,-0.007408708
27/06/2013,88.06,0.015103262
26/06/2013,86.74,0.003696008
25/06/2013,86.42,0.011287721
24/06/2013,85.45,-0.012213004
21/06/2013,86.5,0.005448341
20/06/2013,86.03,-0.024457273
19/06/2013,88.16,-0.005429878
18/06/2013,88.64,0.00849719
17/06/2013,87.89,0.010407825
14/06/2013,86.98,-0.010407825
13/06/2013,87.89,0.022553021
12/06/2013,85.93,-0.008459405
11/06/2013,86.66,0.002773286
10/06/2013,86.42,-0.001156471
07/06/2013,86.52,0.012093171
06/06/2013,85.48,0.003163633
05/06/2013,85.21,-0.012826668
04/06/2013,86.31,-0.010373537
03/06/2013,87.21,0.000573493
31/05/2013,87.16,-0.015257042
30/05/2013,88.5,0.008054953
29/05/2013,87.79,-0.01806122
28/05/2013,89.39,0.0146498
24/05/2013,88.09,-0.008027631
23/05/2013,88.8,-0.006174592
22/05/2013,89.35,-0.007248429
21/05/2013,90,-0.002219757
20/05/2013,90.2,-0.004314405
17/05/2013,90.59,0.018269418
16/05/2013,88.95,-0.01461998
15/05/2013,90.26,0.005109419
14/05/2013,89.8,0.004576156
13/05/2013,89.39,-0.001453245
10/05/2013,89.52,0.00593806
09/05/2013,88.99,0.002925953
08/05/2013,88.73,0.008261236
07/05/2013,88,0.016961213
06/05/2013,86.52,-0.003231021
03/05/2013,86.8,0.005777024
02/05/2013,86.3,-0.007273599
01/05/2013,86.93,-0.046964371
30/04/2013,91.11,0.00296785
29/04/2013,90.84,0.007846645
26/04/2013,90.13,-0.000443705
25/04/2013,90.17,0.0093594
24/04/2013,89.33,0.011937079
23/04/2013,88.27,0.006820533
22/04/2013,87.67,0.004000234
19/04/2013,87.32,0.015232235
18/04/2013,86,-0.008567842
17/04/2013,86.74,-0.008495057
16/04/2013,87.48,0.020440691
15/04/2013,85.71,-0.024433623
12/04/2013,87.83,-0.006355713
11/04/2013,88.39,0.000452642
10/04/2013,88.35,0.024288054
09/04/2013,86.23,0.006632173
08/04/2013,85.66,0.009618842
05/04/2013,84.84,-0.016366977
04/04/2013,86.24,0.004765511
03/04/2013,85.83,-0.01411407
02/04/2013,87.05,0.000459612
01/04/2013,87.01,-0.009721584
28/03/2013,87.86,0.017683318
27/03/2013,86.32,-0.00231428
26/03/2013,86.52,0.009406096
25/03/2013,85.71,-0.004423756
22/03/2013,86.09,0.00910158
21/03/2013,85.31,-0.005261016
20/03/2013,85.76,0.007960707
19/03/2013,85.08,0.000705467
18/03/2013,85.02,-0.005044887
15/03/2013,85.45,0.001874195
14/03/2013,85.29,0.00493654
13/03/2013,84.87,0.002005072
12/03/2013,84.7,0.000118071
11/03/2013,84.69,-0.000236128
08/03/2013,84.71,0.007583873
07/03/2013,84.07,0.00130929
