Date,Close,NOC
04/04/2014,120.69,-0.03524845
03/04/2014,125.02,0.003445378
02/04/2014,124.59,0.005150088
01/04/2014,123.95,0.004609235
31/03/2014,123.38,0.01280657
28/03/2014,121.81,0.015470836
27/03/2014,119.94,-0.014238651
26/03/2014,121.66,-0.003855782
25/03/2014,122.13,0.00913023
24/03/2014,121.02,-0.007081133
21/03/2014,121.88,-0.0037671
20/03/2014,122.34,-0.004404216
19/03/2014,122.88,-0.008992648
18/03/2014,123.99,0.012008258
17/03/2014,122.51,0.008772346
14/03/2014,121.44,0.004125759
13/03/2014,120.94,-0.012163201
12/03/2014,122.42,0.005323736
11/03/2014,121.77,-0.007771318
10/03/2014,122.72,-0.012792661
07/03/2014,124.3,0.004919563
06/03/2014,123.69,0.000323441
05/03/2014,123.65,-0.004840671
04/03/2014,124.25,0.026339844
03/03/2014,121.02,-8.26276E-05
28/02/2014,121.03,0.008380053
27/02/2014,120.02,0.010890616
26/02/2014,118.72,-0.008053735
25/02/2014,119.68,-0.020182654
24/02/2014,122.12,0.013603409
21/02/2014,120.47,-0.00116144
20/02/2014,120.61,0.013018627
19/02/2014,119.05,-0.008448045
18/02/2014,120.06,-0.00183074
14/02/2014,120.28,0.011876028
13/02/2014,118.86,0.006668661
12/02/2014,118.07,0.0099588
11/02/2014,116.9,0.022317335
10/02/2014,114.32,-0.005669691
07/02/2014,114.97,0.023675473
06/02/2014,112.28,0.007868424
05/02/2014,111.4,0.005400553
04/02/2014,110.8,-0.02187099
03/02/2014,113.25,-0.020105572
31/01/2014,115.55,0.020105572
30/01/2014,113.25,0.009938852
29/01/2014,112.13,0.001070759
28/01/2014,112.01,-0.006141268
27/01/2014,112.7,-0.00663279
24/01/2014,113.45,-0.035076122
23/01/2014,117.5,-0.023716527
22/01/2014,120.32,0.009436002
21/01/2014,119.19,0.008002401
17/01/2014,118.24,-0.000422779
16/01/2014,118.29,0.003472079
15/01/2014,117.88,0.006553494
14/01/2014,117.11,0.012718226
13/01/2014,115.63,-0.006379332
10/01/2014,116.37,0.006379332
