Date,Close,AFL
04/04/2014,63.28,-0.011626211
03/04/2014,64.02,0.008785748
02/04/2014,63.46,0.002208551
01/04/2014,63.32,0.004431789
31/03/2014,63.04,0.00604616
28/03/2014,62.66,0.006243517
27/03/2014,62.27,-0.007041156
26/03/2014,62.71,-0.003660967
25/03/2014,62.94,0.003979946
24/03/2014,62.69,-0.00461527
21/03/2014,62.98,-0.003645301
20/03/2014,63.21,-0.002370231
19/03/2014,63.36,-0.014882393
18/03/2014,64.31,0.007648519
17/03/2014,63.82,-0.004533737
14/03/2014,64.11,-0.001091278
13/03/2014,64.18,-0.011001893
12/03/2014,64.89,-0.000924214
11/03/2014,64.95,-0.0090429
10/03/2014,65.54,-0.00106748
07/03/2014,65.61,0.005961953
06/03/2014,65.22,0.003225066
05/03/2014,65.01,-0.001844168
04/03/2014,65.13,0.017189738
03/03/2014,64.02,-0.000936768
28/02/2014,64.08,0.010983948
27/02/2014,63.38,0.012383076
26/02/2014,62.6,0.001278773
25/02/2014,62.52,0.00352508
24/02/2014,62.3,-0.000320976
21/02/2014,62.32,-0.009581677
20/02/2014,62.92,0.007657983
19/02/2014,62.44,-0.009404708
18/02/2014,63.03,-0.001585289
14/02/2014,63.13,0.005400267
13/02/2014,62.79,0.000637247
12/02/2014,62.75,0.005433059
11/02/2014,62.41,-0.00032041
10/02/2014,62.43,-0.003996488
07/02/2014,62.68,0.015272381
06/02/2014,61.73,-0.000485869
05/02/2014,61.76,0.004706655
04/02/2014,61.47,0.012276118
03/02/2014,60.72,-0.033363418
31/01/2014,62.78,-0.00666775
30/01/2014,63.2,0.017236303
29/01/2014,62.12,-0.005298238
28/01/2014,62.45,0.010624697
27/01/2014,61.79,-0.00805936
24/01/2014,62.29,-0.020183442
23/01/2014,63.56,-0.013129291
22/01/2014,64.4,-0.006654826
21/01/2014,64.83,0.00185271
17/01/2014,64.71,-0.00185271
16/01/2014,64.83,-0.001695307
15/01/2014,64.94,0.003702565
14/01/2014,64.7,0.009316838
13/01/2014,64.1,-0.016554876
10/01/2014,65.17,0.013906281
09/01/2014,64.27,-0.00558574
08/01/2014,64.63,-0.007092228
07/01/2014,65.09,0.003231518
06/01/2014,64.88,-0.019385481
03/01/2014,66.15,0.002876393
02/01/2014,65.96,-0.012654583
31/12/2013,66.8,0.001648064
30/12/2013,66.69,-0.008362002
27/12/2013,67.25,0.002083954
26/12/2013,67.11,0.009431914
24/12/2013,66.48,0.00195739
23/12/2013,66.35,0.01060616
20/12/2013,65.65,-0.005317141
19/12/2013,66,-0.008899674
18/12/2013,66.59,0.00874817
17/12/2013,66.01,-0.00528822
16/12/2013,66.36,0.006045968
13/12/2013,65.96,0.004863231
12/12/2013,65.64,-0.001218027
11/12/2013,65.72,-0.008334013
10/12/2013,66.27,-0.002712479
09/12/2013,66.45,-0.002855213
06/12/2013,66.64,0.014206072
05/12/2013,65.7,-0.000152195
04/12/2013,65.71,0.002590478
03/12/2013,65.54,-0.010774822
02/12/2013,66.25,-0.001809682
29/11/2013,66.37,-0.001054138
27/11/2013,66.44,0
26/11/2013,66.44,0.003316753
25/11/2013,66.22,-0.005271493
22/11/2013,66.57,0.000450755
21/11/2013,66.54,0.004971762
20/11/2013,66.21,-0.001056684
19/11/2013,66.28,-0.009310775
18/11/2013,66.9,-0.008632291
15/11/2013,67.48,0.000148203
