Date,Close,FOXA
04/04/2014,32.87,-0.026123689
03/04/2014,33.74,0.004455673
02/04/2014,33.59,0.016509455
01/04/2014,33.04,0.032920986
31/03/2014,31.97,0.011324437
28/03/2014,31.61,-0.001896334
27/03/2014,31.67,-0.012551153
26/03/2014,32.07,-0.013626721
25/03/2014,32.51,0.007409728
24/03/2014,32.27,-0.014154082
21/03/2014,32.73,-0.000610874
20/03/2014,32.75,-0.007604599
19/03/2014,33,-0.001816531
18/03/2014,33.06,0.020474359
17/03/2014,32.39,0.003092148
14/03/2014,32.29,0.005590077
13/03/2014,32.11,-0.017901713
12/03/2014,32.69,-0.008528836
11/03/2014,32.97,-0.021603
10/03/2014,33.69,-0.006508899
07/03/2014,33.91,-0.012600899
06/03/2014,34.34,0.011716596
05/03/2014,33.94,0.004429359
04/03/2014,33.79,0.021840808
03/03/2014,33.06,-0.014414664
28/02/2014,33.54,0.015019808
27/02/2014,33.04,0.006376217
26/02/2014,32.83,-0.010905894
25/02/2014,33.19,0.000602773
24/02/2014,33.17,0.006958128
21/02/2014,32.94,0.008230499
20/02/2014,32.67,-0.003056237
19/02/2014,32.77,-0.007902777
18/02/2014,33.03,0.013410747
14/02/2014,32.59,0.010797575
13/02/2014,32.24,-0.010183702
12/02/2014,32.57,0.012979169
11/02/2014,32.15,0
10/02/2014,32.15,-0.002795467
07/02/2014,32.24,0.002795467
06/02/2014,32.15,0.013465054
05/02/2014,31.72,0.005056901
04/02/2014,31.56,0.021781771
03/02/2014,30.88,-0.029986298
31/01/2014,31.82,-0.006265685
30/01/2014,32.02,0.041121331
29/01/2014,30.73,-0.017419795
28/01/2014,31.27,0.007060363
27/01/2014,31.05,-0.007060363
24/01/2014,31.27,-0.014918544
23/01/2014,31.74,-0.010343299
22/01/2014,32.07,0.004688241
21/01/2014,31.92,-0.00375235
17/01/2014,32.04,-0.013331464
16/01/2014,32.47,-0.004302404
15/01/2014,32.61,0.00955176
14/01/2014,32.3,-0.001546791
13/01/2014,32.35,-0.033736675
10/01/2014,33.46,-0.001194743
09/01/2014,33.5,-0.026220386
08/01/2014,34.39,-0.016724727
07/01/2014,34.97,0.004873164
06/01/2014,34.8,-0.011428696
03/01/2014,35.2,-0.012141897
02/01/2014,35.63,0.012994533
31/12/2013,35.17,0.00427412
30/12/2013,35.02,0.001714776
27/12/2013,34.96,-0.000571919
26/12/2013,34.98,0.00544648
24/12/2013,34.79,0.005765366
23/12/2013,34.59,0.008419269
20/12/2013,34.3,0.009667572
19/12/2013,33.97,0.015127087
18/12/2013,33.46,0.018094583
17/12/2013,32.86,0.000608828
16/12/2013,32.84,-0.002736812
13/12/2013,32.93,0.008233009
12/12/2013,32.66,-0.000918133
11/12/2013,32.69,-0.01427511
10/12/2013,33.16,0.001811048
09/12/2013,33.1,-0.00120773
06/12/2013,33.14,0.01214344
05/12/2013,32.74,-0.005178991
04/12/2013,32.91,-0.009375541
03/12/2013,33.22,-0.009288456
02/12/2013,33.53,0.001193674
29/11/2013,33.49,-0.000298552
27/11/2013,33.5,0.008995563
26/11/2013,33.2,0
25/11/2013,33.2,-0.006006024
22/11/2013,33.4,0.004200426
21/11/2013,33.26,0.004218144
20/11/2013,33.12,-0.004218144
19/11/2013,33.26,-0.014624944
18/11/2013,33.75,-0.012952786
15/11/2013,34.19,0.001756441
14/11/2013,34.13,0.012975706
13/11/2013,33.69,0.015555204
12/11/2013,33.17,-0.008704843
11/11/2013,33.46,-0.011292839
08/11/2013,33.84,0.031215019
07/11/2013,32.8,-0.033576296
06/11/2013,33.92,-0.004999275
05/11/2013,34.09,-0.0017585
04/11/2013,34.15,-0.006421505
01/11/2013,34.37,0.008473389
31/10/2013,34.08,0.004116442
30/10/2013,33.94,-0.025597675
29/10/2013,34.82,-0.00028715
28/10/2013,34.83,-0.000860956
25/10/2013,34.86,-0.009137699
24/10/2013,35.18,0.011722793
23/10/2013,34.77,-0.002871915
22/10/2013,34.87,0.013570296
21/10/2013,34.4,0.004078071
18/10/2013,34.26,-0.001749782
17/10/2013,34.32,0.011134015
16/10/2013,33.94,0.015439737
15/10/2013,33.42,-0.008046534
14/10/2013,33.69,0.013747975
11/10/2013,33.23,0.010892695
10/10/2013,32.87,0.020593935
09/10/2013,32.2,-0.007425777
08/10/2013,32.44,-0.019838893
07/10/2013,33.09,-0.016781934
04/10/2013,33.65,0.014970339
03/10/2013,33.15,-0.016751813
02/10/2013,33.71,-0.007977587
01/10/2013,33.98,0.013928214
30/09/2013,33.51,0.007488428
27/09/2013,33.26,0.007242035
26/09/2013,33.02,0.010656213
25/09/2013,32.67,0.003679857
24/09/2013,32.55,-0.005820203
23/09/2013,32.74,-0.008212974
20/09/2013,33.01,0.006077199
19/09/2013,32.81,0.002441258
18/09/2013,32.73,0.004286596
17/09/2013,32.59,-0.000306796
16/09/2013,32.6,-0.000919822
13/09/2013,32.63,0.009855331
12/09/2013,32.31,-0.004939806
11/09/2013,32.47,0.007729208
10/09/2013,32.22,0.002797205
09/09/2013,32.13,0.000934143
06/09/2013,32.1,0.004683849
05/09/2013,31.95,0
04/09/2013,31.95,0.007540092
03/09/2013,31.71,0.012055984
30/08/2013,31.33,-0.002868528
29/08/2013,31.42,-0.00476267
28/08/2013,31.57,-0.000949818
27/08/2013,31.6,-0.015075662
26/08/2013,32.08,-0.003423062
23/08/2013,32.19,0.003423062
22/08/2013,32.08,0.0198338
21/08/2013,31.45,-0.013893498
20/08/2013,31.89,0.014211513
19/08/2013,31.44,-0.016716996
16/08/2013,31.97,0.004074602
15/08/2013,31.84,-0.013414645
14/08/2013,32.27,-0.007717279
13/08/2013,32.52,-0.004295803
12/08/2013,32.66,-0.003362375
09/08/2013,32.77,-0.000610128
08/08/2013,32.79,0.030342885
07/08/2013,31.81,0.018401534
06/08/2013,31.23,-0.004154024
05/08/2013,31.36,-0.005406278
02/08/2013,31.53,0.029286083
01/08/2013,30.62,0.02446403
31/07/2013,29.88,0.015514645
30/07/2013,29.42,-0.016518157
29/07/2013,29.91,-0.017236091
26/07/2013,30.43,0.001315357
25/07/2013,30.39,-0.002957124
24/07/2013,30.48,-0.012390116
23/07/2013,30.86,-0.000323992
22/07/2013,30.87,0.006173862
19/07/2013,30.68,-0.011021181
18/07/2013,31.02,0.028115615
17/07/2013,30.16,-0.001987414
16/07/2013,30.22,0.007306575
15/07/2013,30,-0.006313362
12/07/2013,30.19,0.008315365
11/07/2013,29.94,-0.002668447
10/07/2013,30.02,-0.002329064
09/07/2013,30.09,-0.009262388
08/07/2013,30.37,-0.000658328
05/07/2013,30.39,0.024651481
03/07/2013,29.65,0.014951009
02/07/2013,29.21,-0.006483558
01/07/2013,29.4,-0.102703929
28/06/2013,32.58,-0.003370618
27/06/2013,32.69,0.01665677
26/06/2013,32.15,0.021695553
25/06/2013,31.46,0.010223731
24/06/2013,31.14,-0.008951466
21/06/2013,31.42,0.004465717
20/06/2013,31.28,-0.02991878
19/06/2013,32.23,0.0210072
18/06/2013,31.56,0.00891158
17/06/2013,31.28,-0.000319642
14/06/2013,31.29,-0.012387009
13/06/2013,31.68,0.023635722
12/06/2013,30.94,-0.023320015
11/06/2013,31.67,-0.00880232
10/06/2013,31.95,-0.00686216
07/06/2013,32.17,0.010939318
06/06/2013,31.82,0.009155549
05/06/2013,31.53,-0.029377113
04/06/2013,32.47,-0.000307929
03/06/2013,32.48,0.011457007
31/05/2013,32.11,-0.009608008
30/05/2013,32.42,-0.011652999
29/05/2013,32.8,-0.013325455
28/05/2013,33.24,0.004522848
24/05/2013,33.09,0.006670734
23/05/2013,32.87,-0.010591717
22/05/2013,33.22,0.000301069
21/05/2013,33.21,0.004829469
20/05/2013,33.05,-0.005130538
17/05/2013,33.22,0.010895992
16/05/2013,32.86,-0.015700806
15/05/2013,33.38,-0.002991327
14/05/2013,33.48,0.005090593
13/05/2013,33.31,0.001201562
10/05/2013,33.27,-0.000600962
09/05/2013,33.29,0.043905747
08/05/2013,31.86,-0.010304541
07/05/2013,32.19,0.005607491
06/05/2013,32.01,0.001250391
03/05/2013,31.97,0.002819109
02/05/2013,31.88,0.023806869
01/05/2013,31.13,0.00515299
30/04/2013,30.97,-0.000645578
29/04/2013,30.99,-0.005149673
26/04/2013,31.15,-0.00160385
25/04/2013,31.2,0.002567396
24/04/2013,31.12,-0.016571444
23/04/2013,31.64,0
22/04/2013,31.64,0.013683587
19/04/2013,31.21,0.024981023
18/04/2013,30.44,-0.018874625
17/04/2013,31.02,-0.009943947
16/04/2013,31.33,0.030133497
15/04/2013,30.4,-0.036813973
12/04/2013,31.54,-0.001267427
11/04/2013,31.58,0.011785453
10/04/2013,31.21,0.001282463
09/04/2013,31.17,-0.00767022
08/04/2013,31.41,0.024819969
05/04/2013,30.64,0.007534843
04/04/2013,30.41,-0.010793236
03/04/2013,30.74,-0.00938974
02/04/2013,31.03,0.022487505
01/04/2013,30.34,-0.005587525
28/03/2013,30.51,0.00921969
27/03/2013,30.23,-0.003302513
26/03/2013,30.33,0.003302513
25/03/2013,30.23,-0.001982816
22/03/2013,30.29,0.014297833
21/03/2013,29.86,-0.006342869
20/03/2013,30.05,0.014075299
19/03/2013,29.63,-0.017729182
18/03/2013,30.16,-0.006609409
15/03/2013,30.36,-0.00950671
14/03/2013,30.65,0.006218315
13/03/2013,30.46,-0.000328246
12/03/2013,30.47,-0.007194276
11/03/2013,30.69,0.003917733
08/03/2013,30.57,0.020489811
07/03/2013,29.95,0.002674692
06/03/2013,29.87,-0.010656111
05/03/2013,30.19,0.023459521
04/03/2013,29.49,0.011939422
01/03/2013,29.14,0.011389252
28/02/2013,28.81,0
27/02/2013,28.81,0.017860744
26/02/2013,28.3,0.010657294
25/02/2013,28,-0.020152706
22/02/2013,28.57,0.011263759
21/02/2013,28.25,-0.015803665
20/02/2013,28.7,-0.016243661
19/02/2013,29.17,0.009299189
15/02/2013,28.9,0.014288447
14/02/2013,28.49,0.00598488
13/02/2013,28.32,-0.000705965
12/02/2013,28.34,0.001059135
11/02/2013,28.31,-0.005284494
08/02/2013,28.46,0.032134147
07/02/2013,27.56,-0.0236655
06/02/2013,28.22,-0.004596084
05/02/2013,28.35,0.014209831
04/02/2013,27.95,-0.007485332
01/02/2013,28.16,0.015027116
31/01/2013,27.74,-0.005751274
30/01/2013,27.9,0.004310352
29/01/2013,27.78,0.007950891
28/01/2013,27.56,0.012780893
25/01/2013,27.21,0.00552793
24/01/2013,27.06,-0.012851288
23/01/2013,27.41,0.008794487
22/01/2013,27.17,-0.003307003
18/01/2013,27.26,-0.007674074
17/01/2013,27.47,0.017628073
16/01/2013,26.99,-0.001850824
15/01/2013,27.04,0.008915364
14/01/2013,26.8,-0.004839019
11/01/2013,26.93,-0.00148423
10/01/2013,26.97,0.021739987
09/01/2013,26.39,0.009901071
08/01/2013,26.13,-0.002675331
07/01/2013,26.2,-0.011385322
04/01/2013,26.5,0.009097864
03/01/2013,26.26,-0.013240216
02/01/2013,26.61,0.042216553
31/12/2012,25.51,0.035917668
28/12/2012,24.61,-0.011313252
27/12/2012,24.89,-0.000803213
26/12/2012,24.91,-0.009588567
24/12/2012,25.15,0.007984074
21/12/2012,24.95,-0.018662444
20/12/2012,25.42,0.007502503
19/12/2012,25.23,-0.010252456
18/12/2012,25.49,0.017013269
17/12/2012,25.06,0.025051815
14/12/2012,24.44,-0.008961363
13/12/2012,24.66,-0.005257848
12/12/2012,24.79,-0.005631551
11/12/2012,24.93,0.002811811
10/12/2012,24.86,-0.000402172
07/12/2012,24.87,0.010915815
06/12/2012,24.6,0.014329826
05/12/2012,24.25,-0.01066458
04/12/2012,24.51,-0.000815661
03/12/2012,24.53,-0.00447428
30/11/2012,24.64,-0.003241494
29/11/2012,24.72,0.014259765
28/11/2012,24.37,0.018219966
27/11/2012,23.93,-0.008322978
26/11/2012,24.13,-0.007020471
23/11/2012,24.3,0.019950786
21/11/2012,23.82,-0.007944846
20/11/2012,24.01,0.001667362
19/11/2012,23.97,0.028778965
16/11/2012,23.29,0.00732604
15/11/2012,23.12,-0.018003058
14/11/2012,23.54,-0.025169114
13/11/2012,24.14,-0.006194527
12/11/2012,24.29,-0.005337726
09/11/2012,24.42,0.002460026
08/11/2012,24.36,-0.012645488
07/11/2012,24.67,0.015934964
06/11/2012,24.28,0.014938037
05/11/2012,23.92,0.001254968
02/11/2012,23.89,-0.015368942
01/11/2012,24.26,0.013696002
31/10/2012,23.93,0.005867578
26/10/2012,23.79,-0.012531492
25/10/2012,24.09,-0.014015069
24/10/2012,24.43,0.013600045
23/10/2012,24.1,-0.025805241
22/10/2012,24.73,-0.007252248
19/10/2012,24.91,-0.020266936
18/10/2012,25.42,0.008692271
17/10/2012,25.2,0.017210751
16/10/2012,24.77,0.016690801
15/10/2012,24.36,0.010315751
12/10/2012,24.11,-0.004139079
11/10/2012,24.21,-0.005355317
10/10/2012,24.34,-0.011438033
09/10/2012,24.62,-0.020503231
08/10/2012,25.13,-0.002384739
05/10/2012,25.19,0.005972544
04/10/2012,25.04,0.011245098
03/10/2012,24.76,0.004858309
02/10/2012,24.64,0.003659284
01/10/2012,24.55,0.001630657
28/09/2012,24.51,-0.005695703
27/09/2012,24.65,0.012655813
26/09/2012,24.34,-0.004509128
25/09/2012,24.45,-0.015019564
24/09/2012,24.82,-0.005624764
21/09/2012,24.96,-0.002400962
20/09/2012,25.02,0.005611237
19/09/2012,24.88,0.01620781
18/09/2012,24.48,-0.004889985
17/09/2012,24.6,-0.002841488
14/09/2012,24.67,0.012645488
13/09/2012,24.36,0.008658063
12/09/2012,24.15,-0.008247469
11/09/2012,24.35,0.008247469
10/09/2012,24.15,-0.013163497
07/09/2012,24.47,-0.00122524
06/09/2012,24.5,0.031090587
05/09/2012,23.75,0.009306328
04/09/2012,23.53,0.005967622
31/08/2012,23.39,0.011178104
30/08/2012,23.13,-0.011178104
29/08/2012,23.39,0.004713958
28/08/2012,23.28,-0.004286333
27/08/2012,23.38,0.002998503
24/08/2012,23.31,0
23/08/2012,23.31,-0.00939375
22/08/2012,23.53,0.008536117
21/08/2012,23.33,0.011640571
20/08/2012,23.06,-0.008635632
17/08/2012,23.26,-0.010690715
16/08/2012,23.51,0.00468984
15/08/2012,23.4,0.004282662
14/08/2012,23.3,0.001288383
13/08/2012,23.27,-0.005143603
10/08/2012,23.39,-0.011899843
09/08/2012,23.67,-0.002110151
08/08/2012,23.72,-0.005884843
07/08/2012,23.86,0.010956705
06/08/2012,23.6,0.005523702
03/08/2012,23.47,0.014160288
02/08/2012,23.14,0.005633818
01/08/2012,23.01,-0.000434499
31/07/2012,23.02,-0.010801574
