Date,Close,DTE
04/04/2014,74.74,0.0012049
03/04/2014,74.65,0.003220183
02/04/2014,74.41,-0.001745553
01/04/2014,74.54,0.003359541
31/03/2014,74.29,0.014917554
28/03/2014,73.19,0.00369585
27/03/2014,72.92,0.008815484
26/03/2014,72.28,0.001245934
25/03/2014,72.19,0.003469094
24/03/2014,71.94,0.005855307
21/03/2014,71.52,0.010541949
20/03/2014,70.77,0.001697073
19/03/2014,70.65,-0.016146367
18/03/2014,71.8,-0.002503827
17/03/2014,71.98,0.004595148
14/03/2014,71.65,0.003635351
13/03/2014,71.39,0.003086422
12/03/2014,71.17,0.01743365
11/03/2014,69.94,-0.006129304
10/03/2014,70.37,0.000568586
07/03/2014,70.33,-0.000284333
06/03/2014,70.35,-0.00778765
05/03/2014,70.9,-0.008007348
04/03/2014,71.47,0.008007348
03/03/2014,70.9,-0.012056784
28/02/2014,71.76,0.007272759
27/02/2014,71.24,-0.003782842
26/02/2014,71.51,-0.004464916
25/02/2014,71.83,-0.000417566
24/02/2014,71.86,-0.005966025
21/02/2014,72.29,-0.000553174
20/02/2014,72.33,0.0119612
19/02/2014,71.47,-0.009053617
18/02/2014,72.12,0.005422328
14/02/2014,71.73,0.03057563
13/02/2014,69.57,0.009677262
12/02/2014,68.9,-0.002898553
11/02/2014,69.1,0.01267038
10/02/2014,68.23,0.004995603
07/02/2014,67.89,0.004576667
06/02/2014,67.58,0.007873472
05/02/2014,67.05,-0.00609622
04/02/2014,67.46,-0.007531602
03/02/2014,67.97,-0.003671346
31/01/2014,68.22,0.013874761
30/01/2014,67.28,0.014220732
29/01/2014,66.33,-0.000602864
28/01/2014,66.37,0.006196649
27/01/2014,65.96,0.007456475
24/01/2014,65.47,-0.01500824
23/01/2014,66.46,-0.006150173
22/01/2014,66.87,0.00389572
21/01/2014,66.61,0.011475288
17/01/2014,65.85,-0.000910747
16/01/2014,65.91,0.003647975
15/01/2014,65.67,-0.007584988
14/01/2014,66.17,0.001815157
13/01/2014,66.05,-0.009343046
10/01/2014,66.67,0.014960611
09/01/2014,65.68,0.008869916
08/01/2014,65.1,-0.010087202
07/01/2014,65.76,0.008705668
06/01/2014,65.19,0.00092081
03/01/2014,65.13,-0.001994019
02/01/2014,65.26,-0.017167152
31/12/2013,66.39,0.001054932
30/12/2013,66.32,-0.000602954
27/12/2013,66.36,0.003018415
26/12/2013,66.16,-0.007829007
24/12/2013,66.68,0.001951513
23/12/2013,66.55,-0.000901172
20/12/2013,66.61,0.01527902
19/12/2013,65.6,-0.008349195
18/12/2013,66.15,0.01323918
17/12/2013,65.28,-0.01172632
16/12/2013,66.05,0.01050158
13/12/2013,65.36,0
12/12/2013,65.36,-0.009744291
11/12/2013,66,-0.009500185
10/12/2013,66.63,-0.008815896
09/12/2013,67.22,-0.005785079
06/12/2013,67.61,0.018360095
05/12/2013,66.38,-0.006756275
04/12/2013,66.83,-0.000299222
03/12/2013,66.85,0.001047669
02/12/2013,66.78,0.000599161
29/11/2013,66.74,-0.002693403
27/11/2013,66.92,-0.004026551
26/11/2013,67.19,-0.014480158
25/11/2013,68.17,-0.010070873
22/11/2013,68.86,-0.000870954
21/11/2013,68.92,0.002178808
20/11/2013,68.77,-0.000290782
19/11/2013,68.79,-0.008396112
18/11/2013,69.37,-0.00172836
15/11/2013,69.49,0.004904799
14/11/2013,69.15,0.014420176
13/11/2013,68.16,-0.00190546
12/11/2013,68.29,-0.012948461
11/11/2013,69.18,-0.002310137
08/11/2013,69.34,-0.000288392
07/11/2013,69.36,-0.011895518
06/11/2013,70.19,0.006145071
05/11/2013,69.76,-0.004862014
04/11/2013,70.1,0.009459724
01/11/2013,69.44,0.004329636
31/10/2013,69.14,-0.002888506
30/10/2013,69.34,-0.006468793
29/10/2013,69.79,0.002151618
28/10/2013,69.64,0.002876045
25/10/2013,69.44,0.026855087
24/10/2013,67.6,-0.00971596
23/10/2013,68.26,0.012382234
22/10/2013,67.42,0.008640006
21/10/2013,66.84,-0.005520342
18/10/2013,67.21,-0.000148776
17/10/2013,67.22,0.014384425
16/10/2013,66.26,0.008335276
15/10/2013,65.71,-0.01180044
14/10/2013,66.49,-0.005100521
11/10/2013,66.83,0.004649427
10/10/2013,66.52,0.013622127
09/10/2013,65.62,0.008416914
08/10/2013,65.07,0.008333382
07/10/2013,64.53,-0.008333382
04/10/2013,65.07,-0.001842469
03/10/2013,65.19,-0.017185428
02/10/2013,66.32,0.002869009
01/10/2013,66.13,0.002270836
30/09/2013,65.98,-0.001211754
27/09/2013,66.06,-0.007540377
26/09/2013,66.56,0.000150252
25/09/2013,66.55,-0.009422039
24/09/2013,67.18,-0.006232399
23/09/2013,67.6,0.006232399
20/09/2013,67.18,-0.010807715
19/09/2013,67.91,-0.004261266
18/09/2013,68.2,0.029462033
17/09/2013,66.22,0.004692357
