Date,Close,CCI
04/04/2014,74.75,-0.004138581
03/04/2014,75.06,0.005745223
02/04/2014,74.63,-0.001740411
01/04/2014,74.76,0.01319529
31/03/2014,73.78,-0.011186854
28/03/2014,74.61,-0.007610692
27/03/2014,75.18,0.02368886
26/03/2014,73.42,-0.003670727
25/03/2014,73.69,-0.005953204
24/03/2014,74.13,0.005817509
21/03/2014,73.7,-0.006356957
20/03/2014,74.17,0.006764095
19/03/2014,73.67,-0.015489568
18/03/2014,74.82,-0.000801603
17/03/2014,74.88,-0.000800961
14/03/2014,74.94,-0.003197445
13/03/2014,75.18,-0.007421184
12/03/2014,75.74,0.008352717
11/03/2014,75.11,0.004938282
10/03/2014,74.74,0.001472853
07/03/2014,74.63,-0.003611319
06/03/2014,74.9,0.005220546
05/03/2014,74.51,-0.00388454
04/03/2014,74.8,0.000668673
03/03/2014,74.75,-0.015267472
28/02/2014,75.9,0.00581397
27/02/2014,75.46,0.023599915
26/02/2014,73.7,-0.00756965
25/02/2014,74.26,-0.006175345
24/02/2014,74.72,-0.002139038
21/02/2014,74.88,-0.018655036
20/02/2014,76.29,0.023608524
19/02/2014,74.51,0.001477403
18/02/2014,74.4,-0.008298803
14/02/2014,75.02,0.006284703
13/02/2014,74.55,0.018957914
12/02/2014,73.15,-0.002321296
11/02/2014,73.32,0.012765255
10/02/2014,72.39,0.01153191
07/02/2014,71.56,0.014498107
06/02/2014,70.53,0.020194027
05/02/2014,69.12,0.000578871
04/02/2014,69.08,0.001738627
03/02/2014,68.96,-0.028589712
31/01/2014,70.96,-0.006461604
30/01/2014,71.42,0.013390855
29/01/2014,70.47,-0.00749279
28/01/2014,71,0.002256064
27/01/2014,70.84,-0.0074538
24/01/2014,71.37,-0.025317808
23/01/2014,73.2,-0.007756724
22/01/2014,73.77,-0.008234944
21/01/2014,74.38,0.002153433
17/01/2014,74.22,0.006759523
16/01/2014,73.72,-0.007567604
15/01/2014,74.28,0.018615933
14/01/2014,72.91,0.01813073
13/01/2014,71.6,-0.003485539
10/01/2014,71.85,0.001114051
09/01/2014,71.77,-0.003477297
08/01/2014,72.02,-0.010359924
07/01/2014,72.77,0.020828301
06/01/2014,71.27,0.000421023
03/01/2014,71.24,-0.005459522
02/01/2014,71.63,-0.024818591
31/12/2013,73.43,0.002863964
30/12/2013,73.22,0.008916994
27/12/2013,72.57,0.000137807
26/12/2013,72.56,0.001655173
24/12/2013,72.44,0.004011348
23/12/2013,72.15,0.002358983
20/12/2013,71.98,-0.014071138
19/12/2013,73,0.011019395
18/12/2013,72.2,0.008205317
17/12/2013,71.61,-0.007789718
16/12/2013,72.17,-0.02382369
13/12/2013,73.91,-0.001892404
12/12/2013,74.05,-0.001214657
11/12/2013,74.14,-0.014329003
