Date,Close,PX
04/04/2014,129.46,-0.013579556
03/04/2014,131.23,-0.002891495
02/04/2014,131.61,0.00418777
01/04/2014,131.06,0.000686944
31/03/2014,130.97,0.012523693
28/03/2014,129.34,0.004183782
27/03/2014,128.8,-0.006654826
26/03/2014,129.66,-0.012949876
25/03/2014,131.35,-0.003040671
24/03/2014,131.75,-0.008841256
21/03/2014,132.92,0.003089329
20/03/2014,132.51,-0.00113135
19/03/2014,132.66,-0.001355932
18/03/2014,132.84,0.003166707
17/03/2014,132.42,0.005072502
14/03/2014,131.75,-0.002274451
13/03/2014,132.05,-0.000227161
12/03/2014,132.08,0.003716771
11/03/2014,131.59,7.59965E-05
10/03/2014,131.58,0.0038835
07/03/2014,131.07,0.001832761
06/03/2014,130.83,0.009831864
05/03/2014,129.55,-0.011130416
04/03/2014,131,0.005434588
03/03/2014,130.29,-0.000613826
28/02/2014,130.37,0.003996624
27/02/2014,129.85,0.007886232
26/02/2014,128.83,0.000232892
25/02/2014,128.8,0.012893322
24/02/2014,127.15,-0.007209498
21/02/2014,128.07,0
20/02/2014,128.07,-0.000624463
19/02/2014,128.15,-0.012176829
18/02/2014,129.72,-0.000693561
14/02/2014,129.81,0.003086184
13/02/2014,129.41,0.01033059
12/02/2014,128.08,-0.00272894
11/02/2014,128.43,0.005856875
10/02/2014,127.68,0.004867718
07/02/2014,127.06,0.022122331
06/02/2014,124.28,0.012713237
05/02/2014,122.71,0.00269289
04/02/2014,122.38,0.007134394
03/02/2014,121.51,-0.026074661
31/01/2014,124.72,-0.006154849
30/01/2014,125.49,-0.014556067
29/01/2014,127.33,0.012884026
28/01/2014,125.7,-0.000318167
27/01/2014,125.74,-0.009734555
24/01/2014,126.97,-0.033381609
23/01/2014,131.28,-0.014594384
22/01/2014,133.21,0
21/01/2014,133.21,0.005797118
17/01/2014,132.44,-0.000981095
16/01/2014,132.57,-0.002636636
15/01/2014,132.92,0.00800669
14/01/2014,131.86,0.008071315
13/01/2014,130.8,-0.012837732
10/01/2014,132.49,0.011309848
09/01/2014,131,0.000534494
08/01/2014,130.93,0.005283927
07/01/2014,130.24,0.005775244
06/01/2014,129.49,-0.001466219
03/01/2014,129.68,0.001388996
02/01/2014,129.5,-0.004084312
31/12/2013,130.03,0.000153822
30/12/2013,130.01,0
27/12/2013,130.01,0.003390095
26/12/2013,129.57,0.004641456
24/12/2013,128.97,0.007862104
23/12/2013,127.96,0.003287674
20/12/2013,127.54,0.003062549
19/12/2013,127.15,0.003861161
18/12/2013,126.66,0.011274435
17/12/2013,125.24,0.001758172
16/12/2013,125.02,0.00617806
13/12/2013,124.25,-0.00345479
12/12/2013,124.68,0.004501615
11/12/2013,124.12,-0.014556763
10/12/2013,125.94,0.004217233
09/12/2013,125.41,-0.000398613
06/12/2013,125.46,0.023957589
05/12/2013,122.49,-0.00918295
04/12/2013,123.62,-0.005002835
03/12/2013,124.24,-0.004337008
02/12/2013,124.78,-0.011791086
29/11/2013,126.26,-0.002531246
27/11/2013,126.58,0.004037211
26/11/2013,126.07,0
25/11/2013,126.07,-0.003958207
22/11/2013,126.57,0.00912741
21/11/2013,125.42,0.007362389
20/11/2013,124.5,-0.013879141
19/11/2013,126.24,-0.000395993
18/11/2013,126.29,-0.004030192
15/11/2013,126.8,0.009349565
14/11/2013,125.62,0.008634528
13/11/2013,124.54,0.003942239
12/11/2013,124.05,-0.005065745
11/11/2013,124.68,0.001525064
08/11/2013,124.49,0.002493265
07/11/2013,124.18,-0.013676384
06/11/2013,125.89,0.007014776
05/11/2013,125.01,0.010291962
04/11/2013,123.73,-0.002905337
01/11/2013,124.09,-0.004983933
31/10/2013,124.71,0.001685326
30/10/2013,124.5,-0.001284315
29/10/2013,124.66,0.004985937
28/10/2013,124.04,-0.009627802
25/10/2013,125.24,0.009789054
24/10/2013,124.02,0.001533186
23/10/2013,123.83,-0.015863175
22/10/2013,125.81,0.008140508
21/10/2013,124.79,-0.001201298
18/10/2013,124.94,0.004331442
17/10/2013,124.4,0.009936665
16/10/2013,123.17,0.016948864
15/10/2013,121.1,-0.009451478
14/10/2013,122.25,0.004426962
11/10/2013,121.71,0.003291913
10/10/2013,121.31,0.019057707
09/10/2013,119.02,0.010727813
08/10/2013,117.75,-0.017092994
07/10/2013,119.78,-0.013516521
04/10/2013,121.41,0.010848518
03/10/2013,120.1,-0.011013236
02/10/2013,121.43,0.004953366
01/10/2013,120.83,0.005144386
30/09/2013,120.21,0.002915818
27/09/2013,119.86,-0.002749429
26/09/2013,120.19,0.005590103
25/09/2013,119.52,-0.008249016
24/09/2013,120.51,-0.00281737
23/09/2013,120.85,-0.00725537
20/09/2013,121.73,-0.008588659
19/09/2013,122.78,-0.007707636
18/09/2013,123.73,0.019093269
17/09/2013,121.39,-0.006732374
16/09/2013,122.21,0.014340117
13/09/2013,120.47,0.001911014
12/09/2013,120.24,-0.007126905
11/09/2013,121.1,0.009708411
10/09/2013,119.93,0.005686109
09/09/2013,119.25,0.009605736
06/09/2013,118.11,0.001609965
05/09/2013,117.92,0.00110305
04/09/2013,117.79,0.002720396
03/09/2013,117.47,0.000596074
30/08/2013,117.4,0.009843863
29/08/2013,116.25,-0.001375398
28/08/2013,116.41,-0.003601444
27/08/2013,116.83,-0.009456134
26/08/2013,117.94,-0.006507523
23/08/2013,118.71,0.00422084
22/08/2013,118.21,0.005854172
21/08/2013,117.52,0.00042555
20/08/2013,117.47,0.001959866
19/08/2013,117.24,-0.00552887
16/08/2013,117.89,-0.002964471
15/08/2013,118.24,-0.008337944
14/08/2013,119.23,-0.008684815
13/08/2013,120.27,0.003748599
12/08/2013,119.82,-0.010295674
09/08/2013,121.06,-0.002062962
08/08/2013,121.31,0.007945089
07/08/2013,120.35,-0.0010796
06/08/2013,120.48,0.003159035
05/08/2013,120.1,-0.001747016
02/08/2013,120.31,0.002246724
01/08/2013,120.04,-0.001082386
31/07/2013,120.17,-0.004235007
30/07/2013,120.68,0.010160827
29/07/2013,119.46,0.003858094
26/07/2013,119,-0.001679262
25/07/2013,119.2,0.009609785
24/07/2013,118.06,0.009019035
23/07/2013,117,-8.54664E-05
22/07/2013,117.01,-0.001110399
19/07/2013,117.14,0.003763261
18/07/2013,116.7,0.002058673
17/07/2013,116.46,0.003699088
