Date,Close,CRM
04/04/2014,54.41,-0.024150062
03/04/2014,55.74,-0.042327857
02/04/2014,58.15,-0.011115976
01/04/2014,58.8,0.029512885
31/03/2014,57.09,0.02375156
28/03/2014,55.75,-0.003938423
27/03/2014,55.97,0.013671737
26/03/2014,55.21,-0.025747891
25/03/2014,56.65,0.0051323
24/03/2014,56.36,-0.011817758
21/03/2014,57.03,-0.035991831
20/03/2014,59.12,0.01173982
19/03/2014,58.43,-0.020329347
18/03/2014,59.63,0.022213715
17/03/2014,58.32,0.002747254
14/03/2014,58.16,-0.015356043
13/03/2014,59.06,-0.040808449
12/03/2014,61.52,0.008160646
11/03/2014,61.02,0.020530522
10/03/2014,59.78,-0.015931303
07/03/2014,60.74,-0.038752024
06/03/2014,63.14,-0.008516058
05/03/2014,63.68,0.009625321
04/03/2014,63.07,0.025370661
03/03/2014,61.49,-0.014209831
28/02/2014,62.37,-0.059898142
27/02/2014,66.22,0.038170223
26/02/2014,63.74,0.001255887
25/02/2014,63.66,-0.003919422
24/02/2014,63.91,0.005019618
21/02/2014,63.59,0.009162781
20/02/2014,63.01,-0.000158692
19/02/2014,63.02,-0.011203273
18/02/2014,63.73,0.014700336
14/02/2014,62.8,-0.005241019
13/02/2014,63.13,0.026484174
12/02/2014,61.48,0.004074653
11/02/2014,61.23,0.003107879
10/02/2014,61.04,-0.008320466
07/02/2014,61.55,-0.002434078
06/02/2014,61.7,0.001135166
05/02/2014,61.63,0.010930854
04/02/2014,60.96,0.041704109
03/02/2014,58.47,-0.034625308
31/01/2014,60.53,-0.00724283
30/01/2014,60.97,0.050628822
29/01/2014,57.96,-0.024035931
28/01/2014,59.37,0.039335256
27/01/2014,57.08,-0.022862097
24/01/2014,58.4,-0.028361118
23/01/2014,60.08,-0.017489309
22/01/2014,61.14,0.003112461
21/01/2014,60.95,0.018045354
17/01/2014,59.86,0.010918056
16/01/2014,59.21,-0.008576526
15/01/2014,59.72,0.037708127
14/01/2014,57.51,0.022864169
13/01/2014,56.21,-0.013079013
10/01/2014,56.95,0.01165679
09/01/2014,56.29,-0.011481182
08/01/2014,56.94,0.035574401
07/01/2014,54.95,0.01318942
06/01/2014,54.23,-0.016278366
03/01/2014,55.12,0.004728141
02/01/2014,54.86,-0.005997292
31/12/2013,55.19,0.00036245
30/12/2013,55.17,0.013136478
27/12/2013,54.45,-0.007319337
26/12/2013,54.85,0.000911993
24/12/2013,54.8,0.004022679
23/12/2013,54.58,0.015882144
20/12/2013,53.72,0.012173575
19/12/2013,53.07,-0.005449605
18/12/2013,53.36,0.021595838
17/12/2013,52.22,0.020507587
16/12/2013,51.16,0.000586568
13/12/2013,51.13,0.00293801
12/12/2013,50.98,-0.008788261
11/12/2013,51.43,-0.043563712
10/12/2013,53.72,0.000744879
09/12/2013,53.68,-0.003718859
06/12/2013,53.88,0.015524486
05/12/2013,53.05,0.014812272
04/12/2013,52.27,0.012319694
03/12/2013,51.63,0.001356721
02/12/2013,51.56,-0.010226814
29/11/2013,52.09,-0.011832199
27/11/2013,52.71,0.00780882
26/11/2013,52.3,-0.008567401
25/11/2013,52.75,-0.036117105
22/11/2013,54.69,0.0045817
21/11/2013,54.44,0.01536356
20/11/2013,53.61,0.016361437
19/11/2013,52.74,-0.051189004
18/11/2013,55.51,-0.031911944
15/11/2013,57.31,0.005599315
14/11/2013,56.99,-0.003852894
13/11/2013,57.21,0.008778146
12/11/2013,56.71,0.010458307
11/11/2013,56.12,0.011289431
08/11/2013,55.49,0.020758211
07/11/2013,54.35,-0.01606167
06/11/2013,55.23,-0.008294314
05/11/2013,55.69,0.001977173
04/11/2013,55.58,0.029580393
01/11/2013,53.96,0.01118163
31/10/2013,53.36,0.010739623
30/10/2013,52.79,-0.017091223
29/10/2013,53.7,0.003918281
28/10/2013,53.49,-0.019806293
25/10/2013,54.56,0.003304574
24/10/2013,54.38,0.01930992
23/10/2013,53.34,-0.017469316
22/10/2013,54.28,-0.014993881
21/10/2013,55.1,0.01831553
18/10/2013,54.1,0.020353611
17/10/2013,53.01,0.008144756
16/10/2013,52.58,0.036015509
15/10/2013,50.72,-0.008833113
14/10/2013,51.17,0.001956182
11/10/2013,51.07,-0.009160965
10/10/2013,51.54,0.032136822
09/10/2013,49.91,-0.004597709
08/10/2013,50.14,-0.039496825
07/10/2013,52.16,-0.012763294
04/10/2013,52.83,0.015835493
03/10/2013,52,-0.021874386
02/10/2013,53.15,0.009831805
01/10/2013,52.63,0.01377485
30/09/2013,51.91,-0.009967497
27/09/2013,52.43,-0.016832549
26/09/2013,53.32,0.016069918
25/09/2013,52.47,0.006309169
24/09/2013,52.14,-0.004019529
23/09/2013,52.35,-0.007801391
20/09/2013,52.76,-0.011682816
19/09/2013,53.38,0.016813469
18/09/2013,52.49,0.050601673
17/09/2013,49.9,0.005022612
16/09/2013,49.65,0.00020143
13/09/2013,49.64,-0.006425725
12/09/2013,49.96,0.001602564
11/09/2013,49.88,-0.002802805
10/09/2013,50.02,0.016529302
09/09/2013,49.2,0.014948574
06/09/2013,48.47,-0.002678481
05/09/2013,48.6,-0.003491839
04/09/2013,48.77,-0.016472157
03/09/2013,49.58,0.00911768
30/08/2013,49.13,0.118266564
29/08/2013,43.65,0.020132579
28/08/2013,42.78,0.007508247
27/08/2013,42.46,-0.021896985
26/08/2013,43.4,-0.004368325
23/08/2013,43.59,-0.003663847
22/08/2013,43.75,0.005730675
21/08/2013,43.5,0.002531938
20/08/2013,43.39,-0.001151676
19/08/2013,43.44,-0.008937839
16/08/2013,43.83,0.005261364
15/08/2013,43.6,-0.024021096
14/08/2013,44.66,-0.00913859
13/08/2013,45.07,-0.00707498
12/08/2013,45.39,0.003973515
09/08/2013,45.21,-0.00066335
08/08/2013,45.24,0.007098521
07/08/2013,44.92,-0.011069407
06/08/2013,45.42,-0.005926919
05/08/2013,45.69,0.003727666
02/08/2013,45.52,0.008383018
01/08/2013,45.14,0.031277159
31/07/2013,43.75,-0.005470723
30/07/2013,43.99,0.01557878
29/07/2013,43.31,0.002080204
26/07/2013,43.22,0
25/07/2013,43.22,0.028395666
24/07/2013,42.01,-0.012537125
23/07/2013,42.54,0.011823264
22/07/2013,42.04,-0.01088253
19/07/2013,42.5,0.014218249
18/07/2013,41.9,-0.019147258
17/07/2013,42.71,0.020580265
16/07/2013,41.84,-0.003340495
15/07/2013,41.98,-0.010662345
12/07/2013,42.43,0.02168042
11/07/2013,41.52,0.043817002
10/07/2013,39.74,0.026001975
09/07/2013,38.72,0.007517858
08/07/2013,38.43,-0.013183595
05/07/2013,38.94,0.0100659
03/07/2013,38.55,0.009906233
02/07/2013,38.17,0.009740764
01/07/2013,37.8,-0.010002716
28/06/2013,38.18,-0.017138825
27/06/2013,38.84,0.021864484
26/06/2013,38,0.014846508
25/06/2013,37.44,0.013174004
24/06/2013,36.95,-0.035884249
21/06/2013,38.3,0.041311671
20/06/2013,36.75,-0.024194729
19/06/2013,37.65,-0.015810606
18/06/2013,38.25,0.000784621
17/06/2013,38.22,0.017419284
14/06/2013,37.56,-0.006369448
13/06/2013,37.8,0.005837109
12/06/2013,37.58,-0.000266064
11/06/2013,37.59,-0.028584613
10/06/2013,38.68,-0.023758941
07/06/2013,39.61,0.03991775
06/06/2013,38.06,0.002894358
05/06/2013,37.95,0.003960401
04/06/2013,37.8,-0.082238098
03/06/2013,41.04,-0.030948854
31/05/2013,42.33,-0.010107032
30/05/2013,42.76,0.019601525
29/05/2013,41.93,0.003105222
28/05/2013,41.8,-0.034100894
24/05/2013,43.25,-0.054882222
23/05/2013,45.69,-0.001967859
22/05/2013,45.78,-0.011942385
21/05/2013,46.33,-0.014570646
20/05/2013,47.01,0.00469084
17/05/2013,46.79,0.013772544
16/05/2013,46.15,0.029912061
15/05/2013,44.79,-0.004233046
14/05/2013,44.98,0.022937817
13/05/2013,43.96,-0.004765696
10/05/2013,44.17,0.023363408
09/05/2013,43.15,0.018241853
08/05/2013,42.37,-0.001179384
07/05/2013,42.42,-0.000471365
06/05/2013,42.44,0.004723674
03/05/2013,42.24,0.008798059
02/05/2013,41.87,0.007431414
01/05/2013,41.56,0.010886765
30/04/2013,41.11,0.002435462
29/04/2013,41.01,0.007342177
26/04/2013,40.71,-0.001227446
25/04/2013,40.76,-0.003673324
24/04/2013,40.91,-0.004146853
23/04/2013,41.08,0.018673761
22/04/2013,40.32,-0.013793322
