Date,Close,GMCR
04/04/2014,102.99,-0.051933928
03/04/2014,108.48,-0.007347572
02/04/2014,109.28,-0.004473872
01/04/2014,109.77,0.038823598
31/03/2014,105.59,-0.023955483
28/03/2014,108.15,0.012280366
27/03/2014,106.83,0.010917756
26/03/2014,105.67,-0.01502799
25/03/2014,107.27,0.013042643
24/03/2014,105.88,-0.056192494
21/03/2014,112,-0.029905483
20/03/2014,115.4,0.001647804
19/03/2014,115.21,-0.005021656
18/03/2014,115.79,0.00198833
17/03/2014,115.56,0.020192111
14/03/2014,113.25,0.064650374
13/03/2014,106.16,-0.022724017
12/03/2014,108.6,0.022064853
11/03/2014,106.23,0.021311814
10/03/2014,103.99,-0.019144353
07/03/2014,106,-0.010510607
06/03/2014,107.12,-0.031427745
05/03/2014,110.54,0.017521894
04/03/2014,108.62,-0.01207921
03/03/2014,109.94,0.001456399
28/02/2014,109.78,-0.02793553
27/02/2014,112.89,-0.028037995
26/02/2014,116.1,-0.011986445
25/02/2014,117.5,-0.033393621
24/02/2014,121.49,-0.012677551
21/02/2014,123.04,-0.005673084
20/02/2014,123.74,0.04800657
19/02/2014,117.94,-0.020311231
18/02/2014,120.36,0.036638473
14/02/2014,116.03,-0.040039132
13/02/2014,120.77,0.006729556
12/02/2014,119.96,0.004679153
11/02/2014,119.4,0.07366998
10/02/2014,110.92,0.028995492
07/02/2014,107.75,0.053861004
06/02/2014,102.1,0.23298615
05/02/2014,80.88,0.00919147
04/02/2014,80.14,0.027194492
03/02/2014,77.99,-0.037868541
31/01/2014,81,0.023104368
30/01/2014,79.15,0.033923335
29/01/2014,76.51,-0.009625465
28/01/2014,77.25,-0.004907035
27/01/2014,77.63,-0.013435043
24/01/2014,78.68,-0.027330271
23/01/2014,80.86,-0.00358003
22/01/2014,81.15,0.01389773
21/01/2014,80.03,0.013460169
17/01/2014,78.96,-0.014209607
16/01/2014,80.09,0.012438128
15/01/2014,79.1,-0.015679217
14/01/2014,80.35,0.011767787
13/01/2014,79.41,-0.016857489
10/01/2014,80.76,0.000867142
09/01/2014,80.69,0.00124008
08/01/2014,80.59,0.011230465
07/01/2014,79.69,0.034988247
06/01/2014,76.95,0.015717416
03/01/2014,75.75,0.014895873
02/01/2014,74.63,-0.012119746
31/12/2013,75.54,0.001457243
30/12/2013,75.43,0.0079862
27/12/2013,74.83,-0.013011336
26/12/2013,75.81,0.012877709
24/12/2013,74.84,-0.001468723
23/12/2013,74.95,-0.030225691
20/12/2013,77.25,0.0130295
19/12/2013,76.25,0.001181025
18/12/2013,76.16,0.019088597
17/12/2013,74.72,0.007927485
16/12/2013,74.13,0.020029282
13/12/2013,72.66,0.019175244
12/12/2013,71.28,-0.011576948
11/12/2013,72.11,-0.011581544
10/12/2013,72.95,0.015750533
09/12/2013,71.81,0.007127415
06/12/2013,71.3,0.028018614
05/12/2013,69.33,-0.01033156
04/12/2013,70.05,0.02369026
03/12/2013,68.41,0.005129344
02/12/2013,68.06,0.010041431
29/11/2013,67.38,-0.001927497
27/11/2013,67.51,0.050895771
26/11/2013,64.16,-0.052375938
25/11/2013,67.61,-0.017011702
22/11/2013,68.77,-0.025837522
