Date,Close,FCX
04/04/2014,33.32,-0.002697439
03/04/2014,33.41,0.002697439
02/04/2014,33.32,0.012077441
01/04/2014,32.92,-0.004546151
31/03/2014,33.07,0.006370414
28/03/2014,32.86,0.013789095
27/03/2014,32.41,0.022465843
26/03/2014,31.69,-0.012231609
25/03/2014,32.08,0.014442951
24/03/2014,31.62,-0.021586948
21/03/2014,32.31,0.044620596
20/03/2014,30.9,-0.00548654
19/03/2014,31.07,-0.017863314
18/03/2014,31.63,0.004118491
17/03/2014,31.5,0.014066728
14/03/2014,31.06,0.013614473
13/03/2014,30.64,-0.004233844
12/03/2014,30.77,0.001951855
11/03/2014,30.71,-0.021582413
10/03/2014,31.38,-0.025485098
07/03/2014,32.19,-0.049692137
06/03/2014,33.83,-0.002361973
05/03/2014,33.91,0.011269396
04/03/2014,33.53,0.021097829
03/03/2014,32.83,0.006417134
28/02/2014,32.62,-0.025723918
27/02/2014,33.47,0.001794259
26/02/2014,33.41,0.019341794
25/02/2014,32.77,-0.013337573
24/02/2014,33.21,-0.004506542
21/02/2014,33.36,-0.01162284
20/02/2014,33.75,0.017334564
19/02/2014,33.17,-0.017038224
18/02/2014,33.74,-0.00029634
14/02/2014,33.75,0.017636087
13/02/2014,33.16,0.011525757
12/02/2014,32.78,-0.012430052
11/02/2014,33.19,0.02935093
10/02/2014,32.23,-0.003716325
07/02/2014,32.35,0.025357439
06/02/2014,31.54,0.014370357
05/02/2014,31.09,0.004836379
04/02/2014,30.94,-0.00451468
03/02/2014,31.08,-0.041902492
31/01/2014,32.41,0
30/01/2014,32.41,0.002162163
29/01/2014,32.34,-0.006779687
28/01/2014,32.56,0.005234808
27/01/2014,32.39,-0.01166373
24/01/2014,32.77,-0.027390727
23/01/2014,33.68,-0.024634677
22/01/2014,34.52,-0.021210311
21/01/2014,35.26,-0.026033661
17/01/2014,36.19,-0.019699679
16/01/2014,36.91,0.00816109
15/01/2014,36.61,0.013474699
14/01/2014,36.12,0.013658749
13/01/2014,35.63,-0.015042066
10/01/2014,36.17,0.012799284
09/01/2014,35.71,-0.013628357
08/01/2014,36.2,-0.012627124
07/01/2014,36.66,-0.009772065
06/01/2014,37.02,-0.008071069
03/01/2014,37.32,-0.008272229
02/01/2014,37.63,-0.002918935
31/12/2013,37.74,0.001856518
30/12/2013,37.67,0.004523089
27/12/2013,37.5,0.014504686
26/12/2013,36.96,0.018018506
24/12/2013,36.3,0.015827069
23/12/2013,35.73,0.001120135
20/12/2013,35.69,0.014108586
19/12/2013,35.19,0.000284212
18/12/2013,35.18,0.00799091
17/12/2013,34.9,0.008633147
16/12/2013,34.6,0.007542827
13/12/2013,34.34,0.001457089
12/12/2013,34.29,-0.004655231
11/12/2013,34.45,-0.012691258
10/12/2013,34.89,0.007479897
09/12/2013,34.63,0.011033794
06/12/2013,34.25,-0.000875529
05/12/2013,34.28,-0.007555979
04/12/2013,34.54,0.009307804
03/12/2013,34.22,-0.001168224
02/12/2013,34.26,-0.012472968
29/11/2013,34.69,0.000288309
27/11/2013,34.68,-0.018286224
26/11/2013,35.32,-0.013219149
25/11/2013,35.79,-0.008624341
22/11/2013,36.1,-0.001937181
21/11/2013,36.17,-0.000276434
20/11/2013,36.18,-0.006062295
19/11/2013,36.4,-0.002469476
18/11/2013,36.49,-0.00927448
15/11/2013,36.83,0.013393667
14/11/2013,36.34,0.000275217
13/11/2013,36.33,0.011906551
12/11/2013,35.9,-0.015478474
11/11/2013,36.46,-0.003285874
08/11/2013,36.58,0.017929042
07/11/2013,35.93,-0.03150514
06/11/2013,37.08,-0.002962167
05/11/2013,37.19,-0.005630796
04/11/2013,37.4,0.016716485
01/11/2013,36.78,0.000543922
31/10/2013,36.76,-0.014046692
30/10/2013,37.28,-0.01067246
29/10/2013,37.68,0.010940736
28/10/2013,37.27,-0.004550938
25/10/2013,37.44,0.000801603
24/10/2013,37.41,0.021070472
23/10/2013,36.63,0.007398307
22/10/2013,36.36,0.036979003
21/10/2013,35.04,0.004290011
18/10/2013,34.89,0.005172425
17/10/2013,34.71,0.016851067
16/10/2013,34.13,0.002640459
15/10/2013,34.04,0.005006637
14/10/2013,33.87,0.012776879
11/10/2013,33.44,0.006299706
10/10/2013,33.23,0.010588512
09/10/2013,32.88,-0.000608088
08/10/2013,32.9,-0.016579129
07/10/2013,33.45,-0.009817125
04/10/2013,33.78,0.023058366
03/10/2013,33.01,-0.015033356
02/10/2013,33.51,0.017763526
01/10/2013,32.92,-0.004848494
30/09/2013,33.08,-0.010225653
27/09/2013,33.42,-0.013375144
26/09/2013,33.87,0.001181684
25/09/2013,33.83,0.002663906
24/09/2013,33.74,-0.000592593
23/09/2013,33.76,-0.003252997
20/09/2013,33.87,-0.021324015
19/09/2013,34.6,0.001446132
18/09/2013,34.55,0.02996699
17/09/2013,33.53,0.008385793
16/09/2013,33.25,0.006335818
13/09/2013,33.04,-0.003323768
12/09/2013,33.15,0.009699985
11/09/2013,32.83,0.027796725
10/09/2013,31.93,0.002822646
09/09/2013,31.84,0.020946497
06/09/2013,31.18,0.013561719
05/09/2013,30.76,-0.010992675
04/09/2013,31.1,-0.00064288
03/09/2013,31.12,0.029346742
30/08/2013,30.22,-0.00659633
29/08/2013,30.42,-0.001970444
28/08/2013,30.48,-0.003929278
27/08/2013,30.6,-0.029304947
26/08/2013,31.51,-0.008846819
23/08/2013,31.79,0.013937508
22/08/2013,31.35,0.032088315
21/08/2013,30.36,-0.020215882
20/08/2013,30.98,0.001615248
19/08/2013,30.93,-0.019529995
16/08/2013,31.54,-0.011976191
15/08/2013,31.92,0.010392158
14/08/2013,31.59,0.013705394
13/08/2013,31.16,-0.021902161
12/08/2013,31.85,0.007563856
09/08/2013,31.61,0.025958836
08/08/2013,30.8,0.045500128
07/08/2013,29.43,0.009216655
06/08/2013,29.16,0.00481266
05/08/2013,29.02,-0.006183462
02/08/2013,29.2,0.003430535
01/08/2013,29.1,0.028583333
31/07/2013,28.28,0.002478316
30/07/2013,28.21,-0.012330612
29/07/2013,28.56,-0.012871982
26/07/2013,28.93,0.003115807
25/07/2013,28.84,-0.001386002
24/07/2013,28.88,-0.037714679
23/07/2013,29.99,0.02840908
22/07/2013,29.15,0.020447775
19/07/2013,28.56,0.013749556
18/07/2013,28.17,0.002132197
17/07/2013,28.11,-0.005321992
16/07/2013,28.26,0.004610755
15/07/2013,28.13,0.002847991
12/07/2013,28.05,-0.016967533
11/07/2013,28.53,0.033140393
10/07/2013,27.6,-0.001448226
09/07/2013,27.64,0.006533599
08/07/2013,27.46,0.004379569
05/07/2013,27.34,-0.012359299
03/07/2013,27.68,-0.002165284
02/07/2013,27.74,-0.018925757
01/07/2013,28.27,0.023623146
28/06/2013,27.61,0.011291324
27/06/2013,27.3,0.016620881
26/06/2013,26.85,-0.015154605
25/06/2013,27.26,0.016272548
24/06/2013,26.82,-0.048754653
21/06/2013,28.16,0.015748357
20/06/2013,27.72,-0.051672011
19/06/2013,29.19,-0.011241815
18/06/2013,29.52,-0.004731337
17/06/2013,29.66,0.003039003
14/06/2013,29.57,-0.004723356
13/06/2013,29.71,0.004047223
12/06/2013,29.59,-0.024371094
11/06/2013,30.32,-0.018301164
10/06/2013,30.88,-0.001294499
07/06/2013,30.92,-0.003551255
06/06/2013,31.03,0.023146918
05/06/2013,30.32,-0.01732919
04/06/2013,30.85,-0.019897961
03/06/2013,31.47,0.013435903
31/05/2013,31.05,-0.025438574
30/05/2013,31.85,0.025116564
29/05/2013,31.06,0.005488311
28/05/2013,30.89,0.015989899
24/05/2013,30.4,-0.017283978
23/05/2013,30.93,-0.023327468
22/05/2013,31.66,-0.010056653
