Date,Close,FE
04/04/2014,34.03,0.005894506
03/04/2014,33.83,0.011894282
02/04/2014,33.43,-0.002688575
01/04/2014,33.52,-0.015100213
31/03/2014,34.03,-0.001468213
28/03/2014,34.08,0.015673839
27/03/2014,33.55,0.011692533
26/03/2014,33.16,0.000905114
25/03/2014,33.13,-0.008116684
24/03/2014,33.4,0.016604155
21/03/2014,32.85,0.031228384
20/03/2014,31.84,0.003775964
19/03/2014,31.72,-0.00659861
18/03/2014,31.93,0.001253526
17/03/2014,31.89,0.015484588
14/03/2014,31.4,-0.00063674
13/03/2014,31.42,0.013457428
12/03/2014,31,0.007122076
11/03/2014,30.78,-0.005184717
10/03/2014,30.94,0.008764867
07/03/2014,30.67,-0.005527571
06/03/2014,30.84,-0.007108269
05/03/2014,31.06,0.014267427
04/03/2014,30.62,0.003271184
03/03/2014,30.52,-0.008482922
28/02/2014,30.78,-0.000324834
27/02/2014,30.79,-0.008408846
26/02/2014,31.05,0.008084118
25/02/2014,30.8,-0.028801991
24/02/2014,31.7,0
21/02/2014,31.7,-0.017511392
20/02/2014,32.26,0.016565467
19/02/2014,31.73,0.003472774
18/02/2014,31.62,-0.004102894
14/02/2014,31.75,0.004735605
13/02/2014,31.6,0.016914397
12/02/2014,31.07,-0.008014148
11/02/2014,31.32,0.011560822
10/02/2014,30.96,0.006480904
07/02/2014,30.76,0.009800797
06/02/2014,30.46,0.007910391
05/02/2014,30.22,-0.023545888
04/02/2014,30.94,-0.009969531
03/02/2014,31.25,-0.007650659
31/01/2014,31.49,0.010534814
30/01/2014,31.16,0.018789021
29/01/2014,30.58,0.000981515
28/01/2014,30.55,-0.01074404
27/01/2014,30.88,-0.006133998
24/01/2014,31.07,0.003223729
23/01/2014,30.97,-0.00515299
22/01/2014,31.13,-0.032240466
21/01/2014,32.15,-0.014206539
17/01/2014,32.61,0.00368664
16/01/2014,32.49,0.025562489
15/01/2014,31.67,-0.005981444
14/01/2014,31.86,-0.003133816
13/01/2014,31.96,-0.013673302
10/01/2014,32.4,0.018692133
09/01/2014,31.8,-0.001885015
08/01/2014,31.86,-0.000941177
07/01/2014,31.89,0.00156912
06/01/2014,31.84,-0.005324993
03/01/2014,32.01,-0.011492594
02/01/2014,32.38,-0.018360369
31/12/2013,32.98,0.006387854
30/12/2013,32.77,-0.000610128
27/12/2013,32.79,0.022202577
26/12/2013,32.07,-0.004666364
24/12/2013,32.22,-0.002789402
23/12/2013,32.31,-0.00924221
20/12/2013,32.61,0.031461869
19/12/2013,31.6,-0.011953587
18/12/2013,31.98,0.001251565
17/12/2013,31.94,0.00376412
16/12/2013,31.82,0.003462934
13/12/2013,31.71,-0.015023757
12/12/2013,32.19,0.001865672
11/12/2013,32.13,-0.001865672
10/12/2013,32.19,-0.00896867
09/12/2013,32.48,0.001232286
06/12/2013,32.44,0.011159446
05/12/2013,32.08,-0.013622502
04/12/2013,32.52,-0.000307456
03/12/2013,32.53,-0.001535863
02/12/2013,32.58,-0.001533507
29/11/2013,32.63,0.003992021
27/11/2013,32.5,-0.013751172
26/11/2013,32.95,-0.010265791
25/11/2013,33.29,-0.001800721
22/11/2013,33.35,-0.006575039
21/11/2013,33.57,-0.01155055
20/11/2013,33.96,-0.02930719
19/11/2013,34.97,-0.012503715
18/11/2013,35.41,-0.001693003
15/11/2013,35.47,-0.011771436
14/11/2013,35.89,-0.00500279
13/11/2013,36.07,-0.017042743
12/11/2013,36.69,0.001909699
11/11/2013,36.62,-0.058856104
08/11/2013,38.84,0.01347869
07/11/2013,38.32,0.005495238
06/11/2013,38.11,0.025782159
05/11/2013,37.14,-0.026044523
04/11/2013,38.12,0
01/11/2013,38.12,0.006579837
31/10/2013,37.87,-0.002637132
30/10/2013,37.97,-0.000789785
29/10/2013,38,0.004748096
28/10/2013,37.82,-0.001585205
25/10/2013,37.88,0.011950746
24/10/2013,37.43,-0.015376761
23/10/2013,38.01,-0.010208177
22/10/2013,38.4,0.0104713
21/10/2013,38,0.001580195
18/10/2013,37.94,0.009800105
17/10/2013,37.57,0.01420745
16/10/2013,37.04,-0.006190304
15/10/2013,37.27,-0.017553642
14/10/2013,37.93,0.000527426
11/10/2013,37.91,-0.001318044
10/10/2013,37.96,0.007403524
09/10/2013,37.68,0.00612274
08/10/2013,37.45,0.006966802
07/10/2013,37.19,0.005933135
04/10/2013,36.97,0.006785207
03/10/2013,36.72,-0.009486451
02/10/2013,37.07,0.003783788
01/10/2013,36.93,0.01308277
30/09/2013,36.45,-0.003833521
27/09/2013,36.59,-0.009519996
26/09/2013,36.94,-0.004052417
25/09/2013,37.09,-0.008590657
24/09/2013,37.41,-0.006129266
23/09/2013,37.64,0.026381072
20/09/2013,36.66,-0.033528687
19/09/2013,37.91,-0.012321561
18/09/2013,38.38,0.016815951
17/09/2013,37.74,0.011995346
16/09/2013,37.29,0.004838719
13/09/2013,37.11,0.005674924
12/09/2013,36.9,-0.01586268
11/09/2013,37.49,-0.010085011
10/09/2013,37.87,0.018657258
09/09/2013,37.17,0.004854378
