Date,Close,EQR
04/04/2014,59.16,0.00882858
03/04/2014,58.64,-0.009842265
02/04/2014,59.22,0.011207453
01/04/2014,58.56,0.009781288
31/03/2014,57.99,0.01040051
28/03/2014,57.39,0.003491014
27/03/2014,57.19,0.001049685
26/03/2014,57.13,-0.012178299
25/03/2014,57.83,0.016388093
24/03/2014,56.89,-0.005259479
21/03/2014,57.19,-0.00052443
20/03/2014,57.22,-0.001048035
19/03/2014,57.28,-0.019535585
18/03/2014,58.41,0.000685049
17/03/2014,58.37,0.00515288
14/03/2014,58.07,0.002931795
13/03/2014,57.9,-0.012529126
12/03/2014,58.63,0.009597332
11/03/2014,58.07,0.00587221
10/03/2014,57.73,-0.008967123
07/03/2014,58.25,-0.001886631
06/03/2014,58.36,-0.006660429
05/03/2014,58.75,-0.011003073
04/03/2014,59.4,0.01492565
03/03/2014,58.52,0.000854774
28/02/2014,58.47,0.001883079
27/02/2014,58.36,-0.003591896
26/02/2014,58.57,-0.003749152
25/02/2014,58.79,0.004090682
24/02/2014,58.55,-0.00272898
21/02/2014,58.71,-0.000340599
20/02/2014,58.73,0.00409487
19/02/2014,58.49,-0.008681644
18/02/2014,59,0.007144103
14/02/2014,58.58,0.004791248
13/02/2014,58.3,0.001544932
12/02/2014,58.21,0.003097043
11/02/2014,58.03,0.007437551
10/02/2014,57.6,0.012754606
07/02/2014,56.87,0.006881368
06/02/2014,56.48,0.012471211
05/02/2014,55.78,0.007196864
04/02/2014,55.38,0.010528324
03/02/2014,54.8,-0.010528324
31/01/2014,55.38,0.004343112
30/01/2014,55.14,0.021817714
29/01/2014,53.95,0.001669604
28/01/2014,53.86,0.009326686
27/01/2014,53.36,-0.0063516
24/01/2014,53.7,-0.001302689
23/01/2014,53.77,-0.003897917
22/01/2014,53.98,-0.008118126
21/01/2014,54.42,0.010715048
17/01/2014,53.84,-0.000928247
16/01/2014,53.89,0.002043281
15/01/2014,53.78,0.00540693
14/01/2014,53.49,0.005060455
13/01/2014,53.22,-0.006554944
10/01/2014,53.57,0.002429681
09/01/2014,53.44,0.000561535
08/01/2014,53.41,0.009027708
07/01/2014,52.93,0.001701806
06/01/2014,52.84,0.007789533
03/01/2014,52.43,0.008427554
02/01/2014,51.99,0.002310804
31/12/2013,51.87,-0.003656311
30/12/2013,52.06,0.004234848
27/12/2013,51.84,0.001544402
26/12/2013,51.76,0.004841687
24/12/2013,51.51,-0.006578971
23/12/2013,51.85,-0.002119257
20/12/2013,51.96,-0.001538462
19/12/2013,52.04,-0.008800516
18/12/2013,52.5,0.016903975
