Date,Close,AAPL
04/04/2014,531.82,-0.013020798
03/04/2014,538.79,-0.006954362
02/04/2014,542.55,0.001660211
01/04/2014,541.65,0.00910623
31/03/2014,536.74,-0.000223547
28/03/2014,536.86,-0.001116986
27/03/2014,537.46,-0.004307311
26/03/2014,539.78,-0.009605797
25/03/2014,544.99,0.010699432
24/03/2014,539.19,0.011790521
21/03/2014,532.87,0.007856329
20/03/2014,528.7,-0.00483038
19/03/2014,531.26,-0.00026349
18/03/2014,531.4,0.008807965
17/03/2014,526.74,0.003899456
14/03/2014,524.69,-0.011295058
13/03/2014,530.65,-0.011168903
12/03/2014,536.61,0.000969516
11/03/2014,536.09,0.009690707
10/03/2014,530.92,0.0009045
07/03/2014,530.44,-0.00058425
06/03/2014,530.75,-0.003028852
05/03/2014,532.36,0.002106056
04/03/2014,531.24,0.006572262
03/03/2014,527.76,0.002884252
28/02/2014,526.24,-0.002713706
27/02/2014,527.67,0.01975146
26/02/2014,517.35,-0.009062896
25/02/2014,522.06,-0.010461124
24/02/2014,527.55,0.004369308
21/02/2014,525.25,-0.011170128
20/02/2014,531.15,-0.011642403
19/02/2014,537.37,-0.01591379
18/02/2014,545.99,0.003669796
14/02/2014,543.99,-0.000808511
13/02/2014,544.43,0.01575448
12/02/2014,535.92,-7.46352E-05
11/02/2014,535.96,0.013090003
10/02/2014,528.99,0.017756291
07/02/2014,519.68,0.013893015
06/02/2014,512.51,-0.000156082
05/02/2014,512.59,0.007440948
04/02/2014,508.79,0.014371932
03/02/2014,501.53,0.001856047
31/01/2014,500.6,0.001639377
30/01/2014,499.78,-0.001938973
29/01/2014,500.75,-0.011417349
28/01/2014,506.5,-0.083302632
27/01/2014,550.5,0.008079784
24/01/2014,546.07,-0.01834481
23/01/2014,556.18,0.008432012
22/01/2014,551.51,0.004434033
21/01/2014,549.07,0.015416827
17/01/2014,540.67,-0.024806737
16/01/2014,554.25,-0.005595502
15/01/2014,557.36,0.019878344
14/01/2014,546.39,0.019702704
13/01/2014,535.73,0.005221455
10/01/2014,532.94,-0.006694993
09/01/2014,536.52,-0.012852267
08/01/2014,543.46,0.006312896
07/01/2014,540.04,-0.007177351
06/01/2014,543.93,0.005438253
03/01/2014,540.98,-0.022210746
02/01/2014,553.13,-0.0141635
31/12/2013,561.02,0.011653681
30/12/2013,554.52,-0.00999461
27/12/2013,560.09,-0.006779446
26/12/2013,563.9,-0.006663333
24/12/2013,567.67,-0.004253979
23/12/2013,570.09,0.037659372
20/12/2013,549.02,0.008340393
19/12/2013,544.46,-0.011522821
18/12/2013,550.77,-0.007632796
17/12/2013,554.99,-0.004512408
16/12/2013,557.5,0.005521944
13/12/2013,554.43,-0.010960046
12/12/2013,560.54,-0.001461806
11/12/2013,561.36,-0.007436298
10/12/2013,565.55,-0.001554798
09/12/2013,566.43,0.01138101
06/12/2013,560.02,-0.01397285
05/12/2013,567.9,0.005119616
04/12/2013,565,-0.002333558
03/12/2013,566.32,0.027007145
02/12/2013,551.23,-0.008742041
29/11/2013,556.07,0.018348473
27/11/2013,545.96,0.023274101
26/11/2013,533.4,0.018276234
25/11/2013,523.74,0.007551256
22/11/2013,519.8,-0.002574597
21/11/2013,521.14,0.011851819
20/11/2013,515,-0.008796152
19/11/2013,519.55,0.001772333
18/11/2013,518.63,-0.012188495
15/11/2013,524.99,-0.006020053
14/11/2013,528.16,0.014359651
13/11/2013,520.63,0.001191575
12/11/2013,520.01,0.001847825
11/11/2013,519.05,-0.002904938
08/11/2013,520.56,0.015623957
07/11/2013,512.49,-0.01631528
06/11/2013,520.92,-0.008658559
05/11/2013,525.45,-0.002471014
04/11/2013,526.75,0.01283955
01/11/2013,520.03,-0.005121183
31/10/2013,522.7,-0.004200083
30/10/2013,524.9,0.015784041
29/10/2013,516.68,-0.025226838
28/10/2013,529.88,0.007425402
25/10/2013,525.96,-0.011249138
24/10/2013,531.91,0.013152233
23/10/2013,524.96,0.009743289
22/10/2013,519.87,-0.002862002
21/10/2013,521.36,0.024208899
18/10/2013,508.89,0.008664043
17/10/2013,504.5,0.006742202
16/10/2013,501.11,0.00486103
15/10/2013,498.68,0.005308039
14/10/2013,496.04,0.006532864
11/10/2013,492.81,0.006453277
10/10/2013,489.64,0.006248548
09/10/2013,486.59,0.011679357
08/10/2013,480.94,-0.014060457
07/10/2013,487.75,0.009724216
04/10/2013,483.03,-0.000786391
03/10/2013,483.41,-0.012641874
02/10/2013,489.56,0.003273593
01/10/2013,487.96,0.023241191
30/09/2013,476.75,-0.012506677
27/09/2013,482.75,-0.007162275
26/09/2013,486.22,0.009692662
25/09/2013,481.53,-0.015598433
24/09/2013,489.1,-0.003143694
23/09/2013,490.64,0.048503844
20/09/2013,467.41,-0.01040756
19/09/2013,472.3,0.01626538
18/09/2013,464.68,0.020348528
17/09/2013,455.32,0.011486255
16/09/2013,450.12,-0.032308115
13/09/2013,464.9,-0.016617454
12/09/2013,472.69,0.010591337
11/09/2013,467.71,-0.05598178
10/09/2013,494.64,-0.023042356
09/09/2013,506.17,0.015830835
06/09/2013,498.22,0.005938678
05/09/2013,495.27,-0.006881592
04/09/2013,498.69,0.020481436
03/09/2013,488.58,0.002787458
30/08/2013,487.22,-0.009153008
29/08/2013,491.7,0.001628333
28/08/2013,490.9,0.004716749
27/08/2013,488.59,-0.029006834
26/08/2013,502.97,0.003884506
23/08/2013,501.02,-0.003864624
22/08/2013,502.96,0.00119365
21/08/2013,502.36,0.002571182
20/08/2013,501.07,-0.013223694
19/08/2013,507.74,0.010712231
16/08/2013,502.33,0.008837936
15/08/2013,497.91,-0.001184252
14/08/2013,498.5,0.018076135
13/08/2013,489.57,0.046427616
12/08/2013,467.36,0.028011942
09/08/2013,454.45,-0.014331838
08/08/2013,461.01,-0.008574659
07/08/2013,464.98,-0.000580502
06/08/2013,465.25,-0.008986901
05/08/2013,469.45,0.014828757
02/08/2013,462.54,0.012750113
01/08/2013,456.68,0.009128868
31/07/2013,452.53,-0.001744219
30/07/2013,453.32,0.012273905
29/07/2013,447.79,0.015302173
26/07/2013,440.99,0.005662388
25/07/2013,438.5,-0.004573335
24/07/2013,440.51,0.050086093
23/07/2013,418.99,-0.017319728
22/07/2013,426.31,0.003195266
19/07/2013,424.95,-0.015898363
18/07/2013,431.76,0.003363999
17/07/2013,430.31,0.000255662
16/07/2013,430.2,0.006436289
15/07/2013,427.44,0.002178114
12/07/2013,426.51,-0.001827126
11/07/2013,427.29,0.015471642
10/07/2013,420.73,-0.003843056
09/07/2013,422.35,0.017435359
08/07/2013,415.05,-0.005693914
05/07/2013,417.42,-0.008064752
03/07/2013,420.8,0.005504667
02/07/2013,418.49,0.022400086
01/07/2013,409.22,0.031501208
28/06/2013,396.53,0.006959323
27/06/2013,393.78,-0.010835492
26/06/2013,398.07,-0.011390157
25/06/2013,402.63,0.000223555
24/06/2013,402.54,-0.026863044
21/06/2013,413.5,-0.008044941
20/06/2013,416.84,-0.014669724
19/06/2013,423,-0.02052086
18/06/2013,431.77,-0.000532549
17/06/2013,432,0.004524107
14/06/2013,430.05,-0.013649015
13/06/2013,435.96,0.00868519
12/06/2013,432.19,-0.012439945
11/06/2013,437.6,-0.002943561
10/06/2013,438.89,-0.006631113
07/06/2013,441.81,0.007611338
06/06/2013,438.46,-0.015052855
05/06/2013,445.11,-0.00939163
04/06/2013,449.31,-0.003133231
03/06/2013,450.72,0.002198901
31/05/2013,449.73,-0.004105142
30/05/2013,451.58,0.014790628
29/05/2013,444.95,0.007919806
28/05/2013,441.44,-0.008369194
24/05/2013,445.15,0.00678473
23/05/2013,442.14,0.001788363
22/05/2013,441.35,0.003836511
21/05/2013,439.66,-0.007410043
20/05/2013,442.93,0.022073734
17/05/2013,433.26,-0.003042038
16/05/2013,434.58,0.01327284
15/05/2013,428.85,-0.03440199
14/05/2013,443.86,-0.02421663
13/05/2013,454.74,0.003899929
10/05/2013,452.97,-0.008354084
09/05/2013,456.77,-0.015359683
08/05/2013,463.84,0.01123047
07/05/2013,458.66,-0.004459583
06/05/2013,460.71,0.02356564
03/05/2013,449.98,0.009960998
02/05/2013,445.52,0.014082352
01/05/2013,439.29,-0.007913245
30/04/2013,442.78,0.029008793
29/04/2013,430.12,0.030498516
26/04/2013,417.2,0.02136761
25/04/2013,408.38,0.007175888
24/04/2013,405.46,-0.00165108
23/04/2013,406.13,0.018539298
22/04/2013,398.67,0.020629216
19/04/2013,390.53,-0.003884592
18/04/2013,392.05,-0.027050778
17/04/2013,402.8,-0.056562407
16/04/2013,426.24,0.015105063
15/04/2013,419.85,-0.02342248
12/04/2013,429.8,-0.01048463
11/04/2013,434.33,-0.003126367
10/04/2013,435.69,0.020193808
09/04/2013,426.98,0.001804991
08/04/2013,426.21,0.007087302
05/04/2013,423.2,-0.010623895
04/04/2013,427.72,-0.009933664
03/04/2013,431.99,0.005105723
02/04/2013,429.79,0.002049611
01/04/2013,428.91,-0.031554874
28/03/2013,442.66,-0.021057174
27/03/2013,452.08,-0.019842529
26/03/2013,461.14,-0.005277285
25/03/2013,463.58,0.003608903
22/03/2013,461.91,0.020074146
21/03/2013,452.73,0.001436766
20/03/2013,452.08,-0.005316756
19/03/2013,454.49,-0.002702675
18/03/2013,455.72,0.026820083
15/03/2013,443.66,0.025476177
14/03/2013,432.5,0.009641708
13/03/2013,428.35,-0.000186746
12/03/2013,428.43,-0.021794699
11/03/2013,437.87,0.014144833
08/03/2013,431.72,0.002644093
07/03/2013,430.58,0.011492231
06/03/2013,425.66,-0.012791958
05/03/2013,431.14,0.026059112
04/03/2013,420.05,-0.024503883
01/03/2013,430.47,-0.025073859
28/02/2013,441.4,-0.007156029
27/02/2013,444.57,-0.009848547
26/02/2013,448.97,0.01383787
25/02/2013,442.8,-0.017927764
22/02/2013,450.81,0.010592493
21/02/2013,446.06,-0.006235284
