Date,Close,LYB
04/04/2014,89.03,-0.015934372
03/04/2014,90.46,0.002102585
02/04/2014,90.27,0.016756424
01/04/2014,88.77,-0.00191323
31/03/2014,88.94,0.006316285
28/03/2014,88.38,0.011608188
27/03/2014,87.36,-0.028437935
26/03/2014,89.88,-0.007647585
25/03/2014,90.57,0.01110259
24/03/2014,89.57,-0.005233574
21/03/2014,90.04,-0.002440378
20/03/2014,90.26,0.006223625
19/03/2014,89.7,-0.011086588
18/03/2014,90.7,0.001103144
17/03/2014,90.6,0.018717124
14/03/2014,88.92,-0.001236302
13/03/2014,89.03,-0.012612478
12/03/2014,90.16,-0.003100778
11/03/2014,90.44,-0.006502475
10/03/2014,91.03,0.001429121
07/03/2014,90.9,-0.001758629
06/03/2014,91.06,0.010598465
05/03/2014,90.1,0.004672386
04/03/2014,89.68,0.013584267
03/03/2014,88.47,0.004418019
28/02/2014,88.08,0.002387043
27/02/2014,87.87,0.00513436
26/02/2014,87.42,0.012894491
25/02/2014,86.3,0.0038312
24/02/2014,85.97,0.003729173
21/02/2014,85.65,-0.001749782
20/02/2014,85.8,0.017874418
19/02/2014,84.28,-0.012381504
18/02/2014,85.33,0.010129651
14/02/2014,84.47,0.013107909
13/02/2014,83.37,0.00903675
12/02/2014,82.62,0.011442608
11/02/2014,81.68,0.008853968
10/02/2014,80.96,0.001607022
07/02/2014,80.83,0.021382496
06/02/2014,79.12,0.019269402
05/02/2014,77.61,-0.005525231
04/02/2014,78.04,0.010692533
03/02/2014,77.21,-0.019876271
31/01/2014,78.76,0.008927492
30/01/2014,78.06,0.018097702
29/01/2014,76.66,-0.000391262
28/01/2014,76.69,0.012464899
27/01/2014,75.74,-0.002373732
24/01/2014,75.92,-0.023947006
23/01/2014,77.76,-0.0311457
22/01/2014,80.22,-0.00905882
21/01/2014,80.95,-0.005543593
17/01/2014,81.4,-0.010023308
16/01/2014,82.22,-0.006425433
15/01/2014,82.75,0.011424529
14/01/2014,81.81,0.024625386
13/01/2014,79.82,-0.006617993
10/01/2014,80.35,-0.001616614
