Date,Close,UA
04/04/2014,104.33,-0.076815481
03/04/2014,112.66,-0.053740148
02/04/2014,118.88,0.02452439
01/04/2014,116,0.011793408
31/03/2014,114.64,-0.005046561
28/03/2014,115.22,0.00539554
27/03/2014,114.6,0.00894037
26/03/2014,113.58,-0.008416673
25/03/2014,114.54,-0.035169591
24/03/2014,118.64,-0.01273049
21/03/2014,120.16,-0.013966592
20/03/2014,121.85,-0.001312229
19/03/2014,122.01,-0.019720663
18/03/2014,124.44,0.039085717
17/03/2014,119.67,0.019577032
14/03/2014,117.35,0.00804248
13/03/2014,116.41,-0.008638808
12/03/2014,117.42,0.007865978
11/03/2014,116.5,-0.007695634
10/03/2014,117.4,0.008468465
07/03/2014,116.41,0.005253877
06/03/2014,115.8,-0.002242734
05/03/2014,116.06,-0.009603915
04/03/2014,117.18,0.030763658
03/03/2014,113.63,0.004233184
28/02/2014,113.15,-0.027888518
27/02/2014,116.35,0.002151001
26/02/2014,116.1,-0.005154651
25/02/2014,116.7,0.012676408
24/02/2014,115.23,0.022378188
21/02/2014,112.68,0.049948982
20/02/2014,107.19,0.001493792
19/02/2014,107.03,-0.004009516
18/02/2014,107.46,0.013679591
14/02/2014,106,-0.024048134
13/02/2014,108.58,0.00572644
12/02/2014,107.96,-0.002682579
11/02/2014,108.25,0.000184775
10/02/2014,108.23,-0.008739304
07/02/2014,109.18,0.027956313
06/02/2014,106.17,0.012320095
05/02/2014,104.87,0.002100039
04/02/2014,104.65,-0.009415639
03/02/2014,105.64,-0.02311214
31/01/2014,108.11,0.031477208
30/01/2014,104.76,0.206435872
29/01/2014,85.22,-0.006549731
28/01/2014,85.78,0.033789001
27/01/2014,82.93,-0.006729986
24/01/2014,83.49,-0.004898749
23/01/2014,83.9,-0.001072131
22/01/2014,83.99,-0.009361922
21/01/2014,84.78,0.033462377
17/01/2014,81.99,-0.005230837
16/01/2014,82.42,-0.031176009
15/01/2014,85.03,-0.000705384
14/01/2014,85.09,0.001882132
13/01/2014,84.93,-0.043996041
10/01/2014,88.75,0.009737396
09/01/2014,87.89,0.011328
08/01/2014,86.9,0.001381852
07/01/2014,86.78,0.001960898
06/01/2014,86.61,-0.004377887
03/01/2014,86.99,0.000114962
02/01/2014,86.98,-0.003672256
31/12/2013,87.3,0.004017222
30/12/2013,86.95,0.01121853
27/12/2013,85.98,-0.005682822
26/12/2013,86.47,0.002547477
24/12/2013,86.25,0.003717045
23/12/2013,85.93,-0.001279293
20/12/2013,86.04,-0.000116218
19/12/2013,86.05,-0.00324864
18/12/2013,86.33,0.020006517
17/12/2013,84.62,0.000591051
16/12/2013,84.57,0.010460098
13/12/2013,83.69,-0.005837867
12/12/2013,84.18,-0.003439078
11/12/2013,84.47,0.016712816
10/12/2013,83.07,0.01101506
09/12/2013,82.16,0.000852359
06/12/2013,82.09,0.00146288
05/12/2013,81.97,0.018220374
04/12/2013,80.49,-0.007673305
03/12/2013,81.11,-0.000739463
02/12/2013,81.17,0.005807145
29/11/2013,80.7,-0.015126649
27/11/2013,81.93,0.009935684
26/11/2013,81.12,0.010035394
25/11/2013,80.31,-0.00211456
22/11/2013,80.48,-0.002358053
21/11/2013,80.67,0.01952747
20/11/2013,79.11,-0.010937314
19/11/2013,79.98,-0.018949109
18/11/2013,81.51,-0.024719543
15/11/2013,83.55,0.000239406
14/11/2013,83.53,0.010712024
13/11/2013,82.64,0.031592573
12/11/2013,80.07,-0.002619272
11/11/2013,80.28,0.016832454
08/11/2013,78.94,0.033360039
07/11/2013,76.35,-0.037405556
06/11/2013,79.26,-0.011665231
05/11/2013,80.19,-0.002490972
04/11/2013,80.39,0.001618426
01/11/2013,80.26,-0.011027929
31/10/2013,81.15,-0.003812808
30/10/2013,81.46,0.004799123
29/10/2013,81.07,0.000863824
28/10/2013,81,0.010175047
25/10/2013,80.18,0.002497504
24/10/2013,79.98,-0.048802072
23/10/2013,83.98,0.008970815
22/10/2013,83.23,-0.008970815
21/10/2013,83.98,-0.015478539
18/10/2013,85.29,0.037875622
17/10/2013,82.12,-0.001216989
16/10/2013,82.22,0.020396333
15/10/2013,80.56,0.016268661
14/10/2013,79.26,0.011292387
11/10/2013,78.37,-0.008006651
10/10/2013,79,0.01865392
09/10/2013,77.54,0.015465901
08/10/2013,76.35,-0.039044384
07/10/2013,79.39,-0.021433842
04/10/2013,81.11,0.002839683
03/10/2013,80.88,-0.018618862
02/10/2013,82.4,-0.003513239
01/10/2013,82.69,0.039970783
30/09/2013,79.45,-0.006773734
27/09/2013,79.99,0.011062338
26/09/2013,79.11,0.016569331
25/09/2013,77.81,0.002831405
24/09/2013,77.59,0.005298197
23/09/2013,77.18,-0.009028824
20/09/2013,77.88,0.003086422
19/09/2013,77.64,-0.004113116
18/09/2013,77.96,0.014730852
17/09/2013,76.82,0.018127385
16/09/2013,75.44,-0.039760986
13/09/2013,78.5,-0.026275948
12/09/2013,80.59,-0.007171148
11/09/2013,81.17,0.013769367
10/09/2013,80.06,0.009412129
09/09/2013,79.31,0.026964767
06/09/2013,77.2,0.004023628
05/09/2013,76.89,0.027691643
04/09/2013,74.79,0.008863878
03/09/2013,74.13,0.020304574
30/08/2013,72.64,-0.009317689
29/08/2013,73.32,0.01331797
28/08/2013,72.35,0.003877584
27/08/2013,72.07,-0.02453354
26/08/2013,73.86,0.009522586
23/08/2013,73.16,0.013208778
22/08/2013,72.2,-0.003456623
21/08/2013,72.45,0.013059369
20/08/2013,71.51,0.011816145
19/08/2013,70.67,0.024929658
16/08/2013,68.93,-0.023938648
15/08/2013,70.6,-0.037530464
14/08/2013,73.3,-0.010449983
13/08/2013,74.07,0.001891892
12/08/2013,73.93,0.016914876
09/08/2013,72.69,0.009815521
08/08/2013,71.98,0.03506155
07/08/2013,69.5,-0.007739755
06/08/2013,70.04,0.011054595
05/08/2013,69.27,0.002023122
02/08/2013,69.13,-0.005337963
01/08/2013,69.5,0.034695715
31/07/2013,67.13,-0.010373537
30/07/2013,67.83,0.002509412
29/07/2013,67.66,-0.012776442
26/07/2013,68.53,-0.012327036
25/07/2013,69.38,0.115209958
24/07/2013,61.83,-0.001131496
23/07/2013,61.9,0.006970929
22/07/2013,61.47,-0.00097561
19/07/2013,61.53,0.006849342
18/07/2013,61.11,0.012680285
17/07/2013,60.34,0.008655181
16/07/2013,59.82,-0.017236091
15/07/2013,60.86,0.000986355
12/07/2013,60.8,0.007428841
11/07/2013,60.35,-0.023904216
10/07/2013,61.81,0.002105434
09/07/2013,61.68,0.001622587
08/07/2013,61.58,0.005863209
05/07/2013,61.22,0.007542256
03/07/2013,60.76,0.012253838
02/07/2013,60.02,-0.000999167
01/07/2013,60.08,0.006177497
28/06/2013,59.71,0.021156751
27/06/2013,58.46,0.01221941
26/06/2013,57.75,0.004338402
25/06/2013,57.5,0.014363533
24/06/2013,56.68,-0.002466962
21/06/2013,56.82,-0.015715357
20/06/2013,57.72,-0.033393222
19/06/2013,59.68,-0.006347107
18/06/2013,60.06,0.009872079
17/06/2013,59.47,0.004888337
14/06/2013,59.18,-0.003542215
13/06/2013,59.39,0.005910682
12/06/2013,59.04,-0.009440394
11/06/2013,59.6,-0.007355433
10/06/2013,60.04,0.003670954
07/06/2013,59.82,0.00620443
06/06/2013,59.45,-0.003190867
05/06/2013,59.64,-0.03136088
04/06/2013,61.54,-0.003406606
