Date,Close,SWN
04/04/2014,46.77,-0.000641231
03/04/2014,46.8,0.012686978
02/04/2014,46.21,0.009130498
01/04/2014,45.79,-0.004793037
31/03/2014,46.01,0.004356356
28/03/2014,45.81,0.006130959
27/03/2014,45.53,0.011264614
26/03/2014,45.02,-0.009285939
25/03/2014,45.44,-0.014203232
24/03/2014,46.09,-0.01036055
21/03/2014,46.57,0.01995295
20/03/2014,45.65,0.005711791
19/03/2014,45.39,0.001764058
18/03/2014,45.31,0.035722095
17/03/2014,43.72,-0.007973616
14/03/2014,44.07,0.025277081
13/03/2014,42.97,0.008882714
12/03/2014,42.59,0.000469704
11/03/2014,42.57,-0.00023488
10/03/2014,42.58,0.015144634
07/03/2014,41.94,0.014651397
06/03/2014,41.33,0.022758844
05/03/2014,40.4,-0.014986154
04/03/2014,41.01,0.007342177
03/03/2014,40.71,-0.015356792
28/02/2014,41.34,-0.042620087
27/02/2014,43.14,0.014240932
26/02/2014,42.53,-0.006094721
25/02/2014,42.79,-0.011617231
24/02/2014,43.29,0.011149941
21/02/2014,42.81,0.012457559
20/02/2014,42.28,-0.013391484
19/02/2014,42.85,0.017420403
18/02/2014,42.11,0.011223998
14/02/2014,41.64,0.00168249
13/02/2014,41.57,0.003856356
12/02/2014,41.41,-0.007458233
11/02/2014,41.72,0.004323812
10/02/2014,41.54,0.001686544
07/02/2014,41.47,-0.023356638
06/02/2014,42.45,0.005906692
05/02/2014,42.2,0.005465144
04/02/2014,41.97,0.0339262
03/02/2014,40.57,-0.002953485
31/01/2014,40.69,-0.007589705
30/01/2014,41,-0.021236319
29/01/2014,41.88,0.007429633
28/01/2014,41.57,0.015026943
27/01/2014,40.95,-0.017189626
24/01/2014,41.66,-0.012404739
23/01/2014,42.18,0.003324629
22/01/2014,42.04,0.041525937
21/01/2014,40.33,0.025108022
17/01/2014,39.33,-0.007094025
16/01/2014,39.61,0.012703423
15/01/2014,39.11,0.002560165
14/01/2014,39.01,0.024391453
13/01/2014,38.07,-0.011491377
10/01/2014,38.51,0.013068665
09/01/2014,38.01,-0.018506979
08/01/2014,38.72,-0.016647843
07/01/2014,39.37,0.009698902
06/01/2014,38.99,0.006174447
03/01/2014,38.75,-0.005404723
02/01/2014,38.96,-0.009452108
31/12/2013,39.33,-0.003299914
30/12/2013,39.46,-0.006819069
27/12/2013,39.73,0.001259287
26/12/2013,39.68,-0.012522077
24/12/2013,40.18,0.001494396
23/12/2013,40.12,0.020141668
20/12/2013,39.32,-0.004567377
19/12/2013,39.5,0.027202088
18/12/2013,38.44,-0.003635423
17/12/2013,38.58,0.016201034
16/12/2013,37.96,-0.016201034
13/12/2013,38.58,-0.001812768
12/12/2013,38.65,0.011973074
11/12/2013,38.19,-0.02175688
10/12/2013,39.03,-0.008927492
09/12/2013,39.38,0.017935403
06/12/2013,38.68,-0.007469449
05/12/2013,38.97,0.019956604
04/12/2013,38.2,-0.016615128
03/12/2013,38.84,-0.008970969
02/12/2013,39.19,0.013616138
29/11/2013,38.66,-0.00464517
27/11/2013,38.84,0.003094381
26/11/2013,38.72,-0.013085498
25/11/2013,39.23,0.002296798
22/11/2013,39.14,0.011563793
21/11/2013,38.69,0.020893944
20/11/2013,37.89,0.011947573
19/11/2013,37.44,0.03092191
18/11/2013,36.3,-0.004672264
15/11/2013,36.47,0.014639123
14/11/2013,35.94,0.000556638
13/11/2013,35.92,0.003067059
12/11/2013,35.81,-0.003067059
11/11/2013,35.92,-0.006382705
08/11/2013,36.15,0.013086641
07/11/2013,35.68,-0.026004232
06/11/2013,36.62,-0.002727027
05/11/2013,36.72,-0.030309414
04/11/2013,37.85,-0.009204536
01/11/2013,38.2,0.025989264
31/10/2013,37.22,-0.00722798
30/10/2013,37.49,0.000533618
29/10/2013,37.47,0.009384705
28/10/2013,37.12,-0.00026936
25/10/2013,37.13,0.010014971
24/10/2013,36.76,0.013695092
23/10/2013,36.26,-0.012878655
22/10/2013,36.73,0.010124591
21/10/2013,36.36,-0.003020736
18/10/2013,36.47,-0.001643836
17/10/2013,36.53,-0.013324466
16/10/2013,37.02,0.011956664
15/10/2013,36.58,0.009614138
14/10/2013,36.23,0.009150209
11/10/2013,35.9,0.010078473
10/10/2013,35.54,0.01074975
09/10/2013,35.16,-0.01074975
08/10/2013,35.54,-0.008963645
07/10/2013,35.86,-0.000836237
04/10/2013,35.89,0.005308016
03/10/2013,35.7,-0.010033529
02/10/2013,36.06,-0.006082407
01/10/2013,36.28,-0.002752548
30/09/2013,36.38,-0.001647899
27/09/2013,36.44,-0.021984872
26/09/2013,37.25,0.006463798
25/09/2013,37.01,-0.000270161
24/09/2013,37.02,-0.003505464
23/09/2013,37.15,0.00242555
20/09/2013,37.06,-0.003232761
19/09/2013,37.18,-0.020498522
18/09/2013,37.95,0.006344193
17/09/2013,37.71,-0.005289618
16/09/2013,37.91,-0.000527426
13/09/2013,37.93,-0.00970754
12/09/2013,38.3,-0.004948571
11/09/2013,38.49,0.01228613
10/09/2013,38.02,-0.003151263
09/09/2013,38.14,0.013461996
06/09/2013,37.63,-0.008731369
05/09/2013,37.96,-0.009177985
04/09/2013,38.31,-0.000782779
03/09/2013,38.34,0.003658222
30/08/2013,38.2,-0.001830784
29/08/2013,38.27,0.001045752
28/08/2013,38.23,0.005508211
27/08/2013,38.02,-0.008120542
26/08/2013,38.33,0.004445033
23/08/2013,38.16,0.013986242
22/08/2013,37.63,0.019319088
21/08/2013,36.91,0.00271297
20/08/2013,36.81,0.004629008
19/08/2013,36.64,-0.008425108
16/08/2013,36.95,-0.011034966
15/08/2013,37.36,-0.001871909
14/08/2013,37.43,-0.004265536
13/08/2013,37.59,-0.00874062
12/08/2013,37.92,0.01167122
09/08/2013,37.48,-0.006117854
08/08/2013,37.71,0.002389487
07/08/2013,37.62,-0.014775994
06/08/2013,38.18,-0.007046878
05/08/2013,38.45,-0.005188079
02/08/2013,38.65,-0.032080144
01/08/2013,39.91,0.028464438
31/07/2013,38.79,0.011668744
30/07/2013,38.34,0.005230137
29/07/2013,38.14,-0.030469695
26/07/2013,39.32,-0.004820509
25/07/2013,39.51,0.05008181
24/07/2013,37.58,-0.019499959
23/07/2013,38.32,-0.003906764
22/07/2013,38.47,-0.017521706
19/07/2013,39.15,0.004351728
18/07/2013,38.98,0.016294166
17/07/2013,38.35,0.007590666
16/07/2013,38.06,-0.004195077
15/07/2013,38.22,-0.013513719
12/07/2013,38.74,0.00595471
11/07/2013,38.51,-0.006986702
10/07/2013,38.78,0.001290156
09/07/2013,38.73,0.012993946
08/07/2013,38.23,0.008405618
05/07/2013,37.91,0.007413325
03/07/2013,37.63,0.000797554
02/07/2013,37.6,0.023954853
01/07/2013,36.71,0.004915357
28/06/2013,36.53,0.004939637
27/06/2013,36.35,-0.016912569
26/06/2013,36.97,0.012794512
25/06/2013,36.5,0.015461379
24/06/2013,35.94,-0.004995847
21/06/2013,36.12,0.0038835
20/06/2013,35.98,-0.043242631
19/06/2013,37.57,-0.012169462
18/06/2013,38.03,0.014034389
17/06/2013,37.5,0.025933382
14/06/2013,36.54,-0.011428696
13/06/2013,36.96,0.0108815
12/06/2013,36.56,-0.015201161
11/06/2013,37.12,-0.032859342
10/06/2013,38.36,0.001826485
07/06/2013,38.29,0.032111025
06/06/2013,37.08,-0.014723864
05/06/2013,37.63,-0.006357637
04/06/2013,37.87,-0.005267328
03/06/2013,38.07,0.010031763
31/05/2013,37.69,-0.019443597
30/05/2013,38.43,-0.001040312
29/05/2013,38.47,-0.003632594
28/05/2013,38.61,0.0138221
24/05/2013,38.08,-0.019503934
23/05/2013,38.83,0.000515198
22/05/2013,38.81,-0.019645995
21/05/2013,39.58,0.000252685
20/05/2013,39.57,0.018105811
17/05/2013,38.86,0.02316907
16/05/2013,37.97,0.000263401
15/05/2013,37.96,0.014327653
14/05/2013,37.42,0.029011117
13/05/2013,36.35,-0.012303641
10/05/2013,36.8,0.003266198
09/05/2013,36.68,0.008487388
08/05/2013,36.37,-0.002745746
07/05/2013,36.47,-0.016048216
06/05/2013,37.06,0.000539811
03/05/2013,37.04,0.001350804
02/05/2013,36.99,0.012513765
01/05/2013,36.53,-0.02407148
30/04/2013,37.42,0.012098548
29/04/2013,36.97,0.041137616
26/04/2013,35.48,-0.017600678
25/04/2013,36.11,0.032079284
24/04/2013,34.97,-0.004849532
23/04/2013,35.14,0.000284616
22/04/2013,35.13,-0.007091222
19/04/2013,35.38,-0.013754603
18/04/2013,35.87,-0.001114517
17/04/2013,35.91,-0.016570387
16/04/2013,36.51,0.004667133
15/04/2013,36.34,-0.043350441
12/04/2013,37.95,-0.033936685
11/04/2013,39.26,0.023190939
10/04/2013,38.36,0.009955545
09/04/2013,37.98,0.014587183
08/04/2013,37.43,0.000534474
05/04/2013,37.41,0.041200753
04/04/2013,35.9,0.004187026
03/04/2013,35.75,-0.03220314
02/04/2013,36.92,-0.001623816
