Date,Close,AVB
04/04/2014,133.43,0.010169196
03/04/2014,132.08,0.002122178
02/04/2014,131.8,0.004029351
01/04/2014,131.27,-0.000380822
31/03/2014,131.32,0.009103142
28/03/2014,130.13,0.004544237
27/03/2014,129.54,-0.003929278
26/03/2014,130.05,-0.011620037
25/03/2014,131.57,0.014854791
24/03/2014,129.63,-0.001618685
21/03/2014,129.84,0.008741112
20/03/2014,128.71,-0.002560622
19/03/2014,129.04,-0.008027212
18/03/2014,130.08,-0.00015374
17/03/2014,130.1,0.002693863
14/03/2014,129.75,0.004712435
13/03/2014,129.14,-7.74323E-05
12/03/2014,129.15,0.004034453
11/03/2014,128.63,0.008431622
10/03/2014,127.55,-0.005239094
07/03/2014,128.22,0.002968057
06/03/2014,127.84,-0.007791842
05/03/2014,128.84,-0.012495342
04/03/2014,130.46,0.011176746
03/03/2014,129.01,0.000310102
28/02/2014,128.97,0.013033314
27/02/2014,127.3,-0.008837503
26/02/2014,128.43,-0.006209754
25/02/2014,129.23,7.73844E-05
24/02/2014,129.22,0.004343112
21/02/2014,128.66,-0.001786061
20/02/2014,128.89,0.00419842
19/02/2014,128.35,-0.008919974
18/02/2014,129.5,0.003945999
14/02/2014,128.99,0.00505189
13/02/2014,128.34,-0.004043551
12/02/2014,128.86,-0.006111968
11/02/2014,129.65,0.002471235
10/02/2014,129.33,0.011822491
07/02/2014,127.81,0.006436443
06/02/2014,126.99,0.007667719
05/02/2014,126.02,0.008446938
04/02/2014,124.96,0.013454382
03/02/2014,123.29,-0.001701852
31/01/2014,123.5,0.010909495
30/01/2014,122.16,0.037872572
29/01/2014,117.62,0.000765469
28/01/2014,117.53,-0.007206169
27/01/2014,118.38,-0.009583932
24/01/2014,119.52,-0.009410071
23/01/2014,120.65,-0.010389276
22/01/2014,121.91,-0.00188486
21/01/2014,122.14,0.002130974
17/01/2014,121.88,-0.007927145
16/01/2014,122.85,0.001710864
15/01/2014,122.64,0.007447757
14/01/2014,121.73,0.007420878
13/01/2014,120.83,-0.007995756
10/01/2014,121.8,0.007499314
09/01/2014,120.89,-0.003550642
08/01/2014,121.32,0.002475862
07/01/2014,121.02,-0.004287606
06/01/2014,121.54,0.014753687
03/01/2014,119.76,0.012773283
02/01/2014,118.24,8.45773E-05
31/12/2013,118.23,-0.002702933
30/12/2013,118.55,-0.003032092
27/12/2013,118.91,0.001514897
26/12/2013,118.73,0.003881861
24/12/2013,118.27,0.002370271
23/12/2013,117.99,-0.006504775
20/12/2013,118.76,0.006335283
19/12/2013,118.01,-0.01363428
18/12/2013,119.63,0.014312418
17/12/2013,117.93,-0.009368343
16/12/2013,119.04,-0.001678698
13/12/2013,119.24,-0.003599686
12/12/2013,119.67,-0.00732665
11/12/2013,120.55,-0.013676272
10/12/2013,122.21,0.000818599
09/12/2013,122.11,0.003363278
06/12/2013,121.7,0.00883099
05/12/2013,120.63,-0.000911464
04/12/2013,120.74,0.018220312
03/12/2013,118.56,0.007110238
02/12/2013,117.72,-0.007110238
29/11/2013,118.56,-0.009736521
27/11/2013,119.72,0.020079979
26/11/2013,117.34,0.004099066
25/11/2013,116.86,-0.005972204
22/11/2013,117.56,-0.006781986
21/11/2013,118.36,0.007718116
20/11/2013,117.45,-0.005264958
19/11/2013,118.07,-0.007257416
18/11/2013,118.93,-0.010788313
15/11/2013,120.22,-0.014615677
14/11/2013,121.99,0.000984171
13/11/2013,121.87,0.004852981
12/11/2013,121.28,-0.009110746
11/11/2013,122.39,0.004503959
08/11/2013,121.84,-0.00801116
07/11/2013,122.82,-0.01294307
06/11/2013,124.42,0.003381373
05/11/2013,124,-0.016079703
04/11/2013,126.01,0.002383602
01/11/2013,125.71,0.00526401
31/10/2013,125.05,-0.012871622
30/10/2013,126.67,-0.003152836
29/10/2013,127.07,-0.015229315
28/10/2013,129.02,-0.018811258
25/10/2013,131.47,0.022849784
24/10/2013,128.5,-0.04340232
23/10/2013,134.2,-0.000372509
22/10/2013,134.25,0.011537437
21/10/2013,132.71,0.000527605
18/10/2013,132.64,-0.004588372
17/10/2013,133.25,0.015656637
16/10/2013,131.18,0.020641522
15/10/2013,128.5,-0.000855665
14/10/2013,128.61,-0.002717709
11/10/2013,128.96,0.004274009
10/10/2013,128.41,0.029878922
