Date,Close,MTB
04/04/2014,120.55,-0.010644104
03/04/2014,121.84,0.004936656
02/04/2014,121.24,-0.004361967
01/04/2014,121.77,0.003867204
31/03/2014,121.3,0.007115112
28/03/2014,120.44,0.007333366
27/03/2014,119.56,-0.011806905
26/03/2014,120.98,-0.001569276
25/03/2014,121.17,0.000990835
24/03/2014,121.05,-0.000660666
21/03/2014,121.13,0.001404437
20/03/2014,120.96,0.022489766
19/03/2014,118.27,0.002116045
18/03/2014,118.02,0.002630129
17/03/2014,117.71,0.002381561
14/03/2014,117.43,0.001107656
13/03/2014,117.3,-0.008996072
12/03/2014,118.36,0.001437329
11/03/2014,118.19,-0.009766854
10/03/2014,119.35,-0.00025133
07/03/2014,119.38,0.003944778
06/03/2014,118.91,0.013120771
05/03/2014,117.36,-0.004081638
04/03/2014,117.84,0.018500014
03/03/2014,115.68,-0.007835749
28/02/2014,116.59,0.007835749
27/02/2014,115.68,-0.000345722
26/02/2014,115.72,0.010685997
25/02/2014,114.49,-0.003574702
24/02/2014,114.9,0.012171246
21/02/2014,113.51,0.009560133
20/02/2014,112.43,0.00169137
19/02/2014,112.24,-0.013187782
18/02/2014,113.73,-0.002897408
14/02/2014,114.06,0.00615603
13/02/2014,113.36,0.001500773
12/02/2014,113.19,-0.007042903
11/02/2014,113.99,0.009254021
10/02/2014,112.94,-0.000531114
07/02/2014,113,0.005145961
06/02/2014,112.42,0.009563464
05/02/2014,111.35,0.004590674
04/02/2014,110.84,0.013991325
03/02/2014,109.3,-0.020017878
31/01/2014,111.51,-0.011502066
30/01/2014,112.8,0.009889163
29/01/2014,111.69,0.003947256
28/01/2014,111.25,0.005317484
27/01/2014,110.66,-0.005497243
24/01/2014,111.27,-0.005199008
23/01/2014,111.85,-0.006683028
22/01/2014,112.6,0.007398527
21/01/2014,111.77,-0.001966393
17/01/2014,111.99,-0.023648856
16/01/2014,114.67,-0.003047588
15/01/2014,115.02,0.001914542
14/01/2014,114.8,0.003927563
13/01/2014,114.35,-0.014326271
10/01/2014,116,-0.004472741
09/01/2014,116.52,0.006198367
08/01/2014,115.8,0.00276721
07/01/2014,115.48,0.005470426
06/01/2014,114.85,-0.003129621
03/01/2014,115.21,0.001302819
02/01/2014,115.06,-0.01175061
31/12/2013,116.42,0.000773362
30/12/2013,116.33,0.002237522
27/12/2013,116.07,0.001293159
26/12/2013,115.92,0.001554002
24/12/2013,115.74,0.003548712
23/12/2013,115.33,0.008621118
20/12/2013,114.34,0.005349248
19/12/2013,113.73,-0.003598547
18/12/2013,114.14,0.003598547
17/12/2013,113.73,-0.012495248
16/12/2013,115.16,0.012319408
13/12/2013,113.75,-0.002195391
12/12/2013,114,0.001668057
11/12/2013,113.81,-0.003858638
10/12/2013,114.25,-0.004976655
09/12/2013,114.82,0.004539114
06/12/2013,114.3,0.013830992
05/12/2013,112.73,-0.006013992
04/12/2013,113.41,-0.006240956
03/12/2013,114.12,-0.004807912
02/12/2013,114.67,-0.005999235
29/11/2013,115.36,-0.00510139
27/11/2013,115.95,-0.001809487
26/11/2013,116.16,-0.002665178
25/11/2013,116.47,0.00300959
22/11/2013,116.12,0.006479784
21/11/2013,115.37,0.012209099
20/11/2013,113.97,0.003868137
19/11/2013,113.53,-0.001935939
