Date,Close,TSCO
04/04/2014,69.15,-0.026965041
03/04/2014,71.04,-0.017027627
02/04/2014,72.26,0.007501077
01/04/2014,71.72,0.015314665
31/03/2014,70.63,-0.001980199
28/03/2014,70.77,0.007517233
27/03/2014,70.24,-0.002701359
26/03/2014,70.43,-0.019822115
25/03/2014,71.84,-0.018753997
24/03/2014,73.2,-0.015857214
21/03/2014,74.37,0.004042043
20/03/2014,74.07,0.006909192
19/03/2014,73.56,-0.006098819
18/03/2014,74.01,0.023099503
17/03/2014,72.32,0.017576125
14/03/2014,71.06,0.002677378
13/03/2014,70.87,-0.017068126
12/03/2014,72.09,-0.00041606
11/03/2014,72.12,-0.005944581
10/03/2014,72.55,-0.002340471
07/03/2014,72.72,0.005930643
06/03/2014,72.29,0.007637335
05/03/2014,71.74,0
04/03/2014,71.74,0.022412666
03/03/2014,70.15,-0.005827605
28/02/2014,70.56,0.003407158
27/02/2014,70.32,-0.00198892
26/02/2014,70.46,0.01804431
25/02/2014,69.2,0.035746985
24/02/2014,66.77,0.005556821
21/02/2014,66.4,0.009533249
20/02/2014,65.77,0.00228328
19/02/2014,65.62,-0.013772446
18/02/2014,66.53,0.012554048
14/02/2014,65.7,-0.007279377
13/02/2014,66.18,0.00272356
12/02/2014,66,0.005012542
11/02/2014,65.67,-0.005315526
10/02/2014,66.02,-0.007544928
07/02/2014,66.52,0.021578105
06/02/2014,65.1,0.02111224
05/02/2014,63.74,0.002985311
04/02/2014,63.55,0.002047729
03/02/2014,63.42,-0.047573043
31/01/2014,66.51,-0.014182517
30/01/2014,67.46,-0.022571675
29/01/2014,69,-0.024056143
28/01/2014,70.68,0.003117475
27/01/2014,70.46,0.003981803
24/01/2014,70.18,-0.023795561
23/01/2014,71.87,-0.017789892
22/01/2014,73.16,0.00342302
21/01/2014,72.91,-0.017133952
17/01/2014,74.17,-0.001885776
16/01/2014,74.31,-0.011639706
15/01/2014,75.18,0.011101565
14/01/2014,74.35,0.012859737
13/01/2014,73.4,-0.04241201
10/01/2014,76.58,-0.001565762
09/01/2014,76.7,0.004573677
08/01/2014,76.35,0.005516168
07/01/2014,75.93,0.006209149
06/01/2014,75.46,-0.013426554
03/01/2014,76.48,-0.004175371
02/01/2014,76.8,-0.010105022
31/12/2013,77.58,0.017554576
30/12/2013,76.23,0.009092769
27/12/2013,75.54,-0.007648725
26/12/2013,76.12,0.000525624
24/12/2013,76.08,0.001710189
23/12/2013,75.95,0.013654351
20/12/2013,74.92,0.011410286
19/12/2013,74.07,-0.008737202
18/12/2013,74.72,0.018232661
17/12/2013,73.37,-0.002994014
16/12/2013,73.59,0.021426448
13/12/2013,72.03,0.009345211
12/12/2013,71.36,-0.001260416
11/12/2013,71.45,-0.004050568
10/12/2013,71.74,-0.01053809
09/12/2013,72.5,-0.003579792
06/12/2013,72.76,0.001512964
05/12/2013,72.65,-0.00096306
04/12/2013,72.72,-0.009171237
03/12/2013,73.39,-0.004079418
02/12/2013,73.69,0.006535081
29/11/2013,73.21,-0.011273464
27/11/2013,74.04,-0.004178185
26/11/2013,74.35,0.011498267
25/11/2013,73.5,0.004226607
22/11/2013,73.19,0.007543065
21/11/2013,72.64,0.018479164
20/11/2013,71.31,-0.002940561
19/11/2013,71.52,-0.020071267
18/11/2013,72.97,-0.015232173
15/11/2013,74.09,0.010038066
14/11/2013,73.35,-0.002042902
13/11/2013,73.5,0.01590818
12/11/2013,72.34,0.007771341
11/11/2013,71.78,0.005728273
08/11/2013,71.37,0.018811106
07/11/2013,70.04,-0.019091296
06/11/2013,71.39,0.008863934
05/11/2013,70.76,-0.003245153
04/11/2013,70.99,-0.001829569
01/11/2013,71.12,-0.003228753
31/10/2013,71.35,-0.00265939
30/10/2013,71.54,-0.009875593
29/10/2013,72.25,0.005551714
28/10/2013,71.85,-0.018887995
25/10/2013,73.22,-0.009785346
24/10/2013,73.94,0.078027338
23/10/2013,68.39,-0.002190901
22/10/2013,68.54,-0.004512709
21/10/2013,68.85,0.024405798
18/10/2013,67.19,0.011225142
17/10/2013,66.44,-0.003755732
16/10/2013,66.69,0.025975486
15/10/2013,64.98,-0.011171591
14/10/2013,65.71,-0.002128307
11/10/2013,65.85,0.000303767
10/10/2013,65.83,0.017623627
09/10/2013,64.68,-0.012445425
08/10/2013,65.49,-0.01965591
07/10/2013,66.79,-0.025718237
04/10/2013,68.53,0.004827041
03/10/2013,68.2,-0.00774122
02/10/2013,68.73,0.006715354
01/10/2013,68.27,0.016243712
30/09/2013,67.17,0.011529663
27/09/2013,66.4,-0.689601746
26/09/2013,132.33,0.01730292
25/09/2013,130.06,0.000461432
24/09/2013,130,0.001154512
23/09/2013,129.85,-0.00484002
20/09/2013,130.48,-0.008547061
19/09/2013,131.6,0.003425313
18/09/2013,131.15,0.003054603
17/09/2013,130.75,0.001760631
16/09/2013,130.52,0.000153245
13/09/2013,130.5,-0.00137836
12/09/2013,130.68,-0.001529286
11/09/2013,130.88,0.012145587
10/09/2013,129.3,0.019208836
09/09/2013,126.84,0.025390586
06/09/2013,123.66,-0.008455178
05/09/2013,124.71,0.007970094
04/09/2013,123.72,0.018353629
03/09/2013,121.47,-0.007381923
30/08/2013,122.37,-0.011456554
29/08/2013,123.78,0.032682111
28/08/2013,119.8,-0.004580479
27/08/2013,120.35,-0.009921537
26/08/2013,121.55,0.004535155
23/08/2013,121,-0.002393827
22/08/2013,121.29,0.025890873
21/08/2013,118.19,-0.018193753
20/08/2013,120.36,0.022093385
19/08/2013,117.73,0.008273321
16/08/2013,116.76,-0.000342524
15/08/2013,116.8,-0.029774898
14/08/2013,120.33,-0.013209141
13/08/2013,121.93,0.014040535
12/08/2013,120.23,-0.017642667
09/08/2013,122.37,0.007052678
08/08/2013,121.51,0.014089409
07/08/2013,119.81,-0.019097013
06/08/2013,122.12,-0.004249067
05/08/2013,122.64,-0.005448275
02/08/2013,123.31,0.002761087
01/08/2013,122.97,0.014910976
31/07/2013,121.15,0.008371718
30/07/2013,120.14,0.006429816
29/07/2013,119.37,0.001592958
26/07/2013,119.18,0.007157624
25/07/2013,118.33,-0.024542133
24/07/2013,121.27,-0.006657103
23/07/2013,122.08,8.19169E-05
22/07/2013,122.07,-0.003434743
19/07/2013,122.49,0.014307101
18/07/2013,120.75,0.013758816
17/07/2013,119.1,-0.013178938
16/07/2013,120.68,-0.015539881
15/07/2013,122.57,-0.003583358
12/07/2013,123.01,0.000894636
11/07/2013,122.9,0.005957499
10/07/2013,122.17,0.016589329
09/07/2013,120.16,0.008524916
08/07/2013,119.14,0.002773694
05/07/2013,118.81,0.021438507
03/07/2013,116.29,0.003359321
02/07/2013,115.9,-0.004132949
01/07/2013,116.38,-0.010003076
28/06/2013,117.55,0.009058343
27/06/2013,116.49,0.031480125
26/06/2013,112.88,0.008094329
25/06/2013,111.97,0.006990529
24/06/2013,111.19,0.008852813
21/06/2013,110.21,-0.020921077
20/06/2013,112.54,-0.03036768
19/06/2013,116.01,-0.013697672
18/06/2013,117.61,0.017843829
17/06/2013,115.53,0.007384595
14/06/2013,114.68,0.001570818
13/06/2013,114.5,0.015934137
12/06/2013,112.69,-0.014710681
11/06/2013,114.36,0.005260401
10/06/2013,113.76,0.002111933
07/06/2013,113.52,0.01232012
06/06/2013,112.13,0.01926946
05/06/2013,109.99,0.0125339
04/06/2013,108.62,-0.014441344
03/06/2013,110.2,-0.016023387
31/05/2013,111.98,-0.011100864
30/05/2013,113.23,0.014231317
29/05/2013,111.63,-0.002862512
28/05/2013,111.95,0.006721961
24/05/2013,111.2,0
23/05/2013,111.2,-0.000269748
22/05/2013,111.23,-0.027751238
21/05/2013,114.36,0.01880103
20/05/2013,112.23,-0.003291379
17/05/2013,112.6,-0.002926442
16/05/2013,112.93,-0.017642095
15/05/2013,114.94,0.002526244
14/05/2013,114.65,0.005510138
13/05/2013,114.02,0.002282906
10/05/2013,113.76,0.019976693
09/05/2013,111.51,0.001974866
08/05/2013,111.29,-0.016751706
07/05/2013,113.17,0.011464245
06/05/2013,111.88,0.010241757
03/05/2013,110.74,0.021264776
02/05/2013,108.41,0.028822057
01/05/2013,105.33,-0.01731808
30/04/2013,107.17,-0.004375967
29/04/2013,107.64,-0.007957847
26/04/2013,108.5,-0.021337547
25/04/2013,110.84,-0.01085748
24/04/2013,112.05,0.006895653
23/04/2013,111.28,0.015303418
22/04/2013,109.59,0.014059501
19/04/2013,108.06,0.017268362
18/04/2013,106.21,0.005570519
17/04/2013,105.62,-0.001040927
16/04/2013,105.73,0.008739488
15/04/2013,104.81,-0.024038486
12/04/2013,107.36,-0.012588097
11/04/2013,108.72,0.000552029
10/04/2013,108.66,0.002118938
09/04/2013,108.43,-0.002026903
08/04/2013,108.65,0.024409634
05/04/2013,106.03,0.023377812
04/04/2013,103.58,0.018513634
03/04/2013,101.68,-0.009104767
02/04/2013,102.61,-0.001655388
01/04/2013,102.78,-0.013049337
28/03/2013,104.13,0.009455879
27/03/2013,103.15,0.012094169
26/03/2013,101.91,0.004326883
25/03/2013,101.47,-0.006287475
22/03/2013,102.11,0.002255013
21/03/2013,101.88,-0.004504953
20/03/2013,102.34,0.017247754
19/03/2013,100.59,-0.006441087
18/03/2013,101.24,0.002274414
15/03/2013,101.01,-0.014545711
14/03/2013,102.49,-0.002922839
13/03/2013,102.79,-0.001263915
12/03/2013,102.92,-0.010919565
11/03/2013,104.05,-0.006227565
08/03/2013,104.7,0.008440487
07/03/2013,103.82,-0.003941365
06/03/2013,104.23,-0.000575484
05/03/2013,104.29,0.005866248
04/03/2013,103.68,0.005706839
01/03/2013,103.09,-0.008692348
28/02/2013,103.99,0.007044661
27/02/2013,103.26,0.007192178
26/02/2013,102.52,0.012070212
25/02/2013,101.29,0.000394984
22/02/2013,101.25,0.003561892
21/02/2013,100.89,-0.006618942
20/02/2013,101.56,-0.018341978
19/02/2013,103.44,-0.003185177
15/02/2013,103.77,0.000192753
14/02/2013,103.75,0.006284768
13/02/2013,103.1,0.001358828
12/02/2013,102.96,-0.00232829
11/02/2013,103.2,-0.008106588
08/02/2013,104.04,0.009561133
07/02/2013,103.05,0.000582411
06/02/2013,102.99,-0.005326115
05/02/2013,103.54,0.0134178
04/02/2013,102.16,-0.017465998
01/02/2013,103.96,0.002793432
31/01/2013,103.67,0.093248065
30/01/2013,94.44,0.004776319
29/01/2013,93.99,-0.007947904
28/01/2013,94.74,-0.011752496
25/01/2013,95.86,0.024178974
24/01/2013,93.57,0.013774026
23/01/2013,92.29,-0.018890762
22/01/2013,94.05,0.000106332
18/01/2013,94.04,0.00053183
17/01/2013,93.99,0.011126679
16/01/2013,92.95,0.004420731
15/01/2013,92.54,0.009445812
14/01/2013,91.67,0.001965495
11/01/2013,91.49,-0.016799832
10/01/2013,93.04,-0.003861837
09/01/2013,93.4,0.016625666
08/01/2013,91.86,0.016574662
07/01/2013,90.35,-0.014176841
04/01/2013,91.64,-0.001308615
03/01/2013,91.76,-0.00087146
02/01/2013,91.84,0.038628554
31/12/2012,88.36,0.010123501
28/12/2012,87.47,-0.002283888
27/12/2012,87.67,0.006752529
26/12/2012,87.08,-0.011077599
24/12/2012,88.05,0.000227169
21/12/2012,88.03,-0.011632634
20/12/2012,89.06,0.002585869
19/12/2012,88.83,0.022196575
18/12/2012,86.88,-0.003676475
17/12/2012,87.2,0.024729884
14/12/2012,85.07,-0.003051646
13/12/2012,85.33,0.001642036
12/12/2012,85.19,-0.012597857
11/12/2012,86.27,0.017068453
10/12/2012,84.81,-0.012537513
07/12/2012,85.88,0.015016706
06/12/2012,84.6,0.003433785
05/12/2012,84.31,0.010972084
04/12/2012,83.39,-0.062520357
03/12/2012,88.77,-0.009529754
30/11/2012,89.62,-0.008555132
29/11/2012,90.39,-0.003533963
28/11/2012,90.71,0.014099595
27/11/2012,89.44,-0.003682834
26/11/2012,89.77,-0.010637219
23/11/2012,90.73,0.009969068
21/11/2012,89.83,-0.002446076
20/11/2012,90.05,0.008139645
19/11/2012,89.32,0.024365192
16/11/2012,87.17,0.005521698
15/11/2012,86.69,-0.008614307
14/11/2012,87.44,-0.03307016
