Date,Close,NVDA
04/04/2014,18.15,-0.031455956
03/04/2014,18.73,0.010735476
02/04/2014,18.53,-0.006455106
01/04/2014,18.65,0.04048693
31/03/2014,17.91,0.000558503
28/03/2014,17.9,0.006164211
27/03/2014,17.79,-0.013400536
26/03/2014,18.03,-0.023027333
25/03/2014,18.45,0
24/03/2014,18.45,-0.00486619
21/03/2014,18.54,-0.001616815
20/03/2014,18.57,0.000538648
19/03/2014,18.56,0.017391743
18/03/2014,18.24,0.023295563
17/03/2014,17.82,0
14/03/2014,17.82,0.004499445
13/03/2014,17.74,-0.032171382
12/03/2014,18.32,0.002732989
11/03/2014,18.27,0.009901071
10/03/2014,18.09,-0.014815086
07/03/2014,18.36,-0.001088732
06/03/2014,18.38,-0.014046692
05/03/2014,18.64,0.008620743
04/03/2014,18.48,0.010334604
03/03/2014,18.29,-0.004908655
28/02/2014,18.38,-0.006507615
27/02/2014,18.5,-0.011287408
26/02/2014,18.71,-0.001602137
25/02/2014,18.74,-0.009030606
24/02/2014,18.91,0.014381073
21/02/2014,18.64,-0.007482665
20/02/2014,18.78,0.034673029
19/02/2014,18.14,0.013318732
18/02/2014,17.9,-0.000558503
14/02/2014,17.91,0.031190507
13/02/2014,17.36,0.031005701
12/02/2014,16.83,0.035070099
11/02/2014,16.25,0.020516728
10/02/2014,15.92,0.003145646
07/02/2014,15.87,0.014598799
06/02/2014,15.64,0.012870191
05/02/2014,15.44,-0.009026496
04/02/2014,15.58,0.005793386
03/02/2014,15.49,-0.013466058
31/01/2014,15.7,-0.001273075
30/01/2014,15.72,0.016677744
29/01/2014,15.46,-0.009655691
28/01/2014,15.61,0.009655691
27/01/2014,15.46,-0.006447476
24/01/2014,15.56,-0.026008443
23/01/2014,15.97,-0.003750004
22/01/2014,16.03,-0.001246883
21/01/2014,16.05,0.003745323
17/01/2014,15.99,-0.004368182
16/01/2014,16.06,0.003118182
15/01/2014,16.01,0.010675141
14/01/2014,15.84,0.030771659
13/01/2014,15.36,-0.023802989
10/01/2014,15.73,-0.001270648
09/01/2014,15.75,-0.037998966
08/01/2014,16.36,0.013538668
07/01/2014,16.14,0.016240207
06/01/2014,15.88,0.013312399
03/01/2014,15.67,-0.01205216
02/01/2014,15.86,-0.010037725
31/12/2013,16.02,0.003125979
30/12/2013,15.97,0.013236878
27/12/2013,15.76,0.005727028
26/12/2013,15.67,-0.009526906
24/12/2013,15.82,0.002531647
23/12/2013,15.78,0.005719749
20/12/2013,15.69,0.019955603
19/12/2013,15.38,0.0039088
18/12/2013,15.32,0.013802388
17/12/2013,15.11,0.004643458
16/12/2013,15.04,0.001330672
13/12/2013,15.02,-0.00597413
12/12/2013,15.11,-0.019659873
11/12/2013,15.41,-0.009686869
10/12/2013,15.56,0.022750412
09/12/2013,15.21,-0.016949558
06/12/2013,15.47,-0.014758048
05/12/2013,15.7,-0.01642488
04/12/2013,15.96,0.013880349
03/12/2013,15.74,-0.000635122
02/12/2013,15.75,0.009569451
29/11/2013,15.6,-0.006389798
27/11/2013,15.7,0.003828977
26/11/2013,15.64,0.008346758
25/11/2013,15.51,0.021506205
22/11/2013,15.18,-0.009832921
21/11/2013,15.33,0.007858587
20/11/2013,15.21,-0.015008438
19/11/2013,15.44,-0.021781771
18/11/2013,15.78,-0.024414358
15/11/2013,16.17,-0.003087375
14/11/2013,16.22,0.004324999
13/11/2013,16.15,0.026986263
12/11/2013,15.72,0.00191022
11/11/2013,15.69,0.008320048
08/11/2013,15.56,0.067112525
07/11/2013,14.55,-0.023770219
06/11/2013,14.9,0.006734032
05/11/2013,14.8,-0.001350439
04/11/2013,14.82,-0.029257406
01/11/2013,15.26,0.004597709
31/10/2013,15.19,-0.001973036
30/10/2013,15.22,-0.000656814
29/10/2013,15.23,0.001314061
28/10/2013,15.21,-0.001970444
25/10/2013,15.24,-0.009794398
24/10/2013,15.39,-0.007122076
23/10/2013,15.5,-0.017269377
22/10/2013,15.77,-0.005060099
21/10/2013,15.85,0.002526849
18/10/2013,15.81,0.011450507
17/10/2013,15.63,0.00192123
16/10/2013,15.6,0.012254265
15/10/2013,15.41,-0.005178005
14/10/2013,15.49,0.014959629
11/10/2013,15.26,-0.008482922
10/10/2013,15.39,0.011107595
09/10/2013,15.22,-0.015645691
08/10/2013,15.46,-0.00837364
07/10/2013,15.59,0
04/10/2013,15.59,0.013561719
03/10/2013,15.38,-0.010349381
02/10/2013,15.54,-0.000643294
01/10/2013,15.55,-0.00064288
30/09/2013,15.56,-0.001284522
27/09/2013,15.58,-0.005760016
26/09/2013,15.67,-0.003185731
25/09/2013,15.72,0.001273075
24/09/2013,15.7,0.003828977
23/09/2013,15.64,-0.009545093
20/09/2013,15.79,-0.008827296
19/09/2013,15.93,-0.004384598
18/09/2013,16,0.008788506
17/09/2013,15.86,0.003157565
16/09/2013,15.81,0.000632711
13/09/2013,15.8,0.006349228
12/09/2013,15.7,-0.00063674
11/09/2013,15.71,0.016688449
10/09/2013,15.45,0.020929476
09/09/2013,15.13,0.016661498
06/09/2013,14.88,-0.00402415
05/09/2013,14.94,0.002680967
04/09/2013,14.9,0.009440394
03/09/2013,14.76,0.000677736
30/08/2013,14.75,-0.001355014
29/08/2013,14.77,-0.002029084
28/08/2013,14.8,0
27/08/2013,14.8,-0.012756131
26/08/2013,14.99,0.00200334
23/08/2013,14.96,0
22/08/2013,14.96,0.005361943
21/08/2013,14.88,-0.00469327
20/08/2013,14.95,0
19/08/2013,14.95,-0.015926017
16/08/2013,15.19,0.003957789
15/08/2013,15.13,0.006631324
14/08/2013,15.03,0.041432072
