Date,Close,BLK
04/04/2014,308.92,-0.018346784
03/04/2014,314.64,-0.01235032
02/04/2014,318.55,0.005224738
01/04/2014,316.89,0.007634229
31/03/2014,314.48,0.011481329
28/03/2014,310.89,0.014221396
27/03/2014,306.5,-0.008932256
26/03/2014,309.25,0.005349774
25/03/2014,307.6,0.016454532
24/03/2014,302.58,0.002382372
21/03/2014,301.86,0.002886292
20/03/2014,300.99,0.008642173
19/03/2014,298.4,-0.008941142
18/03/2014,301.08,0.007902807
17/03/2014,298.71,0.010093959
14/03/2014,295.71,-0.0119001
13/03/2014,299.25,-0.031673508
12/03/2014,308.88,0.000291418
11/03/2014,308.79,0.00103684
10/03/2014,308.47,-0.007492849
07/03/2014,310.79,-0.001029104
06/03/2014,311.11,0.013038247
05/03/2014,307.08,-0.000455803
04/03/2014,307.22,0.022615642
03/03/2014,300.35,-0.014838588
28/02/2014,304.84,-0.003176945
27/02/2014,305.81,0.02711289
26/02/2014,297.63,-0.008597815
25/02/2014,300.2,-0.007929835
24/02/2014,302.59,0.01193518
21/02/2014,299,-0.005070734
20/02/2014,300.52,9.98319E-05
19/02/2014,300.49,-0.018039899
18/02/2014,305.96,0.009622564
14/02/2014,303.03,-0.004970631
13/02/2014,304.54,0.003387883
12/02/2014,303.51,-0.0053889
11/02/2014,305.15,0.013593531
10/02/2014,301.03,0.00386088
07/02/2014,299.87,0.016814466
06/02/2014,294.87,0.019174073
05/02/2014,289.27,-0.001657974
04/02/2014,289.75,0.011663964
03/02/2014,286.39,-0.047993397
31/01/2014,300.47,-0.016405445
30/01/2014,305.44,0.020607692
29/01/2014,299.21,-0.014861776
28/01/2014,303.69,0.01239165
27/01/2014,299.95,-0.010479982
24/01/2014,303.11,-0.040284751
23/01/2014,315.57,-0.026023425
22/01/2014,323.89,0.015934112
21/01/2014,318.77,0.006451737
17/01/2014,316.72,-0.003341217
16/01/2014,317.78,0.01595517
15/01/2014,312.75,0.007155838
14/01/2014,310.52,0.01312844
13/01/2014,306.47,-0.027262273
10/01/2014,314.94,-0.003613202
09/01/2014,316.08,-0.00246469
08/01/2014,316.86,-0.000315547
07/01/2014,316.96,0.009159692
06/01/2014,314.07,-0.00031835
03/01/2014,314.17,0.004370232
02/01/2014,312.8,-0.011664442
31/12/2013,316.47,0.001233104
30/12/2013,316.08,-0.000948677
27/12/2013,316.38,0.003134055
26/12/2013,315.39,-0.002564957
24/12/2013,316.2,0.002469841
23/12/2013,315.42,0.003429881
20/12/2013,314.34,0.019109987
19/12/2013,308.39,-0.004206581
18/12/2013,309.69,0.02306086
17/12/2013,302.63,-0.007013644
16/12/2013,304.76,0.023102461
13/12/2013,297.8,0.0204563
12/12/2013,291.77,-0.001883272
11/12/2013,292.32,-0.023931379
10/12/2013,299.4,-0.01099478
09/12/2013,302.71,0.002911307
06/12/2013,301.83,0.021025918
05/12/2013,295.55,-0.006441735
04/12/2013,297.46,-0.003188618
03/12/2013,298.41,-0.021843397
02/12/2013,305,0.007404394
29/11/2013,302.75,-0.015892855
27/11/2013,307.6,0.01361634
26/11/2013,303.44,0.00601595
25/11/2013,301.62,-0.007069969
22/11/2013,303.76,0.001086975
21/11/2013,303.43,0.014607039
20/11/2013,299.03,-0.011206741
19/11/2013,302.4,-0.005079669
18/11/2013,303.94,0.002470642
15/11/2013,303.19,0.00194787
14/11/2013,302.6,0.013039035
13/11/2013,298.68,0.004933807
12/11/2013,297.21,-0.016616999
11/11/2013,302.19,0.00198748
08/11/2013,301.59,0.016414362
07/11/2013,296.68,-0.027690446
06/11/2013,305.01,0.010414358
05/11/2013,301.85,-0.005385505
04/11/2013,303.48,-0.000560012
01/11/2013,303.65,0.009396886
31/10/2013,300.81,-0.017694328
30/10/2013,306.18,-0.010009183
29/10/2013,309.26,0.002655012
28/10/2013,308.44,0.002694588
25/10/2013,307.61,0.002147879
24/10/2013,306.95,0.012853057
23/10/2013,303.03,-0.010471987
22/10/2013,306.22,0.015401121
21/10/2013,301.54,-0.000397878
18/10/2013,301.66,0.010497122
17/10/2013,298.51,0.027303132
16/10/2013,290.47,0.028636241
15/10/2013,282.27,0
14/10/2013,282.27,0.006325986
11/10/2013,280.49,0.011618447
10/10/2013,277.25,0.038420312
09/10/2013,266.8,0.015296304
08/10/2013,262.75,-0.016757006
07/10/2013,267.19,-0.017878815
04/10/2013,272.01,0.007676164
03/10/2013,269.93,-0.004730762
02/10/2013,271.21,0.004138192
01/10/2013,270.09,-0.001960386
30/09/2013,270.62,-0.001218679
27/09/2013,270.95,-0.006364644
26/09/2013,272.68,0.008988493
25/09/2013,270.24,-0.008328161
24/09/2013,272.5,-0.008987018
23/09/2013,274.96,-0.012074036
20/09/2013,278.3,-0.01900616
19/09/2013,283.64,0.015025591
18/09/2013,279.41,0.023245073
17/09/2013,272.99,0.001209567
16/09/2013,272.66,0.029892974
13/09/2013,264.63,0.008996246
12/09/2013,262.26,0.001946528
11/09/2013,261.75,-0.018021917
10/09/2013,266.51,0.013067638
09/09/2013,263.05,0.006942883
06/09/2013,261.23,-0.00587788
05/09/2013,262.77,-0.012593053
04/09/2013,266.1,0.008756756
03/09/2013,263.78,0.013203779
30/08/2013,260.32,-0.000844757
29/08/2013,260.54,0.004230938
28/08/2013,259.44,0.001851852
27/08/2013,258.96,-0.039968989
26/08/2013,269.52,0.00267499
23/08/2013,268.8,0.002756773
22/08/2013,268.06,0.015223855
21/08/2013,264.01,-0.010999471
20/08/2013,266.93,0.000712051
19/08/2013,266.74,-0.012702959
16/08/2013,270.15,0.000222124
15/08/2013,270.09,-0.026416837
14/08/2013,277.32,-0.008938727
13/08/2013,279.81,0.005734577
12/08/2013,278.21,-0.008447024
09/08/2013,280.57,0.007333378
08/08/2013,278.52,-0.008508864
07/08/2013,280.9,-0.013050814
06/08/2013,284.59,-0.003962762
05/08/2013,285.72,-0.003144986
02/08/2013,286.62,0.004721196
01/08/2013,285.27,0.011670883
31/07/2013,281.96,-0.001700922
30/07/2013,282.44,-0.002404697
29/07/2013,283.12,-0.011448764
26/07/2013,286.38,0.004900598
25/07/2013,284.98,0.003620836
24/07/2013,283.95,-0.00351556
23/07/2013,284.95,-0.003678085
22/07/2013,286,0.01863408
19/07/2013,280.72,0.006468582
18/07/2013,278.91,0.024021474
17/07/2013,272.29,0.014575576
16/07/2013,268.35,-0.005425909
15/07/2013,269.81,0.000259475
12/07/2013,269.74,-0.000555936
11/07/2013,269.89,0.019379581
10/07/2013,264.71,0.005037031
09/07/2013,263.38,0.024443953
08/07/2013,257.02,-0.000933344
05/07/2013,257.26,0.007804613
03/07/2013,255.26,-0.006092817
02/07/2013,256.82,0.002768411
01/07/2013,256.11,-0.002885217
28/06/2013,256.85,-0.027684093
27/06/2013,264.06,0.023061738
26/06/2013,258.04,0.021386581
25/06/2013,252.58,0.027901692
24/06/2013,245.63,-0.012300378
21/06/2013,248.67,-0.013342053
20/06/2013,252.01,-0.063233158
19/06/2013,268.46,-0.029472727
18/06/2013,276.49,0.001810021
17/06/2013,275.99,0.022943175
14/06/2013,269.73,-0.009960242
13/06/2013,272.43,0.012521633
12/06/2013,269.04,-0.026265174
11/06/2013,276.2,-0.018438661
10/06/2013,281.34,0.003953208
07/06/2013,280.23,0.04093649
06/06/2013,268.99,0.007537912
05/06/2013,266.97,-0.034278552
04/06/2013,276.28,-0.007392616
03/06/2013,278.33,-0.003120911
31/05/2013,279.2,-0.020490631
30/05/2013,284.98,0.004713174
29/05/2013,283.64,-0.016365146
28/05/2013,288.32,0.017388092
24/05/2013,283.35,0.001942949
23/05/2013,282.8,-0.008906471
22/05/2013,285.33,-0.022045189
21/05/2013,291.69,0.008400228
20/05/2013,289.25,-0.005860065
17/05/2013,290.95,0.019224688
16/05/2013,285.41,-0.013502902
15/05/2013,289.29,0.016872154
14/05/2013,284.45,0.017948836
13/05/2013,279.39,0.009783195
10/05/2013,276.67,0.003149495
09/05/2013,275.8,-0.005243661
08/05/2013,277.25,0.006150526
07/05/2013,275.55,0.004364437
06/05/2013,274.35,0.011032016
03/05/2013,271.34,0.033693157
02/05/2013,262.35,0.005388994
01/05/2013,260.94,-0.021083748
30/04/2013,266.5,-0.006396012
29/04/2013,268.21,0.016692744
26/04/2013,263.77,0.000758524
25/04/2013,263.57,0.018765869
24/04/2013,258.67,-0.00312651
23/04/2013,259.48,0.035180788
22/04/2013,250.51,0.001398127
19/04/2013,250.16,0.019618762
18/04/2013,245.3,-0.023090503
17/04/2013,251.03,-0.024359296
16/04/2013,257.22,0.013148816
15/04/2013,253.86,-0.035865273
12/04/2013,263.13,-0.003831059
11/04/2013,264.14,0.012840473
10/04/2013,260.77,0.026147058
09/04/2013,254.04,0.018513897
08/04/2013,249.38,0.014500325
05/04/2013,245.79,-0.021413577
04/04/2013,251.11,0.011535354
03/04/2013,248.23,-0.036430948
02/04/2013,257.44,0.01755531
01/04/2013,252.96,-0.015377676
28/03/2013,256.88,0.001207518
27/03/2013,256.57,-0.007145939
26/03/2013,258.41,0.025832924
25/03/2013,251.82,-0.005188644
22/03/2013,253.13,0.000513702
21/03/2013,253,-0.0222796
20/03/2013,258.7,0.021568391
19/03/2013,253.18,-0.008142759
18/03/2013,255.25,-0.005820443
15/03/2013,256.74,0.002730217
14/03/2013,256.04,0.009181216
13/03/2013,253.7,0.016934061
12/03/2013,249.44,0.00631399
11/03/2013,247.87,-0.001612448
08/03/2013,248.27,-0.00080525
07/03/2013,248.47,-0.004417323
06/03/2013,249.57,0.020974127
05/03/2013,244.39,0.012848672
04/03/2013,241.27,0.018574054
01/03/2013,236.83,-0.01225413
28/02/2013,239.75,-0.005490634
27/02/2013,241.07,0.020620151
