Date,Close,CTAS
04/04/2014,58.24,-0.014489301
03/04/2014,59.09,-0.009600074
02/04/2014,59.66,-0.009176672
01/04/2014,60.21,0.010015106
31/03/2014,59.61,0.010455407
28/03/2014,58.99,0.004757868
27/03/2014,58.71,-0.000170314
26/03/2014,58.72,-0.011850486
25/03/2014,59.42,0.00455428
24/03/2014,59.15,-0.00942292
21/03/2014,59.71,-0.014630352
20/03/2014,60.59,0.016642088
19/03/2014,59.59,-0.010682792
18/03/2014,60.23,0.009508788
17/03/2014,59.66,0.004535917
14/03/2014,59.39,-0.003865226
13/03/2014,59.62,-0.009348983
12/03/2014,60.18,-0.003152222
11/03/2014,60.37,-0.007919527
10/03/2014,60.85,-0.008509297
07/03/2014,61.37,0.006703205
06/03/2014,60.96,0.006748441
05/03/2014,60.55,-0.006092058
04/03/2014,60.92,0.014717091
03/03/2014,60.03,-0.010440065
28/02/2014,60.66,0.00545501
27/02/2014,60.33,0.001824969
26/02/2014,60.22,0.00432685
25/02/2014,59.96,0.007365283
24/02/2014,59.52,-0.035323032
21/02/2014,61.66,0.039026116
20/02/2014,59.3,0.006259007
19/02/2014,58.93,-0.009962092
18/02/2014,59.52,0.005728744
14/02/2014,59.18,0.005591813
13/02/2014,58.85,0.006136034
12/02/2014,58.49,0.006690136
11/02/2014,58.1,0.007255171
10/02/2014,57.68,-0.007771389
07/02/2014,58.13,0.028972358
06/02/2014,56.47,0.001595038
05/02/2014,56.38,0.008192388
04/02/2014,55.92,0.005379249
03/02/2014,55.62,-0.025735736
31/01/2014,57.07,-0.010111662
30/01/2014,57.65,0.011865433
29/01/2014,56.97,-0.001578532
28/01/2014,57.06,0.001227532
27/01/2014,56.99,-0.002978539
24/01/2014,57.16,-0.022317335
23/01/2014,58.45,-0.019148259
22/01/2014,59.58,-0.004354386
21/01/2014,59.84,0.011935924
17/01/2014,59.13,-0.003039516
16/01/2014,59.31,-0.000337154
15/01/2014,59.33,0.005747142
14/01/2014,58.99,0.008683123
13/01/2014,58.48,-0.01341846
10/01/2014,59.27,-0.001685772
09/01/2014,59.37,0.00303644
08/01/2014,59.19,-0.002699512
07/01/2014,59.35,0.005236941
06/01/2014,59.04,-0.005236941
03/01/2014,59.35,0.004898245
02/01/2014,59.06,-0.008933898
31/12/2013,59.59,0.001847653
30/12/2013,59.48,-0.000336191
27/12/2013,59.5,0.00151375
26/12/2013,59.41,0.002359287
24/12/2013,59.27,0.003718733
23/12/2013,59.05,-0.004224763
20/12/2013,59.3,0.048722713
19/12/2013,56.48,0.003369694
18/12/2013,56.29,0.012873412
17/12/2013,55.57,0.009219988
16/12/2013,55.06,-0.006336583
13/12/2013,55.41,0.007972501
12/12/2013,54.97,0.004923872
11/12/2013,54.7,-0.009280387
10/12/2013,55.21,0.007271437
09/12/2013,54.81,-0.00036483
06/12/2013,54.83,0.018220804
05/12/2013,53.84,-0.009243919
04/12/2013,54.34,-0.00806456
03/12/2013,54.78,-0.008362165
02/12/2013,55.24,-0.004695692
29/11/2013,55.5,0.001081666
27/11/2013,55.44,0.005788728
26/11/2013,55.12,0.002725045
25/11/2013,54.97,-0.004356514
22/11/2013,55.21,0.007636401
21/11/2013,54.79,0.010273435
20/11/2013,54.23,-0.001289966
19/11/2013,54.3,0.000184179
18/11/2013,54.29,-0.001656391
15/11/2013,54.38,0.002024851
14/11/2013,54.27,0.008884012
13/11/2013,53.79,0.005219024
12/11/2013,53.51,0.001870558
11/11/2013,53.41,-0.000935716
08/11/2013,53.46,0.012990863
07/11/2013,52.77,-0.013551873
06/11/2013,53.49,-0.01189384
05/11/2013,54.13,-0.000369413
04/11/2013,54.15,0.002959129
01/11/2013,53.99,0.004083153
31/10/2013,53.77,0.003353207
30/10/2013,53.59,-0.007251124
29/10/2013,53.98,0.001297618
28/10/2013,53.91,0
25/10/2013,53.91,0.005393857
24/10/2013,53.62,0.002988422
23/10/2013,53.46,0.001310248
22/10/2013,53.39,0.000749485
21/10/2013,53.35,0.003755873
18/10/2013,53.15,0.003203621
17/10/2013,52.98,0.011580576
16/10/2013,52.37,0.014037342
15/10/2013,51.64,-0.004636793
14/10/2013,51.88,0.002508927
11/10/2013,51.75,0.016757992
10/10/2013,50.89,0.017643435
09/10/2013,50,0.001200721
08/10/2013,49.94,-0.0004004
07/10/2013,49.96,-0.01174026
04/10/2013,50.55,0.003368675
03/10/2013,50.38,-0.013015368
02/10/2013,51.04,-0.013621538
01/10/2013,51.74,0.010491645
30/09/2013,51.2,-0.000390549
27/09/2013,51.22,0.006660162
26/09/2013,50.88,0.002755365
25/09/2013,50.74,-0.006286858
24/09/2013,51.06,-0.000195829
