Date,Close,USB
04/04/2014,42.55,-0.010985269
03/04/2014,43.02,-0.000697107
02/04/2014,43.05,0.0013947
01/04/2014,42.99,0.00302854
31/03/2014,42.86,0.013151904
28/03/2014,42.3,0.000946074
27/03/2014,42.26,-0.015496906
26/03/2014,42.92,-0.011582247
25/03/2014,43.42,0.002305742
24/03/2014,43.32,0.006949298
21/03/2014,43.02,0.002793298
20/03/2014,42.9,0.01313956
19/03/2014,42.34,-0.000708299
18/03/2014,42.37,0.009723781
17/03/2014,41.96,0.010059965
14/03/2014,41.54,-0.00384431
13/03/2014,41.7,-0.009309054
12/03/2014,42.09,0.003093399
11/03/2014,41.96,-0.009251638
10/03/2014,42.35,0.004259353
07/03/2014,42.17,0.012407699
06/03/2014,41.65,0.005054771
05/03/2014,41.44,0.000482742
04/03/2014,41.42,0.01876502
03/03/2014,40.65,-0.011982048
28/02/2014,41.14,0
27/02/2014,41.14,0.004140793
26/02/2014,40.97,0.000488281
25/02/2014,40.95,0.003669729
24/02/2014,40.8,0.011338549
21/02/2014,40.34,0.000495909
20/02/2014,40.32,0.009218952
19/02/2014,39.95,-0.019581739
18/02/2014,40.74,-0.001226543
14/02/2014,40.79,0.012830178
13/02/2014,40.27,-0.00198462
12/02/2014,40.35,0.001488096
11/02/2014,40.29,0.005225842
10/02/2014,40.08,0.001998003
07/02/2014,40,0.004761317
06/02/2014,39.81,0.017739948
05/02/2014,39.11,0
04/02/2014,39.11,0.008473539
03/02/2014,38.78,-0.02420192
31/01/2014,39.73,-0.009768393
30/01/2014,40.12,0.009013581
29/01/2014,39.76,-0.019427759
28/01/2014,40.54,0.012410187
27/01/2014,40.04,-0.002494389
24/01/2014,40.14,-0.014346029
23/01/2014,40.72,-0.017527226
22/01/2014,41.44,-0.003372684
21/01/2014,41.58,0.003131401
17/01/2014,41.45,-0.000241225
16/01/2014,41.46,-0.00096432
15/01/2014,41.5,0.014807893
14/01/2014,40.89,0.002693769
13/01/2014,40.78,-0.005867987
10/01/2014,41.02,-0.007770802
09/01/2014,41.34,0.006065771
08/01/2014,41.09,0.003901492
07/01/2014,40.93,0.00834156
06/01/2014,40.59,0.013143401
03/01/2014,40.06,0.004252664
02/01/2014,39.89,-0.012704119
31/12/2013,40.4,0.00322301
30/12/2013,40.27,-0.00248016
27/12/2013,40.37,-0.003708745
26/12/2013,40.52,-0.001972387
24/12/2013,40.6,0.002713037
23/12/2013,40.49,0.010926357
20/12/2013,40.05,0.000249719
19/12/2013,40.04,-0.001996009
18/12/2013,40.12,0.025241118
17/12/2013,39.12,-0.006624228
16/12/2013,39.38,0.008159148
13/12/2013,39.06,-0.003577821
12/12/2013,39.2,0.004089985
11/12/2013,39.04,-0.00968654
10/12/2013,39.42,-0.008084935
09/12/2013,39.74,0.002015114
06/12/2013,39.66,0.026831813
05/12/2013,38.61,-0.010050336
04/12/2013,39,0.012384059
03/12/2013,38.52,-0.017754229
02/12/2013,39.21,-0.000255004
29/11/2013,39.22,-0.003309154
27/11/2013,39.35,0.002035106
26/11/2013,39.27,0.001529052
25/11/2013,39.21,0.006653044
22/11/2013,38.95,0.002313328
21/11/2013,38.86,0.003092786
20/11/2013,38.74,0.002067184
19/11/2013,38.66,0.008572594
18/11/2013,38.33,0.000521921
15/11/2013,38.31,0.000783392
14/11/2013,38.28,0.00681523
13/11/2013,38.02,0.007126861
12/11/2013,37.75,-0.005020489
11/11/2013,37.94,-0.003683245
08/11/2013,38.08,0.016148597
07/11/2013,37.47,-0.011938065
06/11/2013,37.92,0.006614656
05/11/2013,37.67,0.003456991
04/11/2013,37.54,0.004538788
01/11/2013,37.37,0.00026763
31/10/2013,37.36,-0.010649728
30/10/2013,37.76,-0.001852097
29/10/2013,37.83,0.001852097
28/10/2013,37.76,-0.001852097
25/10/2013,37.83,0.000793336
24/10/2013,37.8,-0.004750603
23/10/2013,37.98,-0.002366865
22/10/2013,38.07,0.000262709
21/10/2013,38.06,0.003685184
18/10/2013,37.92,0.006349228
17/10/2013,37.68,0.011745997
16/10/2013,37.24,0.009714054
15/10/2013,36.88,-0.008101584
14/10/2013,37.18,0.003502631
11/10/2013,37.05,0.002973377
10/10/2013,36.94,0.026887765
09/10/2013,35.96,0.007256521
08/10/2013,35.7,-0.011972856
07/10/2013,36.13,-0.013470994
04/10/2013,36.62,0.007400335
03/10/2013,36.35,-0.001099808
02/10/2013,36.39,-0.008755186
01/10/2013,36.71,0.003547555
30/09/2013,36.58,0.002189382
27/09/2013,36.5,-0.00109529
26/09/2013,36.54,-0.006002747
25/09/2013,36.76,-0.003801254
24/09/2013,36.9,-0.012389062
23/09/2013,37.36,-0.013030367
20/09/2013,37.85,0.003705669
19/09/2013,37.71,-0.003441433
18/09/2013,37.84,0.00849262
17/09/2013,37.52,0.00026656
16/09/2013,37.51,0.009913008
13/09/2013,37.14,0.007296344
12/09/2013,36.87,0.005166565
11/09/2013,36.68,-0.00081755
10/09/2013,36.71,0.010680644
09/09/2013,36.32,-0.004121451
06/09/2013,36.47,-0.00628675
05/09/2013,36.7,0.01565321
04/09/2013,36.13,0.001939327
03/09/2013,36.06,-0.001939327
30/08/2013,36.13,0.00055371
29/08/2013,36.11,0
28/08/2013,36.11,0
27/08/2013,36.11,-0.022183574
26/08/2013,36.92,-0.010775966
23/08/2013,37.32,-0.002141328
22/08/2013,37.4,0.016444635
21/08/2013,36.79,-0.001900883
20/08/2013,36.86,0.00544071
19/08/2013,36.66,-0.007067167
16/08/2013,36.92,0.004071114
15/08/2013,36.77,-0.005424478
14/08/2013,36.97,-0.003779702
13/08/2013,37.11,-0.001346439
12/08/2013,37.16,-0.00026907
09/08/2013,37.17,-0.004830927
08/08/2013,37.35,0.003755369
07/08/2013,37.21,-0.01069243
06/08/2013,37.61,-0.003450567
05/08/2013,37.74,-0.000794597
02/08/2013,37.77,0.002916613
01/08/2013,37.66,0.009069147
31/07/2013,37.32,-0.010130718
30/07/2013,37.7,0.005585864
29/07/2013,37.49,-0.0013328
26/07/2013,37.54,0.002133334
25/07/2013,37.46,-0.002133334
24/07/2013,37.54,0
