Date,Close,CELG
04/04/2014,137.38,-0.044280848
03/04/2014,143.6,-0.026253999
02/04/2014,147.42,0.005577866
01/04/2014,146.6,0.048926599
31/03/2014,139.6,0.0022231
28/03/2014,139.29,-0.020817064
27/03/2014,142.22,-0.002738477
26/03/2014,142.61,-0.013165876
25/03/2014,144.5,0.021121143
24/03/2014,141.48,-0.020428862
21/03/2014,144.4,-0.038114732
20/03/2014,150.01,-0.005517714
19/03/2014,150.84,-0.018717914
18/03/2014,153.69,0.022770134
17/03/2014,150.23,0.005473248
14/03/2014,149.41,-0.043161802
13/03/2014,156,-0.012232568
12/03/2014,157.92,-0.00297177
11/03/2014,158.39,-0.000189388
10/03/2014,158.42,0.011810411
07/03/2014,156.56,-0.000319315
06/03/2014,156.61,-0.041462872
05/03/2014,163.24,0.008675109
04/03/2014,161.83,0.009624116
03/03/2014,160.28,-0.002928077
28/02/2014,160.75,-0.005706857
27/02/2014,161.67,0.010508413
26/02/2014,159.98,-0.026888645
25/02/2014,164.34,0.001522395
24/02/2014,164.09,0.019197046
21/02/2014,160.97,-0.016084155
20/02/2014,163.58,0.003551967
19/02/2014,163,-0.017273267
18/02/2014,165.84,0.011583961
14/02/2014,163.93,-0.004928966
13/02/2014,164.74,0.025825341
12/02/2014,160.54,0.003931976
11/02/2014,159.91,0.020788668
10/02/2014,156.62,-0.001658693
07/02/2014,156.88,0.045446068
06/02/2014,149.91,-0.006250852
05/02/2014,150.85,-0.004365664
04/02/2014,151.51,0.019393497
03/02/2014,148.6,-0.022161756
31/01/2014,151.93,-0.013402835
30/01/2014,153.98,-0.028679472
29/01/2014,158.46,-0.009546612
28/01/2014,159.98,0.023463527
27/01/2014,156.27,-0.031184611
24/01/2014,161.22,-0.04446255
23/01/2014,168.55,-0.008448341
22/01/2014,169.98,0.008448341
21/01/2014,168.55,0.008999137
17/01/2014,167.04,-0.003346883
16/01/2014,167.6,0.013515749
15/01/2014,165.35,-0.010168865
14/01/2014,167.04,0.012894075
13/01/2014,164.9,-0.029340935
10/01/2014,169.81,0.006558175
09/01/2014,168.7,0.007377473
08/01/2014,167.46,0.017165477
07/01/2014,164.61,0.012162849
06/01/2014,162.62,-0.043263974
03/01/2014,169.81,-0.012465414
02/01/2014,171.94,0.017424394
31/12/2013,168.97,-5.91804E-05
30/12/2013,168.98,0.000295937
27/12/2013,168.93,-0.001242346
26/12/2013,169.14,0.010221149
24/12/2013,167.42,-0.00553952
23/12/2013,168.35,0.005181204
20/12/2013,167.48,0.02087557
19/12/2013,164.02,0.009433454
18/12/2013,162.48,0.010455752
17/12/2013,160.79,-0.01597961
16/12/2013,163.38,-0.009260454
13/12/2013,164.9,-0.003752804
12/12/2013,165.52,-0.003196914
11/12/2013,166.05,-0.028028674
10/12/2013,170.77,0.004460363
09/12/2013,170.01,0.021282458
06/12/2013,166.43,0.011603442
05/12/2013,164.51,0.027360139
04/12/2013,160.07,0.000875
03/12/2013,159.93,-0.0196886
02/12/2013,163.11,0.008249246
29/11/2013,161.77,0.001546599
27/11/2013,161.52,-0.01175579
26/11/2013,163.43,-0.003237732
25/11/2013,163.96,0.003849802
22/11/2013,163.33,0.029324335
21/11/2013,158.61,0.01960972
20/11/2013,155.53,0.007032968
19/11/2013,154.44,0.009498478
18/11/2013,152.98,0.012299145
15/11/2013,151.11,0.007372754
14/11/2013,150,0.004811557
13/11/2013,149.28,-0.000870468
12/11/2013,149.41,0.006243936
11/11/2013,148.48,-0.00295898
08/11/2013,148.92,0.026744474
07/11/2013,144.99,0.003454474
06/11/2013,144.49,-0.042346197
05/11/2013,150.74,0.000132688
04/11/2013,150.72,-0.003906902
01/11/2013,151.31,0.018813097
31/10/2013,148.49,-0.018879184
30/10/2013,151.32,-0.02602632
29/10/2013,155.31,-0.005906161
28/10/2013,156.23,0.00314133
25/10/2013,155.74,-0.014153886
24/10/2013,157.96,-0.012831979
23/10/2013,160,-0.005236267
22/10/2013,160.84,0.010060384
