Date,Close,MS
04/04/2014,30.37,-0.01891772
03/04/2014,30.95,-0.014753314
02/04/2014,31.41,0.006387757
01/04/2014,31.21,0.001282463
31/03/2014,31.17,0.008376338
28/03/2014,30.91,0.000323572
27/03/2014,30.9,-0.010302731
26/03/2014,31.22,-0.0117817
25/03/2014,31.59,-0.026551614
24/03/2014,32.44,-0.004920059
21/03/2014,32.6,-0.005811302
20/03/2014,32.79,0.030342885
19/03/2014,31.81,0.005042557
18/03/2014,31.65,0.008886126
17/03/2014,31.37,0.008644203
14/03/2014,31.1,-0.010873148
13/03/2014,31.44,0
12/03/2014,31.44,-0.008235713
11/03/2014,31.7,-0.013473492
10/03/2014,32.13,-0.00248679
07/03/2014,32.21,0.011553602
06/03/2014,31.84,-0.004074602
05/03/2014,31.97,0.027590144
04/03/2014,31.1,0.027381111
03/03/2014,30.26,-0.017687982
28/02/2014,30.8,0.014388737
27/02/2014,30.36,0.013930574
26/02/2014,29.94,0.00771169
25/02/2014,29.71,-0.019994002
24/02/2014,30.31,0.023027882
21/02/2014,29.62,0.009838926
20/02/2014,29.33,0.012695315
19/02/2014,28.96,-0.020506529
18/02/2014,29.56,-0.004388193
14/02/2014,29.69,-0.007382584
13/02/2014,29.91,-0.00832367
12/02/2014,30.16,-0.00364058
11/02/2014,30.27,0.019010077
10/02/2014,29.7,0.000336757
07/02/2014,29.69,0
06/02/2014,29.69,0.017326746
05/02/2014,29.18,0.005498296
04/02/2014,29.02,0.002415043
03/02/2014,28.95,-0.019158985
31/01/2014,29.51,-0.015801304
30/01/2014,29.98,0.001335114
29/01/2014,29.94,-0.006325974
28/01/2014,30.13,0.005324472
27/01/2014,29.97,-0.015889113
24/01/2014,30.45,-0.033266429
23/01/2014,31.48,-0.025405161
22/01/2014,32.29,-0.010474526
21/01/2014,32.63,-0.023323789
17/01/2014,33.4,0.042819997
16/01/2014,32,-0.006851475
15/01/2014,32.22,0.035379559
14/01/2014,31.1,0.007422981
13/01/2014,30.87,-0.013833259
10/01/2014,31.3,-0.007955491
09/01/2014,31.55,-0.000316907
08/01/2014,31.56,0.001268231
07/01/2014,31.52,-0.003167567
06/01/2014,31.62,0.003484876
03/01/2014,31.51,0.015350477
02/01/2014,31.03,-0.010578717
31/12/2013,31.36,0.016396445
30/12/2013,30.85,-0.006784067
27/12/2013,31.06,-0.001287001
26/12/2013,31.1,0.002898086
24/12/2013,31.01,-0.003219578
23/12/2013,31.11,0.005802724
20/12/2013,30.93,0.00226574
19/12/2013,30.86,-0.024328985
18/12/2013,31.62,0.035407625
17/12/2013,30.52,-0.013021017
16/12/2013,30.92,-0.005483
13/12/2013,31.09,0.019815493
12/12/2013,30.48,0.011881328
11/12/2013,30.12,-0.021350786
10/12/2013,30.77,0.012426582
09/12/2013,30.39,-0.002300741
06/12/2013,30.46,0.008241352
05/12/2013,30.21,-0.029998989
04/12/2013,31.13,0.00515299
03/12/2013,30.97,-0.014743857
02/12/2013,31.43,0.004144753
29/11/2013,31.3,-0.003508216
27/11/2013,31.41,0.000636943
26/11/2013,31.39,-0.004767211
25/11/2013,31.54,0.006361345
22/11/2013,31.34,0.01446273
21/11/2013,30.89,0.020275384
20/11/2013,30.27,-0.002309851
19/11/2013,30.34,0.000329652
18/11/2013,30.33,0.000989609
15/11/2013,30.3,-0.001319261
14/11/2013,30.34,0.009604313
13/11/2013,30.05,0.009697451
12/11/2013,29.76,-0.011027681
11/11/2013,30.09,0.021838597
08/11/2013,29.44,0.02476055
07/11/2013,28.72,-0.014174827
06/11/2013,29.13,0.004817628
05/11/2013,28.99,-0.01200083
04/11/2013,29.34,0.004783063
01/11/2013,29.2,0.016226836
31/10/2013,28.73,-0.013139885
30/10/2013,29.11,-0.008551446
29/10/2013,29.36,0.013372392
28/10/2013,28.97,-0.008934767
25/10/2013,29.23,-0.005458901
24/10/2013,29.39,0.010603828
23/10/2013,29.08,-0.012982758
22/10/2013,29.46,0.001018849
21/10/2013,29.43,-0.008795727
18/10/2013,29.69,0.02593117
17/10/2013,28.93,0.010424
16/10/2013,28.63,0.022607816
15/10/2013,27.99,-0.006765203
14/10/2013,28.18,0.008195307
11/10/2013,27.95,0.011153201
10/10/2013,27.64,0.031982141
09/10/2013,26.77,0.00825211
08/10/2013,26.55,-0.010863564
07/10/2013,26.84,-0.005573115
04/10/2013,26.99,0.005200606
03/10/2013,26.85,-0.010005642
02/10/2013,27.12,-0.000737191
01/10/2013,27.14,0.007025357
30/09/2013,26.95,-0.004812151
27/09/2013,27.08,-0.002581598
26/09/2013,27.15,-0.002574951
25/09/2013,27.22,-0.0018352
24/09/2013,27.27,0.0018352
23/09/2013,27.22,-0.035015308
20/09/2013,28.19,-0.014439413
19/09/2013,28.6,-0.01457853
18/09/2013,29.02,0.000344649
17/09/2013,29.01,0.009698725
16/09/2013,28.73,0.02110525
13/09/2013,28.13,0.003918082
12/09/2013,28.02,-0.008174917
11/09/2013,28.25,0.007461395
10/09/2013,28.04,0.021630259
09/09/2013,27.44,0.023226851
06/09/2013,26.81,0.005985802
05/09/2013,26.65,0.00526713
04/09/2013,26.51,0.009094417
03/09/2013,26.27,0.019604702
30/08/2013,25.76,-0.005806093
29/08/2013,25.91,0.012818198
28/08/2013,25.58,0.005095053
27/08/2013,25.45,-0.035890404
26/08/2013,26.38,0.002277041
23/08/2013,26.32,0.003806628
22/08/2013,26.22,0.008041399
21/08/2013,26.01,-0.011468016
20/08/2013,26.31,0.019187081
19/08/2013,25.81,-0.025250003
16/08/2013,26.47,0.004164307
15/08/2013,26.36,-0.016180974
14/08/2013,26.79,-0.006325602
13/08/2013,26.96,0.012691473
12/08/2013,26.62,-0.005245422
09/08/2013,26.76,-0.00596127
08/08/2013,26.92,-0.005556599
07/08/2013,27.07,-0.008826832
06/08/2013,27.31,-0.019580031
05/08/2013,27.85,0
02/08/2013,27.85,-0.002510312
01/08/2013,27.92,0.025758725
31/07/2013,27.21,0.005158449
30/07/2013,27.07,-0.008826832
29/07/2013,27.31,-0.014179478
26/07/2013,27.7,-0.002163722
25/07/2013,27.76,0.001081276
24/07/2013,27.73,-0.002880809
23/07/2013,27.81,0.007217642
22/07/2013,27.61,0.000362253
19/07/2013,27.6,-0.00361664
18/07/2013,27.7,0.042779384
17/07/2013,26.54,0.006046882
16/07/2013,26.38,-0.011682816
15/07/2013,26.69,0.021204884
12/07/2013,26.13,0.022446763
11/07/2013,25.55,0.008253142
10/07/2013,25.34,-0.003938564
09/07/2013,25.44,0.022258471
08/07/2013,24.88,0.012538081
05/07/2013,24.57,0.021807077
03/07/2013,24.04,-0.016502025
02/07/2013,24.44,-0.006118722
01/07/2013,24.59,0.006527971
28/06/2013,24.43,-0.024662661
27/06/2013,25.04,0.006410278
26/06/2013,24.88,-0.006010838
25/06/2013,25.03,0.025491973
24/06/2013,24.4,-0.020686197
21/06/2013,24.91,-0.009588567
20/06/2013,25.15,-0.037460486
19/06/2013,26.11,-0.008010724
18/06/2013,26.32,0.004188089
17/06/2013,26.21,0.01460441
14/06/2013,25.83,-0.020690393
13/06/2013,26.37,0.030807211
12/06/2013,25.57,-0.02013231
11/06/2013,26.09,-0.039824947
10/06/2013,27.15,0.00554018
07/06/2013,27,0.060694069
06/06/2013,25.41,0.015067692
05/06/2013,25.03,-0.017426184
04/06/2013,25.47,-0.007042283
03/06/2013,25.65,-0.009699397
31/05/2013,25.9,0.003093583
30/05/2013,25.82,0.033073881
29/05/2013,24.98,0.010058423
28/05/2013,24.73,0.015485232
24/05/2013,24.35,0.004115232
23/05/2013,24.25,-0.018386626
22/05/2013,24.7,-0.016861098
21/05/2013,25.12,0.001992429
20/05/2013,25.07,-0.004775178
17/05/2013,25.19,0.024513986
16/05/2013,24.58,-0.011326982
15/05/2013,24.86,0.024019066
14/05/2013,24.27,0.02461021
