Date,Close,AVP
04/04/2014,15.07,0.026219989
03/04/2014,14.68,-0.019562175
02/04/2014,14.97,0.017520664
01/04/2014,14.71,0.004770026
31/03/2014,14.64,0.019310945
28/03/2014,14.36,-0.002781643
27/03/2014,14.4,-0.019938784
26/03/2014,14.69,0.005460764
25/03/2014,14.61,-0.000684229
24/03/2014,14.62,-0.004095569
21/03/2014,14.68,-0.005434796
20/03/2014,14.76,-0.000677277
19/03/2014,14.77,0.004070562
18/03/2014,14.71,-0.006099646
17/03/2014,14.8,0.002706362
14/03/2014,14.76,0.002034589
13/03/2014,14.73,-0.013486381
12/03/2014,14.93,-0.004010701
11/03/2014,14.99,-0.013912116
10/03/2014,15.2,0.001975634
07/03/2014,15.17,0.009937147
06/03/2014,15.02,0.000666001
05/03/2014,15.01,-0.015206905
04/03/2014,15.24,0.013210232
03/03/2014,15.04,-0.028189346
28/02/2014,15.47,0.007135937
27/02/2014,15.36,0.003260518
26/02/2014,15.31,-0.009749833
25/02/2014,15.46,0.010403215
24/02/2014,15.3,0.009192448
21/02/2014,15.16,0.007947062
20/02/2014,15.04,-0.003981425
19/02/2014,15.1,0.001325381
18/02/2014,15.08,0.035778369
14/02/2014,14.55,-0.003430535
13/02/2014,14.6,-0.031020694
12/02/2014,15.06,0.008000043
11/02/2014,14.94,0.012799097
10/02/2014,14.75,-0.003384098
07/02/2014,14.8,0.017723709
06/02/2014,14.54,0
05/02/2014,14.54,0.004135085
04/02/2014,14.48,0.01390843
03/02/2014,14.28,-0.04182989
31/01/2014,14.89,-0.002682765
30/01/2014,14.93,0.011451792
29/01/2014,14.76,-0.058550098
28/01/2014,15.65,0.010276263
27/01/2014,15.49,-0.000645369
24/01/2014,15.5,-0.053999307
23/01/2014,16.36,-0.006093864
22/01/2014,16.46,0.004261802
21/01/2014,16.39,0.004892976
17/01/2014,16.31,-0.026619842
16/01/2014,16.75,-0.003575689
15/01/2014,16.81,0.00536834
14/01/2014,16.72,0.013851471
13/01/2014,16.49,-0.01862475
10/01/2014,16.8,-0.010657294
09/01/2014,16.98,0.000589102
08/01/2014,16.97,-0.007046418
07/01/2014,17.09,0.008225663
06/01/2014,16.95,-0.006468708
03/01/2014,17.06,0
02/01/2014,17.06,-0.009334957
31/12/2013,17.22,0.002907824
30/12/2013,17.17,-0.008698228
27/12/2013,17.32,-0.002306806
26/12/2013,17.36,0.006936444
24/12/2013,17.24,0.000580215
23/12/2013,17.23,-0.004632319
20/12/2013,17.31,0.008703275
19/12/2013,17.16,0.004672906
18/12/2013,17.08,0.009411834
17/12/2013,16.92,-0.003539827
16/12/2013,16.98,0.009467526
13/12/2013,16.82,0.000594707
12/12/2013,16.81,-0.013002547
11/12/2013,17.03,-0.045344927
10/12/2013,17.82,-0.005037794
09/12/2013,17.91,0.01349093
06/12/2013,17.67,0.006814336
05/12/2013,17.55,-0.013582552
04/12/2013,17.79,0.00112486
03/12/2013,17.77,0.001126126
02/12/2013,17.75,-0.004496916
29/11/2013,17.83,0.001683975
27/11/2013,17.8,0.016426311
26/11/2013,17.51,-0.003989746
25/11/2013,17.58,0.005704522
22/11/2013,17.48,0.00631279
21/11/2013,17.37,0.013329667
20/11/2013,17.14,0.003506725
19/11/2013,17.08,-0.002339182
18/11/2013,17.12,-0.011614532
15/11/2013,17.32,-0.001730603
14/11/2013,17.35,-0.0028777
13/11/2013,17.4,0.008078521
12/11/2013,17.26,-0.004047418
11/11/2013,17.33,-0.007473447
08/11/2013,17.46,-0.002859596
07/11/2013,17.51,-0.014739496
06/11/2013,17.77,0.005077585
05/11/2013,17.68,-0.00338792
04/11/2013,17.74,-0.029438394
01/11/2013,18.27,0.043059489
31/10/2013,17.5,-0.246860078
30/10/2013,22.4,0.001340183
29/10/2013,22.37,-0.00490525
28/10/2013,22.48,0.02203822
25/10/2013,21.99,0.010514383
24/10/2013,21.76,0.006917251
23/10/2013,21.61,0.003244499
22/10/2013,21.54,0.020638631
21/10/2013,21.1,-0.015985296
18/10/2013,21.44,0.003270267
17/10/2013,21.37,0.016513704
16/10/2013,21.02,0.024074345
15/10/2013,20.52,-0.020738626
14/10/2013,20.95,0.006224583
11/10/2013,20.82,0.010622987
10/10/2013,20.6,0.021590633
09/10/2013,20.16,0.009469296
08/10/2013,19.97,0
