Date,Close,MUR
04/04/2014,61.91,0.000646308
03/04/2014,61.87,-0.025059168
02/04/2014,63.44,0.007277362
01/04/2014,62.98,0.001907184
31/03/2014,62.86,0.001751453
28/03/2014,62.75,0.007518231
27/03/2014,62.28,0.010004925
26/03/2014,61.66,-0.005014975
25/03/2014,61.97,0.002585233
24/03/2014,61.81,0.006004075
21/03/2014,61.44,0.01195266
20/03/2014,60.71,0.013264993
19/03/2014,59.91,-0.007483198
18/03/2014,60.36,0.004982571
17/03/2014,60.06,-0.003324471
14/03/2014,60.26,0.020792164
13/03/2014,59.02,-0.008099943
12/03/2014,59.5,0.002861232
11/03/2014,59.33,-0.006049422
10/03/2014,59.69,-0.003011043
07/03/2014,59.87,-0.000334001
06/03/2014,59.89,0.006701315
05/03/2014,59.49,0.000840831
04/03/2014,59.44,0.003876954
03/03/2014,59.21,-0.002698602
28/02/2014,59.37,0.001011122
27/02/2014,59.31,0.001012146
26/02/2014,59.25,0.002873322
25/02/2014,59.08,-0.000845952
24/02/2014,59.13,0.025001302
21/02/2014,57.67,-0.007600658
20/02/2014,58.11,0.008988825
19/02/2014,57.59,-0.017215092
18/02/2014,58.59,-0.024780029
14/02/2014,60.06,0.048440575
13/02/2014,57.22,0.016564255
12/02/2014,56.28,-0.015690053
11/02/2014,57.17,0.004206842
10/02/2014,56.93,-0.017412942
07/02/2014,57.93,0.036207822
06/02/2014,55.87,0.02043286
05/02/2014,54.74,-0.017026312
04/02/2014,55.68,0.005583085
03/02/2014,55.37,-0.022147717
31/01/2014,56.61,-0.014555277
30/01/2014,57.44,-0.05140645
29/01/2014,60.47,-0.011509499
28/01/2014,61.17,0.014490621
27/01/2014,60.29,-0.003477113
24/01/2014,60.5,-0.032683179
23/01/2014,62.51,-0.013348363
22/01/2014,63.35,0.006651909
21/01/2014,62.93,0.002545745
17/01/2014,62.77,0.003830811
16/01/2014,62.53,-0.00653545
15/01/2014,62.94,0.003820444
14/01/2014,62.7,0.005758173
13/01/2014,62.34,-0.009737486
10/01/2014,62.95,-0.00696536
09/01/2014,63.39,0.007918952
08/01/2014,62.89,-0.008076693
07/01/2014,63.4,0.009986609
06/01/2014,62.77,-0.008408077
03/01/2014,63.3,-0.006299233
02/01/2014,63.7,-0.018354847
31/12/2013,64.88,0.011471216
30/12/2013,64.14,-0.00435595
27/12/2013,64.42,0.004667816
26/12/2013,64.12,0.006257843
24/12/2013,63.72,0.000784991
23/12/2013,63.67,0.001257269
20/12/2013,63.59,-0.012812675
19/12/2013,64.41,0.007949539
18/12/2013,63.9,0.012440126
17/12/2013,63.11,-0.003006094
16/12/2013,63.3,0.004591885
13/12/2013,63.01,-0.002219405
12/12/2013,63.15,-0.004739345
11/12/2013,63.45,-0.01019217
10/12/2013,64.1,-0.000311964
09/12/2013,64.12,0.003436966
06/12/2013,63.9,0.005649733
05/12/2013,63.54,-0.015770488
04/12/2013,64.55,-0.015373093
03/12/2013,65.55,0.006581489
02/12/2013,65.12,0.002921955
29/11/2013,64.93,-0.002461161
27/11/2013,65.09,0.002153184
26/11/2013,64.95,0.011303054
25/11/2013,64.22,-0.000467035
22/11/2013,64.25,0.010954726
21/11/2013,63.55,0.01059885
20/11/2013,62.88,-0.003492621
19/11/2013,63.1,0.001744786
18/11/2013,62.99,0.002543317
15/11/2013,62.83,0.009434787
14/11/2013,62.24,0.010985571
13/11/2013,61.56,-0.005023101
12/11/2013,61.87,0.000485005
11/11/2013,61.84,0.013021017
08/11/2013,61.04,0.018352173
07/11/2013,59.93,-0.005325358
06/11/2013,60.25,-0.001824062
05/11/2013,60.36,-0.016431523
04/11/2013,61.36,0.015769052
01/11/2013,60.4,0.001325381
31/10/2013,60.32,-0.02779319
30/10/2013,62.02,-0.012975753
29/10/2013,62.83,0.01152566
28/10/2013,62.11,0.005813031
25/10/2013,61.75,0.001620746
24/10/2013,61.65,0.005041071
23/10/2013,61.34,-0.006175869
22/10/2013,61.72,0.002758175
21/10/2013,61.55,-0.014356243
18/10/2013,62.44,0.007878488
17/10/2013,61.95,-0.002418381
16/10/2013,62.1,0.002741274
15/10/2013,61.93,0.008920666
14/10/2013,61.38,-0.008112977
11/10/2013,61.88,0.005672165
10/10/2013,61.53,0.021354294
09/10/2013,60.23,-0.015322814
08/10/2013,61.16,-0.011057023
07/10/2013,61.84,-0.017313674
04/10/2013,62.92,0.017798915
03/10/2013,61.81,-0.003230499
02/10/2013,62.01,0.018883843
01/10/2013,60.85,0.008748096
30/09/2013,60.32,-0.015626603
27/09/2013,61.27,-0.004397043
26/09/2013,61.54,0.002929213
25/09/2013,61.36,-0.001302932
24/09/2013,61.44,0.006204102
23/09/2013,61.06,-0.007505338
20/09/2013,61.52,-0.003407711
19/09/2013,61.73,-0.008709732
18/09/2013,62.27,0.008871741
17/09/2013,61.72,0.001783832
16/09/2013,61.61,0.000811886
13/09/2013,61.56,-0.005184717
12/09/2013,61.88,-0.010609326
11/09/2013,62.54,0.003844926
10/09/2013,62.3,0.000642261
09/09/2013,62.26,0.007901355
06/09/2013,61.77,0.011397062
05/09/2013,61.07,0.010535077
04/09/2013,60.43,0.010480009
03/09/2013,59.8,-0.119936049
30/08/2013,67.42,0.024169907
29/08/2013,65.81,-0.003791617
28/08/2013,66.06,0.009888268
27/08/2013,65.41,-0.01094735
26/08/2013,66.13,-0.012622256
23/08/2013,66.97,-0.00342849
22/08/2013,67.2,0.010621687
21/08/2013,66.49,-0.017295794
20/08/2013,67.65,-0.002804637
19/08/2013,67.84,-0.012451637
16/08/2013,68.69,-0.016603283
15/08/2013,69.84,0
14/08/2013,69.84,-0.008554372
13/08/2013,70.44,-0.011152794
12/08/2013,71.23,0.004643644
09/08/2013,70.9,0.009494863
08/08/2013,70.23,0.008005761
07/08/2013,69.67,-0.011559173
06/08/2013,70.48,-0.00721004
05/08/2013,70.99,-0.004076761
02/08/2013,71.28,-0.007825641
01/08/2013,71.84,0.059059867
31/07/2013,67.72,0.006072743
30/07/2013,67.31,0.002082095
29/07/2013,67.17,-0.007711739
26/07/2013,67.69,-0.009264091
25/07/2013,68.32,0.00896867
24/07/2013,67.71,-0.012329527
23/07/2013,68.55,0.018403169
22/07/2013,67.3,0.00596127
19/07/2013,66.9,0.017643525
18/07/2013,65.73,0.01070674
17/07/2013,65.03,0.010045676
16/07/2013,64.38,-0.007736384
15/07/2013,64.88,0.004634644
12/07/2013,64.58,0.00621313
11/07/2013,64.18,0.020304467
10/07/2013,62.89,0.003823487
09/07/2013,62.65,0.013983994
08/07/2013,61.78,0.003080168
05/07/2013,61.59,0.006515742
03/07/2013,61.19,0.00491482
02/07/2013,60.89,-0.00491482
01/07/2013,61.19,0.00491482
28/06/2013,60.89,-0.010780895
27/06/2013,61.55,0.005866075
26/06/2013,61.19,-0.000653488
25/06/2013,61.23,0.015139338
24/06/2013,60.31,-0.01611877
21/06/2013,61.29,0.002286835
20/06/2013,61.15,-0.025191062
19/06/2013,62.71,-0.014092546
18/06/2013,63.6,-0.000314416
17/06/2013,63.62,0.008841232
14/06/2013,63.06,-0.014171234
13/06/2013,63.96,0.00942514
12/06/2013,63.36,-0.020155358
11/06/2013,64.65,-0.022029344
10/06/2013,66.09,0.005309881
07/06/2013,65.74,0.02604354
06/06/2013,64.05,0.015735966
05/06/2013,63.05,0.000475926
04/06/2013,63.02,-0.004749099
03/06/2013,63.32,0
31/05/2013,63.32,-0.012555093
30/05/2013,64.12,0.018256724
29/05/2013,62.96,0.020215673
28/05/2013,61.7,0.001946788
24/05/2013,61.58,-0.006635939
23/05/2013,61.99,-0.010271315
22/05/2013,62.63,-0.027713945
21/05/2013,64.39,-0.006192929
20/05/2013,64.79,0.008058311
17/05/2013,64.27,0.008594474
16/05/2013,63.72,-0.008127585
15/05/2013,64.24,-0.00605263
14/05/2013,64.63,0.026655702
13/05/2013,62.93,0.00286442
10/05/2013,62.75,-0.018317266
09/05/2013,63.91,-0.002344301
08/05/2013,64.06,-0.002338818
07/05/2013,64.21,0.025393684
06/05/2013,62.6,0.018704189
03/05/2013,61.44,0.013271269
02/05/2013,60.63,-0.002799969
01/05/2013,60.8,-0.020995156
30/04/2013,62.09,-0.002412934
29/04/2013,62.24,0.017014102
26/04/2013,61.19,-0.003588911
25/04/2013,61.41,0.005715701
24/04/2013,61.06,0.003445168
23/04/2013,60.85,0.007422714
22/04/2013,60.4,-0.003305788
19/04/2013,60.6,-0.005430771
18/04/2013,60.93,0.015714491
17/04/2013,59.98,-0.010778647
16/04/2013,60.63,0.006453237
15/04/2013,60.24,-0.021350786
12/04/2013,61.54,-0.034654166
11/04/2013,63.71,-0.006726658
10/04/2013,64.14,-0.008074578
09/04/2013,64.66,0.016529302
08/04/2013,63.6,0.013454892
05/04/2013,62.75,-0.00015935
04/04/2013,62.76,-0.003022833
03/04/2013,62.95,-0.003963541
02/04/2013,63.2,-0.001423038
01/04/2013,63.29,-0.006928071
28/03/2013,63.73,-0.001097781
27/03/2013,63.8,0.003296965
26/03/2013,63.59,0.024838086
25/03/2013,62.03,0.005172147
22/03/2013,61.71,0.006992467
21/03/2013,61.28,-0.009096879
20/03/2013,61.84,0.014988876
19/03/2013,60.92,-0.016443187
18/03/2013,61.93,-0.003385189
15/03/2013,62.14,0.007754482
14/03/2013,61.66,0.004714306
13/03/2013,61.37,-0.005038613
12/03/2013,61.68,-0.001296176
11/03/2013,61.76,-0.008544994
08/03/2013,62.29,0.012276039
07/03/2013,61.53,0.003092702
06/03/2013,61.34,0.00867791
05/03/2013,60.81,0.007261956
04/03/2013,60.37,-0.000496812
01/03/2013,60.4,-0.007915609
28/02/2013,60.88,-0.002952274
27/02/2013,61.06,0.007067167
26/02/2013,60.63,0.008613603
25/02/2013,60.11,-0.025783512
22/02/2013,61.68,0.010430342
21/02/2013,61.04,-0.007670376
20/02/2013,61.51,-0.007773318
19/02/2013,61.99,0.010377911
15/02/2013,61.35,0.016931447
14/02/2013,60.32,0.003986716
13/02/2013,60.08,-0.000332834
12/02/2013,60.1,0.001165404
11/02/2013,60.03,-0.000666112
