Date,Close,COV
04/04/2014,72.22,-0.006899434
03/04/2014,72.72,-0.002197803
02/04/2014,72.88,0.003436193
01/04/2014,72.63,-0.014081851
31/03/2014,73.66,0.015873349
28/03/2014,72.5,0.008310297
27/03/2014,71.9,0.019805409
26/03/2014,70.49,0.009263944
25/03/2014,69.84,0.013405606
24/03/2014,68.91,-0.021959978
21/03/2014,70.44,0.00056802
20/03/2014,70.4,-0.003969384
19/03/2014,70.68,-0.008312834
18/03/2014,71.27,0.008029909
17/03/2014,70.7,0.006242926
14/03/2014,70.26,-0.004969131
13/03/2014,70.61,-0.007477989
12/03/2014,71.14,0.00098446
11/03/2014,71.07,-0.003651689
10/03/2014,71.33,-0.000280348
07/03/2014,71.35,-0.00140056
06/03/2014,71.45,0.000700035
05/03/2014,71.4,-0.008923651
04/03/2014,72.04,0.015669039
03/03/2014,70.92,-0.014418952
28/02/2014,71.95,0.008514253
27/02/2014,71.34,0.005059033
26/02/2014,70.98,0.008773227
25/02/2014,70.36,-0.006516527
24/02/2014,70.82,-0.001974891
21/02/2014,70.96,-0.004499445
20/02/2014,71.28,0.007039308
19/02/2014,70.78,-0.007880705
18/02/2014,71.34,0.004777303
14/02/2014,71,0.000422625
13/02/2014,70.97,0.006786397
12/02/2014,70.49,0.008262155
11/02/2014,69.91,0.012522654
10/02/2014,69.04,0.018861587
07/02/2014,67.75,0.017570434
06/02/2014,66.57,0.00225581
05/02/2014,66.42,-0.001955329
04/02/2014,66.55,0.003009784
03/02/2014,66.35,-0.028087142
31/01/2014,68.24,-0.004678371
30/01/2014,68.56,0.009231511
29/01/2014,67.93,-0.013452462
28/01/2014,68.85,0.016696346
27/01/2014,67.71,-0.004273826
24/01/2014,68,0.012727714
23/01/2014,67.14,-0.014050368
22/01/2014,68.09,-0.001467567
21/01/2014,68.19,-0.000146638
17/01/2014,68.2,-0.021468768
16/01/2014,69.68,-0.004010318
15/01/2014,69.96,0.003866815
14/01/2014,69.69,0.013289232
13/01/2014,68.77,-0.013002206
10/01/2014,69.67,0.005180613
09/01/2014,69.31,0.015411762
08/01/2014,68.25,0.002787765
07/01/2014,68.06,0.010486766
06/01/2014,67.35,-0.006954234
03/01/2014,67.82,0.005915427
02/01/2014,67.42,-0.010035503
31/12/2013,68.1,0.002793914
30/12/2013,67.91,0.001326162
27/12/2013,67.82,0.004877698
26/12/2013,67.49,-0.000592505
24/12/2013,67.53,0.008775248
23/12/2013,66.94,0.002093615
20/12/2013,66.8,-0.009238629
19/12/2013,67.42,0.00089034
18/12/2013,67.36,0.026628125
17/12/2013,65.59,-0.011219038
16/12/2013,66.33,0.007870481
13/12/2013,65.81,0.001672877
12/12/2013,65.7,-0.008336539
11/12/2013,66.25,-0.02312673
10/12/2013,67.8,-0.00485545
09/12/2013,68.13,0.000881057
06/12/2013,68.07,0.008557149
05/12/2013,67.49,0.008631006
04/12/2013,66.91,-0.004919876
03/12/2013,67.24,-0.00371113
02/12/2013,67.49,-0.011344505
29/11/2013,68.26,-0.002341236
27/11/2013,68.42,0.002927403
26/11/2013,68.22,0.017299167
25/11/2013,67.05,0.002688174
22/11/2013,66.87,0.002845378
21/11/2013,66.68,0.004659911
20/11/2013,66.37,-0.00345943
19/11/2013,66.6,0.001201923
18/11/2013,66.52,-0.010914364
15/11/2013,67.25,0.017550889
14/11/2013,66.08,0.014327329
13/11/2013,65.14,0.010183702
12/11/2013,64.48,0.007472015
11/11/2013,64,0.00250313
08/11/2013,63.84,-0.017083814
07/11/2013,64.94,-0.004302404
06/11/2013,65.22,0.013740085
05/11/2013,64.33,-0.00496202
04/11/2013,64.65,0.00869976
01/11/2013,64.09,-0.000312012
31/10/2013,64.11,0.000468055
30/10/2013,64.08,-0.006687948
29/10/2013,64.51,0.004661289
28/10/2013,64.21,0.001714598
25/10/2013,64.1,-0.002648595
24/10/2013,64.27,-0.007595169
23/10/2013,64.76,0.009152317
22/10/2013,64.17,0.010653399
21/10/2013,63.49,0.00347113
18/10/2013,63.27,-0.005202187
17/10/2013,63.6,0.019048195
16/10/2013,62.4,0.020726131
15/10/2013,61.12,-0.010416761
14/10/2013,61.76,0.006823747
11/10/2013,61.34,0.015939866
10/10/2013,60.37,0.004815285
09/10/2013,60.08,0.004336954
08/10/2013,59.82,-0.012129417
07/10/2013,60.55,0.004137366
04/10/2013,60.3,-0.003807006
03/10/2013,60.53,-0.003957136
02/10/2013,60.77,-0.005251941
01/10/2013,61.09,0.002458413
30/09/2013,60.94,-0.000328138
27/09/2013,60.96,-0.000164029
26/09/2013,60.97,-0.002457205
25/09/2013,61.12,-0.01332703
24/09/2013,61.94,-0.010758835
23/09/2013,62.61,-0.007003053
20/09/2013,63.05,-0.002217998
19/09/2013,63.19,0.005236029
18/09/2013,62.86,0.018302004
17/09/2013,61.72,0.006665066
16/09/2013,61.31,0.014126385
13/09/2013,60.45,-0.015593258
12/09/2013,61.4,-0.008433394
11/09/2013,61.92,0.006318369
10/09/2013,61.53,0.006358544
09/09/2013,61.14,0.006399234
06/09/2013,60.75,0.000988142
05/09/2013,60.69,-0.000988142
04/09/2013,60.75,0.019279307
03/09/2013,59.59,0.003193548
30/08/2013,59.4,-0.012879663
29/08/2013,60.17,0.008176933
28/08/2013,59.68,-0.001172235
27/08/2013,59.75,-0.019556473
26/08/2013,60.93,0.000820951
23/08/2013,60.88,0.002302254
22/08/2013,60.74,0.006110167
21/08/2013,60.37,-0.009725619
20/08/2013,60.96,0.000984737
19/08/2013,60.9,0.010730602
16/08/2013,60.25,-0.026209526
15/08/2013,61.85,-0.02301524
14/08/2013,63.29,-0.006614197
13/08/2013,63.71,-0.001254902
12/08/2013,63.79,0.001411876
09/08/2013,63.7,-0.001568628
08/08/2013,63.8,0.007236149
07/08/2013,63.34,-0.004096429
06/08/2013,63.6,0.000471809
05/08/2013,63.57,0.004730378
02/08/2013,63.27,0.005388286
01/08/2013,62.93,0.020874233
31/07/2013,61.63,0.009947086
30/07/2013,61.02,0.004270002
29/07/2013,60.76,-0.003286234
26/07/2013,60.96,-0.000983768
25/07/2013,61.02,0.006082044
24/07/2013,60.65,-0.01033389
23/07/2013,61.28,0.001142951
22/07/2013,61.21,-0.01169414
19/07/2013,61.93,0.019237633
18/07/2013,60.75,0.004785093
17/07/2013,60.46,0.00647144
16/07/2013,60.07,0.003836215
15/07/2013,59.84,0.005361943
12/07/2013,59.52,0.002860269
11/07/2013,59.35,0.022147413
10/07/2013,58.05,0.001379073
09/07/2013,57.97,-0.005333346
08/07/2013,58.28,0.0001716
05/07/2013,58.27,0.008790887
03/07/2013,57.76,0.011142177
02/07/2013,57.12,-0.005064186
01/07/2013,57.41,-0.090373309
28/06/2013,62.84,-0.003970465
27/06/2013,63.09,0.010997003
26/06/2013,62.4,0.020562531
25/06/2013,61.13,-0.004569944
24/06/2013,61.41,-0.00713941
21/06/2013,61.85,0.008442979
20/06/2013,61.33,-0.035872541
19/06/2013,63.57,-0.036603577
18/06/2013,65.94,-0.004992068
17/06/2013,66.27,0.00529542
14/06/2013,65.92,0.014208474
13/06/2013,64.99,0.022878595
12/06/2013,63.52,-0.005651506
11/06/2013,63.88,-0.014762136
10/06/2013,64.83,0.00108033
07/06/2013,64.76,0.000463356
06/06/2013,64.73,0.016825448
05/06/2013,63.65,-0.002510593
04/06/2013,63.81,0
03/06/2013,63.81,0.003296448
31/05/2013,63.6,-0.019000727
30/05/2013,64.82,-0.005385043
29/05/2013,65.17,-0.013412791
28/05/2013,66.05,0.013412791
24/05/2013,65.17,-0.000613591
23/05/2013,65.21,-0.000613215
22/05/2013,65.25,-0.008393792
21/05/2013,65.8,0.003959195
20/05/2013,65.54,-0.003503164
17/05/2013,65.77,0.001521607
16/05/2013,65.67,-0.011356016
15/05/2013,66.42,-0.001955329
14/05/2013,66.55,0.005273082
13/05/2013,66.2,0.00030216
10/05/2013,66.18,0.006518631
09/05/2013,65.75,-0.001975234
08/05/2013,65.88,0.009762128
07/05/2013,65.24,0.001533978
06/05/2013,65.14,0.012201866
03/05/2013,64.35,0.001866543
02/05/2013,64.23,0.01032873
01/05/2013,63.57,-0.004238292
30/04/2013,63.84,0.011659184
29/04/2013,63.1,0.018231754
26/04/2013,61.96,-0.068756132
25/04/2013,66.37,0.00105525
24/04/2013,66.3,-0.005265149
23/04/2013,66.65,0.007530156
22/04/2013,66.15,-0.006028654
19/04/2013,66.55,0.008298803
18/04/2013,66,-0.001362707
17/04/2013,66.09,-0.008287548
16/04/2013,66.64,0.00753129
15/04/2013,66.14,-0.025378284
12/04/2013,67.84,-0.010411415
11/04/2013,68.55,0.008938443
10/04/2013,67.94,0.00872206
09/04/2013,67.35,0.00297398
08/04/2013,67.15,-0.001934093
05/04/2013,67.28,-0.007699179
04/04/2013,67.8,0.000147504
03/04/2013,67.79,-0.003240062
02/04/2013,68.01,0.004716295
01/04/2013,67.69,-0.002213533
28/03/2013,67.84,0.005320734
27/03/2013,67.48,-0.000740686
26/03/2013,67.53,0.012217077
25/03/2013,66.71,0.001049869
22/03/2013,66.64,0.005416805
21/03/2013,66.28,0.01183805
20/03/2013,65.5,0.011362014
19/03/2013,64.76,-0.001234568
18/03/2013,64.84,-0.008905325
15/03/2013,65.42,-0.003814178
14/03/2013,65.67,-0.005315526
13/03/2013,66.02,0.00638203
12/03/2013,65.6,0.001220256
11/03/2013,65.52,0.005356199
08/03/2013,65.17,0.004459831
07/03/2013,64.88,0.000462499
06/03/2013,64.85,0.002161162
05/03/2013,64.71,0.011657861
04/03/2013,63.96,0.005958932
01/03/2013,63.58,0.000157295
28/02/2013,63.57,0.00378251
27/02/2013,63.33,0.024455786
26/02/2013,61.8,0.001619434
25/02/2013,61.7,-0.017511894
22/02/2013,62.79,0.009119334
21/02/2013,62.22,-0.012775645
20/02/2013,63.02,-0.008532205
19/02/2013,63.56,-0.000943545
15/02/2013,63.62,0.009951903
14/02/2013,62.99,-0.00459334
13/02/2013,63.28,-0.001894538
12/02/2013,63.4,0.001104711
11/02/2013,63.33,0.000789827
08/02/2013,63.28,0.009207876
07/02/2013,62.7,0.004956442
06/02/2013,62.39,0.002085841
05/02/2013,62.26,0.006930481
04/02/2013,61.83,-0.013174998
01/02/2013,62.65,0.004960407
31/01/2013,62.34,-0.00767022
30/01/2013,62.82,-0.008559253
29/01/2013,63.36,0.011748032
28/01/2013,62.62,0.005444369
25/01/2013,62.28,0.009842758
24/01/2013,61.67,0.012071925
23/01/2013,60.93,-0.008498172
22/01/2013,61.45,0.007349972
18/01/2013,61,0.01187349
17/01/2013,60.28,0.003989367
16/01/2013,60.04,0.002000668
15/01/2013,59.92,0.001336006
14/01/2013,59.84,-0.005333346
11/01/2013,60.16,0
10/01/2013,60.16,0.00466512
09/01/2013,59.88,0.006030169
08/01/2013,59.52,0.004546611
07/01/2013,59.25,0.008985396
04/01/2013,58.72,0.007178291
03/01/2013,58.3,-0.001713796
02/01/2013,58.4,0.011365716
31/12/2012,57.74,0.025078035
28/12/2012,56.31,-0.018300704
27/12/2012,57.35,0.00981259
26/12/2012,56.79,-0.006843933
24/12/2012,57.18,-0.003840116
21/12/2012,57.4,-0.01005382
20/12/2012,57.98,0.00796541
19/12/2012,57.52,-0.010205053
18/12/2012,58.11,0.005522016
17/12/2012,57.79,0.009388108
14/12/2012,57.25,-0.008868852
13/12/2012,57.76,-0.011361802
12/12/2012,58.42,0.004976415
11/12/2012,58.13,0.00517421
10/12/2012,57.83,-0.005346223
07/12/2012,58.14,0.002238486
06/12/2012,58.01,0.00674568
05/12/2012,57.62,-0.005365655
04/12/2012,57.93,0.006233786
03/12/2012,57.57,-0.009336167
30/11/2012,58.11,-0.001719395
29/11/2012,58.21,0.010534594
28/11/2012,57.6,0.003652496
27/11/2012,57.39,-0.001393
26/11/2012,57.47,0.000870398
23/11/2012,57.42,0.017568969
21/11/2012,56.42,-0.007416598
20/11/2012,56.84,0.001584647
19/11/2012,56.75,0.01027285
16/11/2012,56.17,0.009300729
15/11/2012,55.65,-0.004124457
14/11/2012,55.88,-0.002502235
13/11/2012,56.02,0.007705441
12/11/2012,55.59,0
09/11/2012,55.59,0.040941927
08/11/2012,53.36,-0.020037776
07/11/2012,54.44,-0.024316204
06/11/2012,55.78,0.002333304
05/11/2012,55.65,0.003600364
02/11/2012,55.45,-0.000901307
01/11/2012,55.5,0.00995934
31/10/2012,54.95,0.003098517
26/10/2012,54.78,-0.001277023
25/10/2012,54.85,-0.005273219
24/10/2012,55.14,-0.007948019
23/10/2012,55.58,-0.013226288
22/10/2012,56.32,-0.001419447
19/10/2012,56.4,-0.019663555
18/10/2012,57.52,-0.01140894
17/10/2012,58.18,-0.00599779
16/10/2012,58.53,0.014802336
15/10/2012,57.67,-0.001213067
12/10/2012,57.74,0.001733403
11/10/2012,57.64,0.001388889
10/10/2012,57.56,-0.005198418
09/10/2012,57.86,-0.032812123
08/10/2012,59.79,-0.010812715
05/10/2012,60.44,0.004643458
04/10/2012,60.16,0.005166248
03/10/2012,59.85,0.00737887
02/10/2012,59.41,0.002190581
01/10/2012,59.28,-0.002358889
28/09/2012,59.42,-0.005705671
27/09/2012,59.76,0.001339585
26/09/2012,59.68,0.002516569
25/09/2012,59.53,-0.013349105
24/09/2012,60.33,0.00932563
21/09/2012,59.77,0.00234506
20/09/2012,59.63,0.001006711
19/09/2012,59.57,0.001848274
18/09/2012,59.46,0.003200542
17/09/2012,59.27,0.004226906
14/09/2012,59.02,0.021233674
13/09/2012,57.78,0.016226475
12/09/2012,56.85,-0.002459594
11/09/2012,56.99,0.00351556
10/09/2012,56.79,-0.006144143
07/09/2012,57.14,0.007201225
06/09/2012,56.73,0.010810916
05/09/2012,56.12,-0.002491548
04/09/2012,56.26,0.003739654
31/08/2012,56.05,0.003753691
30/08/2012,55.84,-0.00161045
29/08/2012,55.93,0.007717888
28/08/2012,55.5,-0.000900495
27/08/2012,55.55,-0.001259333
24/08/2012,55.62,0.009937746
23/08/2012,55.07,0.00054491
22/08/2012,55.04,-0.02564933
