Date,Close,MCK
04/04/2014,170.87,-0.016714451
03/04/2014,173.75,-0.011445046
02/04/2014,175.75,-0.001648711
01/04/2014,176.04,-0.003006156
31/03/2014,176.57,0.0065343
28/03/2014,175.42,0.013313636
27/03/2014,173.1,-0.004265874
26/03/2014,173.84,-0.015015554
25/03/2014,176.47,-0.006045045
24/03/2014,177.54,-0.018472023
21/03/2014,180.85,-0.024577971
20/03/2014,185.35,0.01873387
19/03/2014,181.91,-0.006902624
18/03/2014,183.17,0.006847653
17/03/2014,181.92,0.006120274
14/03/2014,180.81,-0.015585016
13/03/2014,183.65,0
12/03/2014,183.65,0.006994182
11/03/2014,182.37,0.010306813
10/03/2014,180.5,-0.0104713
07/03/2014,182.4,-0.000986355
06/03/2014,182.58,0.00340155
05/03/2014,181.96,0.006395435
04/03/2014,180.8,0.026623402
03/03/2014,176.05,-0.005664133
28/02/2014,177.05,0.014908664
27/02/2014,174.43,-0.002004525
26/02/2014,174.78,-0.011095104
25/02/2014,176.73,0.002322618
24/02/2014,176.32,-0.000170131
21/02/2014,176.35,-0.006950555
20/02/2014,177.58,-0.0004504
19/02/2014,177.66,0.001013685
18/02/2014,177.48,0.010649245
14/02/2014,175.6,-0.000398554
13/02/2014,175.67,0.004107016
12/02/2014,174.95,-0.000571429
11/02/2014,175.05,0.013110417
10/02/2014,172.77,-0.012767599
07/02/2014,174.99,0.014911471
06/02/2014,172.4,0.022169696
05/02/2014,168.62,-0.004851219
04/02/2014,169.44,-0.009164675
03/02/2014,171,-0.019745293
31/01/2014,174.41,-0.016039475
30/01/2014,177.23,0.022539541
29/01/2014,173.28,-0.011361802
28/01/2014,175.26,0.013094605
27/01/2014,172.98,-0.004268827
24/01/2014,173.72,0.007801479
23/01/2014,172.37,0.015729019
22/01/2014,169.68,0.006681869
21/01/2014,168.55,0.002554432
17/01/2014,168.12,-0.002613759
16/01/2014,168.56,0.007383623
15/01/2014,167.32,-0.000896084
14/01/2014,167.47,0.001972446
13/01/2014,167.14,-0.04846532
10/01/2014,175.44,0.000627192
09/01/2014,175.33,0.031989748
08/01/2014,169.81,0.048133763
07/01/2014,161.83,0.009748905
06/01/2014,160.26,-0.002804002
03/01/2014,160.71,0.003428183
02/01/2014,160.16,-0.00771244
31/12/2013,161.4,0.004408713
30/12/2013,160.69,-0.001803091
27/12/2013,160.98,-0.002419731
26/12/2013,161.37,0.006839972
24/12/2013,160.27,-0.000810802
23/12/2013,160.4,-0.006834447
20/12/2013,161.5,0.00565061
19/12/2013,160.59,-0.00273615
18/12/2013,161.03,0.016340949
17/12/2013,158.42,0.006078276
16/12/2013,157.46,0.000444656
13/12/2013,157.39,0.004074622
12/12/2013,156.75,-0.01009244
11/12/2013,158.34,-0.010054125
10/12/2013,159.94,-0.019135488
09/12/2013,163.03,0.001350356
06/12/2013,162.81,0.017535069
05/12/2013,159.98,-0.017105028
04/12/2013,162.74,-0.006919595
03/12/2013,163.87,-0.004870041
02/12/2013,164.67,-0.007381447
29/11/2013,165.89,0.002353723
27/11/2013,165.5,0.006972895
26/11/2013,164.35,-0.004795299
25/11/2013,165.14,0.009308052
22/11/2013,163.61,0.016702493
21/11/2013,160.9,0.015722708
20/11/2013,158.39,-0.005163739
19/11/2013,159.21,0.002704489
18/11/2013,158.78,-0.00859128
15/11/2013,160.15,0.004317769
14/11/2013,159.46,0.009894519
13/11/2013,157.89,0
12/11/2013,157.89,-0.006376486
11/11/2013,158.9,0.002142003
08/11/2013,158.56,0.014419815
07/11/2013,156.29,-0.00108713
06/11/2013,156.46,-0.015600545
05/11/2013,158.92,-0.005021351
04/11/2013,159.72,0.001754606
01/11/2013,159.44,0.019634553
31/10/2013,156.34,0.001920738
30/10/2013,156.04,0.001090058
29/10/2013,155.87,0.016756012
28/10/2013,153.28,-0.011094284
25/10/2013,154.99,0.032725305
24/10/2013,150,0.047441075
23/10/2013,143.05,0.006452088
22/10/2013,142.13,0.007840407
21/10/2013,141.02,-0.003044573
18/10/2013,141.45,-0.009638798
17/10/2013,142.82,0.014315678
16/10/2013,140.79,0.020378118
15/10/2013,137.95,-0.005349926
14/10/2013,138.69,0.002743684
11/10/2013,138.31,0.003113801
10/10/2013,137.88,0.032432088
09/10/2013,133.48,-0.001796408
08/10/2013,133.72,0.031063823
07/10/2013,129.63,-0.01713235
04/10/2013,131.87,0.017595313
03/10/2013,129.57,-0.00753502
02/10/2013,130.55,-0.007402636
01/10/2013,131.52,0.02478766
30/09/2013,128.3,-0.007686672
27/09/2013,129.29,0.006596074
26/09/2013,128.44,-0.000311381
25/09/2013,128.48,0.004446359
24/09/2013,127.91,-0.01235399
23/09/2013,129.5,-0.01357539
20/09/2013,131.27,-0.005621406
19/09/2013,132.01,0.003034673
18/09/2013,131.61,0.00403518
17/09/2013,131.08,0.009967115
16/09/2013,129.78,0.008356595
13/09/2013,128.7,0.000777303
12/09/2013,128.6,0.007023049
11/09/2013,127.7,0.014036978
10/09/2013,125.92,0.01335112
09/09/2013,124.25,0.005487868
06/09/2013,123.57,0.005111366
05/09/2013,122.94,-0.000487924
04/09/2013,123,0.003910073
03/09/2013,122.52,0.009101034
30/08/2013,121.41,-0.00123472
29/08/2013,121.56,0.002965894
28/08/2013,121.2,0.002891966
27/08/2013,120.85,-0.012580851
26/08/2013,122.38,-0.004646811
23/08/2013,122.95,0.000244031
22/08/2013,122.92,0.00685717
21/08/2013,122.08,-0.003597714
20/08/2013,122.52,0.007290632
19/08/2013,121.63,-0.001560896
16/08/2013,121.82,-0.003196331
15/08/2013,122.21,-0.009609194
14/08/2013,123.39,-0.001214919
13/08/2013,123.54,0.005438104
12/08/2013,122.87,-0.010846796
09/08/2013,124.21,-0.001769627
08/08/2013,124.43,0.010827514
07/08/2013,123.09,-0.003892002
06/08/2013,123.57,0.00089058
05/08/2013,123.46,0.000324044
02/08/2013,123.42,-0.000728952
01/08/2013,123.51,0.006905824
31/07/2013,122.66,-0.006257894
30/07/2013,123.43,-0.005252325
29/07/2013,124.08,-0.006186498
26/07/2013,124.85,0.051525178
25/07/2013,118.58,0.001012487
24/07/2013,118.46,0.002874294
23/07/2013,118.12,-0.003718105
22/07/2013,118.56,-0.000758821
19/07/2013,118.65,0.001433813
18/07/2013,118.48,0.0035512
17/07/2013,118.06,-0.002030801
16/07/2013,118.3,-0.010176279
15/07/2013,119.51,0.007306352
12/07/2013,118.64,0.003461818
11/07/2013,118.23,0.011398558
10/07/2013,116.89,0.007556927
09/07/2013,116.01,0.000603578
08/07/2013,115.94,0.001812924
05/07/2013,115.73,0.009637583
03/07/2013,114.62,0.002970732
02/07/2013,114.28,-0.016489135
01/07/2013,116.18,0.01456589
28/06/2013,114.5,-0.009301584
27/06/2013,115.57,0.000259617
26/06/2013,115.54,0.042792951
25/06/2013,110.7,-0.007649081
24/06/2013,111.55,0.005213026
21/06/2013,110.97,0.001623377
20/06/2013,110.79,-0.027947707
19/06/2013,113.93,-0.006038084
18/06/2013,114.62,0.002096071
17/06/2013,114.38,0.000787161
14/06/2013,114.29,0.003857285
13/06/2013,113.85,0.016204366
12/06/2013,112.02,-0.007559287
11/06/2013,112.87,-0.015734514
10/06/2013,114.66,0.006123718
07/06/2013,113.96,0.019046507
06/06/2013,111.81,0.001252909
05/06/2013,111.67,-0.005714812
04/06/2013,112.31,-0.003821378
03/06/2013,112.74,-0.009885341
31/05/2013,113.86,-0.00944063
30/05/2013,114.94,0.004971446
29/05/2013,114.37,-0.016820234
28/05/2013,116.31,-0.008560963
24/05/2013,117.31,0.000255765
23/05/2013,117.28,-0.002299537
22/05/2013,117.55,-0.007289403
21/05/2013,118.41,0.003299077
20/05/2013,118.02,0.00962078
17/05/2013,116.89,0.012742316
16/05/2013,115.41,-0.007166014
15/05/2013,116.24,0.009681957
14/05/2013,115.12,0.004440002
13/05/2013,114.61,-0.005915633
10/05/2013,115.29,-0.004154771
09/05/2013,115.77,-0.002932553
08/05/2013,116.11,0.066590405
07/05/2013,108.63,0.00368902
06/05/2013,108.23,0.000831908
03/05/2013,108.14,0.006494132
02/05/2013,107.44,0.015854734
01/05/2013,105.75,-0.00066172
30/04/2013,105.82,0.012648164
29/04/2013,104.49,0.002971201
26/04/2013,104.18,-0.007363874
25/04/2013,104.95,-0.019438242
24/04/2013,107.01,0.007315733
23/04/2013,106.23,0.001978799
22/04/2013,106.02,-0.002167052
19/04/2013,106.25,0.007463074
18/04/2013,105.46,-0.011970547
17/04/2013,106.73,-0.009697046
16/04/2013,107.77,0.007824912
15/04/2013,106.93,-0.013284602
12/04/2013,108.36,-0.003868477
11/04/2013,108.78,0.01258111
10/04/2013,107.42,0.005507599
09/04/2013,106.83,-0.001029144
08/04/2013,106.94,0.001029144
05/04/2013,106.83,-0.010429371
