Date,Close,ORCL
04/04/2014,39.98,-0.009707606
03/04/2014,40.37,-0.018650847
02/04/2014,41.13,-0.008714652
01/04/2014,41.49,0.014077902
31/03/2014,40.91,0.033303277
28/03/2014,39.57,0.008374621
27/03/2014,39.24,0.004085808
26/03/2014,39.08,0.017553368
25/03/2014,38.4,0.005745641
24/03/2014,38.18,0.017970885
21/03/2014,37.5,-0.022934971
20/03/2014,38.37,-0.004680196
19/03/2014,38.55,-0.007494543
18/03/2014,38.84,0.016091705
17/03/2014,38.22,0.016354888
14/03/2014,37.6,-0.001328904
13/03/2014,37.65,-0.022844633
12/03/2014,38.52,-0.009816664
11/03/2014,38.9,0.001028807
10/03/2014,38.86,0.0007723
07/03/2014,38.83,-0.016094357
06/03/2014,39.46,-0.001013171
05/03/2014,39.5,0.002281081
04/03/2014,39.41,0.023101643
03/03/2014,38.51,-0.015460241
28/02/2014,39.11,0.004099416
27/02/2014,38.95,0.011620531
26/02/2014,38.5,0.006514681
25/02/2014,38.25,0.00287996
24/02/2014,38.14,0.001049318
21/02/2014,38.1,-0.004452017
20/02/2014,38.27,0.010507058
19/02/2014,37.87,-0.002637132
18/02/2014,37.97,-0.000263331
14/02/2014,37.98,-0.011518452
13/02/2014,38.42,0.009151587
12/02/2014,38.07,0.006059826
11/02/2014,37.84,0.014373418
10/02/2014,37.3,0.002953419
07/02/2014,37.19,0.012718342
06/02/2014,36.72,0.021192482
05/02/2014,35.95,-0.000278125
04/02/2014,35.96,0.003342621
03/02/2014,35.84,-0.029146963
31/01/2014,36.9,-0.013459153
30/01/2014,37.4,0.011563931
29/01/2014,36.97,-0.003510197
28/01/2014,37.1,0.016578719
27/01/2014,36.49,-0.016848225
24/01/2014,37.11,-0.027639283
23/01/2014,38.15,0.004466052
22/01/2014,37.98,-0.00341701
21/01/2014,38.11,-0.002620547
17/01/2014,38.21,-0.002091504
16/01/2014,38.29,-0.003129077
15/01/2014,38.41,0.005220581
14/01/2014,38.21,0.012111786
13/01/2014,37.75,-0.009491239
10/01/2014,38.11,0.012143761
09/01/2014,37.65,-0.001857504
08/01/2014,37.72,-0.003440522
07/01/2014,37.85,0.010090367
06/01/2014,37.47,-0.003995211
03/01/2014,37.62,-0.00583092
02/01/2014,37.84,-0.01103822
31/12/2013,38.26,0.007081997
30/12/2013,37.99,0.000263262
27/12/2013,37.98,0.007664898
26/12/2013,37.69,0.009865431
24/12/2013,37.32,0.010505147
23/12/2013,36.93,0.01527997
20/12/2013,36.37,-0.006303981
19/12/2013,36.6,0.056194558
18/12/2013,34.6,0.028435156
17/12/2013,33.63,0.002679769
16/12/2013,33.54,0.009285674
13/12/2013,33.23,-0.011072985
12/12/2013,33.6,-0.028170877
11/12/2013,34.56,-0.006920443
10/12/2013,34.8,-0.022728251
09/12/2013,35.6,0.00337648
06/12/2013,35.48,0.01791602
05/12/2013,34.85,-0.006292927
04/12/2013,35.07,0
03/12/2013,35.07,-0.000285103
02/12/2013,35.08,-0.00596847
29/11/2013,35.29,0
27/11/2013,35.29,0.010253579
26/11/2013,34.93,0.00430355
25/11/2013,34.78,-0.001436575
22/11/2013,34.83,-0.00315322
21/11/2013,34.94,0.005452733
20/11/2013,34.75,-0.000287728
19/11/2013,34.76,-0.004878758
18/11/2013,34.93,0.000286328
15/11/2013,34.92,0.015584731
14/11/2013,34.38,-0.017873062
13/11/2013,35,0.008608375
12/11/2013,34.7,0.009555596
11/11/2013,34.37,0.000582072
08/11/2013,34.35,0.010241494
07/11/2013,34,-0.002056707
06/11/2013,34.07,0.016871793
05/11/2013,33.5,-0.00624909
04/11/2013,33.71,0.005353969
01/11/2013,33.53,0.000895122
31/10/2013,33.5,-0.000895122
30/10/2013,33.53,-0.005353969
29/10/2013,33.71,0.017053517
28/10/2013,33.14,-0.000301705
25/10/2013,33.15,0.00241619
24/10/2013,33.07,0.011251449
23/10/2013,32.7,-0.00609758
22/10/2013,32.9,-0.001518603
21/10/2013,32.95,0.001518603
18/10/2013,32.9,0.00091227
17/10/2013,32.87,-0.004553051
16/10/2013,33.02,0.008210476
15/10/2013,32.75,-0.016053654
14/10/2013,33.28,0.000601142
11/10/2013,33.26,0.008150989
10/10/2013,32.99,0.02454864
09/10/2013,32.19,-0.005576223
08/10/2013,32.37,-0.014415217
07/10/2013,32.84,-0.011203751
04/10/2013,33.21,-0.000902935
03/10/2013,33.24,-0.013150219
02/10/2013,33.68,0.005358751
01/10/2013,33.5,0.009899586
30/09/2013,33.17,-0.018223058
27/09/2013,33.78,-0.000887705
26/09/2013,33.81,-0.00177305
25/09/2013,33.87,0.006813832
24/09/2013,33.64,-0.008878425
23/09/2013,33.94,-0.003235773
20/09/2013,34.05,0.004710047
19/09/2013,33.89,0.000590319
18/09/2013,33.87,0.018174193
17/09/2013,33.26,0.008757417
16/09/2013,32.97,0.015589495
13/09/2013,32.46,-0.010115029
12/09/2013,32.79,-0.006989848
11/09/2013,33.02,0.004857326
10/09/2013,32.86,0.003353151
09/09/2013,32.75,0.01693651
06/09/2013,32.2,-0.00186162
05/09/2013,32.26,-0.001858161
04/09/2013,32.32,0.009325526
03/09/2013,32.02,0.005009403
30/08/2013,31.86,0.005034624
29/08/2013,31.7,0.001262626
28/08/2013,31.66,-0.003783107
27/08/2013,31.78,-0.017467693
26/08/2013,32.34,0.017782406
