Date,Close,NFLX
04/04/2014,337.31,-0.05024178
03/04/2014,354.69,-0.022828033
02/04/2014,362.88,-0.004975477
01/04/2014,364.69,0.035331278
31/03/2014,352.03,-0.019243807
28/03/2014,358.87,-0.014688045
27/03/2014,364.18,-0.021998008
26/03/2014,372.28,0.003875557
25/03/2014,370.84,-0.021501615
24/03/2014,378.9,-0.069056211
21/03/2014,405.99,-0.044041516
20/03/2014,424.27,0.009901071
19/03/2014,420.09,-0.000380798
18/03/2014,420.25,-0.005860249
17/03/2014,422.72,-0.004178427
14/03/2014,424.49,-0.013036285
13/03/2014,430.06,-0.015046901
12/03/2014,436.58,-0.002059356
11/03/2014,437.48,-0.005630094
10/03/2014,439.95,-0.0189577
07/03/2014,448.37,-0.00476149
06/03/2014,450.51,-0.006614995
05/03/2014,453.5,-0.003258192
04/03/2014,454.98,0.020854215
03/03/2014,445.59,-8.97646E-05
28/02/2014,445.63,-0.014701889
27/02/2014,452.23,0.007635828
26/02/2014,448.79,-0.009403276
25/02/2014,453.03,0.013399754
24/02/2014,447,0.033600741
21/02/2014,432.23,-0.006273228
20/02/2014,434.95,0.015570648
19/02/2014,428.23,-0.019929452
18/02/2014,436.85,0.003072129
14/02/2014,435.51,-0.002385158
13/02/2014,436.55,0.017609181
12/02/2014,428.93,-0.011727757
11/02/2014,433.99,0.008213551
10/02/2014,430.44,0.001069245
07/02/2014,429.98,0.052692134
06/02/2014,407.91,0.00859262
05/02/2014,404.42,-0.003677518
04/02/2014,405.91,0.00377643
03/02/2014,404.38,-0.012166647
31/01/2014,409.33,0.011449757
30/01/2014,404.67,0.010557924
29/01/2014,400.42,-0.015733919
28/01/2014,406.77,0.064845048
27/01/2014,381.23,-0.012641734
24/01/2014,386.08,-0.006814688
23/01/2014,388.72,0.152527007
22/01/2014,333.73,0.01515638
21/01/2014,328.71,-0.004037956
17/01/2014,330.04,-0.004956789
16/01/2014,331.68,0.003927142
15/01/2014,330.38,-0.022684038
14/01/2014,337.96,0.003408572
13/01/2014,336.81,0.013962406
10/01/2014,332.14,-0.014674721
09/01/2014,337.05,-0.011621864
08/01/2014,340.99,0.004379204
07/01/2014,339.5,-0.057434926
06/01/2014,359.57,-0.009769405
03/01/2014,363.1,0.000771435
02/01/2014,362.82,-0.014637945
31/12/2013,368.17,0.003210188
30/12/2013,366.99,-0.001388719
27/12/2013,367.5,-0.025336175
26/12/2013,376.93,-0.003865916
24/12/2013,378.39,-0.005770995
23/12/2013,380.58,0.012985306
20/12/2013,375.67,-0.002844196
19/12/2013,376.74,0.001328057
18/12/2013,376.24,0.003647938
17/12/2013,374.87,0.02309933
16/12/2013,366.31,-0.00723537
13/12/2013,368.97,-0.011747407
12/12/2013,373.33,0.025363826
11/12/2013,363.98,0.002420643
10/12/2013,363.1,0.020674944
09/12/2013,355.67,0.003464255
06/12/2013,354.44,-0.010161491
05/12/2013,358.06,0.0050117
04/12/2013,356.27,-0.018548661
03/12/2013,362.94,-0.002696532
02/12/2013,363.92,-0.005152673
29/11/2013,365.8,0.009089848
27/11/2013,362.49,0.020315877
26/11/2013,355.2,0.014062377
25/11/2013,350.24,0.006847281
22/11/2013,347.85,-0.001866878
21/11/2013,348.5,0.026105375
20/11/2013,339.52,0.006589761
19/11/2013,337.29,-0.013194902
18/11/2013,341.77,-0.023109209
15/11/2013,349.76,0.020771189
14/11/2013,342.57,0.021510013
13/11/2013,335.28,0.004633721
12/11/2013,333.73,-0.012447305
11/11/2013,337.91,0.008947608
08/11/2013,334.9,0.024300035
07/11/2013,326.86,-0.026477418
06/11/2013,335.63,-0.017338316
05/11/2013,341.5,0.011485916
04/11/2013,337.6,0.02498368
01/11/2013,329.27,0.020836964
31/10/2013,322.48,0.013549581
30/10/2013,318.14,-0.028385644
29/10/2013,327.3,0.041484196
28/10/2013,314,-0.043712082
25/10/2013,328.03,-0.00967774
24/10/2013,331.22,0.002963144
23/10/2013,330.24,0.023654513
22/10/2013,322.52,-0.09592447
21/10/2013,354.99,0.062446755
18/10/2013,333.5,0.010247226
17/10/2013,330.1,0.022114902
16/10/2013,322.88,0.003692388
15/10/2013,321.69,-0.008265661
14/10/2013,324.36,0.075242208
11/10/2013,300.85,-0.010383004
10/10/2013,303.99,0.052542384
09/10/2013,288.43,-0.047033637
08/10/2013,302.32,-0.051068342
07/10/2013,318.16,-0.028200561
04/10/2013,327.26,0.01707336
03/10/2013,321.72,-0.02762073
02/10/2013,330.73,0.018647065
01/10/2013,324.62,0.04863461
30/09/2013,309.21,-0.01026376
27/09/2013,312.4,-0.00354684
26/09/2013,313.51,0.020527588
25/09/2013,307.14,0.002118541
