Date,Close,DAL
04/04/2014,34.61,-0.021721346
03/04/2014,35.37,-0.009286686
02/04/2014,35.7,-0.00139958
01/04/2014,35.75,0.031252544
31/03/2014,34.65,0.032857165
28/03/2014,33.53,-0.017736202
27/03/2014,34.13,0.004993401
26/03/2014,33.96,-0.013744916
25/03/2014,34.43,0.03277046
24/03/2014,33.32,0.017865729
21/03/2014,32.73,-0.027423747
20/03/2014,33.64,-0.002671814
19/03/2014,33.73,-0.010029583
18/03/2014,34.07,-0.003808412
17/03/2014,34.2,0.002341921
14/03/2014,34.12,0.015953071
13/03/2014,33.58,-0.027028672
12/03/2014,34.5,-0.012100407
11/03/2014,34.92,-0.007133716
10/03/2014,35.17,-0.005387791
07/03/2014,35.36,-0.000282765
06/03/2014,35.37,0.018548113
05/03/2014,34.72,0.007806892
04/03/2014,34.45,0.055503505
03/03/2014,32.59,-0.018845543
28/02/2014,33.21,-0.003306782
27/02/2014,33.32,-0.005686084
26/02/2014,33.51,0.008089932
25/02/2014,33.24,0.024053527
24/02/2014,32.45,0.021492807
21/02/2014,31.76,-0.002515725
20/02/2014,31.84,0.040704225
19/02/2014,30.57,-0.011384088
18/02/2014,30.92,-0.013492013
14/02/2014,31.34,-0.00031903
13/02/2014,31.35,0.007042283
12/02/2014,31.13,-0.008954329
11/02/2014,31.41,0.006387757
10/02/2014,31.21,-0.013999592
07/02/2014,31.65,0.024305642
06/02/2014,30.89,0.028568681
05/02/2014,30.02,0.002668447
04/02/2014,29.94,0.018881208
03/02/2014,29.38,-0.041012582
31/01/2014,30.61,0.000980552
30/01/2014,30.58,0.021819047
29/01/2014,29.92,-0.032229031
28/01/2014,30.9,0.010083026
27/01/2014,30.59,-0.016856153
24/01/2014,31.11,-0.043710778
23/01/2014,32.5,-0.010407195
22/01/2014,32.84,0.023414502
21/01/2014,32.08,0.03199006
17/01/2014,31.07,-0.016281285
16/01/2014,31.58,0.002536463
15/01/2014,31.5,-0.016060808
14/01/2014,32.01,0.03464513
13/01/2014,30.92,-0.017631487
10/01/2014,31.47,0.013113893
09/01/2014,31.06,0.041412424
08/01/2014,29.8,0.034827692
07/01/2014,28.78,-0.017565459
06/01/2014,29.29,0.002050582
03/01/2014,29.23,0.053763166
02/01/2014,27.7,0.008337913
31/12/2013,27.47,0.010245241
30/12/2013,27.19,0.005901898
27/12/2013,27.03,-0.030962226
26/12/2013,27.88,0.00143575
24/12/2013,27.84,0.00974561
23/12/2013,27.57,0.000725689
20/12/2013,27.55,0.001452961
19/12/2013,27.51,0.014646911
18/12/2013,27.11,0.006290493
17/12/2013,26.94,-0.035731107
16/12/2013,27.92,-0.015988971
13/12/2013,28.37,0.005655724
12/12/2013,28.21,0.019689199
11/12/2013,27.66,-0.039345851
10/12/2013,28.77,-0.003816136
09/12/2013,28.88,0.022764072
06/12/2013,28.23,0.010325888
05/12/2013,27.94,0.011881328
04/12/2013,27.61,-0.015810606
03/12/2013,28.05,-0.033307198
02/12/2013,29,0.000689893
29/11/2013,28.98,-0.012345836
27/11/2013,29.34,0.010277583
26/11/2013,29.04,-0.004466594
25/11/2013,29.17,0.019734066
22/11/2013,28.6,0.019774656
21/11/2013,28.04,0.011838703
20/11/2013,27.71,-0.005039607
19/11/2013,27.85,-0.009648101
18/11/2013,28.12,0
15/11/2013,28.12,0.006421713
14/11/2013,27.94,0.00538311
13/11/2013,27.79,-0.011804823
12/11/2013,28.12,0.023386567
11/11/2013,27.47,0.02134003
08/11/2013,26.89,0.007840249
07/11/2013,26.68,-0.007468295
06/11/2013,26.88,-0.021347885
05/11/2013,27.46,0.000728597
04/11/2013,27.44,0.027338237
01/11/2013,26.7,0.012057418
31/10/2013,26.38,-0.003783584
30/10/2013,26.48,0.004921456
29/10/2013,26.35,0.008001567
28/10/2013,26.14,-0.006482387
25/10/2013,26.31,-0.000380011
24/10/2013,26.32,0.027346206
23/10/2013,25.61,0.004696682
22/10/2013,25.49,0.031887915
21/10/2013,24.69,-0.012877442
18/10/2013,25.01,0.008835399
17/10/2013,24.79,0.015037877
16/10/2013,24.42,0.016515652
15/10/2013,24.02,-0.003739876
14/10/2013,24.11,-0.01195644
11/10/2013,24.4,-0.004498065
10/10/2013,24.51,0.01066458
09/10/2013,24.25,0.000825083
08/10/2013,24.23,-0.025266218
07/10/2013,24.85,-0.013589338
04/10/2013,25.19,0.026142651
03/10/2013,24.54,0.011887822
02/10/2013,24.25,0.001650846
01/10/2013,24.21,0.025942878
30/09/2013,23.59,0.000848176
27/09/2013,23.57,-0.018495693
26/09/2013,24.01,0.00836475
25/09/2013,23.81,0.002102166
24/09/2013,23.76,0.018692133
23/09/2013,23.32,0.000858001
20/09/2013,23.3,-0.006417134
19/09/2013,23.45,0.005988042
18/09/2013,23.31,-0.000428908
17/09/2013,23.32,0.007316581
16/09/2013,23.15,0.029813694
13/09/2013,22.47,0.013441063
12/09/2013,22.17,-0.011213394
11/09/2013,22.42,-0.009323042
10/09/2013,22.63,0.039203038
09/09/2013,21.76,0.089856329
06/09/2013,19.89,-0.017937701
05/09/2013,20.25,-0.002958582
04/09/2013,20.31,0.023413274
03/09/2013,19.84,0.005559782
30/08/2013,19.73,0.004572017
29/08/2013,19.64,0.026310519
28/08/2013,19.13,0.001046025
27/08/2013,19.11,-0.058930202
26/08/2013,20.27,0.007427615
23/08/2013,20.12,-0.006440448
22/08/2013,20.25,0.034668129
21/08/2013,19.56,0.019097355
20/08/2013,19.19,0.003131527
19/08/2013,19.13,-0.035938159
16/08/2013,19.83,0.015244198
15/08/2013,19.53,0.025409716
14/08/2013,19.04,-0.026433257
13/08/2013,19.55,-0.073450101
12/08/2013,21.04,0.022591684
09/08/2013,20.57,-0.023541803
08/08/2013,21.06,0.003805904
07/08/2013,20.98,0
06/08/2013,20.98,-0.034203381
05/08/2013,21.71,-0.010994156
02/08/2013,21.95,-0.004545462
01/08/2013,22.05,0.037897326
31/07/2013,21.23,0.001885903
30/07/2013,21.19,-0.006116227
29/07/2013,21.32,-0.026841038
26/07/2013,21.9,0.019364367
25/07/2013,21.48,0.032169283
24/07/2013,20.8,0.016970104
23/07/2013,20.45,0.003919652
22/07/2013,20.37,0.003935076
19/07/2013,20.29,-0.013219287
18/07/2013,20.56,0.031623188
17/07/2013,19.92,0.032137425
16/07/2013,19.29,-0.007745972
15/07/2013,19.44,0.007745972
12/07/2013,19.29,0.02254355
11/07/2013,18.86,0.008519753
10/07/2013,18.7,-0.033134769
09/07/2013,19.33,0.015641612
08/07/2013,19.03,0.001577702
05/07/2013,19,0.031544984
03/07/2013,18.41,-0.03101853
02/07/2013,18.99,-0.019296557
01/07/2013,19.36,0.034150942
28/06/2013,18.71,0.001069519
27/06/2013,18.69,0.015094626
26/06/2013,18.41,0.014223435
25/06/2013,18.15,0.044501851
24/06/2013,17.36,-0.051638857
21/06/2013,18.28,-0.007086429
20/06/2013,18.41,-0.015094626
19/06/2013,18.69,-0.014870162
18/06/2013,18.97,0.00793865
17/06/2013,18.82,-0.00159278
14/06/2013,18.85,0.007454774
13/06/2013,18.71,0.034805036
12/06/2013,18.07,-0.024598125
11/06/2013,18.52,-0.003772573
10/06/2013,18.59,0.011360685
07/06/2013,18.38,0.049633828
06/06/2013,17.49,-0.003994299
05/06/2013,17.56,-0.029735711
04/06/2013,18.09,0.015599202
03/06/2013,17.81,-0.011167062
31/05/2013,18.01,-0.004984779
30/05/2013,18.1,0.001105583
29/05/2013,18.08,-0.034786116
28/05/2013,18.72,-0.011155494
24/05/2013,18.93,0.02351792
23/05/2013,18.49,0.016907957
22/05/2013,18.18,0.002754064
21/05/2013,18.13,-0.01260636
20/05/2013,18.36,-0.009756175
17/05/2013,18.54,-0.005379249
16/05/2013,18.64,-0.017021688
15/05/2013,18.96,0.038166417
14/05/2013,18.25,0.019923183
13/05/2013,17.89,-0.013326127
10/05/2013,18.13,0.024003385
09/05/2013,17.7,-0.052817556
08/05/2013,18.66,0.03157584
07/05/2013,18.08,0.001106807
06/05/2013,18.06,0.005552485
03/05/2013,17.96,0.026517774
02/05/2013,17.49,0.03787228
01/05/2013,16.84,-0.017657904
30/04/2013,17.14,0.011147079
29/04/2013,16.95,0.008293886
26/04/2013,16.81,0.031422525
25/04/2013,16.29,-0.010989122
24/04/2013,16.47,-0.015065063
23/04/2013,16.72,0.09926536
22/04/2013,15.14,-0.007894778
19/04/2013,15.26,0.007234494
18/04/2013,15.15,-0.024773105
17/04/2013,15.53,-0.021656897
16/04/2013,15.87,0.062398406
15/04/2013,14.91,-0.037516739
12/04/2013,15.48,-0.00451177
11/04/2013,15.55,0.019481136
10/04/2013,15.25,0.029952322
09/04/2013,14.8,-0.008745431
08/04/2013,14.93,0.036839091
05/04/2013,14.39,-0.024709562
04/04/2013,14.75,0.01296504
03/04/2013,14.56,-0.025764137
02/04/2013,14.94,-0.084050729
01/04/2013,16.25,-0.015873349
28/03/2013,16.51,-0.004833846
27/03/2013,16.59,0.002414002
26/03/2013,16.55,0.014607685
25/03/2013,16.31,-0.024228926
22/03/2013,16.71,-0.007749666
21/03/2013,16.84,-0.013565528
20/03/2013,17.07,0.031540847
19/03/2013,16.54,0.016458768
18/03/2013,16.27,0.016734199
15/03/2013,16,-0.017348638
14/03/2013,16.28,-0.004901971
13/03/2013,16.36,0.020377365
12/03/2013,16.03,-0.012399415
11/03/2013,16.23,-0.000615953
08/03/2013,16.24,0.021158226
07/03/2013,15.9,0.014571053
06/03/2013,15.67,-0.01205216
05/03/2013,15.86,0.013329299
04/03/2013,15.65,0.054493297
01/03/2013,14.82,0.037818188
28/02/2013,14.27,0
27/02/2013,14.27,0.026270591
26/02/2013,13.9,-0.008596041
25/02/2013,14.02,0.019446057
22/02/2013,13.75,0.013914542
21/02/2013,13.56,-0.018992536
20/02/2013,13.82,-0.034142719
19/02/2013,14.3,-0.010434877
15/02/2013,14.45,0.014639509
14/02/2013,14.24,-0.03722001
13/02/2013,14.78,0.019126266
12/02/2013,14.5,-0.013018341
11/02/2013,14.69,0.004776536
08/02/2013,14.62,-0.016282585
07/02/2013,14.86,0.026595499
06/02/2013,14.47,0.038032753
05/02/2013,13.93,0.005037794
04/02/2013,13.86,0.002890175
01/02/2013,13.82,-0.005052338
31/01/2013,13.89,0.003606207
30/01/2013,13.84,0.011628038
29/01/2013,13.68,-0.018827493
28/01/2013,13.94,-0.016364648
25/01/2013,14.17,0.017082266
24/01/2013,13.93,0.010826522
23/01/2013,13.78,-0.016553095
22/01/2013,14.01,0.028966544
18/01/2013,13.61,-0.016035329
