Date,Close,ESRX
04/04/2014,73.28,-0.022133157
03/04/2014,74.92,-0.009035406
02/04/2014,75.6,-0.006329135
01/04/2014,76.08,0.013098024
31/03/2014,75.09,-0.005710128
28/03/2014,75.52,0.003448737
27/03/2014,75.26,-0.00185849
26/03/2014,75.4,-0.001855042
25/03/2014,75.54,-0.004095389
24/03/2014,75.85,-0.014917837
21/03/2014,76.99,-0.012007116
20/03/2014,77.92,0.00475977
19/03/2014,77.55,0.00620879
18/03/2014,77.07,0.004942778
17/03/2014,76.69,-0.008698529
14/03/2014,77.36,-0.008238976
13/03/2014,78,-0.005880114
12/03/2014,78.46,-0.001655524
11/03/2014,78.59,-0.000636011
10/03/2014,78.64,0.004332873
07/03/2014,78.3,0.002685595
06/03/2014,78.09,0.012110429
05/03/2014,77.15,0.01950196
04/03/2014,75.66,0.015987551
03/03/2014,74.46,-0.01135086
28/02/2014,75.31,0.010008758
27/02/2014,74.56,0.007539077
26/02/2014,74,-0.001080497
25/02/2014,74.08,-0.003638083
24/02/2014,74.35,0.004583454
21/02/2014,74.01,-0.041162431
20/02/2014,77.12,0.009641769
19/02/2014,76.38,-0.003920036
18/02/2014,76.68,-0.000912468
14/02/2014,76.75,0.00195631
13/02/2014,76.6,0.008653522
12/02/2014,75.94,0.005148866
11/02/2014,75.55,0.011314597
10/02/2014,74.7,0.004293004
07/02/2014,74.38,0.005392302
06/02/2014,73.98,0.009370612
05/02/2014,73.29,-0.001090959
04/02/2014,73.37,-0.010574936
03/02/2014,74.15,-0.007256146
31/01/2014,74.69,0.000401741
30/01/2014,74.66,0.012805998
29/01/2014,73.71,-0.007433974
28/01/2014,74.26,0.012329944
27/01/2014,73.35,0.000409082
24/01/2014,73.32,-0.015025663
23/01/2014,74.43,-0.003487128
22/01/2014,74.69,0.001205707
21/01/2014,74.6,0.013223779
17/01/2014,73.62,0.009828089
16/01/2014,72.9,-0.004243385
15/01/2014,73.21,0.002735606
14/01/2014,73.01,0.005356052
13/01/2014,72.62,-0.003299426
10/01/2014,72.86,0.006609773
09/01/2014,72.38,0.018827695
08/01/2014,71.03,0.016895411
07/01/2014,69.84,-0.000572574
06/01/2014,69.88,-0.001715757
03/01/2014,70,0.000571592
02/01/2014,69.96,-0.003994299
31/12/2013,70.24,0.000712099
30/12/2013,70.19,-0.005824294
27/12/2013,70.6,0.006679482
26/12/2013,70.13,0.008736182
24/12/2013,69.52,-0.006595006
23/12/2013,69.98,0.014682861
20/12/2013,68.96,0.015637878
19/12/2013,67.89,-0.001324796
18/12/2013,67.98,0.016164065
17/12/2013,66.89,-0.007743896
16/12/2013,67.41,0.011788542
13/12/2013,66.62,-0.001350034
12/12/2013,66.71,-0.007913442
11/12/2013,67.24,-0.007260905
10/12/2013,67.73,0.008451381
09/12/2013,67.16,0.00313176
06/12/2013,66.95,0.002692194
05/12/2013,66.77,-0.006121706
04/12/2013,67.18,0.007920538
03/12/2013,66.65,-0.005685234
02/12/2013,67.03,-0.004762622
29/11/2013,67.35,-0.002224695
27/11/2013,67.5,0.003561892
26/11/2013,67.26,0.009260708
25/11/2013,66.64,0.003758555
22/11/2013,66.39,0.007559758
21/11/2013,65.89,0.010834012
20/11/2013,65.18,0.004459145
19/11/2013,64.89,-0.001539883
18/11/2013,64.99,-0.005370994
15/11/2013,65.34,-0.016694879
14/11/2013,66.44,0.007705712
13/11/2013,65.93,0.019450801
12/11/2013,64.66,-0.002471425
11/11/2013,64.82,0.009610987
08/11/2013,64.2,0.001870908
07/11/2013,64.08,-0.012098798
06/11/2013,64.86,0.021821315
05/11/2013,63.46,0.019251251
04/11/2013,62.25,-0.001925855
01/11/2013,62.37,-0.002402115
31/10/2013,62.52,0.003204104
30/10/2013,62.32,0.007085376
29/10/2013,61.88,-0.000484692
28/10/2013,61.91,0.016777004
25/10/2013,60.88,-0.045907595
24/10/2013,63.74,-0.001724273
