Date,Close,CL
04/04/2014,64.22,-0.000933852
03/04/2014,64.28,-0.00031109
02/04/2014,64.3,0.001244943
01/04/2014,64.22,-0.010070579
31/03/2014,64.87,0.011940903
28/03/2014,64.1,0.00062422
27/03/2014,64.06,-0.003272815
26/03/2014,64.27,0.007810099
25/03/2014,63.77,0.007239566
24/03/2014,63.31,-0.002366492
21/03/2014,63.46,-0.002046439
20/03/2014,63.59,0.003150105
19/03/2014,63.39,-0.014875402
18/03/2014,64.34,-0.000932111
17/03/2014,64.4,0.008890334
14/03/2014,63.83,0.009444427
13/03/2014,63.23,0.000158165
12/03/2014,63.22,-0.001106632
11/03/2014,63.29,0.003799276
10/03/2014,63.05,-0.00126803
07/03/2014,63.13,0.001743956
06/03/2014,63.02,0.00636742
05/03/2014,62.62,-0.006208728
04/03/2014,63.01,0.012616952
03/03/2014,62.22,-0.009756175
28/02/2014,62.83,0.011364668
27/02/2014,62.12,0.00274039
26/02/2014,61.95,-0.001935172
25/02/2014,62.07,0.001935172
24/02/2014,61.95,0.006315299
21/02/2014,61.56,-0.004861458
20/02/2014,61.86,0.005348907
19/02/2014,61.53,-0.013880145
18/02/2014,62.39,-0.004637411
14/02/2014,62.68,0.005920491
13/02/2014,62.31,0.006278697
12/02/2014,61.92,-0.007722046
11/02/2014,62.4,0.01420295
10/02/2014,61.52,0.010786181
07/02/2014,60.86,0.004281251
06/02/2014,60.6,0.002974717
05/02/2014,60.42,0.001159228
04/02/2014,60.35,0.002987058
03/02/2014,60.17,-0.017463376
31/01/2014,61.23,-0.004237294
30/01/2014,61.49,-0.00162496
29/01/2014,61.59,-0.020569583
28/01/2014,62.87,0.012162096
27/01/2014,62.11,-0.004498
24/01/2014,62.39,-0.016689571
23/01/2014,63.44,-0.008944744
22/01/2014,64.01,-0.011339927
21/01/2014,64.74,0.000618047
17/01/2014,64.7,-0.004318329
16/01/2014,64.98,0.003082616
15/01/2014,64.78,-0.001079997
14/01/2014,64.85,0.002470281
13/01/2014,64.69,-0.006010652
10/01/2014,65.08,0.000922367
09/01/2014,65.02,0.023025286
08/01/2014,63.54,-0.010333582
07/01/2014,64.2,0.000935016
06/01/2014,64.14,-0.000623441
03/01/2014,64.18,-0.001867996
02/01/2014,64.3,-0.0140532
31/12/2013,65.21,-0.003368037
30/12/2013,65.43,0.000917431
27/12/2013,65.37,0.008294978
26/12/2013,64.83,0.00185271
24/12/2013,64.71,0.00123705
23/12/2013,64.63,-0.001700549
20/12/2013,64.74,0.007753179
19/12/2013,64.24,-0.006207345
18/12/2013,64.64,0.016534459
17/12/2013,63.58,-0.007208933
16/12/2013,64.04,0.000937354
13/12/2013,63.98,0.000156311
12/12/2013,63.97,-0.015049543
11/12/2013,64.94,0.003857137
10/12/2013,64.69,-0.015340077
09/12/2013,65.69,0.000456795
06/12/2013,65.66,0.017204725
05/12/2013,64.54,-0.007717279
04/12/2013,65.04,-0.005060972
03/12/2013,65.37,0.001377727
02/12/2013,65.28,-0.008086092
29/11/2013,65.81,-0.000303859
27/11/2013,65.83,-0.002730584
26/11/2013,66.01,0.000909367
25/11/2013,65.95,-0.004689518
22/11/2013,66.26,0.004234731
21/11/2013,65.98,0.010972375
20/11/2013,65.26,-0.000306419
19/11/2013,65.28,0.001533037
18/11/2013,65.18,-0.009163167
15/11/2013,65.78,0.002740145
14/11/2013,65.6,0.007804768
13/11/2013,65.09,0.005700655
12/11/2013,64.72,0.001546312
11/11/2013,64.62,-0.003244499
08/11/2013,64.83,0.000462856
07/11/2013,64.8,-0.018500642
06/11/2013,66.01,0.009895795
05/11/2013,65.36,-0.005644992
04/11/2013,65.73,0.005186101
01/11/2013,65.39,0.010144569
31/10/2013,64.73,-0.007541398
30/10/2013,65.22,-0.010979067
29/10/2013,65.94,0.018057109
28/10/2013,64.76,0.018074658
25/10/2013,63.6,0.008844025
24/10/2013,63.04,-0.006797908
23/10/2013,63.47,0
22/10/2013,63.47,0.019248188
21/10/2013,62.26,-0.008795131
18/10/2013,62.81,-0.009507281
17/10/2013,63.41,0.017981231
16/10/2013,62.28,0.017003081
15/10/2013,61.23,-0.004887595
14/10/2013,61.53,0.001301025
11/10/2013,61.45,0.010798534
10/10/2013,60.79,0.015918094
09/10/2013,59.83,0.01464796
08/10/2013,58.96,-0.004231199
07/10/2013,59.21,-0.002024634
04/10/2013,59.33,0.001855758
03/10/2013,59.22,-0.003539827
02/10/2013,59.43,-0.011044289
01/10/2013,60.09,0.013234132
30/09/2013,59.3,-0.010567908
27/09/2013,59.93,-0.007646314
26/09/2013,60.39,0.017539913
25/09/2013,59.34,-0.00889193
24/09/2013,59.87,-0.005496807
23/09/2013,60.2,-0.003978785
20/09/2013,60.44,-0.008730803
19/09/2013,60.97,-0.003601838
18/09/2013,61.19,0.022978117
17/09/2013,59.8,-0.003672179
16/09/2013,60.02,0.009878691
13/09/2013,59.43,0.002527168
12/09/2013,59.28,0.000506201
11/09/2013,59.25,0.011201746
10/09/2013,58.59,0.000341413
09/09/2013,58.57,0.00977961
06/09/2013,58,0.00813646
05/09/2013,57.53,-0.004682225
04/09/2013,57.8,0.006073771
03/09/2013,57.45,-0.005554605
30/08/2013,57.77,0.009041967
29/08/2013,57.25,-0.000349284
28/08/2013,57.27,-0.006439845
27/08/2013,57.64,-0.010012167
26/08/2013,58.22,-0.013816851
23/08/2013,59.03,0.009874101
22/08/2013,58.45,-0.001025992
21/08/2013,58.51,-0.009864026
20/08/2013,59.09,-0.001014885
19/08/2013,59.15,-0.005395393
16/08/2013,59.47,-0.005700887
15/08/2013,59.81,-0.014276471
14/08/2013,60.67,-0.006735138
13/08/2013,61.08,0.001966569
12/08/2013,60.96,0.004603757
09/08/2013,60.68,-0.00378321
08/08/2013,60.91,-0.000492409
07/08/2013,60.94,-0.000820143
06/08/2013,60.99,0.000163975
05/08/2013,60.98,0.007406832
02/08/2013,60.53,-0.000495499
01/08/2013,60.56,0.011459064
31/07/2013,59.87,-0.006161039
30/07/2013,60.24,0.002659576
29/07/2013,60.08,-0.002825565
26/07/2013,60.25,0.010511484
25/07/2013,59.62,0.019477286
24/07/2013,58.47,0.001026694
23/07/2013,58.41,-0.004100467
22/07/2013,58.65,-0.003913899
19/07/2013,58.88,0.00135962
18/07/2013,58.8,0.007511131
17/07/2013,58.36,-0.002054092
16/07/2013,58.48,-0.005797118
15/07/2013,58.82,-0.005425581
12/07/2013,59.14,0.003217887
11/07/2013,58.95,0.005613692
10/07/2013,58.62,-0.006122468
09/07/2013,58.98,0.006805062
08/07/2013,58.58,0.012367042
05/07/2013,57.86,0.000691563
03/07/2013,57.82,0.001731003
02/07/2013,57.72,-0.003976836
01/07/2013,57.95,0.011454481
28/06/2013,57.29,-0.001743984
27/06/2013,57.39,0.006818804
26/06/2013,57,0.013778702
25/06/2013,56.22,0.001245884
24/06/2013,56.15,-0.011685685
21/06/2013,56.81,0.016684803
20/06/2013,55.87,-0.037415447
19/06/2013,58,-0.02888901
18/06/2013,59.7,0.001005531
17/06/2013,59.64,0.013844557
14/06/2013,58.82,0.006139173
13/06/2013,58.46,0.005144926
12/06/2013,58.16,-0.007878102
11/06/2013,58.62,-0.003405998
10/06/2013,58.82,-0.004748991
07/06/2013,59.1,0.018098496
06/06/2013,58.04,0.002415043
05/06/2013,57.9,-0.016614238
04/06/2013,58.87,0.004596926
03/06/2013,58.6,0.013054119
31/05/2013,57.84,-0.030478225
30/05/2013,59.63,0.000838856
29/05/2013,59.58,-0.033828818
28/05/2013,61.63,0.007491892
24/05/2013,61.17,0.003274933
23/05/2013,60.97,-0.007190748
22/05/2013,61.41,-0.002764454
21/05/2013,61.58,0.00048729
20/05/2013,61.55,-0.007929486
17/05/2013,62.04,-0.005465373
16/05/2013,62.38,-0.691462531
15/05/2013,124.55,0.009681399
14/05/2013,123.35,0.019979376
13/05/2013,120.91,0.001572653
10/05/2013,120.72,0.00439999
09/05/2013,120.19,-0.00274189
08/05/2013,120.52,0.001577746
07/05/2013,120.33,0.001080946
06/05/2013,120.2,-0.007872425
03/05/2013,121.15,0.0034728
02/05/2013,120.73,0.013257375
01/05/2013,119.14,-0.002263677
30/04/2013,119.41,0.000335036
29/04/2013,119.37,0.003188457
26/04/2013,118.99,-0.003607235
25/04/2013,119.42,0.012809884
24/04/2013,117.9,-0.029501158
23/04/2013,121.43,0.008435379
22/04/2013,120.41,0.005746903
19/04/2013,119.72,0.00965218
18/04/2013,118.57,0.006090874
17/04/2013,117.85,-0.012480135
16/04/2013,119.33,0.020830558
15/04/2013,116.87,-0.012753106
12/04/2013,118.37,-0.003962739
11/04/2013,118.84,0.004807904
10/04/2013,118.27,0.008661739
09/04/2013,117.25,-0.004000516
08/04/2013,117.72,0.008531019
05/04/2013,116.72,-0.003079558
04/04/2013,117.08,-0.001962542
03/04/2013,117.31,-0.0134628
02/04/2013,118.9,0.010058831
01/04/2013,117.71,-0.002714857
28/03/2013,118.03,0.011160925
27/03/2013,116.72,-0.00512734
26/03/2013,117.32,0.025204165
25/03/2013,114.4,-8.74088E-05
22/03/2013,114.41,0.00613714
21/03/2013,113.71,-0.007796457
20/03/2013,114.6,0.01813909
19/03/2013,112.54,0.002491104
18/03/2013,112.26,0.001604707
15/03/2013,112.08,-0.015581052
14/03/2013,113.84,-0.009268231
13/03/2013,114.9,-0.001391547
12/03/2013,115.06,-0.005028186
11/03/2013,115.64,-0.000864379
08/03/2013,115.74,0.002855291
07/03/2013,115.41,0.000520021
06/03/2013,115.35,-0.003116076
05/03/2013,115.71,0.007547206
04/03/2013,114.84,0.00637696
01/03/2013,114.11,-0.002800387
28/02/2013,114.43,-0.000262135
27/02/2013,114.46,0.004816754
26/02/2013,113.91,-0.000877501
25/02/2013,114.01,0.000350908
22/02/2013,113.97,0.007751294
21/02/2013,113.09,0.00870343
20/02/2013,112.11,0.001785555
19/02/2013,111.91,0.017032809
15/02/2013,110.02,0.015480043
14/02/2013,108.33,0.003977252
13/02/2013,107.9,-0.001389211
12/02/2013,108.05,-0.002218731
11/02/2013,108.29,-0.001845189
08/02/2013,108.49,-0.015548146
07/02/2013,110.19,0.003454549
06/02/2013,109.81,0.003192414
05/02/2013,109.46,0.006691441
04/02/2013,108.73,-0.010157016
01/02/2013,109.84,0.022743948
31/01/2013,107.37,-0.031897123
30/01/2013,110.85,-0.000541126
29/01/2013,110.91,0.006875988
28/01/2013,110.15,0
25/01/2013,110.15,0.003455806
24/01/2013,109.77,0.008784026
23/01/2013,108.81,0.003221801
22/01/2013,108.46,-0.00505818
18/01/2013,109.01,0.000642349
17/01/2013,108.94,0.010241359
16/01/2013,107.83,0.000834996
15/01/2013,107.74,-0.001761952
14/01/2013,107.93,0.007813266
11/01/2013,107.09,-0.002797465
10/01/2013,107.39,0.01180231
09/01/2013,106.13,-0.001788657
08/01/2013,106.32,0.002259888
07/01/2013,106.08,-0.017011346
04/01/2013,107.9,0.011558667
03/01/2013,106.66,0.003286851
02/01/2013,106.31,0.016789581
31/12/2012,104.54,0.004794333
28/12/2012,104.04,-0.011753038
27/12/2012,105.27,0.005333854
26/12/2012,104.71,-0.003241803
24/12/2012,105.05,-0.000475851
21/12/2012,105.1,-0.006543719
20/12/2012,105.79,-0.002266076
19/12/2012,106.03,-0.011533721
18/12/2012,107.26,0.009837527
17/12/2012,106.21,0.003489747
14/12/2012,105.84,-0.00301887
13/12/2012,106.16,-0.007787982
12/12/2012,106.99,-0.008284126
11/12/2012,107.88,0.010155209
10/12/2012,106.79,-0.014687009
07/12/2012,108.37,0.015998853
06/12/2012,106.65,-0.005237083
05/12/2012,107.21,-0.003445229
04/12/2012,107.58,-0.004729457
03/12/2012,108.09,-0.00378596
30/11/2012,108.5,0.004526358
29/11/2012,108.01,0.002317283
28/11/2012,107.76,0.001114206
27/11/2012,107.64,-0.002041764
26/11/2012,107.86,-0.001297137
23/11/2012,108,0.011173301
21/11/2012,106.8,-0.001029432
20/11/2012,106.91,0
19/11/2012,106.91,0.016599457
16/11/2012,105.15,0.013210991
15/11/2012,103.77,0.002315486
14/11/2012,103.53,-0.007218163
13/11/2012,104.28,-0.000287646
12/11/2012,104.31,0.004227117
09/11/2012,103.87,-0.001923632
08/11/2012,104.07,-0.008610845
07/11/2012,104.97,-0.006362492
06/11/2012,105.64,0.003888657
05/11/2012,105.23,0.002569106
02/11/2012,104.96,-0.008632601
01/11/2012,105.87,0.008632601
31/10/2012,104.96,0.010439208
26/10/2012,103.87,-0.007003434
25/10/2012,104.6,-0.018564655
24/10/2012,106.56,0.000281571
23/10/2012,106.53,-0.010830094
22/10/2012,107.69,-0.000464188
19/10/2012,107.74,-0.026379987
18/10/2012,110.62,0.0004521
17/10/2012,110.57,0.018069482
16/10/2012,108.59,0.001197881
15/10/2012,108.46,0.005269252
12/10/2012,107.89,-0.001296777
11/10/2012,108.03,0.003152237
10/10/2012,107.69,0.002417257
09/10/2012,107.43,-0.00981853
08/10/2012,108.49,0.000368766
05/10/2012,108.45,-9.22041E-05
04/10/2012,108.46,0.003972475
03/10/2012,108.03,0.001018754
02/10/2012,107.92,-0.000648418
01/10/2012,107.99,0.007155832
28/09/2012,107.22,-0.001211726
27/09/2012,107.35,0.005604872
26/09/2012,106.75,0.000937207
25/09/2012,106.65,-0.002715485
24/09/2012,106.94,0.003841294
21/09/2012,106.53,-0.002437654
20/09/2012,106.79,0.00846347
19/09/2012,105.89,-0.00113261
18/09/2012,106.01,0.008145527
17/09/2012,105.15,0.013403743
14/09/2012,103.75,-0.007585614
13/09/2012,104.54,0.018536928
12/09/2012,102.62,-0.001947041
11/09/2012,102.82,-0.008522229
10/09/2012,103.7,-0.02476317
