Date,Close,MRO
04/04/2014,35.59,-0.003366062
03/04/2014,35.71,0.009284073
02/04/2014,35.38,-0.001129944
01/04/2014,35.42,-0.002819286
31/03/2014,35.52,0.008481815
28/03/2014,35.22,0.020944676
27/03/2014,34.49,-0.000289897
26/03/2014,34.5,-0.00202693
25/03/2014,34.57,0.009883801
24/03/2014,34.23,-0.004663372
21/03/2014,34.39,0.016713481
20/03/2014,33.82,0.015795292
19/03/2014,33.29,-0.010756005
18/03/2014,33.65,0.014065771
17/03/2014,33.18,0.003018415
14/03/2014,33.08,0.006368482
13/03/2014,32.87,-0.017790308
12/03/2014,33.46,-0.013948883
11/03/2014,33.93,-0.010845775
10/03/2014,34.3,0.001750803
07/03/2014,34.24,0.012342208
06/03/2014,33.82,0.006228702
05/03/2014,33.61,-0.007706025
04/03/2014,33.87,0.00979091
03/03/2014,33.54,0.001193318
28/02/2014,33.5,0.005387622
27/02/2014,33.32,-0.013415017
26/02/2014,33.77,-0.007669654
25/02/2014,34.03,0.004122503
24/02/2014,33.89,0.018764512
21/02/2014,33.26,-0.006592772
20/02/2014,33.48,0.004190368
19/02/2014,33.34,-0.005980879
18/02/2014,33.54,0.009586652
14/02/2014,33.22,-0.001503986
13/02/2014,33.27,-0.000600962
12/02/2014,33.29,0.017881974
11/02/2014,32.7,0.013237072
10/02/2014,32.27,-0.010174282
07/02/2014,32.6,0.024531583
06/02/2014,31.81,-0.009075324
05/02/2014,32.1,-0.007448824
04/02/2014,32.34,0.008695707
03/02/2014,32.06,-0.022514444
31/01/2014,32.79,-0.007595358
30/01/2014,33.04,0
29/01/2014,33.04,-0.009638629
28/01/2014,33.36,0.013277202
27/01/2014,32.92,-0.002427186
24/01/2014,33,-0.021286968
23/01/2014,33.71,-0.020262035
22/01/2014,34.4,0.003494471
21/01/2014,34.28,0.009378732
17/01/2014,33.96,-0.006164705
16/01/2014,34.17,0.004693467
15/01/2014,34.01,-0.016042345
14/01/2014,34.56,0.013106348
13/01/2014,34.11,-0.015418487
10/01/2014,34.64,0.00404976
09/01/2014,34.5,0.00290276
08/01/2014,34.4,-0.013857035
07/01/2014,34.88,0.012985322
06/01/2014,34.43,-0.002610589
03/01/2014,34.52,-0.011234455
02/01/2014,34.91,-0.011109643
31/12/2013,35.3,0.002836881
30/12/2013,35.2,-0.012141897
