Date,Close,KO
04/04/2014,38.22,0.003932368
03/04/2014,38.07,-0.006806309
02/04/2014,38.33,-0.002084963
01/04/2014,38.41,-0.006487631
31/03/2014,38.66,-0.007473299
28/03/2014,38.95,0.003343195
27/03/2014,38.82,0.005424267
26/03/2014,38.61,-0.000258967
25/03/2014,38.62,0.005712817
24/03/2014,38.4,-0.001041125
21/03/2014,38.44,-0.000260112
20/03/2014,38.45,0.008095096
19/03/2014,38.14,-0.006793859
18/03/2014,38.4,0.00339116
17/03/2014,38.27,0.002616433
14/03/2014,38.17,0.005253493
13/03/2014,37.97,-0.013082343
12/03/2014,38.47,-0.00854153
11/03/2014,38.8,0.003873472
10/03/2014,38.65,0.002590675
07/03/2014,38.55,0.002077383
06/03/2014,38.47,0.003124189
05/03/2014,38.35,0.001043569
04/03/2014,38.31,0.00497188
03/03/2014,38.12,-0.002096437
28/02/2014,38.2,0.003408945
27/02/2014,38.07,0.005267328
26/02/2014,37.87,0.002644105
25/02/2014,37.77,0.007174204
24/02/2014,37.5,0.008569951
21/02/2014,37.18,-0.003222344
20/02/2014,37.3,0.005376357
19/02/2014,37.1,-0.009923643
18/02/2014,37.47,-0.038224549
14/02/2014,38.93,0.007218387
13/02/2014,38.65,0.003628827
12/02/2014,38.51,-0.003370062
11/02/2014,38.64,0.001813237
10/02/2014,38.57,0.016205268
07/02/2014,37.95,-0.002105818
06/02/2014,38.03,0.011105349
05/02/2014,37.61,0.003462515
04/02/2014,37.48,0.007498696
03/02/2014,37.2,-0.016529302
31/01/2014,37.82,-0.009211804
30/01/2014,38.17,0.007098755
29/01/2014,37.9,-0.025271633
28/01/2014,38.87,0.003608251
27/01/2014,38.73,-0.00283615
24/01/2014,38.84,-0.010245991
23/01/2014,39.24,-0.016679689
22/01/2014,39.9,-0.000501128
21/01/2014,39.92,0.016161968
17/01/2014,39.28,-0.010887562
16/01/2014,39.71,-0.001258337
15/01/2014,39.76,0.001762115
14/01/2014,39.69,0.004039389
13/01/2014,39.53,-0.015064307
10/01/2014,40.13,0.010017614
09/01/2014,39.73,-0.005271758
08/01/2014,39.94,-0.011203902
07/01/2014,40.39,0.002975455
06/01/2014,40.27,-0.004707057
03/01/2014,40.46,-0.004930976
02/01/2014,40.66,-0.015859793
31/12/2013,41.31,0.005339819
30/12/2013,41.09,0.010519975
27/12/2013,40.66,0.004189778
26/12/2013,40.49,0.007436822
24/12/2013,40.19,0.000746733
23/12/2013,40.16,0.002992521
20/12/2013,40.04,0.00450564
19/12/2013,39.86,-0.004006014
18/12/2013,40.02,0.023256862
17/12/2013,39.1,-0.004338402
16/12/2013,39.27,0.001019108
13/12/2013,39.23,0.000509944
12/12/2013,39.21,-0.023192368
11/12/2013,40.13,0.007001779
10/12/2013,39.85,-0.01370738
09/12/2013,40.4,-0.001484047
06/12/2013,40.46,0.015693435
05/12/2013,39.83,-0.013466538
04/12/2013,40.37,0.00049554
03/12/2013,40.35,0.006713938
02/12/2013,40.08,-0.002740752
29/11/2013,40.19,0
27/11/2013,40.19,-0.001491795
26/11/2013,40.25,-0.002976931
25/11/2013,40.37,-0.001485149
22/11/2013,40.43,0
21/11/2013,40.43,0.009193753
20/11/2013,40.06,-0.001995013
19/11/2013,40.14,-0.000747105
18/11/2013,40.17,-0.001243936
15/11/2013,40.22,0.000248663
14/11/2013,40.21,0.002240758
13/11/2013,40.12,0.006000018
12/11/2013,39.88,0.000250784
11/11/2013,39.87,-0.004504512
08/11/2013,40.05,0.005508276
07/11/2013,39.83,-0.005508276
06/11/2013,40.05,0.013828002
05/11/2013,39.5,-0.000253133
04/11/2013,39.51,-0.002527807
01/11/2013,39.61,0.001010356
31/10/2013,39.57,-0.001262786
30/10/2013,39.62,-0.004532871
29/10/2013,39.8,0.004785301
28/10/2013,39.61,0.01475103
25/10/2013,39.03,0.005910335
24/10/2013,38.8,-0.007446433
23/10/2013,39.09,0
22/10/2013,39.09,0.006931102
21/10/2013,38.82,0.001030928
18/10/2013,38.78,0.00594855
17/10/2013,38.55,0.01436994
16/10/2013,38,0.008987636
15/10/2013,37.66,-0.006616406
14/10/2013,37.91,0.003699793
11/10/2013,37.77,-0.000264725
10/10/2013,37.78,0.018702121
09/10/2013,37.08,-0.005379249
08/10/2013,37.28,0.006188638
07/10/2013,37.05,-0.00404041
04/10/2013,37.2,0.001075847
03/10/2013,37.16,-0.007239608
02/10/2013,37.43,-0.013796982
01/10/2013,37.95,0.001846236
30/09/2013,37.88,-0.013634191
27/09/2013,38.4,-0.008815198
26/09/2013,38.74,0.010639779
25/09/2013,38.33,-0.005204279
24/09/2013,38.53,-0.002592018
23/09/2013,38.63,-0.01973664
20/09/2013,39.4,0.002286877
19/09/2013,39.31,-0.007097622
18/09/2013,39.59,0.02041408
17/09/2013,38.79,-0.001802962
16/09/2013,38.86,0.004384275
13/09/2013,38.69,0.006482585
12/09/2013,38.44,-0.008806066
11/09/2013,38.78,0.003875473
10/09/2013,38.63,0.00285159
09/09/2013,38.52,0.004423059
06/09/2013,38.35,0.00287244
05/09/2013,38.24,-0.007814575
04/09/2013,38.54,0.016745551
03/09/2013,37.9,-0.007360706
30/08/2013,38.18,0.002097536
29/08/2013,38.1,-0.006540246
28/08/2013,38.35,0.00522877
27/08/2013,38.15,0.000786679
26/08/2013,38.12,-0.010438508
23/08/2013,38.52,0.005466628
22/08/2013,38.31,0.000783392
21/08/2013,38.28,-0.009619208
20/08/2013,38.65,-0.003357875
19/08/2013,38.78,-0.006938226
16/08/2013,39.05,-0.001023804
15/08/2013,39.09,-0.011193198
14/08/2013,39.53,-0.003031071
13/08/2013,39.65,-0.004529449
12/08/2013,39.83,-0.008251078
09/08/2013,40.16,-0.00099552
08/08/2013,40.2,0.001244555
07/08/2013,40.15,-0.005464494
06/08/2013,40.37,0.001983636
05/08/2013,40.29,0.001738915
02/08/2013,40.22,-0.008664493
01/08/2013,40.57,0.01215142
31/07/2013,40.08,-0.005970167
30/07/2013,40.32,0.000992556
29/07/2013,40.28,-0.008897735
26/07/2013,40.64,-0.00490919
25/07/2013,40.84,-0.000489596
24/07/2013,40.86,-0.002444391
23/07/2013,40.96,0.002933987
22/07/2013,40.84,-0.00610279
19/07/2013,41.09,0.006837633
18/07/2013,40.81,-0.000734844
17/07/2013,40.84,0.015049007
16/07/2013,40.23,-0.019202953
15/07/2013,41.01,-0.000487567
12/07/2013,41.03,0
11/07/2013,41.03,0.008566935
10/07/2013,40.68,-0.003680534
09/07/2013,40.83,0.007127964
08/07/2013,40.54,0.000493462
05/07/2013,40.52,0.000740649
03/07/2013,40.49,0.002968095
02/07/2013,40.37,-0.002226897
01/07/2013,40.46,0.008688152
28/06/2013,40.11,-0.00373274
27/06/2013,40.26,-0.001737189
26/06/2013,40.33,0.01524077
25/06/2013,39.72,0.004794962
24/06/2013,39.53,-0.005801504
21/06/2013,39.76,0.015971946
20/06/2013,39.13,-0.032187843
19/06/2013,40.41,-0.012786011
18/06/2013,40.93,0.006126719
17/06/2013,40.68,0.008393039
14/06/2013,40.34,-0.001733747
13/06/2013,40.41,0.00049505
12/06/2013,40.39,-0.009854724
11/06/2013,40.79,-0.009515748
10/06/2013,41.18,-0.005569696
07/06/2013,41.41,0.015085444
06/06/2013,40.79,0.003438117
05/06/2013,40.65,-0.01876502
04/06/2013,41.42,0.014836707
03/06/2013,40.81,0.020297727
31/05/2013,39.99,-0.019317094
30/05/2013,40.77,-0.015334364
29/05/2013,41.4,-0.027398974
28/05/2013,42.55,0.007312216
24/05/2013,42.24,0.007366078
23/05/2013,41.93,-0.007602793
22/05/2013,42.25,-0.002127912
21/05/2013,42.34,-0.000944287
20/05/2013,42.38,-0.013825645
17/05/2013,42.97,-0.002788754
16/05/2013,43.09,0.003953034
15/05/2013,42.92,0.009363364
14/05/2013,42.52,0.007791327
13/05/2013,42.19,0.000948542
10/05/2013,42.15,0.000711997
09/05/2013,42.12,-0.008039769
08/05/2013,42.46,-0.005636464
07/05/2013,42.7,0.014626352
06/05/2013,42.08,-0.003795071
03/05/2013,42.24,0.006650856
02/05/2013,41.96,-0.005940376
01/05/2013,42.21,-0.002838895
30/04/2013,42.33,0.002128415
29/04/2013,42.24,0.003319899
26/04/2013,42.1,-0.00592068
25/04/2013,42.35,0.004733737
24/04/2013,42.15,-0.012964236
23/04/2013,42.7,-0.000468274
22/04/2013,42.72,0.001405482
19/04/2013,42.66,0.013213972
18/04/2013,42.1,-0.010632114
17/04/2013,42.55,0.00423929
16/04/2013,42.37,0.055313638
15/04/2013,40.09,-0.024394458
12/04/2013,41.08,-0.002431317
11/04/2013,41.18,0.002674774
10/04/2013,41.07,0.008804165
09/04/2013,40.71,-0.003677827
08/04/2013,40.86,0.019274133
05/04/2013,40.08,-0.011411684
04/04/2013,40.54,0.009168693
03/04/2013,40.17,-0.013598924
02/04/2013,40.72,0.006652729
01/04/2013,40.45,0.000247249
28/03/2013,40.44,0.00545501
27/03/2013,40.22,-0.011617978
26/03/2013,40.69,0.014107399
25/03/2013,40.12,0.001996009
22/03/2013,40.04,-0.00074897
21/03/2013,40.07,0.005003763
20/03/2013,39.87,0.013636575
19/03/2013,39.33,0.014598799
18/03/2013,38.76,-0.001804357
15/03/2013,38.83,-0.004881191
14/03/2013,39.02,0.01108116
13/03/2013,38.59,-0.009542303
12/03/2013,38.96,-0.008943461
11/03/2013,39.31,0.002292119
08/03/2013,39.22,0.002552976
07/03/2013,39.12,0.00255951
06/03/2013,39.02,0.008751665
05/03/2013,38.68,-0.003612907
