Date,Close,SNI
04/04/2014,76.32,0.004991472
03/04/2014,75.94,-0.005253493
02/04/2014,76.34,-0.017143277
01/04/2014,77.66,0.022791896
31/03/2014,75.91,0.002374045
28/03/2014,75.73,0.015167933
27/03/2014,74.59,0.009158313
26/03/2014,73.91,-0.010765815
25/03/2014,74.71,-0.005073442
24/03/2014,75.09,0.007888269
21/03/2014,74.5,-0.035859365
20/03/2014,77.22,-0.015548016
19/03/2014,78.43,-0.016063079
18/03/2014,79.7,0.006293287
17/03/2014,79.2,0.005825013
14/03/2014,78.74,0.004837692
13/03/2014,78.36,-0.017081455
12/03/2014,79.71,-0.005005642
11/03/2014,80.11,-0.01080152
10/03/2014,80.98,-0.011174673
07/03/2014,81.89,0.000977398
06/03/2014,81.81,0.002815352
05/03/2014,81.58,0.003315124
04/03/2014,81.31,0.005055186
03/03/2014,80.9,-0.004193913
28/02/2014,81.24,0.003452531
27/02/2014,80.96,0.00210201
26/02/2014,80.79,-0.001360629
25/02/2014,80.9,-0.002099155
24/02/2014,81.07,0.004574404
21/02/2014,80.7,0.008461972
20/02/2014,80.02,0.009543016
19/02/2014,79.26,0.006201374
18/02/2014,78.77,-0.002282527
14/02/2014,78.95,0.019311298
13/02/2014,77.44,-0.005023518
12/02/2014,77.83,0.013582771
11/02/2014,76.78,0.012845897
10/02/2014,75.8,-0.006574646
07/02/2014,76.3,0.024679507
06/02/2014,74.44,0.019670986
05/02/2014,72.99,0.007149762
04/02/2014,72.47,0.00803551
03/02/2014,71.89,-0.008725213
31/01/2014,72.52,-0.012878655
30/01/2014,73.46,0.014949192
29/01/2014,72.37,-0.016445485
28/01/2014,73.57,0.008600149
27/01/2014,72.94,-0.009143701
24/01/2014,73.61,-0.022167899
23/01/2014,75.26,-0.00556514
22/01/2014,75.68,0.005299429
21/01/2014,75.28,0.01485474
17/01/2014,74.17,-0.01312636
16/01/2014,75.15,-0.012167853
15/01/2014,76.07,-0.001576251
14/01/2014,76.19,-0.001573771
13/01/2014,76.31,-0.0720372
10/01/2014,82.01,-0.005108257
09/01/2014,82.43,0
08/01/2014,82.43,-0.025511893
07/01/2014,84.56,0.000354841
06/01/2014,84.53,-0.005309434
03/01/2014,84.98,-0.005866496
02/01/2014,85.48,-0.010820979
31/12/2013,86.41,0.002549248
30/12/2013,86.19,0.017910927
27/12/2013,84.66,-0.003066402
26/12/2013,84.92,0.008039769
24/12/2013,84.24,0.00249599
23/12/2013,84.03,0.004054382
20/12/2013,83.69,0.003950918
19/12/2013,83.36,0.005412896
18/12/2013,82.91,0.018749027
17/12/2013,81.37,-0.0012282
16/12/2013,81.47,0.009124601
13/12/2013,80.73,0.004967103
12/12/2013,80.33,-0.008306004
11/12/2013,81,0.073633251
10/12/2013,75.25,0.00680048
09/12/2013,74.74,0.010085475
06/12/2013,73.99,0.015527416
05/12/2013,72.85,0.002611506
04/12/2013,72.66,-0.008087221
03/12/2013,73.25,-0.009781358
02/12/2013,73.97,-0.008346844
29/11/2013,74.59,-0.002410285
27/11/2013,74.77,-0.00040115
26/11/2013,74.8,0.007245436
25/11/2013,74.26,-0.005238075
22/11/2013,74.65,-0.005210781
21/11/2013,75.04,0.007624945
20/11/2013,74.47,-0.004421525
19/11/2013,74.8,0.001337793
18/11/2013,74.7,-0.010122622
15/11/2013,75.46,-0.012379982
14/11/2013,76.4,-0.002614381
13/11/2013,76.6,0.009312153
12/11/2013,75.89,0.002374671
11/11/2013,75.71,-0.010511199
08/11/2013,76.51,0.004585061
07/11/2013,76.16,-0.05280869
06/11/2013,80.29,0.002119569
05/11/2013,80.12,-0.001496633
04/11/2013,80.24,0.006501648
01/11/2013,79.72,-0.009736689
31/10/2013,80.5,0.00498133
30/10/2013,80.1,-0.008453556
29/10/2013,80.78,0.001858621
28/10/2013,80.63,0.004973279
25/10/2013,80.23,0.003245945
24/10/2013,79.97,0.003632951
23/10/2013,79.68,-0.010735342
22/10/2013,80.54,0.017535519
21/10/2013,79.14,-0.00012635
18/10/2013,79.15,0.003924304
17/10/2013,78.84,0.007000601
16/10/2013,78.29,0.005122306
15/10/2013,77.89,-0.005505423
14/10/2013,78.32,0.007690374
11/10/2013,77.72,0.009956764
10/10/2013,76.95,0.029274242
09/10/2013,74.73,-0.004539394
08/10/2013,75.07,-0.016645034
07/10/2013,76.33,-0.017403037
04/10/2013,77.67,0.009963206
03/10/2013,76.9,-0.014587492
02/10/2013,78.03,-0.006641997
01/10/2013,78.55,0.005617275
30/09/2013,78.11,0
27/09/2013,78.11,-0.002046298
26/09/2013,78.27,0.008854726
25/09/2013,77.58,0.007764014
24/09/2013,76.98,-0.008408303
23/09/2013,77.63,-0.001544601
20/09/2013,77.75,-0.010364113
19/09/2013,78.56,0.004848804
18/09/2013,78.18,0.018721094
17/09/2013,76.73,0.015498077
16/09/2013,75.55,0.017626308
13/09/2013,74.23,0.002157789
12/09/2013,74.07,-0.004714131
11/09/2013,74.42,-0.00696307
10/09/2013,74.94,-0.001466765
09/09/2013,75.05,-0.00438743
06/09/2013,75.38,0.011206094
05/09/2013,74.54,0.000536769
04/09/2013,74.5,0.001746491
03/09/2013,74.37,0.011359149
30/08/2013,73.53,-0.004342523
29/08/2013,73.85,0.009250508
28/08/2013,73.17,-0.000136659
27/08/2013,73.18,-0.01908429
26/08/2013,74.59,-0.000134057
23/08/2013,74.6,-0.005480931
22/08/2013,75.01,0.010587782
21/08/2013,74.22,-0.010454458
20/08/2013,75,0.008032172
19/08/2013,74.4,-0.004960793
16/08/2013,74.77,0.013058003
15/08/2013,73.8,-0.020917899
14/08/2013,75.36,-0.01095359
13/08/2013,76.19,0.005659772
12/08/2013,75.76,0.005426524
09/08/2013,75.35,0.014167572
08/08/2013,74.29,0.003235812
07/08/2013,74.05,0.011271933
06/08/2013,73.22,0.004654355
05/08/2013,72.88,-0.001371178
02/08/2013,72.98,0.009222999
01/08/2013,72.31,0.02152725
31/07/2013,70.77,-0.002117299
30/07/2013,70.92,-0.005764515
29/07/2013,71.33,-0.002660135
26/07/2013,71.52,-0.006688988
25/07/2013,72,0.004175371
24/07/2013,71.7,-0.004036473
23/07/2013,71.99,0.002503478
22/07/2013,71.81,-0.006662065
19/07/2013,72.29,-0.008677143
18/07/2013,72.92,0.01952565
17/07/2013,71.51,-0.014025086
16/07/2013,72.52,-0.007418635
15/07/2013,73.06,0.005077198
12/07/2013,72.69,0.009259965
11/07/2013,72.02,0.014263981
10/07/2013,71,0.00253843
09/07/2013,70.82,0.004245089
08/07/2013,70.52,0.009546272
05/07/2013,69.85,0.015727905
03/07/2013,68.76,0.00773783
02/07/2013,68.23,0.00912845
01/07/2013,67.61,0.012651802
28/06/2013,66.76,0.002249382
27/06/2013,66.61,0.018179564
26/06/2013,65.41,0.00505787
25/06/2013,65.08,0.000153669
24/06/2013,65.07,-0.014797006
21/06/2013,66.04,-0.003174846
20/06/2013,66.25,-0.022536585
19/06/2013,67.76,-0.002505713
18/06/2013,67.93,0.00723945
17/06/2013,67.44,0.013284769
14/06/2013,66.55,-0.003000752
13/06/2013,66.75,0.035840664
12/06/2013,64.4,-0.021962028
11/06/2013,65.83,-0.00454684
10/06/2013,66.13,-0.010080579
07/06/2013,66.8,0.018127385
06/06/2013,65.6,-0.00060957
05/06/2013,65.64,-0.021998778
04/06/2013,67.1,0.005079945
03/06/2013,66.76,-0.008947271
31/05/2013,67.36,-0.012979533
30/05/2013,68.24,-0.007154882
