Date,Close,WAG
04/04/2014,66.05,-0.015622971
03/04/2014,67.09,0.011091241
02/04/2014,66.35,0.007868099
01/04/2014,65.83,-0.003033523
31/03/2014,66.03,0.010198734
28/03/2014,65.36,0.015573517
27/03/2014,64.35,-0.008972832
26/03/2014,64.93,-0.022688449
25/03/2014,66.42,0.032283076
24/03/2014,64.31,-0.00681856
21/03/2014,64.75,-0.026668247
20/03/2014,66.5,-0.004950134
19/03/2014,66.83,-0.005521166
18/03/2014,67.2,-0.002081166
17/03/2014,67.34,0.004017564
14/03/2014,67.07,0.002089553
13/03/2014,66.93,0
12/03/2014,66.93,0.006144643
11/03/2014,66.52,-0.00390098
10/03/2014,66.78,-0.006418411
07/03/2014,67.21,0.007467179
06/03/2014,66.71,-0.026186865
05/03/2014,68.48,-0.008868271
04/03/2014,69.09,0.024764985
03/03/2014,67.4,-0.008127123
28/02/2014,67.95,-0.003525786
27/02/2014,68.19,0.024945614
26/02/2014,66.51,-0.00659376
25/02/2014,66.95,0.006443418
24/02/2014,66.52,0.003011143
21/02/2014,66.32,-0.003462034
20/02/2014,66.55,0.015750742
19/02/2014,65.51,0.014917616
18/02/2014,64.54,-0.003711727
14/02/2014,64.78,-0.024549529
13/02/2014,66.39,0.014718421
12/02/2014,65.42,0.018824811
11/02/2014,64.2,0.056883575
10/02/2014,60.65,-0.005098276
07/02/2014,60.96,0.028958589
06/02/2014,59.22,0.023405869
05/02/2014,57.85,0.033395019
04/02/2014,55.95,0.006814947
03/02/2014,55.57,-0.031529356
31/01/2014,57.35,0.001570544
30/01/2014,57.26,0.013361662
29/01/2014,56.5,-0.009161445
28/01/2014,57.02,-0.00664222
27/01/2014,57.4,0.002966067
24/01/2014,57.23,-0.019381122
23/01/2014,58.35,-0.009551497
22/01/2014,58.91,0.003060186
21/01/2014,58.73,-0.007294968
17/01/2014,59.16,-0.012263908
16/01/2014,59.89,0.006701315
15/01/2014,59.49,-0.008536331
14/01/2014,60,-0.00332779
13/01/2014,60.2,-0.002654282
10/01/2014,60.36,-0.012839683
09/01/2014,61.14,0.029545718
08/01/2014,59.36,0.031661753
07/01/2014,57.51,0.006454449
06/01/2014,57.14,0.00561602
03/01/2014,56.82,0.003349496
02/01/2014,56.63,-0.014202045
31/12/2013,57.44,-0.006939653
30/12/2013,57.84,0.007113763
27/12/2013,57.43,-0.004170293
26/12/2013,57.67,0.001040944
24/12/2013,57.61,0.001215806
23/12/2013,57.54,-0.025734822
20/12/2013,59.04,0.036217098
19/12/2013,56.94,-0.007000379
18/12/2013,57.34,0.019192419
17/12/2013,56.25,-0.011137744
16/12/2013,56.88,-0.002282906
13/12/2013,57.01,-0.009427444
12/12/2013,57.55,-0.002256358
11/12/2013,57.68,0.018901508
10/12/2013,56.6,-0.001059509
09/12/2013,56.66,-0.000882068
06/12/2013,56.71,0.010636512
05/12/2013,56.11,-0.025687549
04/12/2013,57.57,-0.019608471
03/12/2013,58.71,-0.006620854
02/12/2013,59.1,-0.001690617
29/11/2013,59.2,-0.000168905
27/11/2013,59.21,-0.005557909
26/11/2013,59.54,-0.005861191
25/11/2013,59.89,-0.010133819
22/11/2013,60.5,0.004140793
21/11/2013,60.25,0.014208346
20/11/2013,59.4,0.013730193
19/11/2013,58.59,-0.025778531
18/11/2013,60.12,-0.002657809
15/11/2013,60.28,0.002657809
14/11/2013,60.12,-0.007787298
13/11/2013,60.59,0.018489741
12/11/2013,59.48,0.000504498
11/11/2013,59.45,-0.004196397
