Date,Close,KMX
04/04/2014,45.56,-0.042961933
03/04/2014,47.56,-0.006705809
02/04/2014,47.88,0.00796817
01/04/2014,47.5,0.014846508
31/03/2014,46.8,0.024441576
28/03/2014,45.67,0.004828807
27/03/2014,45.45,0.002864384
26/03/2014,45.32,-0.026563722
25/03/2014,46.54,-0.020838517
24/03/2014,47.52,-0.018762276
21/03/2014,48.42,0.021501716
20/03/2014,47.39,0.000844416
19/03/2014,47.35,-0.011757431
18/03/2014,47.91,0.007332179
17/03/2014,47.56,0.007386337
14/03/2014,47.21,0.001483837
13/03/2014,47.14,-0.010550847
12/03/2014,47.64,-0.018509419
11/03/2014,48.53,-0.006367486
10/03/2014,48.84,0.004926118
07/03/2014,48.6,-0.007175838
06/03/2014,48.95,-0.003059666
05/03/2014,49.1,-0.006698493
04/03/2014,49.43,0.026651844
03/03/2014,48.13,-0.006213773
28/02/2014,48.43,-0.005148812
27/02/2014,48.68,0.008043768
26/02/2014,48.29,0.002280503
25/02/2014,48.18,0.006037283
24/02/2014,47.89,0.017695848
21/02/2014,47.05,-0.005933478
20/02/2014,47.33,-0.000844773
19/02/2014,47.37,0.002959833
18/02/2014,47.23,-0.001269573
14/02/2014,47.29,-0.001479134
13/02/2014,47.36,0.007204947
12/02/2014,47.02,-0.010577632
11/02/2014,47.52,0.006333143
10/02/2014,47.22,-0.00675393
07/02/2014,47.54,0.008237453
06/02/2014,47.15,0.020354211
05/02/2014,46.2,0.0108815
04/02/2014,45.7,-0.001312049
03/02/2014,45.76,0.014306396
31/01/2014,45.11,0.001330967
30/01/2014,45.05,0.007128567
29/01/2014,44.73,-0.004906343
28/01/2014,44.95,0.003119432
27/01/2014,44.81,0.005370342
24/01/2014,44.57,-0.004477285
23/01/2014,44.77,-0.003567451
22/01/2014,44.93,-0.002223211
21/01/2014,45.03,-0.003546889
17/01/2014,45.19,0.011797577
16/01/2014,44.66,-0.004468283
15/01/2014,44.86,-0.017895098
14/01/2014,45.67,0.00990216
13/01/2014,45.22,-0.016449543
10/01/2014,45.97,0.019106763
09/01/2014,45.1,-0.003320424
08/01/2014,45.25,-0.001986975
07/01/2014,45.34,-0.010312763
06/01/2014,45.81,-0.013658749
03/01/2014,46.44,-0.009856519
02/01/2014,46.9,-0.002555368
31/12/2013,47.02,-0.001699958
30/12/2013,47.1,0.003615871
27/12/2013,46.93,-0.011440803
26/12/2013,47.47,-0.002734829
24/12/2013,47.6,0.003367007
23/12/2013,47.44,-0.013400536
20/12/2013,48.08,-0.098368575
19/12/2013,53.05,0.010040816
18/12/2013,52.52,0.014769617
17/12/2013,51.75,-0.0015447
16/12/2013,51.83,0.017124373
13/12/2013,50.95,-0.002744024
12/12/2013,51.09,-0.003321938
11/12/2013,51.26,-0.016062271
10/12/2013,52.09,0.002691274
09/12/2013,51.95,0.014542185
06/12/2013,51.2,0.007843177
05/12/2013,50.8,0.002167702
04/12/2013,50.69,-0.00942477
03/12/2013,51.17,-0.006622541
02/12/2013,51.51,0.022777344
29/11/2013,50.35,-0.001984128
27/11/2013,50.45,0.006762158
26/11/2013,50.11,0.000399202
25/11/2013,50.09,0.008017682
22/11/2013,49.69,0.008285386
21/11/2013,49.28,0.013277695
20/11/2013,48.63,-0.004104254
19/11/2013,48.83,-0.005514157
18/11/2013,49.1,-0.01696325
15/11/2013,49.94,0.007436473
14/11/2013,49.57,-0.002820308
13/11/2013,49.71,0.013773764
12/11/2013,49.03,0.005522051
11/11/2013,48.76,0.024918233
08/11/2013,47.56,0.000841397
07/11/2013,47.52,-0.027194203
06/11/2013,48.83,0.00184483
05/11/2013,48.74,0.002876517
04/11/2013,48.6,0.016179569
01/11/2013,47.82,0.017509149
31/10/2013,46.99,-0.004459079
30/10/2013,47.2,-0.00612527
29/10/2013,47.49,-0.000841928
28/10/2013,47.53,-0.004827378
25/10/2013,47.76,-0.000627944
24/10/2013,47.79,0.005876197
23/10/2013,47.51,-0.018352966
22/10/2013,48.39,-0.007412017
21/10/2013,48.75,0.000205149
18/10/2013,48.74,-0.002663663
17/10/2013,48.87,0.011318158
16/10/2013,48.32,0.017115843
15/10/2013,47.5,-0.018976693
14/10/2013,48.41,0.009964791
11/10/2013,47.93,0.013442757
10/10/2013,47.29,0.021805054
09/10/2013,46.27,-0.003236598
08/10/2013,46.42,-0.039286995
07/10/2013,48.28,-0.000621182
04/10/2013,48.31,0.005604581
03/10/2013,48.04,-0.016720381
02/10/2013,48.85,0.001024066
01/10/2013,48.8,0.006785263
30/09/2013,48.47,-0.015354995
27/09/2013,49.22,-0.005470584
26/09/2013,49.49,-0.006244355
25/09/2013,49.8,-0.039182096
24/09/2013,51.79,0.034974095
23/09/2013,50.01,-0.023321215
20/09/2013,51.19,-0.001171418
19/09/2013,51.25,0.002344209
18/09/2013,51.13,0.00293801
17/09/2013,50.98,0.001177625
16/09/2013,50.92,-0.003137257
13/09/2013,51.08,-0.000782779
12/09/2013,51.12,-0.01244184
11/09/2013,51.76,-0.005587145
10/09/2013,52.05,0.013539859
09/09/2013,51.35,0.002730111
06/09/2013,51.21,0.02411184
05/09/2013,49.99,0.018982799
04/09/2013,49.05,0.021222595
03/09/2013,48.02,0.009625519
30/08/2013,47.56,-0.010250064
29/08/2013,48.05,0.006891538
