Date,Close,GPS
04/04/2014,41.37,-0.015827669
03/04/2014,42.03,0.003336514
02/04/2014,41.89,0.021962992
01/04/2014,40.98,0.022705813
31/03/2014,40.06,-0.002742118
28/03/2014,40.17,0.007245503
27/03/2014,39.88,0.001254548
26/03/2014,39.83,-0.008748962
25/03/2014,40.18,-0.02044658
24/03/2014,41.01,-0.016445352
21/03/2014,41.69,0.006256036
20/03/2014,41.43,-0.004335267
19/03/2014,41.61,-0.012656885
18/03/2014,42.14,-0.001422813
17/03/2014,42.2,0.002847653
14/03/2014,42.08,0.019436725
13/03/2014,41.27,-0.000726656
12/03/2014,41.3,-0.012751285
11/03/2014,41.83,-0.00453191
10/03/2014,42.02,-0.008530857
07/03/2014,42.38,0.002125901
06/03/2014,42.29,-0.007538316
05/03/2014,42.61,-0.004215463
04/03/2014,42.79,-0.010692803
03/03/2014,43.25,-0.011494379
28/02/2014,43.75,0.001601281
27/02/2014,43.68,-0.005251753
26/02/2014,43.91,0.002279983
25/02/2014,43.81,0.020524184
24/02/2014,42.92,0.003500996
21/02/2014,42.77,0.010104657
20/02/2014,42.34,0.00354904
19/02/2014,42.19,-0.000947643
18/02/2014,42.23,-0.002601397
14/02/2014,42.34,-0.000472255
13/02/2014,42.36,0.0037843
12/02/2014,42.2,-0.008259634
11/02/2014,42.55,0.01754431
10/02/2014,41.81,-0.004534073
07/02/2014,42,0.056066573
06/02/2014,39.71,0.036675479
05/02/2014,38.28,0.011560822
04/02/2014,37.84,0.015714799
03/02/2014,37.25,-0.022037265
31/01/2014,38.08,0.001050972
30/01/2014,38.04,0.033412169
29/01/2014,36.79,-0.002172143
28/01/2014,36.87,-0.003789934
27/01/2014,37.01,-0.005389396
24/01/2014,37.21,-0.01520232
23/01/2014,37.78,-0.023284244
22/01/2014,38.67,0.010659142
21/01/2014,38.26,0.025411637
17/01/2014,37.3,0.004029555
16/01/2014,37.15,-0.009910353
15/01/2014,37.52,-0.003989898
14/01/2014,37.67,-0.015279539
13/01/2014,38.25,-0.040727872
10/01/2014,39.84,0.010598131
09/01/2014,39.42,0.005596555
08/01/2014,39.2,-0.003565066
07/01/2014,39.34,0.007398937
06/01/2014,39.05,-0.011963997
03/01/2014,39.52,0.02045061
02/01/2014,38.72,-0.009254565
31/12/2013,39.08,0.001536492
30/12/2013,39.02,0.010304058
27/12/2013,38.62,-0.009021842
26/12/2013,38.97,0.009280809
24/12/2013,38.61,0.001036538
23/12/2013,38.57,0
20/12/2013,38.57,0.007286007
19/12/2013,38.29,-0.007545242
18/12/2013,38.58,0.008590447
17/12/2013,38.25,-0.011437608
16/12/2013,38.69,0.005182701
13/12/2013,38.49,0.002861977
12/12/2013,38.38,0.001564537
11/12/2013,38.32,-0.010384309
10/12/2013,38.72,-0.022220299
09/12/2013,39.59,0.003289061
06/12/2013,39.46,-0.019574025
05/12/2013,40.24,-0.016268537
04/12/2013,40.9,-0.005121338
03/12/2013,41.11,-0.011367882
02/12/2013,41.58,0.014779191
29/11/2013,40.97,0.004893575
27/11/2013,40.77,-0.010006185
26/11/2013,41.18,0.003649195
25/11/2013,41.03,-0.006801095
22/11/2013,41.31,-0.013226116
21/11/2013,41.86,0.014922058
20/11/2013,41.24,-0.011571971
19/11/2013,41.72,-0.005259395
18/11/2013,41.94,-0.004994659
15/11/2013,42.15,0.002375298
14/11/2013,42.05,0.016545156
13/11/2013,41.36,0.011917933
12/11/2013,40.87,-0.008041959
11/11/2013,41.2,-0.005567
08/11/2013,41.43,0.09301978
07/11/2013,37.75,-0.007126861
06/11/2013,38.02,0.012705306
05/11/2013,37.54,0.008292143
04/11/2013,37.23,0.012160669
01/11/2013,36.78,-0.005693387
31/10/2013,36.99,-0.017950917
30/10/2013,37.66,0.000531209
29/10/2013,37.64,0.024745749
28/10/2013,36.72,0.001635323
25/10/2013,36.66,-0.010851978
24/10/2013,37.06,0.003513992
23/10/2013,36.93,0.002711498
22/10/2013,36.83,-0.002711498
21/10/2013,36.93,-0.007822022
18/10/2013,37.22,0.006469025
17/10/2013,36.98,-0.002430791
16/10/2013,37.07,0.007581948
15/10/2013,36.79,-0.003527341
14/10/2013,36.92,0.002440679
11/10/2013,36.83,-0.074534552
10/10/2013,39.68,0.005053068
09/10/2013,39.48,0.006862398
08/10/2013,39.21,-0.012671229
07/10/2013,39.71,-0.019945812
04/10/2013,40.51,0.006190437
03/10/2013,40.26,-0.014793169
02/10/2013,40.86,0.011321804
01/10/2013,40.4,0.002974717
30/09/2013,40.28,-0.009635652
27/09/2013,40.67,0
26/09/2013,40.67,0.004188746
25/09/2013,40.5,-0.013001532
24/09/2013,41.03,-0.003892002
23/09/2013,41.19,-0.008702013
20/09/2013,41.55,-0.012675047
19/09/2013,42.08,-0.005450896
18/09/2013,42.31,0.005213282
17/09/2013,42.09,0.006674637
16/09/2013,41.81,0.004074302
13/09/2013,41.64,0.009895097
12/09/2013,41.23,-0.006045237
11/09/2013,41.48,0.003380829
10/09/2013,41.34,0.00484967
09/09/2013,41.14,0.018398655
06/09/2013,40.39,-0.006416606
05/09/2013,40.65,-0.003928313
04/09/2013,40.81,0.002207777
03/09/2013,40.72,0.006899978
30/08/2013,40.44,-0.006654368
29/08/2013,40.71,0.005418732
28/08/2013,40.49,0
27/08/2013,40.49,-0.022950226
26/08/2013,41.43,-0.012949821
23/08/2013,41.97,-0.000952608
22/08/2013,42.01,-0.015822741
21/08/2013,42.68,-0.014653129
20/08/2013,43.31,0.016764071
19/08/2013,42.59,-0.012367443
16/08/2013,43.12,-0.00900387
15/08/2013,43.51,-0.016412495
14/08/2013,44.23,-0.010346471
13/08/2013,44.69,0.005159854
12/08/2013,44.46,0.008130126
09/08/2013,44.1,-0.031692007
08/08/2013,45.52,0.013713995
07/08/2013,44.9,-0.013713995
06/08/2013,45.52,-0.016558113
05/08/2013,46.28,-0.00431221
02/08/2013,46.48,0.003448279
01/08/2013,46.32,0.009108716
31/07/2013,45.9,-0.004564729
30/07/2013,46.11,0.005654648
29/07/2013,45.85,0.00810253
26/07/2013,45.48,-0.003292726
25/07/2013,45.63,0.018134066
24/07/2013,44.81,-0.001338091
23/07/2013,44.87,-0.004447417
22/07/2013,45.07,0.000887902
19/07/2013,45.03,-0.001331558
18/07/2013,45.09,0.008463302
17/07/2013,44.71,0.000895055
16/07/2013,44.67,-0.004467285
15/07/2013,44.87,-0.005112827
12/07/2013,45.1,0.007567363
11/07/2013,44.76,0.014855101
10/07/2013,44.1,0.003634715
09/07/2013,43.94,0.006621785
08/07/2013,43.65,0.008050647
05/07/2013,43.3,0.009513936
03/07/2013,42.89,0.000466418
02/07/2013,42.87,0.001634178
01/07/2013,42.8,0.025317808
28/06/2013,41.73,-0.005258138
27/06/2013,41.95,0.007897612
26/06/2013,41.62,0.013546409
25/06/2013,41.06,0.016947477
24/06/2013,40.37,-0.023259709
21/06/2013,41.32,0.014136233
20/06/2013,40.74,-0.024249491
19/06/2013,41.74,-0.014272364
18/06/2013,42.34,0.01331451
17/06/2013,41.78,0.007206373
14/06/2013,41.48,0.002172078
13/06/2013,41.39,0.018532596
12/06/2013,40.63,-0.010040491
11/06/2013,41.04,-0.012831552
10/06/2013,41.57,-0.01243143
07/06/2013,42.09,0.02672604
06/06/2013,40.98,0.017974139
05/06/2013,40.25,-0.016753287
04/06/2013,40.93,0.00932751
03/06/2013,40.55,0
31/05/2013,40.55,0.013906358
30/05/2013,39.99,0.015625318
29/05/2013,39.37,-0.028791574
28/05/2013,40.52,-0.002957124
24/05/2013,40.64,-0.017561427
23/05/2013,41.36,0.007767029
22/05/2013,41.04,-0.015234245
21/05/2013,41.67,0.014747034
20/05/2013,41.06,0.002438431
17/05/2013,40.96,0.00907425
16/05/2013,40.59,-0.010538022
15/05/2013,41.02,0.003418807
14/05/2013,40.88,0.014537647
13/05/2013,40.29,-0.017224835
10/05/2013,40.99,0.054650189
09/05/2013,38.81,0.001289158
08/05/2013,38.76,-0.007197975
07/05/2013,39.04,0.015228066
06/05/2013,38.45,-0.009319249
03/05/2013,38.81,0.021881571
02/05/2013,37.97,0.010590515
01/05/2013,37.57,-0.011117108
30/04/2013,37.99,0.012715403
29/04/2013,37.51,0.000533333
26/04/2013,37.49,0.001601709
25/04/2013,37.43,0.01507431
