Date,Close,GGP
04/04/2014,22.19,0.009963851
03/04/2014,21.97,-0.001819009
02/04/2014,22.01,-0.000454236
01/04/2014,22.02,0.000908678
31/03/2014,22,0.005469476
28/03/2014,21.88,0.012416807
27/03/2014,21.61,0.007431525
26/03/2014,21.45,-0.016643935
25/03/2014,21.81,0.01478087
24/03/2014,21.49,-0.011106084
21/03/2014,21.73,0.001842469
20/03/2014,21.69,-0.002762433
19/03/2014,21.75,-0.02092888
18/03/2014,22.21,0.000450349
17/03/2014,22.2,0
14/03/2014,22.2,-0.002699057
13/03/2014,22.26,-0.004034975
12/03/2014,22.35,0.0121541
11/03/2014,22.08,0.003629768
10/03/2014,22,-0.005891701
07/03/2014,22.13,-0.004508574
06/03/2014,22.23,-0.00583092
05/03/2014,22.36,-0.002679769
04/03/2014,22.42,0.016187404
03/03/2014,22.06,0.001814883
28/02/2014,22.02,-0.008141158
27/02/2014,22.2,-0.011198325
26/02/2014,22.45,0.004016966
25/02/2014,22.36,-0.00223364
24/02/2014,22.41,0.006715942
21/02/2014,22.26,-0.003587448
20/02/2014,22.34,0.004936066
19/02/2014,22.23,-0.007171703
18/02/2014,22.39,0.021214969
14/02/2014,21.92,0.01378065
13/02/2014,21.62,0.006496543
12/02/2014,21.48,0.007007737
11/02/2014,21.33,0.023720277
10/02/2014,20.83,0.01061786
07/02/2014,20.61,0.015648241
06/02/2014,20.29,0.005931802
05/02/2014,20.17,0.006965202
04/02/2014,20.03,0.011549212
03/02/2014,19.8,-0.01702595
31/01/2014,20.14,0.007475739
30/01/2014,19.99,0.020723511
29/01/2014,19.58,-0.003568701
28/01/2014,19.65,0.005613692
27/01/2014,19.54,-0.003575994
24/01/2014,19.61,-0.027164648
23/01/2014,20.15,-0.011349739
22/01/2014,20.38,-0.002450381
21/01/2014,20.43,0.000979432
17/01/2014,20.41,-0.005375043
16/01/2014,20.52,-0.008250471
15/01/2014,20.69,0.009225606
14/01/2014,20.5,0.006361656
13/01/2014,20.37,-0.007824001
10/01/2014,20.53,0.020172886
09/01/2014,20.12,-0.00297767
08/01/2014,20.18,-0.006913608
07/01/2014,20.32,0.004438972
06/01/2014,20.23,0.00098912
03/01/2014,20.21,0.008447255
02/01/2014,20.04,-0.001495887
31/12/2013,20.07,-0.006456442
30/12/2013,20.2,0.001982161
27/12/2013,20.16,-0.003960401
26/12/2013,20.24,-0.004928546
24/12/2013,20.34,-0.002455194
23/12/2013,20.39,-0.000490316
20/12/2013,20.4,0.011338549
19/12/2013,20.17,-0.013786531
18/12/2013,20.45,0.009828089
17/12/2013,20.25,0.001977262
16/12/2013,20.21,-0.009357369
13/12/2013,20.4,-0.004402061
12/12/2013,20.49,-0.005839433
11/12/2013,20.61,-0.025863511
10/12/2013,21.15,-0.00094518
09/12/2013,21.17,0.001418105
06/12/2013,21.14,0.015252917
05/12/2013,20.82,0.026278884
04/12/2013,20.28,0.00098668
03/12/2013,20.26,-0.011776387
02/12/2013,20.5,-0.012121361
29/11/2013,20.75,-0.010546598
27/11/2013,20.97,0.003822269
26/11/2013,20.89,0.007206373
25/11/2013,20.74,0.003380829
22/11/2013,20.67,-0.009629347
21/11/2013,20.87,0.014479017
20/11/2013,20.57,0.000486263
19/11/2013,20.56,-0.011124661
18/11/2013,20.79,0
15/11/2013,20.79,-0.000480885
14/11/2013,20.8,0.007237667
13/11/2013,20.65,0.001938925
12/11/2013,20.61,-0.000485084
11/11/2013,20.62,0.007301079
08/11/2013,20.47,0.005388208
07/11/2013,20.36,-0.02089991
06/11/2013,20.79,-0.003840619
05/11/2013,20.87,-0.025545382
04/11/2013,21.41,-0.006981643
01/11/2013,21.56,0.01542447
31/10/2013,21.23,-0.017740895
30/10/2013,21.61,0.015388506
29/10/2013,21.28,-0.002346868
28/10/2013,21.33,-0.000468713
25/10/2013,21.34,0.000468713
24/10/2013,21.33,0.00658516
23/10/2013,21.19,0.00378251
22/10/2013,21.11,0.014313221
21/10/2013,20.81,-0.010991747
18/10/2013,21.04,-0.000475172
17/10/2013,21.05,0.018217186
16/10/2013,20.67,0.025975486
15/10/2013,20.14,0.002983592
14/10/2013,20.08,0.000498132
11/10/2013,20.07,0.007000029
10/10/2013,19.93,0.020786553
09/10/2013,19.52,-0.008163311
08/10/2013,19.68,-0.012121361
07/10/2013,19.92,0.003520245
04/10/2013,19.85,0.003027248
03/10/2013,19.79,-0.006045358
02/10/2013,19.91,0.017735453
01/10/2013,19.56,0.013899838
30/09/2013,19.29,-0.00465478
27/09/2013,19.38,-0.00411947
26/09/2013,19.46,0.004635599
25/09/2013,19.37,-0.003607322
24/09/2013,19.44,-0.016832838
23/09/2013,19.77,-0.012066511
20/09/2013,20.01,-0.006475739
19/09/2013,20.14,0.003980105
18/09/2013,20.06,0.022688142
17/09/2013,19.61,-0.005086481
16/09/2013,19.71,0.011224608
13/09/2013,19.49,0.006692432
12/09/2013,19.36,-0.011299555
11/09/2013,19.58,0.005120339
10/09/2013,19.48,-0.011737823
09/09/2013,19.71,0.030391214
06/09/2013,19.12,0.022746286
05/09/2013,18.69,-0.014870162
04/09/2013,18.97,-0.003157897
03/09/2013,19.03,-0.007851388
30/08/2013,19.18,0.000521512
29/08/2013,19.17,0.001566171
28/08/2013,19.14,-0.004171018
27/08/2013,19.22,-0.00570689
26/08/2013,19.33,-0.004130104
23/08/2013,19.41,0.007757991
22/08/2013,19.26,-0.003110422
21/08/2013,19.32,-0.005162634
20/08/2013,19.42,0.018711565
19/08/2013,19.06,-0.026405883
16/08/2013,19.57,-0.03217975
15/08/2013,20.21,-0.017169909
14/08/2013,20.56,-0.000486263
13/08/2013,20.57,-0.012560552
12/08/2013,20.83,0.000480192
09/08/2013,20.82,0.013053122
08/08/2013,20.55,0.003412141
07/08/2013,20.48,-0.000976086
06/08/2013,20.5,-0.008742163
05/08/2013,20.68,-0.000483442
02/08/2013,20.69,0.002904165
01/08/2013,20.63,-0.005317876
31/07/2013,20.74,-0.033194133
30/07/2013,21.44,0.010785568
29/07/2013,21.21,-0.019608471
26/07/2013,21.63,0.008356595
25/07/2013,21.45,0.002801122
24/07/2013,21.39,-0.011619931
23/07/2013,21.64,0.009285118
22/07/2013,21.44,0.001867414
19/07/2013,21.4,-0.000467181
18/07/2013,21.41,0.007501207
17/07/2013,21.25,-0.003288704
16/07/2013,21.32,0.001877935
15/07/2013,21.28,0.011817675
12/07/2013,21.03,0.001427552
11/07/2013,21,0.024585475
10/07/2013,20.49,0.004892378
09/07/2013,20.39,0.013827381
08/07/2013,20.11,0.003486928
05/07/2013,20.04,0.005002512
03/07/2013,19.94,-0.004004009
02/07/2013,20.02,0.009031672
01/07/2013,19.84,-0.001510955
28/06/2013,19.87,-0.00851922
27/06/2013,20.04,0.016604155
26/06/2013,19.71,0.014822658
25/06/2013,19.42,0.005162634
24/06/2013,19.32,-0.009273637
21/06/2013,19.5,-0.004604766
20/06/2013,19.59,-0.048328209
19/06/2013,20.56,-0.024502787
18/06/2013,21.07,0.007622714
17/06/2013,20.91,0.00143575
14/06/2013,20.88,0.005763705
13/06/2013,20.76,0.02982377
12/06/2013,20.15,-0.014289477
11/06/2013,20.44,-0.012156726
10/06/2013,20.69,-0.004340494
07/06/2013,20.78,0.006760045
06/06/2013,20.64,0.032999793
05/06/2013,19.97,-0.004995015
04/06/2013,20.07,-0.01728865
03/06/2013,20.42,-0.005372418
31/05/2013,20.53,-0.014507024
30/05/2013,20.83,-0.012878785
29/05/2013,21.1,0
28/05/2013,21.1,-0.020638631
24/05/2013,21.54,0
23/05/2013,21.54,-0.024307549
22/05/2013,22.07,-0.035169438
21/05/2013,22.86,-0.006540246
20/05/2013,23.01,0.001739887
17/05/2013,22.97,0.003488883
16/05/2013,22.89,0.001311476
15/05/2013,22.86,0.002189622
14/05/2013,22.81,-0.002189622
13/05/2013,22.86,0.006583302
10/05/2013,22.71,0.003528896
09/05/2013,22.63,-0.008799001
08/05/2013,22.83,0.000438116
07/05/2013,22.82,-0.022102742
06/05/2013,23.33,0.015986515
03/05/2013,22.96,-0.000435445
02/05/2013,22.97,0.016681686
01/05/2013,22.59,-0.005738263
30/04/2013,22.72,0.030840433
29/04/2013,22.03,0.011872286
26/04/2013,21.77,-0.004582959
25/04/2013,21.87,-0.002283627
24/04/2013,21.92,0.011470647
23/04/2013,21.67,0.00694608
22/04/2013,21.52,-0.000464576
19/04/2013,21.53,0.020648317
18/04/2013,21.09,0.001898434
17/04/2013,21.05,-0.009926813
16/04/2013,21.26,0.015643836
15/04/2013,20.93,-0.012817645
12/04/2013,21.2,0.00330735
11/04/2013,21.13,0.013339883
10/04/2013,20.85,0.008186899
09/04/2013,20.68,0
08/04/2013,20.68,0.009718249
05/04/2013,20.48,0.003423823
04/04/2013,20.41,0.009352763
03/04/2013,20.22,0.00297177
02/04/2013,20.16,0.009469296
01/04/2013,19.97,0.004516946
28/03/2013,19.88,-0.003013563
27/03/2013,19.94,-0.002504384
26/03/2013,19.99,0.001501878
25/03/2013,19.96,0.000501128
22/03/2013,19.95,0.00301205
21/03/2013,19.89,-0.005015056
20/03/2013,19.99,0.00652449
19/03/2013,19.86,-0.002012073
18/03/2013,19.9,0.001005531
15/03/2013,19.88,0.001006543
14/03/2013,19.86,0.002520798
13/03/2013,19.81,-0.008044287
12/03/2013,19.97,0.002005013
11/03/2013,19.93,0.009072643
08/03/2013,19.75,-0.004042451
07/03/2013,19.83,-0.015511945
06/03/2013,20.14,0.006975614
05/03/2013,20,0.004510155
04/03/2013,19.91,0.010603482
01/03/2013,19.7,0.02883825
28/02/2013,19.14,-0.009360443
27/02/2013,19.32,0.007794272
26/02/2013,19.17,-0.001042753
25/02/2013,19.19,-0.024196805
22/02/2013,19.66,0.010739045
21/02/2013,19.45,-0.022872662
20/02/2013,19.9,-0.009004563
19/02/2013,20.08,0.005994024
15/02/2013,19.96,0.008048333
14/02/2013,19.8,-0.00554018
13/02/2013,19.91,-0.01198217
12/02/2013,20.15,-0.001487727
11/02/2013,20.18,0.001984128
