Date,Close,XRAY
04/04/2014,46.85,-0.012936242
03/04/2014,47.46,-0.003995379
02/04/2014,47.65,0.013735028
01/04/2014,47,0.020637018
31/03/2014,46.04,0.012018062
28/03/2014,45.49,0.00617422
27/03/2014,45.21,-0.005734467
26/03/2014,45.47,-0.001757856
25/03/2014,45.55,0.00926341
24/03/2014,45.13,-0.013207324
21/03/2014,45.73,-0.001311189
20/03/2014,45.79,0.000218412
19/03/2014,45.78,-0.002181978
18/03/2014,45.88,0.006999154
17/03/2014,45.56,0.015483609
14/03/2014,44.86,-0.009539728
13/03/2014,45.29,-0.010979469
12/03/2014,45.79,-0.008914071
11/03/2014,46.2,-0.005181359
10/03/2014,46.44,-0.009003276
07/03/2014,46.86,0.020917205
06/03/2014,45.89,-0.005216269
05/03/2014,46.13,-0.000866739
04/03/2014,46.17,0.02700197
03/03/2014,44.94,-0.009743213
28/02/2014,45.38,-0.000220337
27/02/2014,45.39,0.005080077
26/02/2014,45.16,-0.002874518
25/02/2014,45.29,0.003982306
24/02/2014,45.11,0.002441462
21/02/2014,45,-0.010390278
20/02/2014,45.47,0.017303005
19/02/2014,44.69,-0.022129693
18/02/2014,45.69,-0.011965769
14/02/2014,46.24,0.005421243
13/02/2014,45.99,0.000434972
12/02/2014,45.97,-0.006720893
11/02/2014,46.28,0.009771004
10/02/2014,45.83,0.004811908
07/02/2014,45.61,0.006378555
06/02/2014,45.32,0.00753049
05/02/2014,44.98,0.001334817
04/02/2014,44.92,-0.000667631
03/02/2014,44.95,-0.026129492
31/01/2014,46.14,-0.009920288
30/01/2014,46.6,0.011872778
29/01/2014,46.05,-0.003035562
28/01/2014,46.19,0.007170047
27/01/2014,45.86,0.000436205
24/01/2014,45.84,-0.025628624
23/01/2014,47.03,-0.015821446
22/01/2014,47.78,-0.005010449
21/01/2014,48.02,0.002502086
17/01/2014,47.9,-0.007487556
16/01/2014,48.26,-0.001035518
15/01/2014,48.31,-0.008656278
14/01/2014,48.73,0.008656278
13/01/2014,48.31,-0.01316079
10/01/2014,48.95,0.000817494
09/01/2014,48.91,0.003687018
08/01/2014,48.73,0.001848619
07/01/2014,48.64,0.015330733
06/01/2014,47.9,-0.006036026
03/01/2014,48.19,0.0047842
02/01/2014,47.96,-0.010784012
31/12/2013,48.48,0.000206292
30/12/2013,48.47,0.002685675
