Date,Close,GHC
04/04/2014,708,-0.030463445
03/04/2014,729.9,0.006239455
02/04/2014,725.36,-0.003935117
01/04/2014,728.22,0.034180021
31/03/2014,703.75,-0.002611153
28/03/2014,705.59,0.007953997
27/03/2014,700,-0.000714031
26/03/2014,700.5,0.003575263
25/03/2014,698,-0.002861232
24/03/2014,700,-0.010459395
21/03/2014,707.36,0.000749546
20/03/2014,706.83,-0.014104329
19/03/2014,716.87,-0.000474172
18/03/2014,717.21,0.003743701
17/03/2014,714.53,-0.004774945
14/03/2014,717.95,0.003753816
13/03/2014,715.26,-0.021480028
12/03/2014,730.79,0.03004497
11/03/2014,709.16,-0.007823678
10/03/2014,714.73,0.016747124
07/03/2014,702.86,0.002692635
06/03/2014,700.97,0.002828654
05/03/2014,698.99,-0.001029528
04/03/2014,699.71,-0.002540681
03/03/2014,701.49,-0.02423738
28/02/2014,718.7,-0.002640174
27/02/2014,720.6,0.00463186
26/02/2014,717.27,-0.010029423
25/02/2014,724.5,0.031918797
24/02/2014,701.74,0.02487432
21/02/2014,684.5,0.013102262
20/02/2014,675.59,0.024074085
19/02/2014,659.52,-0.002528944
18/02/2014,661.19,0.003636423
14/02/2014,658.79,0.000683304
13/02/2014,658.34,0.005238963
12/02/2014,654.9,0.008803333
11/02/2014,649.16,0.004461846
10/02/2014,646.27,-0.00296649
07/02/2014,648.19,0.004437545
06/02/2014,645.32,0.007762649
05/02/2014,640.33,0.017629861
04/02/2014,629.14,0.024358879
03/02/2014,614,-0.019451285
31/01/2014,626.06,-0.02658964
30/01/2014,642.93,0.015486446
29/01/2014,633.05,-0.015999589
28/01/2014,643.26,0.008022644
27/01/2014,638.12,0.014872158
24/01/2014,628.7,-0.020638114
23/01/2014,641.81,-0.006507194
22/01/2014,646,0.004996984
21/01/2014,642.78,-0.00397479
17/01/2014,645.34,-0.011309654
16/01/2014,652.68,0.002946053
15/01/2014,650.76,-0.003083936
14/01/2014,652.77,0.00920318
13/01/2014,646.79,-0.018990142
10/01/2014,659.19,-0.011118349
09/01/2014,666.56,0.010724004
08/01/2014,659.45,-0.004870974
07/01/2014,662.67,-0.004261509
06/01/2014,665.5,-0.00487166
03/01/2014,668.75,0.01969168
02/01/2014,655.71,-0.01153891
31/12/2013,663.32,0.00181072
30/12/2013,662.12,0.005831627
27/12/2013,658.27,0.002662024
26/12/2013,656.52,0.005421971
24/12/2013,652.97,0.001486624
23/12/2013,652,0.013044838
20/12/2013,643.55,0.015424068
19/12/2013,633.7,-0.009298594
18/12/2013,639.62,0.019337772
17/12/2013,627.37,0.003384908
16/12/2013,625.25,0.014206798
13/12/2013,616.43,0.009502692
12/12/2013,610.6,0.002607392
11/12/2013,609.01,-0.018513625
10/12/2013,620.39,0.02102906
09/12/2013,607.48,-0.029951243
